madre	Madre	NP00000	madre
sabado	sábado	NCMS000	sábado
beynteyquatro	veinticuatro	Z	24
de	de	SPS00	de
diçiembre	diciembre	NCMS000	diciembre
de	de	SPS00	de
644	644	Z	644
Años	años	NCMP000	año
tu	Tu	DP2CSS	tu
yjo	hijo	NCMS000	hijo
que	que	PR0CN000	que
mas	más	RC	más
q	que	CS	que
a	a	SPS00	a
si	sí	RG	sí
te	te	PP2CS000	te
quire	quiere	VMIP3S0	querer
	,	Fc	,
don	don	NP00000	don
luis	Luis	NP00000	luis
de	de	SPS00	de
Jon	Jon	NP00000	jon
y	y	CC	y
Acuñas	Acuñas	NP00000	acuñas
y	Y	CC	y
me	me	PP1CS000	me
corro	corro	VMIP1S0	correr
mucho	mucho	RQ	mucho
de	de	SPS00	de
que	que	CS	que
me	me	PP1CS000	me
diges	digas	VMSP2S0	decir
que	que	CS	que
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
dibierto	divierto	VMIP1S0	divertir
y	y	CC	y
me	me	PP1CS000	me
entretengo	entretengo	VMIP1S0	entretener
en	en	SPS00	en
esta	esta	DD0FS0	este
tierra	tierra	NCFS000	tierra
	.	Fp	.
y	Y	CC	y
te	te	PP2CS000	te
engañas	engañas	VMIP2S0	engañar
	,	Fc	,
porque	porque	CS	porque
por	por	SPS00	por
dios	Dios	NP00000	dios
y	y	CC	y
a	a	SPS00	a
esta	esta	DD0FS0	este
que	que	CS	que
no	no	RN	no
tengo	tengo	VMIP1S0	tener
otro	otro	DI0MS0	otro
cuydado	cuidado	NCMS000	cuidado
mas	más	RC	más
que	que	CS	que
de	de	SPS00	de
estar	estar	VMN0000	estar
contigo	contigo	SPS00+PP2CSO00	con+ti
	,	Fc	,
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
y	y	CC	y
bida	vida	NCFS000	vida
	.	Fp	.
que	Que	CS	que
te	te	PP2CS000	te
prometo	prometo	VMIP1S0	prometer
soy	soy	VSIP1S0	ser
un	un	DI0MS0	uno
cartugo	cartujo	NCMS000	cartujo
y	y	CC	y
guardo	guardo	VMIP1S0	guardar
labor	labor	NCFS000	labor
y	y	CC	y
Religion	religión	NCFS000	religión
	.	Fp	.
