Jamas	Jamás	RG	jamás
este	esté	VMSP0S0	estar
en	en	SPS00	en
el	el	DA0MS0	el
çielo	cielo	NCMS000	cielo
	,	Fc	,
por	por	SPS00	por
la	la	DA0FS0	el
pratica	práctica	NCFS000	práctica
y	y	CC	y
esperiençia	experiencia	NCFS000	experiencia
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
de	de	SPS00	de
cossas	cosas	NCFP000	cosa
	,	Fc	,
q	que	CS	que
esta	ésta	PD0FS000	este
no	no	RN	no
se	se	P00CN000	se
alcança	alcanza	VMIP3S0	alcanzar
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
con	con	SPS00	con
los	los	DA0MP0	el
años	años	NCMP000	año
	,	Fc	,
que	que	PR0CN000	que
abasso	abajo	RG	abajo
en	en	SPS00	en
algun	algún	DI0MS0	alguno
tiempo	tiempo	NCMS000	tiempo
reprobo	reprobó	VMIS3S0	reprobar
	.	Fp	.
yo	Yo	PP1CSN00	yo
tengo	tengo	VMIP1S0	tener
salud	salud	NCFS000	salud
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
graçias	gracias	NCFP000	gracia
	,	Fc	,
y	y	CC	y
me	me	PP1CS000	me
huelgo	huelgo	VMIP1S0	holgar
V	vuestra	DP2FSP	vuestro
Pd	paternidad	NP00000	paternidad
la	la	PP3FSA00	lo
tenga	tenga	VMSP0S0	tener
	;	Fx	;
sea	sea	VSSP0S0	ser
por	por	SPS00	por
muchos	muchos	DI0MP0	mucho
años	años	NCMP000	año
con	con	SPS00	con
el	el	DA0MS0	el
augmento	aumento	NCMS000	aumento
que	que	PR0CN000	que
meresçe	merece	VMIP3S0	merecer
y	y	CC	y
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
Logroño	Logroño	NP00000	logroño
	,	Fc	,
y	y	CC	y
maio	mayo	NCMS000	mayo
7	7	Z	7
de	de	SPS00	de
1611	1611	Z	1611
	.	Fp	.
fr	Fray	NP00000	fray
Dionisio	Dionisio	NP00000	dionisio
D	de	SPS00	de
Castro	Castro	NP00000	castro
