Jueves	Jueves	NCMN000	jueves
,	,	Fc	,
Pedro	Pedro	NP00000	pedro
Galvete	Galvete	NP00000	galvete
Po	Primo	NP00000	primo
i	y	CC	y
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	,	Fc	,
Sr	señor	NP00000	señor
Dn	don	NP00000	don
Jsph	Joseph	NP00000	joseph
Galvete	Galvete	NP00000	galvete
i	y	CC	y
Angiano	Angiano	NP00000	angiano
.	.	Fp	.
habisarame	Avisarame	VMIF3S0+PP1CS000	avisar+me
Vmd	VM	NP00000	VM
si	si	CS	si
hizo	hizo	VMIS3S0	hacer
pedazos	pedazos	NCMP000	pedazo
la	la	DA0FS0	el
zedula	cédula	NCFS000	cédula
que	que	PR0CN000	que
enbio	envió	VMIS3S0	enviar
a	a	SPS00	a
quintana	Quintana	NP00000	quintana
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
la	la	PP3FSA00	lo
deje	dejé	VMIS1S0	dejar
olbidada	olvidada	VMP00SF	olvidar
el	el	DA0MS0	el
dia	día	NCMS000	día
que	que	PR0CN000	que
sali	salí	VMIS1S0	salir
de	de	SPS00	de
essa	esa	DD0FS0	ese
ciudad	ciudad	NCFS000	ciudad
	,	Fc	,
porque	porque	CS	porque
io	yo	PP1CSN00	yo
la	la	PP3FSA00	lo
truje	traje	VMIS1S0	traer
de	de	SPS00	de
quinta	Quinta	NCFS000	quinta
para	para	SPS00	para
darsela	dársela	VMN0000+PP3CN000+PP3FSA00	dar+se+lo
a	a	SPS00	a
Vmd	VM	NP00000	VM
	,	Fc	,
porque	porque	CS	porque
ia	ya	RG	ya
lo	lo	PP3CNA00	lo
deje	dejé	VMIS1S0	dejar
io	yo	PP1CSN00	yo
ajustado	ajustado	VMP0000	ajustar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
debia	debía	VMII0S0	deber
;	.	Fp	.
dira	Dirá	VMIF3S0	decir
Vmd	VM	NP00000	VM
a	a	SPS00	a
mi	mi	DP1CSS	mi
hermana	hermana	NCFS000	hermano
que	que	CS	que
quando	cuando	PA000000	cuando
escirba	escriba	VMSP0S0	escribir
se	se	P00CN000	se
esmere	esmere	VMSP0S0	esmerar
lo	lo	DA0NS0	el
mas	más	RC	más
que	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
possible	posible	AQ0CS0	posible
	,	Fc	,
porque	porque	CS	porque
asi	así	RG	así
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
escirbimos	escribimos	VMIP1P0	escribir
como	como	CS	como
las	las	DA0FP0	el
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
escriben	escriben	VMIP3P0	escribir
las	las	PP3FPA00	lo
lehe	lee	VMIP3S0	leer
el	el	DA0MS0	el
abbad	abad	NCMS000	abad
i	y	CC	y
el	el	DA0MS0	el
P	padre	NCMS000	padre
Mo	maestro	NCMS000	maestro
de	de	SPS00	de
nobizios	novicios	NCMP000	novicio
	.	Fp	.
