Abe	Ave	I	ave
santo	santo	AQ0MS0	santo
serbizio	servicio	NCMS000	servicio
con	con	SPS00	con
fe	fe	NCFS000	fe
	,	Fc	,
esperanca	esperanza	NCFS000	esperanza
y	y	CC	y
caridad	caridad	NCFS000	caridad
y	y	CC	y
amor	amor	NCMS000	amor
y	y	CC	y
temor	temor	NCMS000	temor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
que	que	PR0CN000	que
te	te	PP2CS000	te
guarde	guarde	VMSP0S0	guardar
y	y	CC	y
saque	saque	VMSP0S0	sacar
en	en	SPS00	en
pas	paz	NCFS000	paz
	.	Fp	.
madrid	Madrid	NP00000	madrid
	,	Fc	,
diesysiete	diecisiete	Z	17
de	de	SPS00	de
setienbre	septiembre	NCMS000	septiembre
	.	Fp	.
tu	Tu	DP2CSS	tu
tia	tía	NCFS000	tía
q	que	PR0CN000	que
la	la	DA0FS0	el
salbacion	salvación	NCFS000	salvación
te	te	PP2CS000	te
desea	desea	VMIP3S0	desear
