Todas	Todas	DI0FP0	todo
el	él	PP3MS000	él
castigue	castigue	VMSP0S0	castigar
esta	esta	DD0FS0	este
mala	mala	AQ0FS0	malo
intençion	intención	NCFS000	intención
y	y	CC	y
a	a	SPS00	a
vm	VM	NP00000	VM
suppco	suplico	VMIP1S0	suplicar
la	la	DA0FS0	el
carta	carta	NCFS000	carta
	.	Fp	.
se	Sé	VMIP1S0	saber
qe	que	CS	que
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
cuidado	cuidado	NCMS000	cuidado
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
conprobar	comprobar	VMN0000	comprobar
la	la	DA0FS0	el
letra	letra	NCFS000	letra
y	y	CC	y
esto	esto	PD0NN000	esto
lo	lo	PP3CNA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
açer	hacer	VMN0000	hacer
vm	VM	NP00000	VM
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	.	Fp	.
y	Y	CC	y
maria	María	NP00000	maría
lo	lo	PP3CNA00	lo
suppca	suplica	VMIP3S0	suplicar
	,	Fc	,
que	que	CS	que
esta	está	VMIP3S0	estar
con	con	SPS00	con
arto	harto	DI0MS0	harto
sentimiento	sentimiento	NCMS000	sentimiento
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
todos	todos	DI0MP0	todo
caminos	caminos	NCMP000	camino
quieren	quieren	VMIP3P0	querer
descomponernos	descomponernos	VMN0000+PP1CP000	descomponer+nos
con	con	SPS00	con
vm	VM	NP00000	VM
.	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
del	del	SPS00+DA0MS0	de+el
labrador	labrador	NCMS000	labrador
	,	Fc	,
ya	ya	RG	ya
estaba	estaba	VMII0S0	estar
conçertado	concertado	VMP00SM	concertar
todo	todo	PI0MS000	todo
para	para	SPS00	para
irse	irse	VMN0000+P00CN000	ir+se
con	con	SPS00	con
las	las	DA0FP0	el
mulas	mulas	NCFP000	mulo
con	con	SPS00	con
el	el	DA0MS0	el
conçierto	concierto	NCMS000	concierto
que	que	PR0CN000	que
escribimos	escribimos	VMIP1P0	escribir
a	a	SPS00	a
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
mujer	mujer	NCFS000	mujer
ni	ni	CC	ni
por	por	SPS00	por
bien	bien	NCMS000	bien
ni	ni	CC	ni
por	por	SPS00	por
mal	mal	NCMS000	mal
quiso	quiso	VMIS3S0	querer
que	que	CS	que
su	su	DP3CS0	su
marido	marido	NCMS000	marido
fuese	fuese	VMSI0S0	ir
al	al	SPS00+DA0MS0	a+el
alberca	alberca	NCFS000	alberca
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
si	si	CS	si
iba	iba	VMII0S0	ir
que	que	CS	que
ella	ella	PP3FS000	él
no	no	RN	no
abia	había	VMII0S0	haber
de	de	SPS00	de
ir	ir	VMN0000	ir
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
no	no	RN	no
pudimos	pudimos	VMIS1P0	poder
açerle	hacerle	VMN0000+PP3CSD00	hacer+le
ir	ir	VMN0000	ir
	.	Fp	.
vm	VM	NP00000	VM
repare	repare	VMSP0S0	reparar
que	que	CS	que
es	es	VSIP3S0	ser
ya	ya	RG	ya
tarde	tarde	RG	tarde
para	para	SPS00	para
la	la	DA0FS0	el
paja	paja	NCFS000	paja
y	y	CC	y
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
aguardar	aguardar	VMN0000	aguardar
mas	más	RC	más
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
de	dé	VMSP0S0	dar
liçençia	licencia	NCFS000	licencia
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
concierte	concierte	VMSP0S0	concertar
uno	uno	Z	1
de	de	SPS00	de
santa	Santa	NP00000	santo
maria	María	NP00000	maría
	,	Fc	,
que	que	CS	que
dicen	dicen	VMIP3P0	decir
q	que	CS	que
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
muy	muy	RQ	muy
bien	bien	RG	bien
si	si	CS	si
no	no	RN	no
ai	hay	VMIP3S0	haber
otro	otro	DI0MS0	otro
remedio	remedio	NCMS000	remedio
	,	Fc	,
que	que	CS	que
inporta	importa	VMIP3S0	importar
q	que	CS	que
sea	sea	VSSP0S0	ser
de	de	SPS00	de
santa	Santa	NP00000	santo
maria	María	NP00000	maría
	.	Fp	.
y	Y	CC	y
pues	pues	CS	pues
d	don	NP00000	don
sebastian	Sebastián	NP00000	sebastián
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
el	el	DA0MS0	el
solicitador	solicitador	NCMS000	solicitador
	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
nada	nada	PI0NN00N	nada
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
sea	sea	VSSP0S0	ser
de	de	SPS00	de
alla	allá	RG	allá
el	el	DA0MS0	el
labrador	labrador	NCMS000	labrador
	.	Fp	.
Treinta	Treinta	Z	30
caretadas	carretadas	NCFP000	carretada
de	de	SPS00	de
paja	paja	NCFS000	paja
pidio	pidió	VMIS3S0	pedir
d	don	NP00000	don
Sebastian	Sebastián	NP00000	sebastián
a	a	SPS00	a
d	don	NP00000	don
antonio	Antonio	NP00000	antonio
	.	Fp	.
y	Y	CC	y
las	las	PP3FPA00	lo
dara	dará	VMIF3S0	dar
con	con	SPS00	con
condicion	condición	NCFS000	condición
que	que	CS	que
	,	Fc	,
si	si	CS	si
el	el	DA0MS0	el
Sor	señor	NP00000	señor
franco	Francisco	NP00000	francisco
quiere	quiere	VMIP3S0	querer
que	que	CS	que
se	se	PP3CN000	se
las	las	PP3FPA00	lo
paguen	paguen	VMSP3P0	pagar
	,	Fc	,
que	que	CS	que
se	se	PP3CN000	se
las	las	PP3FPA00	lo
an	han	VMIP3P0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
vm	VM	NP00000	VM
se	se	P00CN000	se
determine	determine	VMSP0S0	determinar
y	y	CC	y
enbie	envíe	VMSP0S0	enviar
las	las	DA0FP0	el
mulas	mulas	NCFP000	mulo
	,	Fc	,
que	que	CS	que
esten	estén	VMSP3P0	estar
aqui	aquí	RG	aquí
el	el	DA0MS0	el
martes	martes	NCMN000	martes
en	en	SPS00	en
la	la	DA0FS0	el
noche	noche	NCFS000	noche
	,	Fc	,
porque	porque	CS	porque
d	don	NP00000	don
sebastian	Sebastián	NP00000	sebastián
se	se	P00CN000	se
baia	vaya	VMSP0S0	ir
con	con	SPS00	con
ellas	ellas	PP3FP000	ellos
y	y	CC	y
deje	deje	VMSP0S0	dejar
orden	orden	NCMS000	orden
para	para	SPS00	para
meter	meter	VMN0000	meter
la	la	DA0FS0	el
paja	paja	NCFS000	paja
y	y	CC	y
conpre	compre	VMSP0S0	comprar
el	el	DA0MS0	el
estiercol	estiércol	NCMS000	estiércol
que	que	PR0CN000	que
allare	hallare	VMSF0S0	hallar
	.	Fp	.
y	Y	CC	y
si	si	CS	si
vm	VM	NP00000	VM
quiere	quiere	VMIP3S0	querer
dar	dar	VMN0000	dar
una	una	DI0FS0	uno
buelta	vuelta	NCFS000	vuelta
o	o	CC	o
enbiar	enviar	VMN0000	enviar
las	las	DA0FP0	el
hijuelas	hijuelas	NCFP000	hijuela
para	para	SPS00	para
ber	ver	VMN0000	ver
quien	quién	PT0CS000	quién
a	ha	VAIP3S0	haber
cabado	cavado	VMP0000	cavar
para	para	SPS00	para
poder	poder	VMN0000	poder
resenbrar	resembrar	VMN0000	resembrar
y	y	CC	y
açer	hacer	VMN0000	hacer
los	los	DA0MP0	el
barbechos	barbechos	NCMP000	barbecho
.	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
del	del	SPS00+DA0MS0	de+el
alberca	alberca	NCFS000	alberca
no	no	RN	no
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
cuidado	cuidado	NCMS000	cuidado
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
no	no	RN	no
ejecutaran	ejecutaran	VMSI3P0	ejecutar
	,	Fc	,
que	que	CS	que
d	don	NP00000	don
sebastian	Sebastián	NP00000	sebastián
a	ha	VMIP3S0	haber
de	de	SPS00	de
ir	ir	VMN0000	ir
alla	allá	RG	allá
y	y	CC	y
dar	dar	VMN0000	dar
orden	orden	NCMS000	orden
de	de	SPS00	de
pasar	pasar	VMN0000	pasar
y	y	CC	y
acomodarlo	acomodarlo	VMN0000+PP3MSA00	acomodar+lo
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
los	los	DA0MP0	el
frailes	frailes	NCMP000	fraile
se	se	P00CN000	se
les	les	PP3CPD00	le
pagara	pagará	VMIF3S0	pagar
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
diere	diere	VMSF0S0	dar
blasco	Blasco	NCMS000	blasco
	.	Fp	.
vm	VM	NP00000	VM
envie	envíe	VMSP0S0	enviar
a	a	SPS00	a
deçirle	decirle	VMN0000+PP3CSD00	decir+le
lo	lo	DA0NS0	el
que	que	PR0CN000	que
debe	debe	VMIP3S0	deber
po	Pedro	NP00000	pedro
blasco	Blasco	NP00000	blasco
	,	Fc	,
que	que	CS	que
diçe	dice	VMIP3S0	decir
que	que	CS	que
no	no	RN	no
son	son	VSIP3P0	ser
200	200	Z	200
R	reales	NCMP000	real
sino	sino	CC	sino
150	150	Z	150
.	.	Fp	.
en	En	SPS00	en
lo	lo	DA0NS0	el
de	de	SPS00	de
j	Juan	NP00000	juan
romano	Romano	NP00000	romano
	,	Fc	,
se	se	P00CN000	se
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
dilijençia	diligencia	NCFS000	diligencia
y	y	CC	y
no	no	RN	no
se	se	P00CN000	se
a	ha	VAIP3S0	haber
podido	podido	VMP0000	poder
saber	saber	VMN0000	saber
donde	dónde	PA000000	dónde
esta	está	VMIP3S0	estar
.	.	Fp	.
de	De	SPS00	de
los	los	DA0MP0	el
aperos	aperos	NCMP000	apero
de	de	SPS00	de
la	la	DA0FS0	el
alberca	alberca	NCFS000	alberca
y	y	CC	y
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
a	ha	VAIP3S0	haber
cobrado	cobrado	VMP0000	cobrar
	,	Fc	,
d	don	NP00000	don
sebastian	Sebastián	NP00000	sebastián
dira	dirá	VMIF3S0	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ai	hay	VMIP3S0	haber
en	en	SPS00	en
eso	eso	PD0NN000	eso
.	.	Fp	.
la	La	DA0FS0	el
madera	madera	NCFS000	madera
y	y	CC	y
llabe	llave	NCFS000	llave
llebara	llevará	VMIF3S0	llevar
d	don	NP00000	don
sebastian	Sebastián	NP00000	sebastián
quando	cuando	PA000000	cuando
baia	vaya	VMSP0S0	ir
	.	Fp	.
torno	Torno	VMIP1S0	tornar
a	a	SPS00	a
decir	decir	VMN0000	decir
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
no	no	RN	no
dejen	dejen	VMSP3P0	dejar
de	de	SPS00	de
benir	venir	VMN0000	venir
las	las	DA0FP0	el
mulas	mulas	NCFP000	mulo
el	el	DA0MS0	el
martes	martes	NCMN000	martes
con	con	SPS00	con
manuel	Manuel	NP00000	manuel
o	o	CC	o
con	con	SPS00	con
otro	otro	PI0MS000	otro
	,	Fc	,
pues	pues	CS	pues
biene	viene	VMIP3S0	venir
la	la	DA0FS0	el
estafeta	estafeta	NCFS000	estafeta
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
bienen	vienen	VMIP3P0	venir
enbiaremos	enviaremos	VMIF1P0	enviar
por	por	SPS00	por
ellas	ellas	PP3FP000	ellos
o	o	CC	o
enbiaremos	enviaremos	VMIF1P0	enviar
abisando	avisando	VMG0000	avisar
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
jente	gente	NCFS000	gente
de	de	SPS00	de
santa	Santa	NP00000	santo
maria	María	NP00000	maría
el	el	DA0MS0	el
moço	mozo	NCMS000	mozo
por	por	SPS00	por
el	el	DA0MS0	el
conçierto	concierto	NCMS000	concierto
que	que	CS	que
vm	VM	NP00000	VM
tene	tiene	VMIP3S0	tener
y	y	CC	y
se	se	P00CN000	se
metera	meterá	VMIF3S0	meter
la	la	DA0FS0	el
paja	paja	NCFS000	paja
	.	Fp	.
si	Si	CS	si
a	a	SPS00	a
vm	VM	NP00000	VM
le	le	PP3CSD00	le
pareçe	parece	VMIP3S0	parecer
	,	Fc	,
en	en	SPS00	en
santa	Santa	NP00000	santo
maria	María	NP00000	maría
porque	porque	CS	porque
no	no	RN	no
tarde	tarde	RG	tarde
tanto	tanto	RC	tanto
en	en	SPS00	en
meter	meter	VMN0000	meter
la	la	DA0FS0	el
paja	paja	NCFS000	paja
	,	Fc	,
porque	porque	CS	porque
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
es	es	VSIP3S0	ser
tarde	tarde	RG	tarde
y	y	CC	y
llobera	lloverá	VMIF3S0	llover
mañana	mañana	RG	mañana
	,	Fc	,
salbo	salvo	CS	salvo
su	su	DP3CS0	su
buen	buen	AQ0MS0	bueno
pareçer	parecer	NCMS000	parecer
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
todos	todos	PI0MP000	todo
estamos	estamos	VMIP1P0	estar
a	a	SPS00	a
su	su	DP3CS0	su
elecçion	elección	NCFS000	elección
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
dios	Dios	NP00000	dios
ge	guarde	VMSP0S0	guardar
como	como	CS	como
puede	puede	VMIP3S0	poder
y	y	CC	y
io	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
don	Don	NP00000	don
manuel	Manuel	NP00000	manuel
y	y	CC	y
doña	doña	NP00000	don
maria	María	NP00000	maría
y	y	CC	y
io	yo	PP1CSN00	yo
vesan	besan	VMIP1P0	besar
a	a	SPS00	a
vm	VM	NP00000	VM
sus	sus	DP3CP0	su
manos	manos	NCFP000	mano
	.	Fp	.
san	San	NP00000	san
clemente	Clemente	NP00000	clemente
	,	Fc	,
2	2	Z	2
de	de	SPS00	de
setienbre	septiembre	NCMS000	septiembre
de	de	SPS00	de
1634	1634	Z	1634
	.	Fp	.
doña	Doña	NP00000	don
ma	María	NP00000	maría
balcarcel	Balcárcel	NP00000	balcárcel
