Porque	Porque		
!	!		
fieltros	Fieltros		
,	,		
y	y		
essos	esos		
no	no		
buenos	buenos		
	,		
le	le		
sobraban	sobraban		
	.		
envide	Envide		
de	de		
lo	lo		
que	que		
es	es		
suio	suyo		
,	,		
pero	pero		
con	con		
mi	mi		
acienda	hacienda		
viven	viven		
engañados	engañados		
,	.		
si	Si		
quieren	quieren		
autori-dades	autoridades		
no	no		
ha	ha		
de	de		
ser	ser		
a	a		
costa	costa		
de	de		
la	la		
pobre	pobre		
biuda	viuda		
,	,		
que	que		
como	como		
lo	lo		
goça	goza		
ruin	ruin		
jente	gente		
sera	será		
bien	bien		
que	que		
lo	lo		
goçe	goce		
su	su		
dueña	dueña		
,	.		
ni	Ni		
temen	temen		
a	a		
dios	Dios		
ni	ni		
al	al		
mundo	mundo		
	,		
ni	ni		
se	se		
acuerdan	acuerdan		
que	que		
se	se		
han	han		
de	de		
morir	morir		
teniendo	teniendo		
los	los		
dos	dos		
pies	pies		
en	en		
la	la		
sepultu-ra	sepultura		
.	.		
No	No		
me	me		
podia	podía		
a	a		
mi	mí		
haver	haber		
sucedido	sucedido		
tan	tan		
grande	grande		
desverguença	desvergũenza		
ni	ni		
tan	tan		
grande	grande		
maldad	maldad		
	,		
sino	sino		
con	con		
un	un		
merduquero	merduquero		
de	de		
jentota	gentota		
como	como		
ellos	ellos		
,	.		
desdichado	Desdichado		
hombre	hombre		
	.		
lastima	Lástima		
le	le		
tengo	tengo		
	,		
con	con		
ser	ser		
mi	mi		
enemigo	enemigo		
,	,		
que	que		
se	se		
gobierne	gobierne		
por	por		
semejantes	semejantes		
cabeças	cabezas		
.	.		
acuerdesele	Acuérdesele		
de	de		
la	la		
maldad	maldad		
que	que		
iço	hizo		
en	en		
no	no		
querer	querer		
darme	darme		
aquella	aquella		
cholchilla	colchilla		
de	de		
rasillo	rasillo		
de	de		
Italia	Italia		
	.		
	¡		
que	Qué		
caro	caro		
les	les		
ha	ha		
de	de		
costar	costar		
el	el		
haber	haber		
sido	sido		
tan	tan		
grandes	grandes		
ladrones	ladrones		
,	!		
miçer	Micer		
fuster	Fuster		
presente	presente		
como	como		
galalon	galalón		
que	que		
fue	fue		
en	en		
consentir	consentir		
semejante	semejante		
maldad	maldad		
	.		
no	No		
maldad	maldad		
	,		
sino	sino		
maldades	maldades		
;	,		
pues	pues		
hasta	hasta		
la	la		
ilarça	hilanza		
se	se		
me	me		
llebaron	llevaron		
,	.		
	¿		
por	Por		
quien	quién		
se	se		
llebo	llevó		
un	un		
barral	barral		
de	de		
y	y		
una	una		
garra	jarra		
de	de		
miel	miel		
y	y		
las	las		
sogas	sogas		
que	que		
estaban	estaban		
para	para		
	.		
	¿		
quien	Quién		
se	se		
llebo	llevó		
las	las		
ubas	uvas		
,	,		
y	y		
tanta	tanta		
que	que		
maior	mayor		
poquedad	poquedad		
	,		
mucha	mucha		
vajilla	vajilla		
de	de		
talabera	Talavera		
	,		
muchos	muchos		
varreños	barreños		
finos	finos		
,	,		
quatro	cuatro		
dineros	dineros		
,	,		
todos	todos		
los	los		
bidrios	vidrios		
que	que		
estaban	estaban		
en	en		
	?		
	¡		
quan	Cuán		
hombre	hombre		
de	de		
poca	poca		
verdad	verdad		
es	es		
	,		
que	que		
preguntado	preguntado		
que	qué		
se	se		
havian	habían		
hecho	hecho		
aquellos	aquellos		
bidrios	vidrios		
le	le		
respondio	respondió		
que	que		
io	yo		
me	me		
los	los		
abia	había		
llebado	llevado		
,	!		
esso	Eso		
con	con		
todo	todo		
lo	lo		
demas	demás		
,	.		
	¿		
y	Y		
que	que		
no	no		
se	se		
caiga	caiga		
muerto	muerto		
de	de		
ver	ver		
que	que		
las	las		
gentes	gentes		
conocen	conocen		
clara	clara		
y	y		
evidentemente	evidentemente		
quan	cuán		
grande	grande		
mentirosso	mentiroso		
es	es		
?	?		
aquerdessele	Acuérdesele		
que	que		
se	se		
llebo	llevó		
barrales	barrales		
de	de		
vidrio	vidrio		
de	de		
a	a		
cantaro	cántaro		
de	de		
vino	vino		
,	,		
cantaras	cántaras		
de	de		
el	el		
reposte	reposte		
	,		
lebrillos	lebrillos		
,	.		
que	Que		
como	como		
era	era		
saquear	saquear		
iba	iba		
todo	todo		
a	a		
sangre	sangre		
y	y		
fuego	fuego		
hasta	hasta		
dejarme	dejarme		
en	en		
la	la		
calle	calle		
;	.		
mas	Mas		
no	no		
me	me		
admiro	admiro		
que	que		
esto	esto		
llebara	llevara		
y	y		
otras	otras		
poquedades	poquedades		
infinitas	infinitas		
quien	quien		
me	me		
pidio	pidió		
el	el		
farol	farol		
de	de		
el	el		
patio	patio		
,	.		
si	Sí		
	,		
bien	bien		
me	me		
acuerdo	acuerdo		
	.		
me	Me		
pidio	pidió		
quenta	cuenta		
de	de		
los	los		
candiles	candiles		
como	como		
si	si		
io	yo		
fuera	fuera		
mujer	mujer		
que	que		
se	se		
me	me		
pudiera	pudiera		
pidir	pedir		
quenta	cuenta		
de	de		
candiles	candiles		
,	.		
y	Y		
pudiera	pudiera		
haver	haber		
ad-vertido	advertido		
para	para		
llegar	llegar		
ha	a		
esse	ese		
punto	punto		
que	que		
io	yo		
no	no		
era	era		
berdurera	verdulera		
ni	ni		
mi	mi		
madre	madre		
lo	lo		
fue	fue		
ni	ni		
en	en		
mi	mi		
linage	linaje		
las	las		
ha	ha		
abido	habido		
ni	ni		
menos	menos		
he	he		
vendido	vendido		
por	por		
las	las		
esquinas	esquinas		
ni	ni		
vengo	vengo		
de	de		
naturaleça	naturaleza		
tan	tan		
umilde	humilde		
	,		
pues	pues		
es	es		
cierto	cierto		
que	que		
con	con		
mi	mi		
linaje	linaje		
de	de		
parte	parte		
de	de		
padre	padre		
y	y		
madre	madre		
se	se		
han	han		
honrrado	honrado		
otros	otros		
mejores	mejores		
que	que		
no	no		
el	el		
suio	suyo		
.	.		
Por	Por		
dios	Dios		
que	que		
estoi	estoy		
corrida	corrida		
de	de		
que	que		
hombre	hombre		
tan	tan		
indigno	indigno		
de	de		
ser	ser		
hermano	hermano		
de	de		
mi	mi		
marido	marido		
se	se		
honrre	honre		
con	con		
semejante	semejante		
epiteto	epíteto		
.	.		
digame	Dígame		
con	con		
quien	quién		
se	se		
confiessa	confiesa		
,	,		
que	qué		
tan	tan		
anchas	anchas		
mangas	mangas		
tiene	tiene		
que	que		
no	no		
trata	trata		
de	de		
restituir	restituir		
muebles	muebles		
,	,		
joia	joya		
,	,		
viña	viña		
,	,		
censal	censal		
,	,		
notas	notas		
,	.		
pero	Pero		
para	para		
que	qué		
me	me		
cansso	canso		
	,		
que	que		
io	yo		
me	me		
lo	lo		
tomare	tomaré		
todo	todo		
con	con		
un	un		
poco	poco		
mas	más		
.	.		
tanpoco	Tampoco		
açe	hace		
quenta	cuenta		
de	de		
restituirme	restituirme		
unas	unas		
cojidas	cogidas		
de	de		
ubas	uvas		
que	que		
le	le		
debe	debe		
a	a		
mi	mi		
santo	santo		
y	y		
marido	marido		
mio	mío		
,	,		
que	que		
goçe	goce		
de	de		
gloria	gloria		
	,		
que	que		
no	no		
tengo	tengo		
necessidad	necesidad		
de	de		
saber	saber		
las	las		
que	que		
son	son		
,	.		
ajustesse	Ajústese		
con	con		
su	su		
conciencia	conciencia		
y	y		
trate	trate		
de	de		
mejorarla	mejorarla		
,	,		
que	que		
a	a		
fe	fe		
esta	está		
peligrosso	peligroso		
y	y		
aun	aun		
segun	según		
por	por		
las	las		
señales	señales		
co-noçco	conozco		
esta	está		
en	en		
el	el		
infierno	infierno		
,	.		
y	Y		
page	pague		
	,		
pues	pues		
debe	debe		
,	,		
que	que		
no	no		
es	es		
todo	todo		
cançelarme	cancelarme		
comandas	comandas		
de	de		
a	a		
mil	mil		
ducados	ducados		
y	y		
vanagloriarsse	vanagloriarse		
de	de		
ello	ello		
,	.		
y	Y		
buelbo	vuelvo		
a	a		
deçir	decir		
page	pague		
	,		
pues	pues		
debe	debe		
,	,		
y	y		
no	no		
darme	darme		
ha	a		
entender	entender		
como	como		
engañosso	engañoso		
y	y		
hombre	hombre		
de	de		
poca	poca		
verdad	verdad		
que	que		
mi	mi		
santico	santico		
le	le		
debia	debía		
tanto	tanto		
y	y		
quanto	cuanto		
.	.		
bien	Bien		
se	se		
acuerda	acuerda		
que	que		
a	a		
mas	más		
de	de		
esto	esto		
le	le		
debe	debe		
dinero	dinero		
	(		
sesenta	sesenta		
o	u		
hochenta	ochenta		
escudos	escudos		
,	)		
y	y		
mas	más		
las	las		
estafas	estafas		
que	que		
le	le		
açia	hacía		
quando	cuando		
passaba	pasaba		
por	por		
cassa	casa		
,	,		
de	de		
medias	medias		
de	de		
seda	seda		
y	y		
otras	otras		
cossas	cosas		
como	como		
si	si		
fuera	fuera		
moça	moza		
o	o		
al	al		
que	que		
lo	lo		
mereciera	mereciera		
;	.		
digo	Digo		
	,		
pues	pues		
,	,		
que	que		
ia	ya		
sabe	sabe		
y	y		
es	es		
notorio	notorio		
que	que		
quanto	cuanto		
se	se		
le	le		
debe	debe		
a	a		
mi	mi		
marido	marido		
es	es		
mio	mío		
y	y		
lo	lo		
que	que		
el	él		
deviera	debiera		
lo	lo		
pagen	paguen		
sus	sus		
hijos	hijos		
,	,		
que	que		
buena	buena		
acienda	hacienda		
bien	bien		
grandiossa	grandiosa		
,	.		
que	Que		
primero	primero		
soi	soy		
io	yo		
que	que		
no	no		
ellos	ellos		
	,		
por	por		
mas	más		
que	que		
diga	diga		
el	el		
que	que		
perezca	perezca		
io	yo		
,	.		
esta	Esta		
vez	vez		
no	no		
quentan	cuentan		
	.		
bien	Bien		
antes	antes		
abran	habrán		
de	de		
bolber	volver		
a	a		
descontar	descontar		
.	.		
mire	Mire		
que	que		
pareçe	parece		
mal	mal		
en	en		
un	un		
hombre	hombre		
que	que		
me	me		
representa	representa		
tanta	tanta		
magnificientia	magnificencia		
tanta	tanta		
anbrolla	embrollo		
	.		
canssese	Cánsese		
de	de		
engañar	engañar		
al	al		
mundo	mundo		
y	y		
de	de		
açer	hacer		
el	el		
santo	santo		
y	y		
vender	vender		
vinagre	vinagre		
	.		
diçe	Dice		
por	por		
sus	sus		
cumplimientos	cumplimientos		
,	,		
y	y		
traiciones	traiciones		
acostumbradas	acostumbradas		
que	que		
queria	quería		
venir	venir		
ha	a		
vesarme	besarme		
las	las		
manos	manos		
	.		
no	No		
ai	hay		
para	para		
que	qué		
,	.		
ni	Ni		
de	de		
mi	mí		
se	se		
acuerde	acuerde		
ni	ni		
su	su		
cañalla	canalla		
si	si		
no	no		
es	es		
para	para		
açerme	hacerme		
mal	mal		
,	,		
que	que		
io	yo		
los	los		
guardare	guardaré		
de	de		
esso	eso		
,	.		
y	Y		
ia	ya		
sabe	sabe		
que	que		
a	ha		
sido	sido		
siempre	siempre		
el	el		
tuautem	tuáutem		
y	y		
el	el		
persigidor	perseguidor		
mio	mío		
,	,		
que	que		
sus	sus		
conpatriotas	compatriotas		
y	y		
queridos	queridos		
por	por		
si	sí		
solos	solos		
no	no		
pudieran	pudieran		
nada	nada		
,	.		
y	Y		
asi	así		
buelbo	vuelvo		
a	a		
deçir	decir		
que	que		
	,		
si	si		
puede	puede		
	,		
con	con		
essa	esa		
aiuda	ayuda		
de	de		
costa	costa		
que	que		
me	me		
aga	haga		
todo	todo		
el	el		
mal	mal		
que	que		
pueda	pueda		
,	,		
aunque	aunque		
ia	ya		
sabe	sabe		
	(		
y	y		
sabe	sabe		
tanbien	también		
el	el		
pueblo	pueblo		
,	)		
que	que		
ha	ha		
sido	sido		
escupir	escupir		
al	al		
cielo	cielo		
y	y		
bolberseles	volvérseles		
a	a		
la	la		
cara	cara		
,	.		
io	Yo		
le	le		
ofrezco	ofrezco		
como	como		
hijadealgo	hijadalgo		
y	y		
a	a		
fe	fe		
de	de		
quien	quien		
soi	soy		
que	que		
	,		
si	si		
puedo	puedo		
(	(		
que	que		
si	sí		
podre	podré		
,	,		
pues	pues		
puede	puede		
mucho	mucho		
la	la		
raçon	razón		
y	y		
justicia	justicia		
)	)		
	,		
de	de		
no	no		
dejarle	dejarle		
cojer	coger		
vaça	baza		
.	.		
si	Si		
lo	lo		
que	que		
tengo	tengo		
que	que		
deçirles	decirles		
y	y		
deçirle	decirle		
ubiera	hubiera		
de	de		
desfogar	desfogar		
mi	mi		
passion	pasión		
,	,		
es	es		
fuerça	fuerza		
de	de		
raçon	razón		
fuera	fuera		
nunca	nunca		
acabar	acabar		
.	.		
si	Si		
en	en		
algun	algún		
tiempo	tiempo		
les	les		
ha	ha		
pareçido	parecido		
que	que		
era	era		
miedo	miedo		
el	el		
no	no		
tomar	tomar		
vengança	venganza		
de	de		
sus	sus		
infamias	infamias		
y	y		
testimonios	testimonios		
	,		
viven	viven		
engañados	engañados		
,	,		
que	que		
no	no		
me	me		
ha	ha		
detenido	detenido		
sino	sino		
el	el		
mandarmelo	mandármelo		
quien	quien		
me	me		
lo	lo		
podia	podía		
mandar	mandar		
,	.		
y	Y		
ia	ya		
podreçe	podrece		
tierra	tierra		
y	y		
asi	así		
viva	viva		
quien	quien		
vença	venza		
santiago	Santiago		
,	,		
y	y		
a	a		
ellos	ellos		
en	en		
todo	todo		
y	y		
por	por		
todo	todo		
;	.		
si	Si		
me	me		
tienen	tienen		
por	por		
enemigo	enemigo		
declarado	declarado		
	,		
ia	ya		
no	no		
les	les		
arriendo	arriendo		
la	la		
ganancia	ganancia		
	.		
porque	Porque		
no	no		
se	se		
llame	llame		
engaño	engaño		
la	la		
firmo	firmo		
de	de		
mi	mi		
maño	mano		
	.		
Ana	Ana		
maria	María		
lagunas	Lagunas		
i	y		
de	de		
fanlo	Fanlo		
A	A		
migel	Miguel		
guan	Juan		
montaner	Montaner		
	,		
degenerador	degenerador		
de	de		
su	su		
linage	linaje		
i	y		
naturaleca	naturaleza		
	.		
