R	Reverendo	AQ0MS0	reverendo
obligacion	obligación	NCFS000	obligación
y	y	CC	y
yo	yo	PP1CSN00	yo
el	el	DA0MS0	el
primero	primero	RG	primero
	,	Fp	,
avian	habían	VMII3P0	haber
de	de	SPS00	de
estar	estar	VMN0000	estar
en	en	SPS00	en
una	una	DI0FS0	uno
galera	galera	NCFS000	galera
por	por	SPS00	por
desonestas	deshonestas	AQ0FP0	deshonesto
	.	Fp	.
y	Y	CC	y
Bartholome	Bartolomé	NP00000	bartolomé
de	de	SPS00	de
Bega	Vega	NP00000	vega
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
guapo	guapo	NCMS000	guapo
de	de	SPS00	de
una	una	Z	1
(	(	Fba	(
que	que	CS	que
de	de	SPS00	de
la	la	DA0FS0	el
otra	otra	PI0FS000	otro
todos	todos	PI0MS000	todo
)	)	Fbt	)
	,	Fc	,
avia	había	VMII0S0	haber
de	de	SPS00	de
estar	estar	VMN0000	estar
en	en	SPS00	en
galeras	galeras	NCFP000	galera
de	de	SPS00	de
muchos	muchos	DI0MP0	mucho
dias	días	NCMP000	día
a	ha	VMIP3S0	haber
por	por	SPS00	por
amancebado	amancebado	VMP00SM	amancebar
y	y	CC	y
por	por	SPS00	por
no	no	RN	no
azer	hacer	VMN0000	hacer
vida	vida	NCFS000	vida
con	con	SPS00	con
dos	dos	Z	2
mujeres	mujeres	NCFP000	mujer
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
	.	Fp	.
y	Y	CC	y
siendo	siendo	VSG0000	ser
Dios	Dios	NP00000	dios
servido	servido	VMP00SM	servir
	,	Fc	,
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
vez	vez	NCFS000	vez
que	que	PR0CN000	que
me	me	PP1CS000	me
toque	toque	NCMS000	toque
la	la	DA0FS0	el
bara	vara	NCFS000	vara
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
ponerlas	ponerlas	VMN0000+PP3FPA00	poner+lo
a	a	SPS00	a
ellas	ellas	PP3FP000	ellos
en	en	SPS00	en
la	la	DA0FS0	el
casa	casa	NCFS000	casa
de	de	SPS00	de
las	las	DA0FP0	el
recojidas	recogidas	NCFP000	recogida
y	y	CC	y
a	a	SPS00	a
el	él	PP3MS000	él
en	en	SPS00	en
galeras	galeras	NCFP000	galera
	,	Fc	,
que	que	CS	que
otros	otros	PI0MP000	otro
ai	hay	VMIP3S0	haber
que	que	CS	que
estan	están	VMIP3P0	estar
por	por	SPS00	por
menos	menos	RC	menos
.	.	Fp	.
en	En	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
los	los	DA0MP0	el
prozedimtos	procedimientos	NCMP000	procedimiento
del	del	SPS00+DA0MS0	de+el
Pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Po	Pedro	NP00000	pedro
	,	Fc	,
lo	lo	PP3CNA00	lo
diran	dirán	VMIF3P0	decir
el	el	DA0MS0	el
Prior	prior	NCMS000	prior
	,	Fc	,
el	el	DA0MS0	el
alcalde	alcalde	NCMS000	alcalde
y	y	CC	y
jurados	jurados	NCMP000	jurado
de	de	SPS00	de
na	Nuestra	DP1FSP	nuestro
sra	Señora	NP00000	señor
del	del	SPS00+DA0MS0	de+el
carmen	Carmen	NP00000	carmen
	;	Fx	;
Los	los	DA0MP0	el
niños	niños	NCMP000	niño
y	y	CC	y
grandes	grandes	NCMP000	grande
	;	Fx	;
y	y	CC	y
su	su	DP3CS0	su
aposento	aposento	NCMS000	aposento
	,	Fc	,
que	que	CS	que
esta	está	VMIP3S0	estar
regado	regado	VMP00SM	regar
con	con	SPS00	con
sangre	sangre	NCFS000	sangre
de	de	SPS00	de
las	las	DA0FP0	el
muchas	muchas	DI0FP0	mucho
penitencias	penitencias	NCFP000	penitencia
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
.	.	Fp	.
Y	Y	CC	y
ansimesmo	asimismo	RG	asimismo
	,	Fc	,
la	la	DA0FS0	el
asistencia	asistencia	NCFS000	asistencia
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
en	en	SPS00	en
la	la	DA0FS0	el
iglesia	iglesia	NCFS000	iglesia
desde	desde	SPS00	desde
las	las	DA0FP0	el
cinco	cinco	Z	5
de	de	SPS00	de
la	la	DA0FS0	el
mañana	mañana	NCFS000	mañana
hasta	hasta	SPS00	hasta
las	las	DA0FP0	el
onze	once	Z	11
del	del	SPS00+DA0MS0	de+el
dia	día	NCMS000	día
y	y	CC	y
desde	desde	SPS00	desde
las	las	DA0FP0	el
cuatro	cuatro	Z	4
de	de	SPS00	de
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
hasta	hasta	SPS00	hasta
la	la	DA0FS0	el
noche	noche	NCFS000	noche
	.	Fp	.
pongole	Póngole	VMIP1S0+PP3CSD00	poner+le
presente	presente	AQ0CS0	presente
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NP00000	reverencia
esto	esto	PD0NN000	esto
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
informe	informe	VMSP0S0	informar
y	y	CC	y
vera	verá	VMIF3S0	ver
como	como	CS	como
es	es	VSIP3S0	ser
poco	poco	RQ	poco
canonizar	canonizar	VMN0000	canonizar
a	a	SPS00	a
fr	fray	NP00000	fray
Po	Pedro	NP00000	pedro
	.	Fp	.
quedo	Quedo	VMIP1S0	quedar
mui	muy	RQ	muy
a	a	SPS00	a
la	la	DA0FS0	el
obediencia	obediencia	NCFS000	obediencia
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
R	reverencia	NP00000	reverencia
	,	Fc	,
deseando	deseando	VMG0000	desear
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
cuanto	cuanto	PA000000	cuanto
fuere	fuere	VSSF0S0	ser
de	de	SPS00	de
su	su	DP3CS0	su
maior	mayor	AQ0CS0	mayor
agrado	agrado	NCMS000	agrado
	.	Fp	.
Dios	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NP00000	reverencia
	.	Fp	.
tembleque	Tembleque	NP00000	tembleque
	,	Fc	,
y	y	CC	y
septienbre	septiembre	NCMS000	septiembre
5	5	Z	5
de	de	SPS00	de
1689	1689	Z	1689
.	.	Fp	.
servr	Servidor	NCMS000	servidor
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
Ra	reverencia	NP00000	reverencia
q	que	CS	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
B	besa	VMIP3S0	besar
	,	Fc	,
Lzdo	licenciado	NP00000	licenciado
dn	don	NP00000	don
Ju	Juan	NP00000	juan
Cortes	Cortés	NP00000	cortés
M	Muy	RQ	muy
R	reverendo	NP00000	reverendo
P	padre	NP00000	padre
Prior	prior	NCMS000	prior
	.	Fp	.
