sr	Señor	NP00000	señor
por	por	SPS00	por
aber	haber	VMN0000	haber
tan	tan	RC	tan
poco	poco	DI0MS0	poco
tienpo	tiempo	NCMS000	tiempo
q	que	PR0CN000	que
estoy	estoy	VMIP1S0	estar
en	en	SPS00	en
este	este	DD0MS0	este
santo	santo	AQ0MS0	santo
conbento	convento	NCMS000	convento
y	y	CC	y
pareser	parecer	VMN0000	parecer
mal	mal	RG	mal
y	y	CC	y
dar	dar	VMN0000	dar
mala	mala	AQ0FS0	malo
nota	nota	NCFS000	nota
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	.	Fp	.
yo	Yo	PP1CSN00	yo
estare	estaré	VMIF1S0	estar
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
q	que	PR0CN000	que
Vm	VM	NP00000	VM
gustare	gustare	VMSF0S0	gustar
	,	Fc	,
q	que	CS	que
ya	ya	RG	ya
sabe	sabe	VMIP3S0	saber
Vm	VM	NP00000	VM
q	que	CS	que
yo	yo	PP1CSN00	yo
no	no	RN	no
soy	soy	VSIP1S0	ser
amiga	amiga	NCFS000	amigo
de	de	SPS00	de
andar	andar	VMN0000	andar
paseando	paseando	VMG0000	pasear
tierras	tierras	NCFP000	tierra
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
suplico	suplico	VMIP1S0	suplicar
no	no	RN	no
de	dé	VMSP0S0	dar
Vm	VM	NP00000	VM
credito	crédito	NCMS000	crédito
a	a	SPS00	a
nada	nada	PI0NN00N	nada
q	que	PR0CN000	que
le	le	PP3CSD00	le
digan	digan	VMSP3P0	decir
	,	Fc	,
por	por	SPS00	por
ser	ser	VSN0000	ser
todo	todo	PI0MS000	todo
mentira	mentira	NCFS000	mentira
	.	Fp	.
q	Que	CS	que
	,	Fc	,
aunq	aunque	CS	aunque
ese	ese	DD0MS0	ese
sor	señor	NP00000	señor
ablaba	hablaba	VMII0S0	hablar
conmigo	conmigo	SPS00+PP1CSO00	con+mí
	,	Fc	,
era	era	VSII0S0	ser
por	por	SPS00	por
una	una	DI0FS0	uno
mi	mi	DP1CSS	mi
amiga	amiga	NCFS000	amigo
y	y	CC	y
arguna	alguna	DI0FS0	alguno
bes	vez	NCFS000	vez
me	me	PP1CS000	me
dio	dio	VMIS3S0	dar
unos	unos	DI0MP0	uno
quartos	cuartos	NCMP000	cuarto
por	por	SPS00	por
rrespeto	respeto	NCMS000	respeto
de	de	SPS00	de
ella	ella	PP3FS000	él
y	y	CC	y
desirle	decirle	VMN0000+PP3CSD00	decir+le
yo	yo	PP1CSN00	yo
tenia	tenía	VMII0S0	tener
nesesidad	necesidad	NCFS000	necesidad
	,	Fc	,
sin	sin	SPS00	sin
otro	otro	DI0MS0	otro
mal	mal	NCMS000	mal
	.	Fp	.
aora	Ahora	RG	ahora
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
Vm	VM	NP00000	VM
me	me	PP1CS000	me
la	la	PP3FSA00	lo
aga	haga	VMSP0S0	hacer
de	de	SPS00	de
remitirme	remitirme	VMN0000+PP1CS000	remitir+me
algun	algún	DI0MS0	alguno
dinero	dinero	NCMS000	dinero
	,	Fc	,
q	que	CS	que
tengo	tengo	VMIP1S0	tener
mucho	mucho	DI0MS0	mucho
menester	menester	NCMS000	menester
d	de	SPS00	de
el	él	PP3MS000	él
	.	Fp	.
y	Y	CC	y
lo	lo	PP3CNA00	lo
estimare	estimaré	VMIF1S0	estimar
mucho	mucho	RQ	mucho
	,	Fc	,
por	por	SPS00	por
tener	tener	VMN0000	tener
falta	falta	NCFS000	falta
de	de	SPS00	de
sapatos	zapatos	NCMP000	zapato
y	y	CC	y
camisas	camisas	NCFP000	camisa
y	y	CC	y
cofeyas	cofias	NCFP000	cofia
	,	Fc	,
q	que	CS	que
bien	bien	RG	bien
sabe	sabe	VMIP3S0	saber
Vm	VM	NP00000	VM
q	que	CS	que
no	no	RN	no
las	las	PP3FPA00	lo
tengo	tengo	VMIP1S0	tener
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
sino	sino	CC	sino
q	que	CS	que
dios	Dios	NP00000	dios
me	me	PP1CS000	me
le	le	PP3CSA00	le
gde	guarde	VMSP0S0	guardar
pra	para	SPS00	para
mi	mi	DP1CSS	mi
anparo	amparo	NCMS000	amparo
	.	Fp	.
y	Y	CC	y
acuerdese	acuérdese	VMSP0S0+P00CN000	acordar+se
de	de	SPS00	de
la	la	DA0FS0	el
promesa	promesa	NCFS000	promesa
q	que	PR0CN000	que
me	me	PP1CS000	me
digo	dijo	VMIS3S0	decir
	,	Fc	,
q	que	PR0CN000	que
son	son	VSIP3P0	ser
las	las	DA0FP0	el
almendrillas	almendrillas	NCFP00D	almendra
	.	Fp	.
q	Que	CS	que
ya	ya	RG	ya
se	sé	VMIP1S0	saber
las	las	PP3FPA00	lo
tiene	tiene	VMIP3S0	tener
en	en	SPS00	en
su	su	DP3CS0	su
mano	mano	NCFS000	mano
y	y	CC	y
me	me	PP1CS000	me
qdaran	quedarán	VMIF3P0	quedar
mas	más	RC	más
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
Vm	VM	NP00000	VM
y	y	CC	y
lo	lo	PP3CNA00	lo
estimare	estimaré	VMIF1S0	estimar
mucho	mucho	RQ	mucho
	.	Fp	.
y	Y	CC	y
tanbien	también	RG	también
se	se	P00CN000	se
sirba	sirva	VMSP0S0	servir
de	de	SPS00	de
dar	dar	VMN0000	dar
quattro	cuatro	Z	4
ducados	ducados	NCMP000	ducado
a	a	SPS00	a
ma	María	NP00000	maría
basques	Vázquez	NP00000	vázquez
	,	Fc	,
q	que	CS	que
ya	ya	RG	ya
sabe	sabe	VMIP3S0	saber
Vm	VM	NP00000	VM
q	que	CS	que
los	los	PP3MPA00	lo
debo	debo	VMIP1S0	deber
por	por	SPS00	por
su	su	DP3CS0	su
causa	causa	NCFS000	causa
	.	Fp	.
y	Y	CC	y
tenga	tenga	VMSP0S0	tener
caridad	caridad	NCFS000	caridad
con	con	SPS00	con
una	una	DI0FS0	uno
pobre	pobre	AQ0CS0	pobre
mujer	mujer	NCFS000	mujer
	,	Fc	,
sin	sin	SPS00	sin
tener	tener	VMN0000	tener
quien	quien	PR0CS000	quien
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
un	un	DI0MS0	uno
marabedi	maravedí	NCMS000	maravedí
	,	Fc	,
ni	ni	CCN	ni
tiene	tiene	VMIP3S0	tener
a	a	SPS00	a
quien	quién	PT0CS000	quién
se	se	P00CN000	se
qjar	quejar	VMN0000	quejar
	,	Fc	,
sino	sino	CC	sino
a	a	SPS00	a
Vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esta	esta	DD0FS0	este
confiansa	confianza	NCFS000	confianza
lo	lo	PP3CNA00	lo
ago	hago	VMIP1S0	hacer
	.	Fp	.
y	Y	CC	y
quando	cuando	PA000000	cuando
Vm	VM	NP00000	VM
este	esté	VMSP0S0	estar
en	en	SPS00	en
su	su	DP3CS0	su
tierra	tierra	NCFS000	tierra
no	no	RN	no
dege	deje	VMSP0S0	dejar
de	de	SPS00	de
escribirme	escribirme	VMN0000+PP1CS000	escribir+me
	,	Fc	,
q	que	CS	que
lo	lo	PP3CNA00	lo
estimare	estimaré	VMIF1S0	estimar
mucho	mucho	RQ	mucho
y	y	CC	y
me	me	PP1CS000	me
sera	será	VSIF3S0	ser
de	de	SPS00	de
mucho	mucho	DI0MS0	mucho
consuelo	consuelo	NCMS000	consuelo
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
beses	veces	NCFP000	vez
q	que	PR0CN000	que
sepa	sepa	VMSP0S0	saber
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
	.	Fp	.
q	Que	CS	que
sienpre	siempre	RG	siempre
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
dios	Dios	NP00000	dios
se	se	PP3CN000	se
la	la	PP3FSA00	lo
de	dé	VMSP0S0	dar
y	y	CC	y
llebe	lleve	VMSP0S0	llevar
con	con	SPS00	con
ella	ella	PP3FS000	él
a	a	SPS00	a
su	su	DP3CS0	su
tierra	tierra	NCFS000	tierra
y	y	CC	y
buelba	vuelva	VMSP0S0	volver
	,	Fc	,
q	que	CS	que
sienpre	siempre	RG	siempre
estare	estaré	VMIF1S0	estar
con	con	SPS00	con
esta	esta	DD0FS0	este
esperansa	esperanza	NCFS000	esperanza
	.	Fp	.
su	Su	DP3CS0	su
criada	criada	NCFS000	criado
q	que	PR0CN000	que
s	su	DP3CS0	su
m	mano	NCFS000	mano
b	besa	VMIP3S0	besar
	,	Fc	,
juana	Juana	NP00000	juana
ma	María	NP00000	maría
de	de	SPS00	de
castro	Castro	NP00000	castro
