Jhs	JHS		
lo	lo		
e	he		
ncomendado	encomendado		
a	a		
nro	Nuestro		
sr	Señor		
	,		
aunque	aunque		
pecadora	pecadora		
	,		
y	y		
pedido	pedido		
a	a		
su	Su		
mgd	Majestad		
mueba	mueva		
el	el		
corazon	corazón		
que	que		
entrare	entrare		
en	en		
su	su		
lugar	lugar		
pa	para		
que	que		
lo	lo		
de	dé		
en	en		
fabor	favor		
de	de		
Vmd	VM		
	.		
abiseme	Avíseme		
	,		
mi	mi		
querido	querido		
hijo	hijo		
	,		
lo	lo		
que	que		
a	ha		
rresulltado	resultado		
y	y		
en	en		
que	qué		
estado	estado		
esta	está		
el	el		
pleito	pleito		
y	y		
si	si		
	,		
despues	después		
de	de		
aberlo	haberlo		
botado	votado		
	,		
si	si		
queda	queda		
otra	otra		
bista	vista		
o	o		
sentenzia	sentencia		
que	que		
dar	dar		
pa	para		
acabarlo	acabarlo		
de	de		
concluir	concluir		
	,		
que	que		
muchas	muchas		
vezes	veces		
lo	lo		
e	he		
preguntado	preguntado		
con	con		
el	el		
deseo	deseo		
de	de		
que	que		
mi	mi		
sobrino	sobrino		
descanse	descanse		
en	en		
su	su		
casa	casa		
con	con		
quietud	quietud		
sin	sin		
aber	haber		
menester	menester		
a	a		
nadie	nadie		
y	y		
no	no		
me	me		
da	da		
vmd	VM		
rrazon	razón		
	.		
por	Por		
amor	amor		
de	de		
dios	Dios		
que	que		
para	para		
mi	mi		
consuelo	consuelo		
no	no		
deje	deje		
mi	mi		
sobrino	sobrino		
de	de		
darme	darme		
quenta	cuenta		
mui	muy		
por	por		
estenso	extenso		
lo	lo		
que	que		
en	en		
esto	esto		
ai	hay		
	.		
y	Y		
siempre	siempre		
que	que		
escriba	escriba		
al	al		
serafin	serafín		
de	de		
mi	mi		
sobrina	sobrina		
no	no		
olbide	olvide		
vmd	VM		
el	el		
embiarle	enviarle		
mis	mis		
memorias	memorias		
significandole	significándole		
con	con		
el	el		
cuidado	cuidado		
que	que		
siempre	siempre		
vibo	vivo		
de	de		
saber	saber		
de	de		
su	su		
salud	salud		
	.		
y	Y		
a	a		
mi	mi		
sa	señora		
doña	doña		
Josefa	Josefa		
y	y		
del	del		
pe	padre		
fr	fray		
diego	Diego		
no	no		
es	es		
menos	menos		
mi	mi		
cuidado	cuidado		
	;		
con	con		
sus	sus		
mrds	mercedes		
cumpla	cumpla		
vmd	VM		
por	por		
mi	mí		
y	y		
que	que		
desea	desea		
Dios	Dios		
que	que		
me	me		
lo	lo		
gde	guarde		
con	con		
copiosos	copiosos		
aumentos	aumentos		
de	de		
su	su		
sta	santa		
grazia	gracia		
y	y		
dexe	deje		
ber	ver		
como	como		
deseo	deseo		
	.		
d	De		
este	este		
convto	convento		
de	de		
sta	Santa		
cata	Catalina		
de	de		
francas	franciscas		
rrecoletas	recoletas		
	,		
de	de		
sete	septiembre		
primer	primer		
dia	día		
de	de		
1676	1676		
	.		
De	De		
mi	mi		
querido	querido		
sobrino	sobrino		
quien	quien		
mas	más		
qe	que		
a	a		
si	sí		
le	le		
estima	estima		
y	y		
quiere	quiere		
	,		
Js	JHS		
Cata	Catalina		
getdis	gertrudis		
de	de		
Jhs	JHS		
ma	María		
no	No		
olbide	olvide		
vmd	VM		
	,		
hijo	hijo		
mio	mío		
	,		
la	la		
visita	visita		
en	en		
mi	mi		
nombre	nombre		
de	de		
nra	Nuestra		
sa	Señora		
de	de		
grazia	Gracia		
y	y		
de	de		
acordarle	acordarle		
a	a		
nro	nuestro		
pe	padre		
fr	fray		
Diego	Diego		
no	no		
me	me		
olvide	olvide		
su	su		
pd	paternidad		
con	con		
N	Nuestro		
sr	Señor		
en	en		
sus	sus		
stos	santos		
sacrifizios	sacrificios		
	.		
deseo	Deseo		
saber	saber		
si	si		
a	ha		
benido	venido		
el	el		
sr	señor		
Don	don		
baltasar	Baltasar		
de	de		
badaxos	Badajoz		
	.		
mi	Mi		
sobrino	sobrino		
me	me		
abise	avise		
de	de		
todo	todo		
por	por		
Dios	Dios		
	.		
