Jhs	JHS		
christo	Cristo		
.	.		
el	El		
sentido	sentido		
del	del		
oido	oído		
no	no		
se	se		
arta	harta		
de	de		
oir	oír		
	.		
y	Y		
asi	así		
es	es		
preciso	preciso		
huir	huir		
de	de		
combersaciones	conversaciones		
ociosas	ociosas		
y	y		
bisitas	visitas		
de	de		
los	los		
del	del		
mundo	mundo		
pa	para		
quitar	quitar		
la	la		
ocasion	ocasión		
	.		
y	Y		
asi	así		
se	se		
le	le		
hara	hará		
guerra	guerra		
a	a		
este	este		
apetito	apetito		
d	de		
este	este		
sentido	sentido		
y	y		
al	al		
amor	amor		
propio	propio		
	,		
y	y		
se	se		
librara	librará		
de	de		
oir	oír		
murmuraciones	murmuraciones		
el	el		
alma	alma		
	.		
y	Y		
solo	sólo		
aquello	aquello		
que	que		
estava	estaba		
d	de		
estas	estas		
cosas	cosas		
aficionada	aficionada		
la	la		
voluntad	voluntad		
	—		
arrastrada	arrastrada		
,	,		
como	como		
he	he		
dicho	dicho		
	,		
d	de		
este	este		
apetito	apetito		
y	y		
del	del		
amor	amor		
propio	propio		
	—		
lo	lo		
reducira	reducirá		
à	a		
amar	amar		
à	a		
christo	Cristo		
	.		
y	Y		
lo	lo		
mismo	mismo		
digo	digo		
de	de		
las	las		
conbersaciones	conversaciones		
ociosas	ociosas		
y	y		
musicas	músicas		
que	que		
pasan	pasan		
por	por		
la	la		
calle	calle		
	;		
y	y		
de	de		
las	las		
que	que		
dentro	dentro		
de	de		
casa	casa		
no	no		
se	se		
dirijen	dirigen		
à	a		
Dios	Dios		
	.		
el	El		
sentido	sentido		
del	del		
olfato	olfato		
tiene	tiene		
tambien	también		
su	su		
apetito	apetito		
y	y		
quiere	quiere		
oler	oler		
buenos	buenos		
olores	olores		
	,		
como	como		
ambares	ámbares		
	,		
azmizcles	almizcles		
y	y		
algalias	algalias		
	,		
y	y		
aguas	aguas		
olorosas	olorosas		
y	y		
flores	flores		
olorosas	olorosas		
	.		
y	Y		
asi	así		
es	es		
neçesso	necesario		
huir	huir		
d	de		
estos	estos		
olores	olores		
y	y		
aborrezerlos	aborrecerlos		
qdo	cuando		
no	no		
se	se		
dirijen	dirigen		
à	a		
Dios	Dios		
	,		
pero	pero		
a	a		
los	los		
que	que		
se	se		
gastan	gastan		
en	en		
el	el		
culto	culto		
dibino	divino		
permitirlos	permitirlos		
y	y		
no	no		
amarlos	amarlos		
.	.		
Y	Y		
asi	así		
todo	todo		
aquello	aquello		
que	que		
la	la		
boluntad	voluntad		
amava	amaba		
ò	o		
ama	ama		
estos	estos		
olores	olores		
se	se		
combertira	convertirá		
en	en		
amar	amar		
al	al		
esposo	Esposo		
sto	Santo		
que	que		
se	se		
agrada	agrada		
mucho	mucho		
del	del		
olor	olor		
de	de		
la	la		
mortificazon	mortificación		
	.		
y	Y		
no	no		
darle	darle		
gusto	gusto		
en	en		
nada	nada		
al	al		
apetitio	apetitio		
de	de		
oler	oler		
y	y		
al	al		
amor	amor		
propio	propio		
	,		
aunque	aunque		
rabie	rabie		
	.		
y	Y		
todos	todos		
estos	estos		
olores	olores		
quedaran	quedarán		
de	de		
pave	pave		
de	de		
afuera	afuera		
de	de		
la	la		
voluntad	voluntad		
	.		
el	El		
sentido	sentido		
del	del		
tacto	tacto		
tiene	tiene		
tambien	también		
su	su		
apetito	apetito		
	.		
y	Y		
el	él		
y	y		
el	el		
amor	amor		
propio	propio		
arrastran	arrastran		
à	a		
la	la		
voluntad	voluntad		
para	para		
que	que		
ame	ame		
al	al		
oro	oro		
y	y		
plata	plata		
y	y		
dinero	dinero		
y	y		
joyas	joyas		
y	y		
sortijas	sortijas		
y	y		
quanto	cuanto		
en	en		
el	él		
cae	cae		
	.		
y	Y		
asi	así		
es	es		
preciso	preciso		
para	para		
hacerle	hacerle		
guerra	guerra		
à	a		
este	este		
enemigo	enemigo		
y	y		
domarlo	domarlo		
el	el		
huir	huir		
de	de		
tocar	tocar		
estas	estas		
cosas	cosas		
y	y		
aborrezer	aborrecer		
la	la		
abariçia	avaricia		
	.		
y	Y		
la	la		
voluntad	voluntad		
le	le		
dava	daba		
todo	todo		
el	el		
amor	amor		
que	que		
tenia	tenía		
a	a		
estas	estas		
cosas	cosas		
quando	cuando		
el	el		
humano	humano		
las	las		
reçibia	recibía		
en	en		
sus	sus		
manos	manos		
y	y		
reçibe	recibe		
	.		
si	Si		
no	no		
las	las		
aborreze	aborrece		
	,		
este	este		
apetito	apetito		
ayuda	ayuda		
à	a		
la	la		
abariçia	avaricia		
y	y		
a	a		
otros	otros		
biçios	vicios		
notablemente	notablemente		
.	.		
	¿		
Pues	Pues		
no	no		
ha	ha		
de	de		
reçibir	recibir		
algun	algún		
dinero	dinero		
en	en		
sus	sus		
manos	manos		
la	la		
criatura	criatura		
racional	racional		
?	?		
Y	Y		
respondo	respondo		
que	que		
qndo	cuando		
aborreçe	aborrece		
estas	estas		
cosas	cosas		
la	la		
voluntad	voluntad		
	—		
aunque	aunque		
las	las		
reçiba	reciba		
el	el		
cuerpo	cuerpo		
en	en		
sus	sus		
manos	manos		
por	por		
necesitar	necesitar		
d	de		
este	este		
pie	pie		
de	de		
altar	altar		
pa	para		
pagar	pagar		
la	la		
vida	vida		
	—		
	,		
si	si		
le	le		
aborreçe	aborrece		
al	al		
dino	dinero		
	,		
plata	plata		
y	y		
oro	oro		
	,		
Sra	señora		
	,		
poco	poco		
daño	daño		
o	o		
ninguno	ninguno		
se	se		
hara	hará		
en	en		
reçibirlas	recibirlas		
	.		
y	Y		
asi	así		
lo	lo		
que	que		
amava	amaba		
a	a		
estas	estas		
cosas	cosas		
la	la		
voluntad	voluntad		
	,		
engañada	engañada		
del	del		
falso	falso		
deleite	deleite		
y	y		
del	del		
apetito	apetito		
y	y		
amor	amor		
propio	propio		
	,		
se	se		
lo	lo		
dare	daré		
a	a		
christo	Cristo		
	.		
y	Y		
estas	estas		
cosas	cosas		
quedaran	quedarán		
fuera	fuera		
de	de		
la	la		
boluntad	voluntad		
d	de		
esta	esta		
manera	manera		
con	con		
la	la		
graçia	gracia		
la	la		
concupisçible	concupiscible		
y	y		
la	la		
voluntad	voluntad		
le	le		
da	da		
el	el		
amor	amor		
a	a		
christo	Cristo		
y	y		
se	se		
açerca	acerca		
à	a		
la	la		
union	unión		
dibina	divina		
	.		
a	A		
la	la		
irasçible	irascible		
se	se		
le	le		
haçe	hace		
guerra	guerra		
no	no		
haziendo	haciendo		
caso	caso		
d	de		
ella	ella		
ni	ni		
de	de		
los	los		
golpes	golpes		
que	que		
da	da		
en	en		
el	el		
corazon	corazón		
	,		
en	en		
los	los		
suzesos	sucesos		
inopinados	inopinados		
y	y		
contrarios	contrarios		
al	al		
gusto	gusto		
del	del		
alma	alma		
	,		
ora	ora		
sean	sean		
motibados	motivados		
de	de		
tentaziones	tentaciones		
	,		
ora	ora		
de	de		
persequciones	persecuciones		
	,		
ora	ora		
de	de		
lo	lo		
que	que		
se	se		
quejen	quejen		
.	.		
La	La		
via	vía		
iluminatiba	iluminativa		
consiste	consiste		
en	en		
no	no		
permitirle	permitirle		
al	al		
entendimto	entendimiento		
sus	sus		
operaçiones	operaciones		
de	de		
discursos	discursos		
qdo	cuando		
Dios	Dios		
obra	obra		
la	la		
iluminaçion	iluminación		
	,		
sino	sino		
dejarle	dejarle		
que	que		
se	se		
este	esté		
quieto	quieto		
	.		
y	Y		
si	si		
la	la		
ilustraçion	ilustración		
la	la		
hace	hace		
Dios	Dios		
por	por		
rebelaziones	revelaciones		
o	o		
visiones	visiones		
	,		
no	no		
hacer	hacer		
caso	caso		
d	de		
esas	esas		
cosas	cosas		
ni	ni		
apegarse	apegarse		
a	a		
ellas	ellas		
ni	ni		
tenerlas	tenerlas		
afiçion	afición		
alguna	alguna		
	,		
sea	sea		
la	la		
iluminaçion	iluminación		
por	por		
el	el		
camino	camino		
que	que		
le	le		
fuesse	fuese		
	.		
Y	Y		
darle	darle		
	,		
de	de		
todas	todas		
las	las		
que	que		
el	el		
alma	alma		
tubiese	tuviese		
	,		
quenta	cuenta		
al	al		
director	director		
con	con		
toda	toda		
fidelidad	fidelidad		
:	.		
y	Y		
estarse	estarse		
amando	amando		
al	al		
esposo	Esposo		
sto	Santo		
	.		
no	No		
desear	desear		
estas	estas		
cosas	cosas		
ni	ni		
buscarlas	buscarlas		
	,		
ni	ni		
aunque	aunque		
falten	falten		
sentir	sentir		
el	el		
que	que		
falten	falten		
	.		
y	Y		
d	de		
esta	esta		
forma	forma		
el	el		
entendimto	entendimiento		
humillado	humillado		
se	se		
dispondra	dispondrá		
cada	cada		
dia	día		
mas	más		
pa	para		
mayores	mayores		
favores	favores		
del	del		
esposo	esposo		
	,		
que	que		
todos	todos		
los	los		
da	da		
Dios	Dios		
pa	para		
estimular	estimular		
al	al		
alma	alma		
à	a		
que	que		
mas	más		
ame	ame		
al	al		
sr	Señor		
y	y		
pa	para		
aumentarle	aumentarle		
el	el		
amor	amor		
.	.		
La	La		
Via	vía		
Unitiba	unitiva		
de	de		
la	la		
Voluntad	voluntad		
esta	está		
comenzada	comenzada		
y	y		
entra	entra		
la	la		
de	de		
la	la		
mema	memoria		
	,		
unido	unido		
el	el		
entendimto	entendimiento		
	,		
que	que		
en	en		
uniendose	uniéndose		
que	que		
se	se		
une	une		
se	se		
junta	junta		
con	con		
la	la		
voluntad	voluntad		
y	y		
todo	todo		
se	se		
leba	eleva		
al	al		
alma	alma		
en	en		
amar	amar		
a	a		
Dios	Dios		
y	y		
en	en		
conozerle	conocerle		
.	.		
ebacuase	Evácuase		
esta	esta		
potençia	potencia		
de	de		
todo	todo		
quanto	cuanto		
en	en		
ella	ella		
ha	ha		
caido	caído		
de	de		
espeçias	especias		
y	y		
formas	formas		
y	y		
figuras	figuras		
y	y		
notiçias	noticias		
y	y		
de	de		
lo	lo		
demas	demás		
	,		
y	y		
christo	Cristo		
se	se		
apodera	apodera		
d	de		
ella	ella		
	.		
y	Y		
las	las		
notiçias	noticias		
de	de		
çiençias	ciencias		
se	se		
las	las		
ministra	ministra		
christo	Cristo		
de	de		
forma	forma		
que	que		
no	no		
la	la		
destruye	destruye		
à	a		
esta	esta		
potencia	potencia		
	,		
sino	sino		
que	que		
la	la		
mejora	mejora		
	.		
y	Y		
a	a		
sus	sus		
tiempos	tiempos		
	,		
segun	según		
es	es		
la	la		
voluntad	voluntad		
de	de		
christo	Cristo		
	,		
usa	usa		
el	el		
alma	alma		
fiel	fiel		
con	con		
humildad	humildad		
de	de		
sus	sus		
estudios	estudios		
	.		
es	Es		
cosa	cosa		
que	que		
deja	deja		
muy	muy		
admirada	admirada		
al	al		
alma	alma		
.	.		
juntase	Júntase		
esta	esta		
potençia	potencia		
poseida	poseída		
de	de		
christo	Cristo		
a	a		
las	las		
otras	otras		
y	y		
comienza	comienza		
la	la		
union	unión		
del	del		
alma	alma		
con	con		
Dios	Dios		
y	y		
el	el		
purgatorio	purgatorio		
de	de		
amor	amor		
	.		
camina	Camina		
por	por		
esta	esta		
union	unión		
humilde	humilde		
	,		
pacifia	pacífica		
	,		
resignada	resignada		
	,		
fuerte	fuerte		
	,		
charitatiba	caritativa		
	,		
limosnera	limosnera		
	,		
conpasiva	compasiva		
	,		
con	con		
igualdad	igualdad		
de	de		
animo	ánimo		
	,		
pobre	pobre		
de	de		
spiritu	espíritu		
	,		
obediente	obediente		
	,		
casta	casta		
	,		
sençilla	sencilla		
	,		
prudente	prudente		
	,		
sabia	sabia		
y	y		
sra	señora		
de	de		
si	sí		
misma	misma		
y	y		
hecha	hecha		
un	un		
vibo	vivo		
templo	templo		
de	de		
Dios	Dios		
y	y		
un	un		
jardin	jardín		
de	de		
sus	sus		
deliçias	delicias		
	,		
cruçificada	crucificada		
à	a		
todo	todo		
lo	lo		
que	que		
no	no		
es	es		
Dios	Dios		
o	o		
no	no		
mira	mira		
à	a		
Dios	Dios		
Y	y		
cargada	cargada		
de	de		
otras	otras		
muchas	muchas		
riquezas	riquezas		
spirituales	espirituales		
	.		
gloria	Gloria		
al	al		
sr	Señor		
	.		
amen	Amén		
	.		
la	La		
sra	señora		
mia	mía		
vm	VM		
bea	vea		
esto	esto		
escrito	escrito		
y	y		
comuniquelo	comuníquelo		
si	si		
quiere	quiere		
con	con		
su	su		
director	director		
y	y		
de	de		
lo	lo		
que	que		
dela	dela		
notiçias	noticias		
	,		
Y	y		
de	de		
todo	todo		
lo	lo		
que	que		
la	la		
pasasse	pasase		
en	en		
su	su		
interior	interior		
de	de		
efectos	efectos		
de	de		
la	la		
oraçion	oración		
y	y		
d	de		
este	este		
mortificazon	mortificación		
	.		
y	Y		
si	si		
lo	lo		
haçe	hace		
con	con		
su	su		
liza	licencia		
	,		
sera	será		
mas	más		
agradable	agradable		
à	a		
Dios	Dios		
.	.		
mas	Mas		
lo	lo		
que	que		
vm	VM		
me	me		
pidio	pidió		
no	no		
lo	lo		
puedo	puedo		
hazer	hacer		
	.		
y	Y		
esto	esto		
reçibalo	recíbalo		
vm	VM		
por	por		
consejos	consejos		
nacidos	nacidos		
de	de		
chard	caridad		
y	y		
no	no		
de	de		
otra	otra		
forma	forma		
	.		
y	Y		
dele	dele		
a	a		
Dios	Dios		
la	la		
gloria	gloria		
de	de		
lo	lo		
bueno	bueno		
que	que		
fuese	fuese		
en	en		
este	este		
papel	papel		
y	y		
quedese	quédese		
con	con		
el	el		
sr	Señor		
	,		
que	que		
la	la		
gde	guarde		
mus	muchos		
años	años		
y	y		
la	la		
haga	haga		
una	una		
santa	santa		
	.		
Amen	Amén		
	.		
