Illmo	Ilustrísimo	AQSMS0	ilustre
mujer	mujer	NCFS000	mujer
y	y	CC	y
mi	mi	DP1CSS	mi
hera	hermana	NCFS000	hermano
estiman	estiman	VMIP3P0	estimar
como	como	CS	como
deven	deben	VMIP3P0	deber
la	la	DA0FS0	el
henorabuna	enhorabuena	NCFS000	enhorabuena
de	de	SPS00	de
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
	.	Fp	.
y	Y	CC	y
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
de	de	SPS00	de
haver	haber	VAN0000	haber
prevenido	prevenido	VMP0000	prevenir
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
crehi	creí	VMIS1S0	creer
era	era	VSII0S0	ser
nezesario	necesario	AQ0MS0	necesario
de	de	SPS00	de
que	que	CS	que
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
escriviese	escribiese	VMSI0S0	escribir
al	al	SPS00+DA0MS0	a+el
Novio	novio	NCMS000	novio
	,	Fc	,
porque	porque	CS	porque
el	el	DA0MS0	el
reparo	reparo	NCMS000	reparo
que	que	CS	que
VS	VSa	NP00000	VSa
insinua	insinúa	VMIP3S0	insinuar
de	de	SPS00	de
q	que	CS	que
el	él	PP3MS000	él
no	no	RN	no
le	le	PP3CSD00	le
haya	haya	VASP0S0	haber
dado	dado	VMP0000	dar
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
quenta	cuenta	NCFS000	cuenta
haze	hace	VMIP3S0	hacer
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
muy	muy	RQ	muy
azertadamte	acertadamente	RG	acertadamente
en	en	SPS00	en
despreziarle	despreciarle	VMN0000+PP3CSD00	despreciar+le
	.	Fp	.
y	Y	CC	y
se	se	P00CN000	se
conoze	conoce	VMIP3S0	conocer
q	que	CS	que
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
casado	casado	VMP0000	casar
pocas	pocas	DI0FP0	poco
vezes	veces	NCFP000	vez
,	,	Fc	,
pues	pues	CS	pues
ignora	ignora	VMIP3S0	ignorar
que	que	CS	que
los	los	DA0MP0	el
Novios	novios	NCMP000	novio
dan	dan	VMIP3P0	dar
quenta	cuenta	NCFS000	cuenta
a	a	SPS00	a
todos	todos	DI0MP0	todo
sus	sus	DP3CP0	su
dependientes	dependientes	NCMP000	dependiente
i	y	CC	y
las	las	DA0FP0	el
Novias	novias	NCFP000	novio
a	a	SPS00	a
los	los	DA0MP0	el
suyos	suyos	PX3MP000	suyo
	;	Fx	;
y	y	CC	y
zelebrada	celebrada	VMP00SF	celebrar
la	la	DA0FS0	el
funzion	función	NCFS000	función
	(	Fba	(
o	o	CC	o
al	al	SPS00+DA0MS0	a+el
tpo	tiempo	NCMS000	tiempo
de	de	SPS00	de
zelebrarse	celebrarse	VMN0000+P00CN000	celebrar+se
	)	Fbt	)
los	los	DA0MP0	el
de	de	SPS00	de
la	la	DA0FS0	el
Novia	novia	NCFS000	novio
se	se	P00CN000	se
dan	dan	VMIP3P0	dar
a	a	SPS00	a
conozer	conocer	VMN0000	conocer
al	al	SPS00+DA0MS0	a+el
Novio	novio	NCMS000	novio
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
contrario	contrario	NCMS000	contrario
;	.	Fp	.
esto	Esto	PD0NN000	esto
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
he	he	VAIP1S0	haber
visto	visto	VMP0000	ver
practicar	practicar	VMN0000	practicar
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pareze	parece	VMIP3S0	parecer
Justo	justo	AQ0MS0	justo
	,	Fc	,
porque	porque	CS	porque
el	el	DA0MS0	el
dar	dar	VMN0000	dar
quenta	cuenta	NCFS000	cuenta
uno	uno	Z	1
a	a	SPS00	a
los	los	DA0MP0	el
dependientes	dependientes	NCMP000	dependiente
de	de	SPS00	de
su	su	DP3CS0	su
mujer	mujer	NCFS000	mujer
o	o	CC	o
de	de	SPS00	de
su	su	DP3CS0	su
Marido	marido	NCMS000	marido
pareze	parece	VMIP3S0	parecer
tiene	tiene	VMIP3S0	tener
impropiedad	impropiedad	NCFS000	impropiedad
	,	Fc	,
assi	así	RG	así
por	por	SPS00	por
deverse	deberse	VMN0000+P00CN000	deber+se
suponer	suponer	VMN0000	suponer
que	que	CS	que
la	la	PP3FSA00	lo
tendran	tendrán	VMIF3P0	tener
ya	ya	RG	ya
por	por	SPS00	por
medio	medio	NCMS000	medio
de	de	SPS00	de
aquel	aquél	PD0MS000	aquel
a	a	SPS00	a
quien	quien	PR0CS000	quien
toca	toca	VMIP3S0	tocar
darle	darle	VMN0000+PP3CSD00	dar+le
como	como	CS	como
porque	porque	CS	porque
nadie	nadie	PI0NN00N	nadie
querra	querrá	VMIF3S0	querer
tener	tener	VMN0000	tener
por	por	SPS00	por
dependiente	dependiente	NCMS000	dependiente
de	de	SPS00	de
su	su	DP3CS0	su
mujer	mujer	NCFS000	mujer
o	o	CC	o
su	su	DP3CS0	su
Marido	marido	NCMS000	marido
a	a	SPS00	a
quien	quien	PR0CS000	quien
no	no	RN	no
dize	dice	VMIP3S0	decir
que	que	CS	que
lo	lo	PP3CNA00	lo
es	es	VSIP3S0	ser
;	.	Fp	.
he	He	VAIP1S0	haber
querido	querido	VMP0000	querer
hazer	hacer	VMN0000	hacer
toda	toda	DI0FS0	todo
esta	esta	DD0FS0	este
digresion	digresión	NCFS000	digresión
porque	porque	CS	porque
en	en	SPS00	en
materias	materias	NCFP000	materia
de	de	SPS00	de
reparos	reparos	NCMP000	reparo
de	de	SPS00	de
vanidad	vanidad	NCFS000	vanidad
	,	Fc	,
aunque	aunque	CS	aunque
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
los	los	PP3MPA00	lo
haga	haga	VMSP0S0	hacer
lijeramte	ligeramente	RG	ligeramente
	,	Fc	,
nadie	nadie	PI0NN00N	nadie
que	que	PR0CN000	que
le	le	PP3CSD00	le
conozca	conozca	VMSP0S0	conocer
dejara	dejará	VMIF3S0	dejar
de	de	SPS00	de
quererle	quererle	VMN0000+PP3CSD00	querer+le
dar	dar	VMN0000	dar
con	con	SPS00	con
entera	entera	AQ0FS0	entero
y	y	CC	y
caval	cabal	AQ0CS0	cabal
satisfazion	satisfacción	NCFS000	satisfacción
	.	Fp	.
y	Y	CC	y
si	si	CS	si
fue	fue	VSIS3S0	ser
este	éste	PD0MS000	este
el	el	DA0MS0	el
motivo	motivo	NCMS000	motivo
q	que	CS	que
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
tubo	tuvo	VMIS3S0	tener
para	para	SPS00	para
no	no	RN	no
escrivir	escribir	VMN0000	escribir
a	a	SPS00	a
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
en	en	SPS00	en
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
haver	haber	VAN0000	haber
muerto	muerto	VMP0000	morir
su	su	DP3CS0	su
Marido	marido	NCMS000	marido
	,	Fc	,
fazil	fácil	AQ0CS0	fácil
sera	será	VSIF3S0	ser
escrivirle	escribirle	VMN0000+PP3CSD00	escribir+le
un	un	DI0MS0	uno
nudillo	nudillo	NCMS000	nudillo
a	a	SPS00	a
la	la	DA0FS0	el
otra	otra	DI0FS0	otro
vida	vida	NCFS000	vida
advirtiendole	advirtiéndole	VMG0000+PP3CSD00	advertir+le
que	que	CS	que
cumpla	cumpla	VMSP0S0	cumplir
con	con	SPS00	con
la	la	DA0FS0	el
atenzion	atención	NCFS000	atención
que	que	PR0CN000	que
deve	debe	VMIP3S0	deber
.	.	Fp	.
En	En	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
la	la	DA0FS0	el
tapizeria	tapicería	NCFS000	tapicería
	,	Fc	,
respondo	respondo	VMIP1S0	responder
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
con	con	SPS00	con
remitirle	remitirle	VMN0000+PP3CSD00	remitir+le
la	la	DA0FS0	el
ultima	última	AO0FS0	último
carta	carta	NCFS000	carta
que	que	PR0CN000	que
he	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
de	de	SPS00	de
Iñigo	Íñigo	NP00000	íñigo
;	,	Fc	,
añadiendo	añadiendo	VMG0000	añadir
que	que	CS	que
luego	luego	RG	luego
que	que	CS	que
me	me	PP1CS000	me
sea	sea	VSSP0S0	ser
entregada	entregada	VMP00SF	entregar
dare	daré	VMIF1S0	dar
la	la	DA0FS0	el
escritura	escritura	NCFS000	escritura
en	en	SPS00	en
que	que	CS	que
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
la	la	PP3FSA00	lo
declara	declara	VMIP3S0	declarar
y	y	CC	y
no	no	RN	no
antes	antes	RG	antes
	,	Fc	,
porque	porque	CS	porque
en	en	SPS00	en
qualquiera	cualquiera	DI0CS0	cualquiera
aczidente	accidente	NCMS000	accidente
de	de	SPS00	de
aquellos	aquéllos	PD0MP000	aquel
a	a	SPS00	a
que	que	CS	que
esta	está	VMIP3S0	estar
sujeta	sujeta	VMIP3S0	sujetar
nuestra	nuestra	DP1FSP	nuestro
fragilidad	fragilidad	NCFS000	fragilidad
habra	habrá	VMIF3S0	haber
menos	menos	RC	menos
que	que	CS	que
hazer	hacer	VMN0000	hacer
con	con	SPS00	con
mis	mis	DP1CPS	mi
suzesos	sucesos	NCMP000	suceso
	,	Fc	,
por	por	SPS00	por
ruin	ruin	AQ0CS0	ruin
que	que	CS	que
sea	sea	VSSP0S0	ser
	,	Fc	,
que	que	CS	que
con	con	SPS00	con
el	el	DA0MS0	el
Colector	colector	NCMS000	colector
de	de	SPS00	de
la	la	DA0FS0	el
Reverenda	reverenda	AQ0FS0	reverendo
Cama	cámara	NCFS000	cámara
	.	Fp	.
Nro	Nuestro	DP1MSP	nuestro
Sor	Señor	NP00000	señor
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
como	como	CS	como
deseo	deseo	VMIP1S0	desear
y	y	CC	y
he	he	VMIP1S0	haber
mr	menester	NCMS000	menester
	.	Fp	.
Md	Madrid	NP00000	madrid
	,	Fc	,
23	23	Z	23
de	de	SPS00	de
Setre	septiembre	NCMS000	septiembre
1688	1688	Z	1688
	.	Fp	.
B	Besa	VMIP3S0	besar
l	las	DA0FP0	el
m	manos	NCFP000	mano
de	de	SPS00	de
VS	VSa	NP00000	VSa
I	ilustrísima	AQSFS0	ilustre
su	su	DP3CS0	su
mas	más	RC	más
Rendo	rendido	VMP00SM	rendir
sobro	sobrino	NCMS000	sobrino
y	y	CC	y
fl	fiel	AQ0CS0	fiel
amigo	amigo	NCMS000	amigo
	,	Fc	,
Cayetano	Cayetano	NP00000	cayetano
Sor	Señor	NP00000	señor
Obpo	obispo	NCMS000	obispo
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
.	.	Fp	.
