Yo	Yo		
a	a		
mi	mi		
sor	señor		
y	y		
padre	padre		
	,		
15	15		
s	sueldos		
10	10		
	;		
a	a		
geronimo	Jerónimo		
de	de		
ybarra	Ibarra		
	,		
13	13		
	.		
y	Y		
que	que		
yo	yo		
a	a		
ninguno	ninguno		
abia	había		
bendido	vendido		
la	la		
comanda	comanda		
	,		
sino	sino		
el	el		
censal	censal		
	.		
y	Y		
que	que		
si	si		
mi	mi		
sa	señora		
ana	Ana		
maria	María		
de	de		
agreda	Ágreda		
	,		
pues	pues		
yo	yo		
tenia	tenía		
la	la		
mayor	mayor		
parte	parte		
por	por		
aberme	haberme		
concertado	concertado		
el	el		
empeño	empeño		
de	de		
la	la		
señora	señora		
angela	Ángela		
requesenes	Requesenes		
y	y		
aberme	haberme		
cancelado	cancelado		
la	la		
bendicion	vendición		
	,		
que	que		
era	era		
yo	yo		
señor	señor		
de	de		
780	780		
s	sueldos		
jaquesas	jaquesas		
del	del		
censal	censal		
y	y		
que	que		
la	la		
comanda	comanda		
que	que		
la	la		
cancelaria	cancelaría		
	.		
Varia	Varía		
todo	todo		
lo	lo		
que	que		
el	el		
señor	señor		
migel	Miguel		
de	de		
añon	Añón		
y	y		
la	La		
mata	Mata		
me	me		
aconsejaran	aconsejaran		
a	a		
su	su		
merced	merced		
y	y		
a	a		
mi	mí		
	,		
pues	pues		
yo	yo		
los	los		
tenia	tenía		
por	por		
personas	personas		
muy	muy		
cristianas	cristianas		
y	y		
curiales	curiales		
	.		
sienpre	Siempre		
le	le		
juro	juro		
a	a		
dios	Dios		
	,		
a	a		
Vm	VM		
	,		
deseando	deseando		
serbir	servir		
yo	yo		
a	a		
mi	mi		
sa	señora		
ana	Ana		
maria	María		
de	de		
agreda	Ágreda		
	,		
yo	yo		
saber	saber		
d	de		
estas	estas		
cosas	cosas		
	,		
pue	pues		
sabe	sabe		
dios	Dios		
yo	yo		
que	qué		
dos	dos		
personas	personas		
me	me		
an	han		
perdido	perdido		
a	a		
mi	mí		
	,		
mi	mi		
azienda	hacienda		
y	y		
reputacion	reputación		
	.		
pero	Pero		
sabelo	sábelo		
dios	Dios		
que	que		
es	es		
don	don		
migel	Miguel		
coloma	Coloma		
y	y		
martin	Martín		
garcia	García		
de	de		
falces	Falces		
	.		
deles	Deles		
dios	Dios		
la	la		
gloria	gloria		
que	que		
yo	yo		
deseo	deseo		
quando	cuando		
d	de		
esta	esta		
bida	vida		
baya	vaya		
	,		
que	que		
yo	yo		
tubiera	tuviera		
mucha	mucha		
mas	más		
azienda	hacienda		
y	y		
no	no		
estubiera	estuviera		
perdido	perdido		
sin	sin		
ella	ella		
si	si		
no	no		
los	los		
ubiera	hubiera		
conocido	conocido		
.	.		
fuy	Fui		
a	a		
taracona	Tarazona		
y	y		
conoci	conocí		
a	a		
Vm	VM		
	,		
en	en		
quien	quien		
tanto	tanto		
estime	estimé		
y	y		
gane	gané		
	;		
y	y		
bese	besé		
a	a		
todos	todos		
vuesa	vuestra		
mercedes	mercedes		
las	las		
manos	manos		
y	y		
nos	nos		
concertamos	concertamos		
bispro	víspera		
u	o		
dia	día		
del	del		
señor	señor		
san	san		
anton	Antón		
abad	Abad		
	.		
y	Y		
estando	estando		
al	al		
sol	sol		
	,		
en	en		
presencia	presencia		
de	de		
lo	los		
señores	señores		
añon	Añón		
la	La		
mata	Mata		
	,		
Vm	VM		
y	y		
arellano	Arellano		
y	y		
un	un		
criado	criado		
mio	mío		
en	en		
el	el		
solanar	solanar		
de	de		
Vm	VM		
	,		
se	se		
me	me		
ofrecio	ofreció		
a	a		
la	la		
mente	mente		
una	una		
duda	duda		
y	y		
dixe	dije		
a	a		
vuesa	vuestra		
mercedes	mercedes		
antes	antes		
de	de		
testifichar	testificar		
	:		
	«		
señores	Señores		
	,		
	¿		
causaraseme	causáraseme		
algun	algún		
perxuycio	perjuicio		
por	por		
vender	vender		
toda	toda		
la	la		
comanda	comanda		
al	al		
sor	señor		
Juan	Juan		
fernandez	Fernández		
	?		
	»		
	.		
me	Me		
digieron	dijeron		
sus	sus		
mercedes	mercedes		
y	y		
Vm	VM		
ante	ante		
los	los		
mismos	mismos		
	:		
	«		
no	No		
	,		
señor	señor		
	.		
	¿		
Vm	VM		
a	ha		
bendido	vendido		
a	a		
eso	esos		
señores	señores		
parte	parte		
ni	ni		
porcion	porción		
de	de		
la	la		
comanda	comanda		
	?		
	»		
	.		
yo	Yo		
dixe	dije		
lo	lo		
que	que		
era	era		
berdad	verdad		
	,		
que	que		
no	no		
	.		
y	Y		
me	me		
respondieron	respondieron		
no	no		
	,		
que	que		
la	la		
bendiera	vendiera		
	.		
y	Y		
ansi	así		
la	la		
bendi	vendí		
	.		
y	Y		
esto	esto		
	,		
señor	señor		
Juan	Juan		
fernandez	Fernández		
	,		
es	es		
berdad	verdad		
	.		
y	Y		
a	a		
mi	mí		
que	que		
mi	mi		
señora	señora		
ana	Ana		
maria	María		
de	de		
agreda	Ágreda		
	,		
el	el		
gobernador	gobernador		
ni	ni		
micer	micer		
martin	Martín		
hagan	hagan		
merced	merced		
y	y		
sean	sean		
sus	sus		
deudos	deudos		
	.		
en	En		
quanto	cuanto		
a	a		
mi	mí		
	,		
no	no		
se	se		
me	me		
dan	dan		
yo	yo		
soy	soy		
onbre	hombre		
de	de		
bien	bien		
y	y		
en	en		
mi	mi		
bida	vida		
no	no		
me	me		
an	han		
llamado	llamado		
ni	ni		
saben	saben		
mi	mi		
nonbre	nombre		
ni	ni		
jurados	jurados		
ni	ni		
calmedina	zalmedina		
ni	ni		
gobernador	gobernador		
ni	ni		
ningun	ningún		
juez	juez		
	.		
ni	Ni		
e	he		
sido	sido		
citado	citado		
en	en		
cosa	cosa		
ninguna	ninguna		
ni	ni		
e	he		
puesto	puesto		
persona	persona		
en	en		
la	la		
carcel	cárcel		
ni	ni		
aun	aun		
deposado	deposado		
cibil	civil		
ni	ni		
criminal	criminal		
en	en		
ningun	ningún		
proceso	proceso		
	.		
ni	Ni		
e	he		
querido	querido		
ser	ser		
richo	rico		
	,		
porque	porque		
si	si		
quisiera	quisiera		
lo	lo		
fuera	fuera		
	.		
e	He		
tenido	tenido		
pocha	poca		
suerte	suerte		
en	en		
cosas	cosas		
	,		
es	es		
berdad	verdad		
	.		
dio	Dios		
sabe	sabe		
lo	lo		
que	que		
me	me		
conbiene	conviene		
para	para		
serbille	servirle		
	.		
y	Y		
finalmente	finalmente		
no	no		
ay	hay		
otra	otra		
berdad	verdad		
que	que		
la	la		
que	que		
yo	yo		
digo	digo		
y	y		
e	he		
dicho	dicho		
a	a		
vuesa	vuestra		
mercedes	mercedes		
con	con		
cartas	cartas		
y	y		
en	en		
su	su		
casa	casa		
de	de		
Vm	VM		
	:		
que	que		
yo	yo		
soy	soy		
onbre	hombre		
pobre	pobre		
	,		
pero	pero		
no	no		
debo	debo		
nada	nada		
a	a		
nadie	nadie		
	.		
y	Y		
de	dé		
un	un		
si	sí		
u	o		
no	no		
.	.		
a	A		
mi	mi		
padre	padre		
	,		
por	por		
un	un		
disgusto	disgusto		
que	que		
yce	hice		
a	a		
mi	mi		
madrastra	madrastra		
	,		
no	no		
me	me		
abla	habla		
desde	desde		
19	19		
de	de		
ebrero	febrero		
del	del		
año	año		
de	de		
1626	1626		
	.		
geronimo	Jerónimo		
de	de		
ybarra	Ibarra		
me	me		
a	ha		
vido	habido		
la	la		
carra	cara		
	,		
pienso	pienso		
	,		
porque	porque		
dice	dice		
que	que		
yo	yo		
dixe	dije		
a	a		
mi	mi		
sa	señora		
ana	Ana		
maria	María		
de	de		
agreda	Ágreda		
de	de		
lo	lo		
que	que		
procedia	procedía		
su	su		
deuda	deuda		
	,		
diciendo	diciendo		
si	si		
era	era		
usura	usura		
u	o		
no	no		
y	y		
otras	otras		
palabras	palabras		
	.		
eso	Eso		
	,		
señor	señor		
	,		
yo	yo		
solo	sólo		
se	sé		
decir	decir		
que	que		
mi	mi		
sa	señora		
ana	Ana		
maria	María		
sabe	sabe		
	.		
yo	Yo		
no	no		
lo	lo		
e	he		
dicho	dicho		
ni	ni		
su	su		
merced	merced		
me	me		
lo	lo		
a	ha		
preguntado	preguntado		
	.		
me	Me		
ymagino	imagino		
no	no		
ubiera	hubiera		
sido	sido		
ficion	ficción		
del	del		
mismo	mismo		
ybarra	Ibarra		
para	para		
ronper	romper		
con	con		
todo	todo		
	,		
que	que		
asi	así		
le	le		
tube	tuve		
yo	yo		
por	por		
enbuste	embuste		
y	y		
aun	aun		
escribi	escribí		
yo	yo		
algo	algo		
a	a		
Vm	VM		
que	que		
tanbien	también		
abia	había		
para	para		
mi	mí		
.	.		
como	Como		
tiene	tiene		
ermano	hermano		
notario	notario		
	,		
le	le		
parecera	parecerá		
no	no		
le	le		
a	ha		
de	de		
costar	costar		
nada	nada		
	.		
la	La		
berdad	verdad		
	,		
señor	señor		
	,		
aunque	aunque		
fuera	fuera		
	(		
ni	ni		
se	sé		
	)		
contra	contra		
mi	mí		
	,		
mandemela	mándemela		
Vm	VM		
preguntar	preguntar		
	.		
yo	Yo		
lo	lo		
dire	diré		
	.		
no	No		
ay	hay		
otra	otra		
cosa	cosa		
	,		
mas	mas		
de	de		
lo	lo		
dicho	dicho		
un	un		
punto	punto		
mas	más		
	:		
a	A		
ma	más		
	,		
señor	señor		
	,		
que	que		
la	la		
aprension	aprensión		
de	de		
ybarra	Ibarra		
la	la		
comanda	comanda		
no	no		
la	la		
puede	puede		
enbaraçar	embarazar		
porque	porque		
mi	mi		
señora	señora		
ana	Ana		
maria	María		
lo	lo		
loo	loó		
	.		
Vm	VM		
y	y		
mi	mi		
sa	señora		
ana	Ana		
maria	María		
de	de		
agreda	Ágreda		
vea	vea		
en	en		
que	qué		
yo	yo		
les	les		
puedo	puedo		
serbir	servir		
en	en		
qualquiera	cualquiera		
cosa	cosa		
concerniente	concerniente		
u	o		
a	a		
esto	esto		
u	o		
a	a		
otro	otro		
	,		
que	que		
acudire	acudiré		
con	con		
las	las		
beras	veras		
y	y		
antes	antes		
que	que		
a	a		
las	las		
cosas	cosas		
de	de		
mi	mi		
padre	padre		
	.		
solo	Sólo		
vm	VM		
no	no		
me	me		
trate	trate		
en	en		
su	su		
carta	carta		
	;		
le	le		
juro	juro		
a	a		
dios	Dios		
	,		
a	a		
Vm	VM		
sintiera	sintiera		
menos	menos		
una	una		
cuchillada	cuchillada		
	.		
que	Que		
al	al		
desgraciado	desgraciado		
to	todo		
le	le		
sale	sale		
mal	mal		
	.		
de	De		
la	la		
mala	mala		
letra	letra		
y	y		
mala	mala		
pronunciacion	pronunciación		
Vm	VM		
me	me		
perdone	perdone		
	,		
que	que		
quisiera	quisiera		
ser	ser		
un	un		
gran	gran		
escribano	escribano		
y	y		
brebe	breve		
para	para		
no	no		
cansar	cansar		
a	a		
Vm	VM		
	,		
a	a		
quien	quien		
suplicho	suplico		
no	no		
se	se		
canse	canse		
en	en		
merced	merced		
y	y		
lerla	leerla		
todo	todo		
	.		
y	Y		
de	dé		
larga	larga		
salud	salud		
como	como		
deseo	deseo		
para	para		
mi	mí		
	.		
caragoca	Zaragoza		
	,		
y	y		
nobienbre	noviembre		
a	a		
10	10		
	.		
mateo	Mateo		
horfelin	Orfelin		
menor	Menor		
Lo	Lo		
que	que		
mateo	Mateo		
horfelin	Orfelin		
menor	Menor		
a	ha		
bendido	vendido		
	:		
parte	parte		
y	y		
porcion	porción		
de	de		
un	un		
censo	censo		
a	a		
mateo	Mateo		
horfelin	Orfelin		
major	Mayor		
	,		
310	310		
s	sueldos		
	;		
a	a		
geronimo	Jerónimo		
de	de		
ybarra	Ibarra		
del	del		
mismo	mismo		
censal	censal		
	,		
260	260		
s	sueldos		
	(		
570	570		
s	sueldos		
	)		
	;		
al	al		
sor	señor		
Juan	Juan		
Fernandez	Fernández		
l	le		
e	he		
bendido	vendido		
	,		
que	que		
me	me		
pertenezia	pertenecía		
a	a		
mi	mí		
	,		
780	780		
s	sueldos		
y	y		
tanbien	también		
la	la		
comanda	comanda		
de	de		
mi	mi		
sa	señora		
ana	Ana		
maria	María		
de	de		
agreda	Ágreda		
	(		
1350	1350		
s	sueldos		
	)		
	.		
mateo	Mateo		
horfelin	Orfelin		
menor	Menor		
a	ha		
bendido	vendido		
esto	esto		
	.		
señor	Señor		
Juan	Juan		
fernandez	Fernández		
	.		
