Reseby	Recibí	VMIS1S0	recibir
buelvo	vuelvo	VMIP1S0	volver
a	a	SPS00	a
dizir	decir	VMN0000	decir
q	que	CS	que
	,	Fc	,
quando	cuando	PA000000	cuando
Vm	VM	NP00000	VM
dizpuziera	dispusiera	VMSI0S0	disponer
el	el	DA0MS0	el
benir	venir	VMN0000	venir
por	por	SPS00	por
ella	ella	PP3FS000	él
	,	Fc	,
por	por	SPS00	por
laz	las	DA0FP0	el
ordenasiones	ordenaciones	NCFP000	ordenación
d	de	SPS00	de
este	este	DD0MS0	este
Reyno	reino	NCMS000	reino
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
avia	había	VMII0S0	haber
de	de	SPS00	de
impidir	impedir	VMN0000	impedir
el	el	DA0MS0	el
jues	juez	NCMS000	juez
de	de	SPS00	de
huerfanoz	huérfanos	NCMP000	huérfano
	,	Fc	,
q	que	PR0CN000	que
ez	es	VSIP3S0	ser
como	como	PA000000	como
padre	padre	NCMS000	padre
de	de	SPS00	de
dichos	dichos	VMP00PM	decir
huerfanoz	huérfanos	NCMP000	huérfano
,	,	Fc	,
y	y	CC	y
dezean	desean	VMIP3P0	desear
q	que	CS	que
suabmte	suavemente	RG	suavemente
vaya	vaya	VMSP0S0	ir
en	en	SPS00	en
adelante	adelante	RG	adelante
y	y	CC	y
q	que	CS	que
no	no	RN	no
se	se	P00CN000	se
pierdan	pierdan	VMSP3P0	perder
	.	Fp	.
	¡	Faa	¡
A	A	SPS00	a
quien	quién	PE0CS000	quién
se	se	P00CN000	se
dixera	dijera	VMSI0S0	decir
su	su	DP3CS0	su
locura	locura	NCFS000	locura
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
teniendo	teniendo	VMG0000	tener
una	una	DI0FS0	uno
hija	hija	NCFS000	hijo
en	en	SPS00	en
mi	mi	DP1CSS	mi
poder	poder	NCMS000	poder
con	con	SPS00	con
toda	toda	DI0FS0	todo
artura	hartura	NCFS000	hartura
y	y	CC	y
buena	buena	AQ0FS0	bueno
ensenhansa	enseñanza	NCFS000	enseñanza
y	y	CC	y
grande	grande	AQ0CS0	grande
Respeto	respeto	NCMS000	respeto
	!	Fat	!
el	El	DA0MS0	el
quererla	quererla	VMN0000+PP3FSA00	querer+lo
saquar	sacar	VMN0000	sacar
sin	sin	SPS00	sin
fundamento	fundamento	NCMS000	fundamento
mas	más	RC	más
q	que	CS	que
su	su	DP3CS0	su
ditamen	dictamen	NCMS000	dictamen
	.	Fp	.
pierda	Pierda	VMSP0S0	perder
de	de	SPS00	de
ai	ahí	RG	ahí
el	el	DA0MS0	el
sentido	sentido	NCMS000	sentido
y	y	CC	y
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
	,	Fc	,
como	como	PA000000	como
le	le	PP3CSD00	le
he	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
	,	Fc	,
la	la	DA0FS0	el
fee	fe	NCFS000	fe
del	del	SPS00+DA0MS0	de+el
bautizmo	bautismo	NCMS000	bautismo
pa	para	SPS00	para
a	a	SPS00	a
que	que	CS	que
lo	lo	DA0NS0	el
q	que	PR0CN000	que
Dioz	Dios	NP00000	dios
fuere	fuere	VSSF0S0	ser
servido	servido	VMP00SM	servir
darle	darle	VMN0000+PP3CSD00	dar+le
	,	Fc	,
o	o	CC	o
pa	para	SPS00	para
monja	monja	NCFS000	monja
o	o	CC	o
pa	para	SPS00	para
cazada	casada	VMP00SF	casar
,	.	Fp	.
y	Y	CC	y
no	no	RN	no
me	me	PP1CS000	me
ande	ande	VMSP0S0	andar
Vm	VM	NP00000	VM
com	con	SPS00	con
maz	más	RC	más
importunaciones	importunaciones	NCFP000	importunación
	,	Fc	,
sino	sino	CC	sino
con	con	SPS00	con
maz	más	RC	más
agradesimto	agradecimiento	NCMS000	agradecimiento
	,	Fc	,
quien	quien	PR0CS000	quien
gde	guarde	VMSP0S0	guardar
Dioz	Dios	NP00000	dios
ms	muchos	DI0MP0	mucho
añnoz	años	NCMP000	año
	.	Fp	.
Puertoalegre	Puertoalegre	NP00000	puertoalegre
	,	Fc	,
a	a	SPS00	a
31	31	Z	31
de	de	SPS00	de
Enero	enero	NCMS000	enero
d	de	SPS00	de
1689	1689	Z	1689
	.	Fp	.
Mel	Manuel	NP00000	manuel
Rois	Rodríguez	NP00000	rodríguez
Mendes	Méndez	NP00000	méndez
Da	Doña	NP00000	don
Leonarda	Leonarda	NP00000	leonarda
Maria	María	NP00000	maría
	.	Fp	.
