Mui	Muy		
estar	estar		
ordenado	ordenado		
de	de		
ordenes	órdenes		
menores	menores		
goçar	gozar		
renta	renta		
eclessiastica	eclesiástica		
.	.		
si	Si		
con	con		
vista	vista		
de	de		
esto	esto		
pude	puede		
vmd	VM		
defenderme	defenderme		
	,		
mirelo	mírelo		
	;		
si	si		
no	no		
puede	puede		
	,		
pidamos	pidamos		
misericordia	misericordia		
	,		
pues	pues		
es	es		
tan	tan		
piadosso	piadoso		
el	el		
tribunal	tribunal		
	.		
si	Si		
pudemos	podemos		
pondre	pondré		
los	los		
nombres	nombres		
de	de		
los	los		
testigos	testigos		
que	que		
cito	cito		
en	en		
estas	estas		
racones	razones		
	.		
y	Y		
abra	habrá		
tambien	también		
quien	quien		
diga	diga		
como	como		
soi	soy		
Hombre	hombre		
de	de		
bien	bien		
.	.		
vmd	VM		
lo	lo		
mire	mire		
bien	bien		
	.		
Y	Y		
si	si		
se	se		
puede	puede		
dire	diré		
los	los		
nombres	nombres		
de	de		
los	los		
testigos	testigos		
	,		
el	el		
modo	modo		
de	de		
proceder	proceder		
con	con		
ellos	ellos		
	,		
p	para		
q	que		
la	la		
verdad	verdad		
salga	salga		
a	a		
luz	luz		
	.		
perdone	Perdone		
vmd	VM		
el	el		
papel	papel		
y	y		
mi	mi		
rudo	rudo		
entendimiento	entendimiento		
	,		
pues	pues		
ai	hay		
mucha	mucha		
differencia	diferencia		
de	de		
Hablar	hablar		
dentro	dentro		
de	de		
un	un		
tribunal	tribunal		
a	a		
Hablar	hablar		
fuera	fuera		
.	.		
Gabriel	Gabriel		
de	de		
Soria	Soria		
y	Y		
si	si		
esto	esto		
no	no		
llegase	llegase		
a	a		
tener	tener		
efecto	efecto		
	,		
se	se		
conoce	conoce		
evidentemente	evidentemente		
ser	ser		
açote	azote		
a	a		
mi	mi		
sobervia	soberbia		
	;		
pues	pues		
no	no		
se	se		
da	da		
efeto	efecto		
sin	sin		
caussa	causa		
	,		
pues	pues		
Dios	Dios		
como	como		
autor	autor		
de	de		
caussas	causas		
primeras	primeras		
dexa	deja		
correr	correr		
las	las		
caussas	causas		
segundas	segundas		
a	a		
ver	ver		
como	cómo		
hobran	obran		
los	los		
Hombres	hombres		
	.		
Y	Y		
en	en		
mi	mí		
mi	mi		
valor	valor		
	,		
constancia	constancia		
	,		
sufrimiento	sufrimiento		
para	para		
mas	más		
gloria	gloria		
o	o		
condenacion	condenación		
.	.		
