quinçe	Quince	Z	15
aciendo	haciendo	VMG0000	hacer
quantas	cuantas	DT0FP0	cuanto
diligençias	diligencias	NCFP000	diligencia
son	son	VSIP3P0	ser
posibles	posibles	AQ0CP0	posible
para	para	SPS00	para
echarme	echarme	VMN0000+PP1CS000	echar+me
de	de	SPS00	de
aqui	aquí	RG	aquí
y	y	CC	y
no	no	RN	no
	,	Fc	,
como	como	CS	como
quiera	quiera	VMSP0S0	querer
	,	Fc	,
cerca	cerca	RG	cerca
de	de	SPS00	de
aqui	aquí	RG	aquí
	,	Fc	,
sino	sino	CC	sino
quarenta	cuarenta	Z	40
leguas	leguas	NCFP000	legua
,	.	Fp	.
mas	Mas	CC	mas
asta	hasta	SPS00	hasta
que	que	CS	que
venga	venga	VMSP0S0	venir
el	el	DA0MS0	el
Provincial	provincial	NCMS000	provincial
no	no	RN	no
puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
,	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
aunque	aunque	CS	aunque
te	te	PP2CS000	te
envie	envíe	VMSP0S0	enviar
a	a	SPS00	a
decir	decir	VMN0000	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
quisiere	quisiere	VMSF0S0	querer
	,	Fc	,
no	no	RN	no
te	te	PP2CS000	te
agas	hagas	VMSP2S0	hacer
caso	caso	NCMS000	caso
	,	Fc	,
sino	sino	CC	sino
tente	tente	RG	tente
tiesa	tiesa	AQ0FS0	tieso
y	y	CC	y
di	di	VMIS1S0	dar
que	que	CS	que
es	es	VSIP3S0	ser
enpeño	empeño	NCMS000	empeño
tuio	tuyo	PX2MS0S0	tuyo
y	y	CC	y
que	que	CS	que
te	te	PP2CS000	te
tienen	tienen	VMIP3P0	tener
enpeñada	empeñada	VMP00SF	empeñar
,	,	Fc	,
y	y	CC	y
mas	más	RC	más
tiniendole	teniéndole	VMG0000+PP3CSA00	tener+le
debajo	debajo	RG	debajo
como	como	CS	como
le	le	PP3CSD00	le
tienes	tienes	VMIP2S0	tener
	,	Fc	,
que	que	CS	que
te	te	PP2CS000	te
esta	está	VMIP3S0	estar
tenblando	temblando	VMG0000	temblar
,	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
el	el	DA0MS0	el
martes	martes	NCMN000	martes
que	que	PR0CN000	que
viene	viene	VMIP3S0	venir
no	no	RN	no
dejes	dejes	VMSP2S0	dejar
de	de	SPS00	de
escrivir	escribir	VMN0000	escribir
con	con	SPS00	con
el	el	DA0MS0	el
ordinario	ordinario	NCMS000	ordinario
porque	porque	CS	porque
inporta	importa	VMIP3S0	importar
	,	Fc	,
enviandole	enviándole	VMG0000+PP3CSD00	enviar+le
a	a	SPS00	a
deçir	decir	VMN0000	decir
que	que	CS	que
si	si	CS	si
no	no	RN	no
lo	lo	PP3CNA00	lo
hace	hace	VMIP3S0	hacer
te	te	PP2CS000	te
pondra	pondrá	VMIF3S0	poner
en	en	SPS00	en
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
que	que	CS	que
vengas	vengas	VMSP2S0	venir
a	a	SPS00	a
Toledo	Toledo	NP00000	toledo
,	.	Fp	.
y	Y	CC	y
echale	échale	NP00000	échale
estas	estas	DD0FP0	este
pildoras	píldoras	NCFP000	píldora
y	y	CC	y
veras	verás	VMIF2S0	ver
,	.	Fp	.
arto	Harto	RG	harto
me	me	PP1CS000	me
olgara	holgara	VMSI0S0	holgar
poder	poder	VMN0000	poder
ver	ver	VMN0000	ver
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
te	te	PP2CS000	te
envia	envía	VMIP3S0	enviar
	,	Fc	,
mas	mas	CC	mas
no	no	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
acomodarlo	acomodarlo	VMN0000+PP3MSA00	acomodar+lo
,	;	Fx	;
y	y	CC	y
asi	así	RG	así
	,	Fc	,
mejor	mejor	RC	mejor
es	es	VSIP3S0	ser
dejarlo	dejarlo	VMN0000+PP3MSA00	dejar+lo
por	por	SPS00	por
aora	ahora	RG	ahora
	,	Fc	,
porque	porque	CS	porque
anda	anda	VMIP3S0	andar
con	con	SPS00	con
brabo	bravo	AQ0MS0	bravo
cuidado	cuidado	NCMS000	cuidado
,	.	Fp	.
para	Para	SPS00	para
mi	mí	PP1CSO00	mí
no	no	RN	no
venga	venga	VMSP0S0	venir
carta	carta	NCFS000	carta
ninguna	ninguna	DI0FS0	ninguno
	,	Fc	,
que	que	CS	que
todo	todo	PI0MS000	todo
llegara	llegará	VMIF3S0	llegar
junto	junto	RG	junto
,	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
cuidado	cuidado	NCMS000	cuidado
y	y	CC	y
no	no	RN	no
descuidarse	descuidarse	VMN0000+P00CN000	descuidar+se
en	en	SPS00	en
nada	nada	PI0NN00N	nada
por	por	SPS00	por
aora	ahora	RG	ahora
	,	Fc	,
que	que	CS	que
despues	después	RG	después
se	se	P00CN000	se
descansara	descansará	VMIF3S0	descansar
,	.	Fp	.
ya	Ya	RG	ya
envio	envío	VMIP1S0	enviar
a	a	SPS00	a
decir	decir	VMN0000	decir
a	a	SPS00	a
Bartolo	Bartolo	NP00000	bartolo
que	que	CS	que
te	te	PP2CS000	te
aiude	ayude	VMSP0S0	ayudar
y	y	CC	y
se	sé	VMIP1S0	saber
que	que	CS	que
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
,	.	Fp	.
y	Y	CC	y
si	si	CS	si
es	es	VSIP3S0	ser
que	que	CS	que
esta	está	VMIP3S0	estar
aqui	aquí	RG	aquí
todavia	todavía	RG	todavía
el	el	DA0MS0	el
Misionero	misionero	NCMS000	misionero
y	y	CC	y
te	te	PP2CS000	te
pareciere	pareciere	VMSF0S0	parecer
a	a	SPS00	a
ti	ti	PP2CSO00	ti
enviarle	enviarle	VMN0000+PP3CSD00	enviar+le
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
a	a	SPS00	a
el	él	PP3MS000	él
	,	Fc	,
mas	mas	CC	mas
ha	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
con	con	SPS00	con
condiçion	condición	NCFS000	condición
que	que	CS	que
el	él	PP3MS000	él
mesmo	mismo	RG	mismo
me	me	PP1CS000	me
las	las	PP3FPA00	lo
venga	venga	VMSP0S0	venir
a	a	SPS00	a
traer	traer	VMN0000	traer
	,	Fc	,
se	se	PP3CN000	se
las	las	PP3FPA00	lo
puedes	puedes	VMIP2S0	poder
Remitir	remitir	VMN0000	remitir
,	.	Fp	.
mas	Mas	CC	mas
si	si	CS	si
el	él	PP3MS000	él
no	no	RN	no
me	me	PP1CS000	me
las	las	PP3FPA00	lo
da	da	VMIP3S0	dar
	,	Fc	,
no	no	RN	no
quiero	quiero	VMIP1S0	querer
	,	Fc	,
porque	porque	CS	porque
si	si	CS	si
las	las	PP3FPA00	lo
envia	envía	VMIP3S0	enviar
con	con	SPS00	con
alguien	alguien	PI0CS000	alguien
me	me	PP1CS000	me
las	las	PP3FPA00	lo
pueden	pueden	VMIP3P0	poder
cojer	coger	VMN0000	coger
	.	Fp	.
cuidado	Cuidado	NCMS000	cuidado
en	en	SPS00	en
todo	todo	PI0MS000	todo
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
Dios	Dios	NP00000	dios
	,	Fc	,
que	que	CS	que
ia	ya	RG	ya
puedes	puedes	VMIP2S0	poder
conoçer	conocer	VMN0000	conocer
de	de	SPS00	de
la	la	DA0FS0	el
manera	manera	NCFS000	manera
que	que	PR0CN000	que
estare	estaré	VMIF1S0	estar
	,	Fc	,
aunque	aunque	CS	aunque
tanbien	también	RG	también
hago	hago	VMIP1S0	hacer
juizio	juicio	NCMS000	juicio
como	cómo	PA000000	cómo
estaras	estarás	VMIF2S0	estar
tu	tú	PP2CSN00	tú
;	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
darle	darle	VMN0000+PP3CSD00	dar+le
con	con	SPS00	con
una	una	Z	1
y	y	CC	y
con	con	SPS00	con
otra	otra	PI0FS000	otro
	,	Fc	,
que	que	CS	que
el	él	PP3MS000	él
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
,	;	Fx	;
y	y	CC	y
asi	así	RG	así
	,	Fc	,
tu	tú	PP2CSN00	tú
no	no	RN	no
te	te	PP2CS000	te
des	des	VMSP2S0	dar
	.	Fp	.
aDios	Adiós	I	adiós
y	y	CC	y
a	a	SPS00	a
tu	tu	DP2CSS	tu
madre	madre	NCFS000	madre
mis	mis	DP1CPS	mi
memorias	memorias	NCFP000	memoria
	.	Fp	.
setieme	Septiembre	NCMS000	septiembre
	,	Fc	,
19	19	Z	19
de	de	SPS00	de
89	89	Z	89
	.	Fp	.
lo	Lo	DA0NS0	el
que	que	PR0CN000	que
siempre	siempre	RG	siempre
