Resebi	Recibí	VMIS1S0	recibir
resulusion	resolución	NCFS000	resolución
	,	Fc	,
si	si	CS	si
el	el	DA0MS0	el
sr	señor	NP00000	señor
adelantado	adelantado	VMP00SM	adelantar
gustare	gustare	VMSF0S0	gustar
de	de	SPS00	de
enbiarle	enviarle	VMN0000+PP3CSA00	enviar+le
al	al	SPS00+DA0MS0	a+el
consejo	Consejo	NP00000	consejo
	,	Fc	,
me	me	PP1CS000	me
ara	hará	VMIF3S0	hacer
en	en	SPS00	en
ello	ello	PD0NN000	ello
gran	gran	AQ0CS0	gran
merced	merced	NCFS000	merced
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
dios	Dios	NP00000	dios
	,	Fc	,
q	que	PR0CN000	que
ge	guarde	VMSP0S0	guardar
la	la	DA0FS0	el
persona	persona	NCFS000	persona
de	de	SPS00	de
vmd	VM	NP00000	VM
como	como	CS	como
desseo	deseo	VMIP1S0	desear
i	y	CC	y
e	he	VMIP1S0	haber
menester	menester	NCMS000	menester
en	en	SPS00	en
mi	mi	DP1CSS	mi
asistençia	asistencia	NCFS000	asistencia
	.	Fp	.
esixa	Écija	NP00000	écija
	,	Fc	,
i	y	CC	y
Junio	junio	NCMS000	junio
19	19	Z	19
de	de	SPS00	de
1658	1658	Z	1658
	.	Fp	.
el	El	DA0MS0	el
Marqes	marqués	NCMS000	marqués
de	de	SPS00	de
StaElla	Santaella	NP00000	santaella
Alo	Alonso	NP00000	alonso
Ruiz	Ruiz	NP00000	ruiz
de	de	SPS00	de
la	la	DA0FS0	el
portilla	Portilla	NP00000	portilla
