sra	Señora	NP00000	señor
faltado	faltado	VMP0000	faltar
con	con	SPS00	con
la	la	DA0FS0	el
soli	sola	AQ0FS0	solo
disposiçion	disposición	NCFS000	disposición
que	que	PR0CN000	que
mereçe	merece	VMIP3S0	merecer
	.	Fp	.
io	Yo	PP1CSN00	yo
me	me	PP1CS000	me
tengo	tengo	VMIP1S0	tener
mi	mi	DP1CSS	mi
mereçido	merecido	NCMS000	merecido
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
inporta	importa	VMIP3S0	importar
	,	Fc	,
que	que	CS	que
con	con	SPS00	con
que	que	CS	que
vm	VM	NP00000	VM
tenga	tenga	VMSP0S0	tener
gusto	gusto	NCMS000	gusto
en	en	SPS00	en
la	la	DA0FS0	el
q	que	PR0CN000	que
anoche	anoche	RG	anoche
iço	hizo	VMIS3S0	hacer
	,	Fc	,
que	que	PR0CN000	que
fue	fue	VSIS3S0	ser
quedarse	quedarse	VMN0000+P00CN000	quedar+se
en	en	SPS00	en
su	su	DP3CS0	su
cama	cama	NCFS000	cama
i	y	CC	y
no	no	RN	no
salir	salir	VMN0000	salir
	,	Fc	,
diçiendoselo	diciéndoselo	VMG0000+PP3CN000+PP3CNA00	decir+se+lo
las	las	DA0FP0	el
conpañeras	compañeras	NCFP000	compañero
i	y	CC	y
abiendose	habiéndose	VAG0000+P00CN000	haber+se
tratado	tratado	VMP0000	tratar
en	en	SPS00	en
el	el	DA0MS0	el
locutorio	locutorio	NCMS000	locutorio
i	y	CC	y
quedando	quedando	VMG0000	quedar
vm	VM	NP00000	VM
en	en	SPS00	en
ello	ello	PD0NN000	ello
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
si	sí	RG	sí
ni	ni	CCN	ni
no	no	RN	no
	.	Fp	.
fue	Fue	VSIS3S0	ser
haçer	hacer	VMN0000	hacer
burla	burla	NCFS000	burla
de	de	SPS00	de
mi	mí	PP1CSO00	mí
	.	Fp	.
con	Con	SPS00	con
lo	lo	DA0NS0	el
que	que	PR0CN000	que
consuelo	consuelo	VMIP1S0	consolar
es	es	VSIP3S0	ser
que	que	CS	que
no	no	RN	no
la	la	PP3FSA00	lo
a	ha	VMIP3S0	haber
de	de	SPS00	de
traer	traer	VMN0000	traer
otra	otra	DI0FS0	otro
bez	vez	NCFS000	vez
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
estoi	estoy	VMIP1S0	estar
enseñado	enseñado	VMP00SM	enseñar
osso	eso	PD0NN000	eso
	,	Fc	,
sino	sino	CC	sino
que	que	CS	que
se	se	P00CN000	se
hagan	hagan	VMSP3P0	hacer
muchas	muchas	DI0FP0	mucho
finecas	finezas	NCFP000	fineza
	.	Fc	.
i	Y	CC	y
que	que	CS	que
	,	Fc	,
si	si	CS	si
fuera	fuera	VSSI0S0	ser
menester	menester	NCMS000	menester
	,	Fc	,
se	se	P00CN000	se
dejaran	dejaran	VMSI3P0	dejar
caer	caer	VMN0000	caer
por	por	SPS00	por
el	el	DA0MS0	el
mal	mal	AQ0MS0	mal
beçino	vecino	NCMS000	vecino
	,	Fc	,
pues	pues	CS	pues
io	yo	PP1CSN00	yo
pagara	pagara	VMSI0S0	pagar
su	su	DP3CS0	su
bida	vida	NCFS000	vida
con	con	SPS00	con
dar	dar	VMN0000	dar
mi	mi	DP1CSS	mi
cabeça	cabeza	NCFS000	cabeza
si	si	CS	si
fuera	fuera	VSSI0S0	ser
menester	menester	NCMS000	menester
	,	Fc	,
como	como	CS	como
vm	VM	NP00000	VM
sabe	sabe	VMIP3S0	saber
	.	Fp	.
que	Que	CS	que
en	en	SPS00	en
alguna	alguna	DI0FS0	alguno
ocasion	ocasión	NCFS000	ocasión
dije	dije	VMIS1S0	decir
que	que	CS	que
	,	Fc	,
si	si	CS	si
me	me	PP1CS000	me
la	la	PP3FSA00	lo
quitaran	quitaran	VMSI3P0	quitar
de	de	SPS00	de
los	los	DA0MP0	el
ombros	hombros	NCMP000	hombro
por	por	SPS00	por
su	su	DP3CS0	su
causa	causa	NCFS000	causa
	,	Fc	,
fuera	fuera	VSSI0S0	ser
para	para	SPS00	para
mi	mí	PP1CSO00	mí
de	de	SPS00	de
grandisimo	grandísimo	AQSMS0	grande
gusto	gusto	NCMS000	gusto
	.	Fp	.
i	Y	CC	y
es	es	VSIP3S0	ser
berdad	verdad	NCFS000	verdad
	.	Fp	.
juro	Juro	VMIP1S0	jurar
por	por	SPS00	por
dios	Dios	NP00000	dios
i	y	CC	y
por	por	SPS00	por
esta	esta	DD0FS0	este
	.	Fp	.
mire	Mire	VMSP0S0	mirar
vm	VM	NP00000	VM
lo	lo	DA0NS0	el
que	que	PR0CN000	que
bale	vale	VMIP3S0	valer
la	la	DA0FS0	el
ojaladera	ojaladera	NCFS000	ojaladera
de	de	SPS00	de
los	los	DA0MP0	el
calçones	calzones	NCMP000	calzón
	,	Fc	,
porque	porque	CS	porque
no	no	RN	no
quiero	quiero	VMIP1S0	querer
tener	tener	VMN0000	tener
nada	nada	PI0NN00N	nada
que	que	PR0CN000	que
agradeçerle	agradecerle	VMN0000+PP3CSD00	agradecer+le
	.	Fp	.
çintas	Cintas	NCFP000	cinta
tengo	tengo	VMIP1S0	tener
io	yo	PP1CSN00	yo
	.	Fp	.
esas	Ésas	PD0FP000	ese
rronpalas	rómpalas	VMSP0S0+PP3FPA00	romper+lo
vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
io	yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
estimo	estimo	VMIP1S0	estimar
	.	Fp	.
i	Y	CC	y
entienda	entienda	VMSP0S0	entender
una	una	DI0FS0	uno
cosa	cosa	NCFS000	cosa
	:	Fd	:
que	que	CS	que
lo	lo	DA0NS0	el
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
prometido	prometido	VMP0000	prometer
lo	lo	PP3CNA00	lo
cunplire	cumpliré	VMIF1S0	cumplir
como	como	SPS00	como
caballero	caballero	NCMS000	caballero
	.	Fp	.
ia	Ya	RG	ya
ba	va	VMIP3S0	ir
don	don	NP00000	don
pedro	Pedro	NP00000	pedro
en	en	SPS00	en
traer	traer	VMN0000	traer
la	la	DA0FS0	el
rrosilla	rosilla	NCMS00D	rosa
	.	Fp	.
i	Y	CC	y
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	,	Fc	,
luego	luego	RG	luego
que	que	CS	que
benga	venga	VMSP0S0	venir
	,	Fc	,
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
rreefire	referiré	VMIF1S0	referir
a	a	SPS00	a
vm	VM	NP00000	VM
i	y	CC	y
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
que	que	PR0CN000	que
ai	hay	VMIP3S0	haber
en	en	SPS00	en
esa	ésa	PD0FS000	ese
	.	Fp	.
i	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
quedese	quédese	VMSP0S0+P00CN000	quedar+se
a	a	SPS00	a
dios	Dios	NP00000	dios
	,	Fc	,
que	que	PR0CN000	que
le	le	PP3CSA00	le
guarde	guarde	VMSP0S0	guardar
para	para	SPS00	para
que	que	CS	que
duerma	duerma	VMSP0S0	dormir
bien	bien	RG	bien
	.	Fp	.
su	Su	DP3CS0	su
maior	mayor	AQ0CS0	mayor
serbidor	servidor	NCMS000	servidor
de	de	SPS00	de
vm	VM	NP00000	VM
q	que	PR0CN000	que
s	sus	DP3CP0	su
m	manos	NCFP000	mano
b	besa	VMIP3S0	besar
	.	Fp	.
don	Don	NP00000	don
miguel	Miguel	NP00000	miguel
de	de	SPS00	de
ortega	Ortega	NP00000	ortega
vallejo	Vallejo	NP00000	vallejo
i	y	CC	y
calabria	Calabria	NP00000	calabria
