Carissimo	Carísimo	AQSMS0	caro
tu	Tu	DP2CSS	tu
leal	leal	AQ0CS0	leal
y	y	CC	y
agradecido	agradecido	VMP00SM	agradecer
Primo	primo	NCMS000	primo
que	que	PR0CN000	que
verte	verte	VMN0000+PP2CS000	ver+te
desea	desea	VMIP3S0	desear
	,	Fc	,
Diego	Diego	NP00000	diego
Asensio	Asensio	NP00000	asensio
Mi	Mi	DP1CSS	mi
querido	querido	VMP00SM	querer
Primo	primo	NCMS000	primo
D	don	NP00000	don
Antonio	Antonio	NP00000	antonio
de	de	SPS00	de
Amileta	Amileta	NP00000	amileta
y	y	CC	y
Vidarte	Vidarte	NP00000	vidarte
	.	Fp	.
