Guardeme	Guárdeme	VMSP0S0+PP1CS000	guardar+me
.	,	Fc	,
síc	sic	RG	sic
de	de	SPS00	de
sumo	Sumo	AQ0MS0	sumo
Pontifice	Pontífice	NCMS000	pontífice
	.	Fp	.
y	Y	CC	y
aquí	aquí	RG	aquí
acomodare	acomodaré	VMIF1S0	acomodar
el	el	DA0MS0	el
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
los	los	DA0MP0	el
Reyes	Reyes	NCMP000	rey
1o	primero	RG	primero
Reg.	Reg.	NP00000	reg.
3	3	Z	3
	,	Fc	,
qdo	cuando	PA000000	cuando
llamando	llamando	VMG0000	llamar
Díos	Dios	NP00000	dios
a	a	SPS00	a
Samuel	Samuel	NP00000	samuel
se	se	P00CN000	se
yva	iba	VMII0S0	ir
a	a	SPS00	a
buscar	buscar	VMN0000	buscar
a	a	SPS00	a
Heli	Heli	NP00000	heli
sacerdote	sacerdote	NCMS000	sacerdote
,	,	Fc	,
q	que	CS	que
es	es	VSIP3S0	ser
argto	argumento	NCMS000	argumento
de	de	SPS00	de
q	que	CS	que
la	la	DA0FS0	el
voz	voz	NCFS000	voz
de	de	SPS00	de
dios	Dios	NP00000	dios
era	era	VSII0S0	ser
muy	muy	RQ	muy
parezida	parecida	VMP00SF	parecer
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
Heli	Heli	NP00000	heli
,	;	Fx	;
y	y	CC	y
q	que	CS	que
pues	pues	CS	pues
segunda	segunda	AO0FS0	segundo
vez	vez	NCFS000	vez
bolvio	volvió	VMIS3S0	volver
Samuel	Samuel	NP00000	samuel
a	a	SPS00	a
Responder	responder	VMN0000	responder
a	a	SPS00	a
Heli	Heli	NP00000	heli
	,	Fc	,
q	que	CS	que
la	la	DA0FS0	el
voz	voz	NCFS000	voz
de	de	SPS00	de
Heli	Heli	CS	heli
era	era	VSII0S0	ser
parezida	parecida	VMP00SF	parecer
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
Dios	Dios	NP00000	dios
ett	etc	NCMS000	etcétera
	,	Fc	,
para	para	SPS00	para
acomodar	acomodar	VMN0000	acomodar
la	la	DA0FS0	el
Indulga	indulgencia	NCFS000	indulgencia
de	de	SPS00	de
la	la	DA0FS0	el
bula	bula	NCFS000	bula
lo	lo	DA0NS0	el
mejor	mejor	RC	mejor
q	que	PR0CN000	que
se	se	P00CN000	se
pudiere	pudiere	VMSF0S0	poder
	.	Fp	.
Dos	Dos	Z	2
cosas	cosas	NCFP000	cosa
entendí	entendí	VMIS1S0	entender
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
me	me	PP1CS000	me
refirieron	refirieron	VMIS3P0	referir
del	del	SPS00+DA0MS0	de+el
Pe	padre	NCMS000	padre
Ministro	ministro	NCMS000	ministro
de	de	SPS00	de
B	B	NP00000	b
	.	Fp	.
la	La	DA0FS0	el
primera	primera	AO0FS0	primero
	,	Fc	,
q	que	CS	que
el	el	DA0MS0	el
sermon	sermón	NCMS000	sermón
escrito	escrito	NCMS000	escrito
era	era	VSII0S0	ser
bueno	bueno	AQ0MS0	bueno
,	,	Fc	,
pero	pero	CC	pero
q	que	CS	que
predicandole	predicándole	VMG0000+PP3CSD00	predicar+le
havia	había	VMII0S0	haber
V	vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
en	en	SPS00	en
el	el	DA0MS0	el
modo	modo	NCMS000	modo
dado	dado	VMP0000	dar
ocasíon	ocasión	NCFS000	ocasión
a	a	SPS00	a
algun	algún	DI0MS0	alguno
desabrimiento	desabrimiento	NCMS000	desabrimiento
y	y	CC	y
q	que	CS	que
havia	había	VMII0S0	haber
diferençia	diferencia	NCFS000	diferencia
de	de	SPS00	de
lo	lo	DA0NS0	el
uno	uno	PI0MS000	uno
a	a	SPS00	a
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
en	en	SPS00	en
la	la	DA0FS0	el
ponderacion	ponderación	NCFS000	ponderación
,	,	Fc	,
y	y	CC	y
q	que	CS	que
algunas	algunas	DI0FP0	alguno
cosas	cosas	NCFP000	cosa
q	que	PR0CN000	que
pudieron	pudieron	VMIS3P0	poder
causar	causar	VMN0000	causar
indignaçion	indignación	NCFS000	indignación
,	,	Fc	,
aunq	aunque	CS	aunque
no	no	RN	no
estan	están	VMIP3P0	estar
escritas	escritas	VMP00PF	escribir
	,	Fc	,
las	las	PP3FPA00	lo
alegaron	alegaron	VMIS3P0	alegar
los	los	DA0MP0	el
contrarios	contrarios	NCMP000	contrario
en	en	SPS00	en
Madrid	Madrid	NP00000	madrid
,	,	Fc	,
refiriendo	refiriendo	VMG0000	referir
que	que	CS	que
ellos	ellos	PP3MP000	ellos
las	las	PP3FPA00	lo
havian	habían	VAII3P0	haber
oydo	oído	VMP0000	oír
,	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
segunda	segunda	AO0FS0	segundo
	,	Fc	,
q	que	CS	que
el	el	DA0MS0	el
obispo	obispo	NCMS000	obispo
de	de	SPS00	de
Canaría	Canaria	NP00000	canaria
estaba	estaba	VMII0S0	estar
muy	muy	RQ	muy
enojado	enojado	VMP00SM	enojar
y	y	CC	y
haziendo	haciendo	VMG0000	hacer
grandes	grandes	AQ0CP0	grande
diligençias	diligencias	NCFP000	diligencia
para	para	SPS00	para
avereguar	averiguar	VMN0000	averiguar
la	la	DA0FS0	el
Verdad	verdad	NCFS000	verdad
.	.	Fp	.
yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
he	he	VAIP1S0	haber
holgado	holgado	VMP0000	holgar
infinito	infinito	RG	infinito
de	de	SPS00	de
saber	saber	VMN0000	saber
q	que	CS	que
se	se	P00CN000	se
imprima	imprima	VMIP3S0	imprimar
el	el	DA0MS0	el
sermon	sermón	NCMS000	sermón
	,	Fc	,
pues	pues	CS	pues
ese	ése	PD0MS000	ese
dara	dará	VMIF3S0	dar
testimonio	testimonio	NCMS000	testimonio
zierto	cierto	AQ0MS0	cierto
y	y	CC	y
verdadero	verdadero	AQ0MS0	verdadero
de	de	SPS00	de
la	la	DA0FS0	el
buena	buena	AQ0FS0	bueno
intencion	intención	NCFS000	intención
y	y	CC	y
sto	santo	AQ0MS0	santo
zelo	celo	NCMS000	celo
y	y	CC	y
de	de	SPS00	de
las	las	DA0FP0	el
letras	letras	NCFP000	letra
y	y	CC	y
erudiçion	erudición	NCFS000	erudición
de	de	SPS00	de
su	su	DP3CS0	su
dueño	dueño	NCMS000	dueño
.	,	Fc	,
A	a	SPS00	a
quien	quien	PR0CS000	quien
tomo	tomo	VMIP1S0	tomar
la	la	DA0FS0	el
palabra	palabra	NCFS000	palabra
de	de	SPS00	de
q	que	CS	que
me	me	PP1CS000	me
favorezca	favorezca	VMSP0S0	favorecer
con	con	SPS00	con
emviarmele	enviármele	VMN0000+PP1CS000+PP3CSA00	enviar+me+le
y	y	CC	y
no	no	RN	no
se	se	PP3CN000	se
la	la	PP3FSA00	lo
suelto	suelto	VMIP1S0	soltar
de	de	SPS00	de
las	las	DA0FP0	el
dominicas	domínicas	NCFP000	domínica
q	que	PR0CN000	que
me	me	PP1CS000	me
tiene	tiene	VMIP3S0	tener
offrecidas	ofrecidas	VMP00PF	ofrecer
,	,	Fc	,
pues	pues	CS	pues
podre	podré	VMIF1S0	poder
trasladarlas	trasladarlas	VMN0000+PP3FPA00	trasladar+lo
y	y	CC	y
bolverlas	volverlas	VMN0000+PP3FPA00	volver+lo
	,	Fc	,
q	que	CS	que
las	las	DA0FP0	el
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
son	son	VSIP3P0	ser
de	de	SPS00	de
manera	manera	NCFS000	manera
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
podemos	podemos	VMIP1P0	poder
preciar	preciar	VMN0000	preciar
mucho	mucho	RQ	mucho
los	los	DA0MP0	el
de	de	SPS00	de
este	este	DD0MS0	este
offiçio	oficio	NCMS000	oficio
de	de	SPS00	de
solicitarlas	solicitarlas	VMN0000+PP3FPA00	solicitar+lo
	,	Fc	,
apetezerlas	apetecerlas	VMN0000+PP3FPA00	apetecer+lo
y	y	CC	y
procurarlas	procurarlas	VMN0000+PP3FPA00	procurar+lo
para	para	SPS00	para
tenerlas	tenerlas	VMN0000+PP3FPA00	tener+lo
por	por	SPS00	por
dechado	dechado	NCMS000	dechado
y	y	CC	y
muestra	muestra	NCFS000	muestra
	,	Fc	,
y	y	CC	y
mas	más	RC	más
quien	quien	PR0CS000	quien
como	como	PA000000	como
yo	yo	PP1CSN00	yo
las	las	PP3FPA00	lo
estima	estima	VMIP3S0	estimar
y	y	CC	y
las	las	PP3FPA00	lo
ha	ha	VMIP3S0	haber
menester	menester	NCMS000	menester
.	.	Fp	.
Creo	Creo	VMIP1S0	creer
yo	yo	PP1CSN00	yo
muy	muy	RQ	muy
bien	bien	RG	bien
q	que	CS	que
los	los	DA0MP0	el
Grandes	grandes	AQ0CP0	grande
personajes	personajes	NCMP000	personaje
y	y	CC	y
tribunales	tribunales	NCMP000	tribunal
conoziendo	conociendo	VMG0000	conocer
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
haran	harán	VMIF3P0	hacer
de	de	SPS00	de
su	su	DP3CS0	su
persona	persona	NCFS000	persona
y	y	CC	y
letras	letras	NCFP000	letra
la	la	DA0FS0	el
estimacíon	estimación	NCFS000	estimación
q	que	CS	que
se	se	P00CN000	se
deve	debe	VMIP3S0	deber
,	.	Fp	.
y	Y	CC	y
spero	espero	VMIP1S0	esperar
en	en	SPS00	en
dios	Dios	NP00000	dios
q	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
resultar	resultar	VMN0000	resultar
este	este	DD0MS0	este
conozimto	conocimiento	NCMS000	conocimiento
en	en	SPS00	en
algun	algún	DI0MS0	alguno
Grande	grande	AQ0CS0	grande
acrezentamto	acrecentamiento	NCMS000	acrecentamiento
	,	Fc	,
q	que	CS	que
si	si	CS	si
fuese	fuese	VMSI0S0	ir
comforme	conforme	RG	conforme
a	a	SPS00	a
mi	mi	DP1CSS	mi
voluntad	voluntad	NCFS000	voluntad
no	no	RN	no
le	le	PP3CSD00	le
quedaria	quedaría	VMIC0S0	quedar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
q	qué	PT0CN000	qué
dessear	desear	VMN0000	desear
ni	ni	CC	ni
para	para	SPS00	para
mi	mí	PP1CSO00	mí
podria	podría	VMIC0S0	poder
haver	haber	VMN0000	haber
mayor	mayor	AQ0CS0	mayor
contento	contento	NCMS000	contento
en	en	SPS00	en
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
.	.	Fp	.
Al	Al	SPS00+DA0MS0	a+el
Pe	padre	NCMS000	padre
fr	fray	NP00000	fray
Thomas	Tomás	NP00000	tomás
	,	Fc	,
q	que	CS	que
deve	debe	VMIP3S0	deber
de	de	SPS00	de
estar	estar	VMN0000	estar
precíoso	precioso	AQ0MS0	precioso
	,	Fc	,
en	en	SPS00	en
esta	esta	DD0FS0	este
ocasion	ocasión	NCFS000	ocasión
quisiera	quisiera	VMSI0S0	querer
oyr	oír	VMN0000	oír
.	.	Fp	.
V	Vuestra	DP2FSP	vuestro
P	paternidad	NP00000	paternidad
me	me	PP1CS000	me
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
las	las	DA0FP0	el
buenas	buenas	AQ0FP0	bueno
Pasquas	Pascuas	NP00000	pascuas
y	y	CC	y
mis	mis	DP1CPS	mi
bessamanos	besamanos	NCFP000	besamanos
.	,	Fc	,
y	y	CC	y
Nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
ett	etc	NCMS000	etcétera
	.	Fp	.
Sega	Segovia	NP00000	segovia
	,	Fc	,
y	y	CC	y
xbre	diciembre	NCMS000	diciembre
22	22	Z	22
1610	1610	Z	1610
	.	Fp	.
Mtro	Maestro	NP00000	maestro
Orejon	Orejón	NP00000	orejón
