Matando	Matando		
saber	saber		
tan	tan		
menudamte	menudamente		
lo	lo		
que	que		
en	en		
esto	esto		
pasa	pasa		
	.		
que	Que		
es	es		
berguenza	vergüenza		
de	de		
la	la		
manera	manera		
que	que		
quiere	quiere		
allarnos	hallarnos		
atentos	atentos		
a	a		
sus	sus		
particulares	particulares		
	.		
y	Y		
en	en		
pareziendole	pareciéndole		
que	que		
le	le		
puede	puede		
costar	costar		
beinte	veinte		
rreales	reales		
nos	nos		
tocara	tocará		
por	por		
ello	ello		
a	a		
todos	todos		
.	.		
su	Su		
magd	Majestad		
me	me		
dicen	dicen		
que	que		
llegara	llegará		
ay	ahí		
con	con		
brebedad	brevedad		
	.		
Vm	VM		
me	me		
avise	avise		
lo	lo		
que	que		
se	se		
supiere	supiere		
d	de		
esto	esto		
	.		
y	Y		
en	en		
llegado	llegado		
se	se		
rreconozera	reconocerá		
si	si		
se	se		
da	da		
fin	fin		
a	a		
las	las		
Cortes	cortes		
y	y		
que	qué		
iria	iría		
	.		
si	Si		
se	se		
dilatan	dilatan		
	,		
apretar	apretar		
pa	para		
que	que		
salga	salga		
lo	lo		
q	que		
e	he		
pedido	pedido		
	,		
que	que		
tanto	tanto		
me	me		
aseguran	aseguran		
que	que		
esta	está		
echo	hecho		
	.		
y	Y		
pues	pues		
mi	mi		
sra	señora		
doña	doña		
maria	María		
estara	estará		
ya	ya		
mejor	mejor		
	,		
me	me		
olgaria	holgaría		
que	que		
se	se		
le	le		
ofreziesen	ofreciesen		
a	a		
Vm	VM		
algunas	algunas		
pruebas	pruebas		
asi	así		
a	a		
esta	esta		
tierra	tierra		
	,		
que	que		
se	se		
consolara	consolará		
mucho	mucho		
mi	mi		
sra	señora		
doña	doña		
geronima	Gerónima		
con	con		
ber	ver		
a	a		
Vm	VM		
contento	contento		
	.		
que	Que		
el	el		
gobernador	gobernador		
que	que		
agora	ahora		
tiene	tiene		
el	el		
consejo	consejo		
de	de		
las	las		
ordenes	órdenes		
anda	anda		
aspero	áspero		
asi	así		
en	en		
el	el		
nonbrar	nombrar		
ynformantes	informantes		
como	como		
en	en		
los	los		
despachos	despachos		
	.		
aviseme	Avíseme		
Vm	VM		
si	si		
se	se		
entiende	entiende		
que	que		
durara	durará		
mucho	mucho		
en	en		
el	el		
consejo	consejo		
y	y		
lo	lo		
que	que		
de	de		
todo	todo		
supiere	supiere		
Vm	VM		
	.		
dona	Doña		
ysabel	Isabel		
besa	besa		
las	las		
manos	manos		
A	a		
mi	mi		
sra	señora		
doña	doña		
maria	María		
y	y		
las	las		
de	de		
Vm	VM		
y	y		
de	de		
don	don		
buenabentura	Buenaventura		
y	y		
sus	sus		
hermanas	hermanas		
	,		
y	y		
yo	yo		
ago	hago		
lo	lo		
mismo	mismo		
	.		
y	Y		
quedamos	quedamos		
pa	para		
servir	servir		
a	a		
Vsms	VMs		
	,		
a	a		
quienes	quienes		
gue	guarde		
nro	Nuestro		
sr	Señor		
muchos	muchos		
años	años		
	.		
y	Y		
de	de		
burgos	Burgos		
	,		
27	27		
de	de		
abril	abril		
de	de		
1626	1626		
	.		
don	Don		
Gaspar	Gaspar		
de	de		
yremendi	Yurreamendi		
