Amada	Amada	VMP00SF	amar
Do	Do	SPS00+DA0MS0	de+o
mesmo	mesmo	AQ0MS0	mesmo
modo	modo	NCMS000	modo
	,	Fc	,
querer	querer	VMN0000	querer
virtudes	virtudes	NCFP000	virtude
e	e	CC	e
não	não	RN	não
fazer	fazer	VMN0000	fazer
cazo	caso	NCMS000	caso
dos	dos	SPS00+DA0MP0	de+o
meyos	meios	NCMP000	meio
pa	para	SPS00	para
elas	elas	PP3FP000	ele
he	é	VSIP3S0	ser
não	não	RN	não
as	as	PP3FPA00	o
querer	querer	VMN0000	querer
;	,	Fc	,
bem	bem	RG	bem
como	como	CS	como
não	não	RN	não
quereria	quereria	VMIC0S0	querer
hum	um	PI0MS000	um
comer	comer	NCMS000	um
,	,	Fc	,
se	se	CS	se
por	por	SPS00	por
iso	isso	PD0NN000	isso
não	não	RN	não
fizese	fizesse	VMSI0S0	fazer
deliga	diligência	NCFS000	diligência
alguã	alguma	DI0FS0	algum
.	.	Fp	.
Ora	Ora	RG	ora
	,	Fc	,
entre	entre	SPS00	entre
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
meyos	meios	NCMP000	meio
pa	para	SPS00	para
a	a	DA0FS0	o
virtude	virtude	NCFS000	virtude
	,	Fc	,
o	o	DA0MS0	o
mais	mais	NCMS000	mais
necesario	necessário	AQ0MS0	necessário
,	,	Fc	,
e	e	CC	e
indespensavelmte	indispensavelmente	RG	indispensavelmente
necesario	necessário	AQ0MS0	necessário
e	e	CC	e
o	o	DA0MS0	o
mais	mais	RC	mais
principal	principal	AQ0CS0	principal
de	de	SPS00	de
todos	todos	DI0MP0	todo
	,	Fc	,
he	é	VSIP3S0	ser
a	a	DA0FS0	o
Oração	oração	NCFS000	oração
Mental	mental	AQ0CS0	mental
.	.	Fp	.
Não	Não	RN	não
ha	há	VMIP3S0	haver
Doutor	doutor	NCMS000	doutor
,	,	Fc	,
não	não	RN	não
ha	há	VMIP3S0	haver
Mestre	mestre	NCMS000	mestre
de	de	SPS00	de
spirito	espírito	NCMS000	espírito
,	,	Fc	,
não	não	RN	não
ha	há	VMIP3S0	haver
Sto	Santo	NP00000	santo
Padre	Padre	NP00000	padre
q	que	CS	que
asim	assim	RG	assim
o	o	PP3MSA00	o
não	não	RN	não
diga	diga	VMSP0S0	dizer
.	.	Fp	.
E	E	CC	e
pro	primeiro	RG	primeiro
o	o	PP3MSA00	o
dice	disse	VMIS3S0	dizer
N	Nosso	NP00000	nosso
Me	Mestre	NP00000	mestre
Cho	Cristo	NP00000	cristo
Jezus	Jesus	NP00000	jesus
-	:	Fp	:
	«	Fra	«
Orai	Orai	NP00000	Orai
	,	Fc	,
pa	para	SPS00	para
não	não	RN	não
caireis	caíreis	VMIP3S0	caíreir
nas	nas	SPS00+DA0FP0	em+o
tenta-ções	tentações	NCFP000	tentação
-	.	Fp	.
	»	Frt	»
	«	Fra	«
sem	Sem	SPS00	sem
interrupção	interrupção	NCFS000	interrupção
	,	Fc	,
Orai	orai	NCMS000	orai
-	.	Fp	.
Convem	Convém	VMIP3S0	convir
sempre	sempre	RG	sempre
orar	orar	VMN0000	orar
e	e	CC	e
nũca	nunca	RN	nunca
cesar	cessar	VMN0000	cessar
deste	deste	SPS00+DD0MS0	de+este
Exerci-cio	exercício	NCMS000	exercício
	»	Frt	»
-	,	Fc	,
diz	diz	VMIP3S0	dizer
a	a	SPS00	a
scriptura	Escritura	NP00000	escritura
sagrada	Sagrada	AQ0FS0	sagrado
em	em	SPS00	em
varios	vários	AQ0MP0	vários
lugares	lugares	NCMP000	lugar
.	.	Fp	.
Qto	Quanto	RG	quanto
ao	ao	SPS00+DA0MS0	a+o
modo	modo	NCMS000	modo
com	com	SPS00	com
q	que	PR0CN000	que
se	se	P00CN000	se
tem	tem	VMIP3S0	ter
Oração	oração	NCFS000	oração
mental	mental	AQ0CS0	mental
,	,	Fc	,
nos	nos	SPS00+DA0MP0	em+o
ensinou	ensinou	VMIS3S0	ensinar
sto	Santo	NP00000	santo
Ignacio	Inácio	NP00000	inácio
,	,	Fc	,
q	que	CS	que
nesta	nesta	SPS00+DD0FS0	em+este
materia	matéria	NCFS000	matéria
nos	nos	SPS00+DA0MP0	em+o
diz	diz	VMIP3S0	dizer
o	o	DA0MS0	o
q	que	PR0CN000	que
o	o	DA0MS0	o
Ceo	céu	NCMS000	céu
lhe	lhe	PP3CSD00	lhe
ensinou	ensinou	VMIS3S0	ensinar
.	.	Fp	.
He	É	VSIP3S0	ser
	,	Fc	,
pois	pois	CS	pois
	,	Fc	,
Oração	oração	NCFS000	oração
mental	mental	AQ0CS0	mental
	,	Fc	,
conforme	conforme	SPS00	conforme
a	a	DA0FS0	o
doutrina	doutrina	NCFS000	doutrina
celestial	celestial	AQ0CS0	celestial
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Sto	Santo	NP00000	santo
	,	Fc	,
hum	um	DI0MS0	um
exercicio	exercício	NCMS000	exercício
das	das	SPS00+DA0FP0	de+o
tres	três	Z	três
potencias	potências	NCFP000	potência
da	da	SPS00+DA0FS0	de+o
alma	alma	NCFS000	alma
,	:	Fp	:
Memoria	memória	NCFS000	memória
	,	Fc	,
entendimto	entendimento	NCMS000	entendimento
e	e	CC	e
vonte	vontade	NCFS000	vontade
.	.	Fp	.
A	A	DA0FS0	o
memoria	memória	NCFS000	memória
ocupase	ocupa-se	VMIP3S0+P00CN000	ocupar+se
em	em	SPS00	em
se	se	CS	se
estar	estar	VMN0000	estar
lembrãdo	lembrando	VMG0000	lembrar
de	de	SPS00	de
algũ	algum	DI0MS0	algum
mysterio	mistério	NCMS000	mistério
ou	ou	CC	ou
doutrina	doutrina	NCFS000	doutrina
espiritual	espiritual	AQ0CS0	espiritual
,	,	Fc	,
como	como	CS	como
na	na	SPS00+DA0FS0	em+o
Morte	morte	NCFS000	morte
,	,	Fc	,
no	no	SPS00+DA0MS0	em+o
Juizo	juízo	NCMS000	juízo
,	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Gloria	glória	NCFS000	glória
,	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Paixão	paixão	NCFS000	paixão
de	de	SPS00	de
Cho	Cristo	NP00000	cristo
	,	Fc	,
ou	ou	CC	ou
em	em	SPS00	em
outro	outro	DI0MS0	outro
qualquer	qualquer	DI0CS0	qualquer
pon-to	ponto	NCMS000	ponto
de	de	SPS00	de
Meditação	meditação	NCFS000	meditação
q	que	PR0CN000	que
trazẽ	trazem	VMIP3P0	trazer
os	os	DA0MP0	o
livros	livros	NCMP000	livro
e	e	CC	e
q	que	CS	que
huã	uma	DI0FS0	um
Pesoa	pessoa	NCFS000	pessoa
pro	primeiro	RG	primeiro
tem	tem	VMIP3S0	ter
lido	lido	VMP0000	ler
neles	neles	SPS00+PP3MP000	em+ele
.	.	Fp	.
Depois	Depois	RG	depois
da	da	SPS00+DA0FS0	de+o
alma	alma	NCFS000	alma
se	se	CS	se
lembrar	lembrar	VMN0000	lembrar
bem	bem	RG	bem
e	e	CC	e
trazer	trazer	VMN0000	trazer
a	à	SPS00+DA0FS0	a+o
memoria	memória	NCFS000	memória
o	o	DA0MS0	o
ponto	ponto	NCMS000	ponto
sobre	sobre	SPS00	sobre
q	que	PR0CN000	que
quer	quer	VMIP3S0	querer
meditar	meditar	VMN0000	meditar
,	,	Fc	,
entra	entra	VMIP3S0	entrar
o	o	DA0MS0	o
entendimto	entendimento	NCMS000	entendimento
a	a	SPS00	a
discorrer	discorrer	VMN0000	discorrer
sobre	sobre	SPS00	sobre
ese	esse	DD0MS0	esse
mesmo	mesmo	AQ0MS0	mesmo
ponto	ponto	NCMS000	ponto
.	.	Fp	.
Exempli	Exempli	NP00000	Exempli
gratia	gratia	NCFS000	gratia
He	é	VSIP3S0	ser
o	o	DA0MS0	o
ponto	ponto	NCMS000	ponto
q	que	CS	que
no	no	SPS00+DA0MS0	em+o
livro	livro	NCMS000	livro
li	li	VMIS1S0	ler
da	da	SPS00+DA0FS0	de+o
graveza	graveza	NCFS000	graveza
do	do	SPS00+DA0MS0	de+o
Pecado	pecado	NCMS000	pecado
por	por	SPS00	por
ser	ser	VSN0000	ser
ofensa	ofensa	NCFS000	ofensa
de	de	SPS00	de
hũ	um	DI0MS0	um
Ds	Deus	NP00000	deus
infinito	infinito	RG	infinito
:	.	Fp	.
depois	Depois	RG	depois
de	de	SPS00	de
trazer	trazer	VMN0000	trazer
a	à	SPS00+DA0FS0	a+o
memoria	memória	NCFS000	memória
este	este	DD0MS0	este
ponto	ponto	NCMS000	ponto
q	que	PR0CN000	que
li	li	VMIS1S0	ler
:	,	Fc	,
entra	entra	VMIP3S0	entrar
o	o	DA0MS0	o
entendimto	entendimento	NCMS000	entendimento
a	a	SPS00	a
discorrer	discorrer	VMN0000	discorrer
deste	deste	SPS00+DD0MS0	de+este
ou	ou	CC	ou
semelhante	semelhante	AQ0CS0	semelhante
modo	modo	NCMS000	modo
,	,	Fc	,
conforme	conforme	SPS00	conforme
Ds	Deus	NP00000	deus
Sr	Senhor	NP00000	senhor
N	Nosso	NP00000	nosso
alumia	alumia	NCFS000	alumia
e	e	CC	e
ajuda	ajuda	NCFS000	ajuda
.	.	Fp	.
Oh	Oh	I	oh
	,	Fc	,
Ds	Deus	NP00000	deus
meu	meu	DP1MSS	meu
,	,	Fc	,
qm	quem	PR0CN000	quem
sois	sois	VSIP2P0	ser
vos	vós	PP2CP000	vós
!	?	Fp	?
hũ	Um	DI0MS0	um
sr	Senhor	NP00000	senhor
q	que	CS	que
com	com	SPS00	com
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
Mageste	majestade	NP00000	majestade
encheis	encheis	SPS00	encheis
o	o	DA0MS0	o
Ceo	céu	NCMS000	céu
,	,	Fc	,
a	a	DA0FS0	o
terra	terra	NCFS000	terra
,	,	Fc	,
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
mũdo	mundo	NCMS000	mundo
tão	tão	RC	tão
dilatado	dilatado	VMP00SM	dilatar
,	,	Fc	,
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
ceos	céus	NCMP000	céu
immẽsos	imensos	AQ0MP0	imenso
,	,	Fc	,
e	e	CC	e
ainda	ainda	RG	ainda
não	não	RN	não
fica	fica	VMIP3S0	ficar
esgotada	esgotada	VMP00SF	esgotar
vosa	vossa	DP2FSP	vosso
Mageste	majestade	NP00000	majestade
,	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
infinita	infinita	AQ0FS0	infinito
.	!	Fp	!
Ge	Grande	NP00000	grande
poder	poder	NCMS000	poder
he	é	VSIP3S0	ser
o	o	DA0MS0	o
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
alma	alma	NCFS000	alma
ma	minha	DP1FSS	meu
	.	Fp	.
todos	Todos	DI0MP0	todo
os	os	DA0MP0	o
Reys	reis	NCMP000	rei
e	e	CC	e
Imperadores	imperadores	CS	porque
do	do	SPS00+DA0MS0	de+o
Universo	Universo	NCMS000	de+o
nem	nem	CC	nem
o	o	DA0MS0	o
poder	poder	NCMS000	poder
de	de	SPS00	de
huã	uma	DI0FS0	um
formiga	formiga	NCFS000	formiga
tem	tem	VMIP3S0	ter
a	a	SPS00	a
respeito	respeito	NCMS000	respeito
de	de	SPS00	de
Ds	Deus	NP00000	deus
,	.	Fp	.
por	Por	SPS00	por
mais	mais	RC	mais
q	que	CS	que
eu	eu	PP1CSN00	eu
medite	medite	RG	medite
,	,	Fc	,
nũca	nunca	RN	nunca
he	hei	VMIP1S0	haver
de	de	SPS00	de
alcãçar	alcançar	VMN0000	alcançar
a	a	DA0FS0	o
grãdeza	grandeza	NCFS000	grandeza
deste	deste	SPS00+DD0MS0	de+este
poder	poder	NCMS000	poder
;	,	Fc	,
pois	pois	CS	pois
he	é	VSIP3S0	ser
infinito	infinito	AQ0MS0	infinito
.	.	Fp	.
Criou	Criou	VMIS3S0	criar
esta	esta	DD0FS0	este
redondeza	redondeza	NCFS000	redondeza
da	da	SPS00+DA0FS0	de+o
terra	terra	NCFS000	terra
tão	tão	CC	tão
posta	posta	NCFS000	posta
,	,	Fc	,
arvores	árvores	NCFP000	árvore
sem	sem	SPS00	sem
numero	número	NCMS000	número
,	,	Fc	,
peixes	peixes	NCMP000	peixe
sem	sem	SPS00	sem
conta	conta	NCFS000	conta
,	,	Fc	,
homẽs	homens	NCMP000	homem
inumeraveis	inumeráveis	AQ0CP0	inumerável
,	,	Fc	,
plantas	plantas	NCFP000	planta
,	,	Fc	,
bestas	bestas	NCFP000	besta
,	,	Fc	,
aves	aves	RG	aves
,	,	Fc	,
feras	feras	NCFP000	fera
,	,	Fc	,
ceos	céus	NCMP000	céu
,	,	Fc	,
Anjos	anjos	NCMP000	anjo
e	e	CC	e
tudo	tudo	PI0NN000	tudo
qto	quanto	PR0CN000	quanto
ha	há	VMIP3S0	haver
.	.	Fp	.
O	Oh	I	oh
	,	Fc	,
q	que	CS	que
grde	grande	AQ0CS0	grande
grde	grande	AQ0CS0	grande
Ds	Deus	NP00000	deus
,	!	Fp	!
oh	Oh	I	oh
	,	Fc	,
q	que	CS	que
sr	Senhor	NP00000	senhor
tão	tão	RC	tão
tremido	temido	VMP00SM	temer
,	!	Fp	!
oh	Oh	I	oh
	,	Fc	,
q	que	CS	que
sr	Senhor	NP00000	senhor
q	que	CS	que
merece	merece	VMIP3S0	merecer
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
adorações	adorações	NCFP000	adoração
das	das	SPS00+DA0FP0	de+o
suas	suas	DP3FP0	seu
creaturas	criaturas	NCFP000	criatura
,	!	Fp	!
oh	Oh	I	oh
	,	Fc	,
q	que	CS	que
sr	Senhor	NP00000	senhor
merecedor	merecedor	NCMS000	merecedor
de	de	SPS00	de
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
honra	honra	NCFS000	honra
e	e	CC	e
respeito	respeito	NCMS000	respeito
!	!	Fp	!
O	Oh	I	oh
	,	Fc	,
grde	grande	AQ0CS0	grande
grde	grande	AQ0CS0	grande
Ds	Deus	NP00000	deus
	.	Fp	.
como	Como	CS	como
poderei	poderei	VMIF1S0	poder
eu	eu	PP1CSN00	eu
	,	Fc	,
vil	vil	AQ0CS0	vil
bixinho	bichinho	NCMS000	bichinho
da	da	SPS00+DA0FS0	de+o
terra	terra	NCFS000	terra
	,	Fc	,
co-nhecer	conhecer	VMN0000	conhecer
a	a	SPS00	a
vosa	vossa	DP2FSP	vosso
grandeza	grandeza	NCFS000	grandeza
,	,	Fc	,
se	se	CS	se
ela	ela	PP3FS000	ele
não	não	RN	não
tem	tem	VMIP3S0	ter
limite	limite	NCMS000	limite
?	?	Fp	?
como	Como	CS	como
vosas	vossas	DP2FPP	vosso
perfeições	perfeições	NCFP000	perfeição
,	,	Fc	,
se	se	CS	se
são	são	VSIP3P0	ser
infinitas	infinitas	AQ0FP0	infinito
?	?	Fp	?
grde	Grande	NP00000	grande
grde	grande	AQ0CS0	grande
grde	grande	AQ0CS0	grande
Ds	Deus	NP00000	deus
he	é	VSIP3S0	ser
o	o	DA0MS0	o
noso	Nosso	NP00000	nosso
,	!	Fp	!
não	Não	RN	não
sei	sei	VMIP1S0	saber
dizer	dizer	VMN0000	dizer
mais	mais	RC	mais
.	.	Fp	.
E	E	CC	e
pois	pois	CS	pois
a	a	SPS00	a
este	este	DD0MS0	este
Ds	Deus	NP00000	deus
he	é	VSIP3S0	ser
q	que	CS	que
eu	eu	PP1CSN00	eu
esbofetei	esbofeteei	VMIS1S0	esbofetear
com	com	SPS00	com
ma	minha	DP1FSS	meu
culpa	culpa	NCFS000	culpa
he	e	CC	e
q	que	CS	que
eu	eu	PP1CSN00	eu
injuriei	injuriei	VMIS1S0	injuriar
,	,	Fc	,
desprezei	desprezei	VMIS1S0	desprezar
mesmo	mesmo	RG	mesmo
,	,	Fc	,
agravei	agravei	VMIS1S0	agravar
com	com	SPS00	com
meus	meus	DP1MPS	meu
pecados	pecados	NCMP000	pecado
.	.	Fp	.
Oh	Oh	I	oh
	,	Fc	,
q	que	RG	que
cega	cega	AQ0FS0	cego
estava	estava	VMII0S0	estar
!	!	Fp	!
Oh	Oh	I	oh
	,	Fc	,
q	que	PT0CN000	que
temeride	temeridade	NCFS000	temeridade
,	,	Fc	,
q	que	PT0CN000	que
ouzadia	ousadia	NCFS000	ousadia
,	,	Fc	,
q	que	PT0CN000	que
arrojo	arrojo	NCMS000	arrojo
cometeu	cometeu	VMIS3S0	cometer
esta	esta	DD0FS0	este
vil	vil	AQ0CS0	vil
mulher	mulher	NCFS000	mulher
contra	contra	SPS00	contra
tal	tal	RC	tal
sr	Senhor	NP00000	senhor
.	!	Fp	!
Eu	Eu	PP1CSN00	eu
estava	estava	VMII0S0	estar
louca	louca	AQ0FS0	louco
,	?	Fp	?
eu	Eu	PP1CSN00	eu
tinha	tinha	VMII0S0	ter
o	o	DA0MS0	o
juizo	juízo	NCMS000	juízo
são	são	AQ0MS0	são
qdo	quando	CS	quando
a	a	SPS00	a
tal	tal	RC	tal
me	me	PP1CS000	me
atrevi	atrevi	VMIS1S0	atrever
?	?	Fp	?
oh	Oh	I	oh
	,	Fc	,
desgraçada	desgraçada	VMP00SF	desgraçar
de	de	SPS00	de
mim	mim	PP1CSO00	mim
,	!	Fp	!
oh	Oh	I	oh
	,	Fc	,
temeraria	temerária	AQ0FS0	temerário
,	,	Fc	,
q	que	PR0CN000	que
cometi	cometi	VMIS1S0	cometer
malde	maldade	NCFS000	maldade
de	de	SPS00	de
q	que	PR0CN000	que
com	com	SPS00	com
mta	muita	DI0FS0	muito
mta	muita	DI0FS0	muito
razão	razão	NCFS000	razão
se	se	CS	se
deve	deve	VMIP3S0	dever
espãtar	espantar	VMN0000	espantar
o	o	DA0MS0	o
mũdo	mundo	NCMS000	mundo
todo	todo	AQ0MS0	todo
.	!	Fp	!
se	Se	CS	se
eu	eu	PP1CSN00	eu
em	em	SPS00	em
hum	um	DI0MS0	um
Rei	rei	NCMS000	rei
	,	Fc	,
q	que	CS	que
nem	nem	CC	nem
hum	um	DI0MS0	um
argueiro	argueiro	NCMS000	argueiro
	,	Fc	,
he	e	CC	e
a	à	SPS00+DA0FS0	a+o
vista	vista	NCFS000	vista
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
fose	fosse	VMSI0S0	ir
dar	dar	VMN0000	dar
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
cara	cara	NCFS000	cara
mto	muito	RQ	muito
bofetão	bofetão	NCMS000	bofetão
,	,	Fc	,
ficaria	ficaria	VMIC0S0	ficar
por	por	SPS00	por
memoria	memória	NCFS000	memória
esta	esta	DD0FS0	este
vilisima	vilíssima	AQSFS0	vil
ação	ação	NCFS000	ação
,	,	Fc	,
e	e	CC	e
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
ides	idades	NCFP000	idade
dela	dela	SPS00+PP3FS000	de+ele
se	se	P00CN000	se
espantarião	espantariam	VMIC3P0	espantar
,	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
eu	eu	PP1CSN00	eu
eu	eu	PP1CSN00	eu
em	em	SPS00	em
tal	tal	RC	tal
Ds	Deus	NP00000	deus
e	e	CC	e
sr	Senhor	NP00000	senhor
dei	dei	VMIS1S0	dar
bofetadas	bofetadas	NCFP000	bofetada
sem	sem	SPS00	sem
conta	conta	NCFS000	conta
,	.	Fp	.
ai	Ai	I	ai
de	de	SPS00	de
mim	mim	PP1CSO00	mim
	,	Fc	,
infeliz	infeliz	NCMS000	,
	!	Fp	!
eta	Etc	NCMS000	etc
	...	Fc	...
Nestes	Nestes	SPS00+DD0MP0	em+este
discursos	discursos	NCMP000	discurso
sentese	sente-se	VMIP3S0+P00CN000	sentir+se
a	a	DA0FS0	o
vonte	vontade	NCFS000	vontade
movida	movida	VMP00SF	mover
a	a	SPS00	a
varios	vários	AQ0MP0	vários
afectos	afetos	NCMP000	afeto
	.	Fp	.
pára	Para	SPS00	para
pois	pois	CS	pois
o	o	DA0MS0	o
discurso	discurso	NCMS000	discurso
e	e	CC	e
entra	entra	VMIP3S0	entrar
a	a	DA0FS0	o
vonte	vontade	NCFS000	vontade
a	a	SPS00	a
exercitarse	exercitar-se	VMN0000+P00CN000	exercitar+se
e	e	CC	e
romper	romper	VMN0000	romper
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
afectos	afetos	NCMP000	afeto
.	.	Fp	.
Verbi	Verbi	Fp	.
gratia	gratia	Fp	.
:	:	Fp	:
oh	Oh	I	oh
meu	meu	DP1MSS	meu
Ds	Deus	NP00000	deus
	,	Fc	,
qto	quanto	PR0CN000	quanto
me	me	PP1CS000	me
peza	pesa	VMIP3S0	pesar
de	de	SPS00	de
tal	tal	RC	tal
malde	maldade	NCFS000	maldade
,	!	Fp	!
pezame	Pesa-me	VMIP3S0+PP1CS000	pesar+me
pezame	pesa-me	VMIP3S0+PP1CS000	pesar+me
com	com	SPS00	com
mil	mil	Z	mil
veras	veras	NCFP000	vera
	!	Fp	!
quizera	Quisera	VMIM0S0	querer
aqui	aqui	RG	aqui
acabar	acabar	VMN0000	acabar
a	a	SPS00	a
vosos	vossos	DP2MPP	vosso
pes	pés	NCMP000	pé
de	de	SPS00	de
puro	puro	AQ0MS0	puro
sentimto	sentimento	NCMS000	sentimento
	!	Fp	!
oh	Oh	I	oh
	,	Fc	,
qm	quem	PR0CN000	quem
a	a	SPS00	a
meu	meu	DP1MSS	meu
Ds	Deus	NP00000	deus
nao	não	RN	não
tivera	tivera	VMIM0S0	ter
ofendido	ofendido	VMP00SM	ofender
!	!	Fp	!
Qm	Quem	PR0CN000	quem
me	me	PP1CS000	me
dará	dará	VMIF3S0	dar
lagrimas	lágrimas	NCFP000	lágrima
tantas	tantas	DI0FP0	tanto
q	que	PR0CN000	que
posão	possam	VMSP3P0	poder
igualar	igualar	VMN0000	igualar
a	a	DA0FS0	o
gravide	gravidade	NCFS000	gravidade
das	das	SPS00+DA0FP0	de+o
mas	minhas	DP1FPS	meu
maldes	maldades	NCFP000	maldade
e	e	CC	e
arrojos	arrojos	NCMP000	arrojo
;	?	Fp	?
errada	Errada	VMP00SF	errar
e	e	CC	e
erradisima	erradíssima	NCFS000	erradíssima
	,	Fc	,
sr	Senhor	NP00000	senhor
	,	Fc	,
andei	andei	VMIS1S0	andar
,	.	Fp	.
eu	Eu	PP1CSN00	eu
