Mto	Muito	RQ	muito
tenho	tenho	VAIP1S0	ter
dito	dito	VMP0000	dizer
	,	Fc	,
pois	pois	CS	pois
sou	sou	VSIP1S0	ser
mais	mais	RC	mais
rezeluta	resoluta	AQ0FS0	resoluto
q	que	CS	que
Vmces	VMs	NP00000	VM
verdadeiros	verdadeiros	AQ0MP0	verdadeiro
	.	Fp	.
N	Nossa	DP1MSP	nosso
S	Senhora	NP00000	senhor
Espra	Esperança	NP00000	esperança
	,	Fc	,
oje	hoje	RG	hoje
3	3	Z	3
fa	feira	NCFS000	feira
	.	Fp	.
De	De	SPS00	de
Vmce	VM	NP00000	VM
serva	serva	NCFS000	servo
	,	Fc	,
Soror	soror	NCMS000	soror
Franca	Francisca	NP00000	francisca
jozepha	Josefa	NP00000	josefa
