Senhores	Senhores	NP00000	senhores
me	me	PP1CS000	me
botavam	botavam	VMII3P0	botar
de	de	SPS00	de
Cada	cada	DI0CN0	cada
ves	vez	NCFS000	vez
q	que	PR0CN000	que
tomava	tomava	VMII0S0	tomar
estes	estes	DD0MP0	este
defomadores	defumadores	NCMP000	defumador
	.	Fp	.
o	O	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
fizaram	fizeram	VMIS3P0	fazer
e	e	CC	e
as	às	SPS00+DA0FP0	a+o
da	da	SPS00+DA0FS0	de+o
Caza	casa	NCFS000	casa
mtas	muitas	DI0FP0	muito
noutas	noites	NCFP000	noite
	.	Fp	.
dise	Disse	VMIS3S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
q	que	CS	que
Cozese	cozesse	VMSI0S0	cozer
murta	murta	NCFS000	murta
e	e	CC	e
a	a	DA0FS0	o
agoa	água	NCFS000	água
dela	dela	SPS00+PP3FS000	de+ele
a	a	PP3FSA00	o
botase	botasse	VMSI0S0	botar
num	num	SPS00+DI0MS0	em+um
alguidar	alguidar	NCMS000	alguidar
grande	grande	AQ0CS0	grande
e	e	CC	e
eu	eu	PP1CSN00	eu
q	que	CS	que
me	me	PP1CS000	me
havia	havia	VMII0S0	haver
nua	nua	AQ0FS0	nu
remeter	remeter	VMN0000	remeter
dentro	dentro	RG	dentro
no	no	SPS00+DA0MS0	em+o
alguidar	alguidar	NCMS000	alguidar
em	em	SPS00	em
pe	pé	NCMS000	pé
e	e	CC	e
q	que	CS	que
tomase	tomasse	VMSI0S0	tomar
minha	minha	DP1FSS	meu
Irmam	irmã	NCFS000	irmão
hum	um	DI0MS0	um
panno	pano	NCMS000	pano
	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
molhase	molhasse	VMSP0S0	molhar
na	na	SPS00+DA0FS0	em+o
agoa	água	NCFS000	água
q	que	PR0CN000	que
estava	estava	VMII0S0	estar
no	no	SPS00+DA0MS0	em+o
alguidar	alguidar	NCMS000	alguidar
e	e	CC	e
	,	Fc	,
Cheio	cheio	AQ0MS0	cheio
dela	dela	SPS00+PP3FS000	de+ele
	,	Fc	,
mo	mo	PP1CS000+PP3MSA00	me+o
pozese	pusesse	VMSI0S0	pôr
na	na	SPS00+DA0FS0	em+o
cabesa	cabeça	NCFS000	cabeça
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
aquela	aquela	DD0FS0	aquele
agoa	água	NCFS000	água
me	me	PP1CS000	me
Correse	corresse	VMSI0S0	correr
pelo	pelo	SPS00+DA0MS0	por+o
Corpo	corpo	NCMS000	corpo
abaixo	abaixo	RG	abaixo
	,	Fc	,
e	e	CC	e
q	que	CS	que
tomase	tomasse	VMSI0S0	tomar
o	o	DA0MS0	o
panno	pano	NCMS000	pano
e	e	CC	e
o	o	DA0MS0	o
molhase	molhasse	VMSP0S0	molhar
outra	outra	DI0FS0	outro
ves	vez	NCFS000	vez
na	na	SPS00+DA0FS0	em+o
agoa	água	NCFS000	água
e	e	CC	e
mo	mo	PP1CS000+PP3MSA00	me+o
pozese	pusesse	VMSI0S0	pôr
no	no	SPS00+DA0MS0	em+o
CaChaso	cachaço	NCMS000	cachaço
pa	para	SPS00	para
q	que	CS	que
a	a	DA0FS0	o
agoa	água	NCFS000	água
me	me	PP1CS000	me
Correse	corresse	VMSI0S0	correr
pelo	pelo	SPS00+DA0MS0	por+o
Corpo	corpo	NCMS000	corpo
	,	Fc	,
e	e	CC	e
q	que	CS	que
tomase	tomasse	VMSI0S0	tomar
o	o	DA0MS0	o
panno	pano	NCMS000	pano
e	e	CC	e
q	que	CS	que
o	o	PP3MSA00	o
fose	fosse	VMSI0S0	ir
molhando	molhando	VMG0000	molhar
na	na	SPS00+DA0FS0	em+o
agoa	água	NCFS000	água
e	e	CC	e
Com	com	SPS00	com
ele	ele	PP3MS000	ele
me	me	PP1CS000	me
fose	fosse	VMSI0S0	ir
Chapinhando	chapinhando	VMG0000	chapinhar
o	o	DA0MS0	o
Corpo	corpo	NCMS000	corpo
	.	Fp	.
q	Que	CS	que
comesase	começasse	VMIP3S0	começasser
pellos	pelos	SPS00+DA0MP0	por+o
pes	pés	NCMP000	pé
e	e	CC	e
aCabase	acabasse	VMSI0S0	acabar
no	no	SPS00+DA0MS0	em+o
pesCouso	pescoço	NCMS000	pescoço
	.	Fp	.
diselhe	Disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
eu	eu	PP1CSN00	eu
se	se	CS	se
podia	podia	VMII0S0	poder
eu	eu	PP1CSN00	eu
fazer	fazer	VMN0000	fazer
estas	estas	DD0FP0	este
Couzas	coisas	NCFP000	coisa
a	a	SPS00	a
mim	mim	PP1CSO00	mim
	.	Fp	.
Respondeu	Respondeu	VMIS3S0	responder
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
q	que	CS	que
não	não	RN	não
	,	Fc	,
q	que	CS	que
minha	minha	DP1FSS	meu
Irmam	irmã	NCFS000	irmão
Maria	Maria	NP00000	maria
de	de	SPS00	de
S	São	NP00000	são
Jozeph	José	NP00000	josé
mas	mas	CC	mais
havia	havia	VMII0S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
esta	esta	DD0FS0	este
mezinha	mezinha	NCFS000	mezinha
tres	três	Z	três
vezes	vezes	NCFP000	vez
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
	.	Fp	.
estando	Estando	VMG0000	estar
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
doente	doente	AQ0CS0	doente
na	na	SPS00+DA0FS0	em+o
Cama	cama	NCFS000	cama
da	da	SPS00+DA0FS0	de+o
gota	gota	NCFS000	gota
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
mandou	mandou	VMIS3S0	mandar
fazer	fazer	VMN0000	fazer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
lavatorios	lavatórios	NCMP000	lavatório
as	às	SPS00+DA0FP0	a+o
pernas	pernas	NCFP000	perna
desta	desta	SPS00+DD0FS0	de+este
mesma	mesma	AQ0FS0	mesmo
agoa	água	NCFS000	água
da	da	SPS00+DA0FS0	de+o
murta	murta	NCFS000	murta
	.	Fp	.
deixando	Deixando	VMG0000	deixar
eu	eu	PP1CSN00	eu
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
esta	esta	DD0FS0	este
mezinha	mezinha	NCFS000	mezinha
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
por	por	SPS00	por
Cauza	causa	NCFS000	causa
de	de	SPS00	de
ella	ela	PP3FS000	ele
não	não	RN	não
vir	vir	VMN0000	vir
a	a	SPS00	a
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
	,	Fc	,
Com	com	SPS00	com
alguns	alguns	DI0MP0	algum
Recados	recados	NCMP000	recado
q	que	PR0CN000	que
nos	nós	PP1CP000	nós
lhe	lhe	PP3CSD00	lhe
mandavamos	mandávamos	VMII1P0	mandar
	,	Fc	,
dise	disse	VMIS3S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
a	a	SPS00	a
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
Luzia	Luzia	NP00000	luzia
Gomes	Gomes	NP00000	gomes
q	que	CS	que
a	a	SPS00	a
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
me	me	PP1CS000	me
não	não	RN	não
havia	havia	VMII0S0	haver
de	de	SPS00	de
vir	vir	VMN0000	vir
Corar	curar	VMN0000	curar
porq	porque	CS	porque
	,	Fc	,
se	se	CS	se
Antonio	António	NP00000	antónio
afonso	Afonso	NP00000	afonso
a	a	PP3FSA00	o
vise	visse	VMSI0S0	ver
vir	vir	VMN0000	vir
sempre	sempre	RG	sempre
pa	para	SPS00	para
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
	,	Fc	,
q	que	CS	que
logo	logo	RG	logo
o	o	PP3MSA00	o
avia	havia	VMII0S0	haver
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
Lourenso	Lourenço	NP00000	lourenço
pimentel	Pimentel	NP00000	pimentel
	,	Fc	,
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
	,	Fc	,
e	e	CC	e
q	que	CS	que
elle	ele	PP3MS000	ele
não	não	RN	não
queria	queria	VMII0S0	querer
q	que	CS	que
ella	ela	PP3FS000	ele
Corase	curasse	VMSI0S0	curar
e	e	CC	e
q	que	CS	que
me	me	PP1CS000	me
levase	levasse	VMSI0S0	levar
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
pa	para	SPS00	para
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
q	que	CS	que
lá	lá	RG	lá
me	me	PP1CS000	me
Coraria	curaria	VMIC0S0	curar
sem	sem	SPS00	sem
q	que	CS	que
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
o	o	PP3MSA00	o
soubese	soubesse	VMSI0S0	saber
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
fou	fui	VMIS1S0	ir
eu	eu	PP1CSN00	eu
pa	para	SPS00	para
Caza	casa	NCFS000	casa
de	de	SPS00	de
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
e	e	CC	e
lá	lá	RG	lá
dise	disse	VMIS3S0	dizer
a	a	SPS00	a
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
me	me	PP1CS000	me
não	não	RN	não
achava	achava	VMII0S0	achar
bem	bem	RG	bem
Com	com	SPS00	com
a	a	DA0FS0	o
mezinha	mezinha	NCFS000	mezinha
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
da	da	SPS00+DA0FS0	de+o
murta	murta	NCFS000	murta
q	que	PR0CN000	que
me	me	PP1CS000	me
mandava	mandava	VMII0S0	mandar
fazer	fazer	VMN0000	fazer
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
dei	dei	VMIS1S0	dar
conta	conta	NCFS000	conta
do	do	SPS00+DA0MS0	de+o
mal	mal	NCMS000	mal
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
tinha	tinha	VMII0S0	ter
	.	Fp	.
e	E	CC	e
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
Respondeu	respondeu	VMIS3S0	responder
q	que	CS	que
hiso	isso	PD0NN000	isso
não	não	RN	não
sabia	sabia	VMII0S0	saber
ella	ela	PP3FS000	ele
mas	mas	CC	mais
q	que	CS	que
desem	dessem	VMSI3P0	dar
hordem	ordem	NCFS000	ordem
a	a	SPS00	a
nove	nove	Z	nove
pombos	pombos	NCMP000	pombo
ou	ou	CC	ou
dezouto	dezoito	Z	dezoito
	,	Fc	,
porq	porque	CS	porque
duze	doze	Z	doze
não	não	RN	não
havia	havia	VMII0S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
porq	porque	CS	porque
heram	eram	VSII3P0	ser
pares	pares	NCMP000	par
	,	Fc	,
mas	mas	CC	mais
desem	dessem	VMSI3P0	dar
hordem	ordem	NCFS000	ordem
aos	aos	SPS00+DA0MP0	a+o
nove	nove	Z	nove
pombos	pombos	NCMP000	pombo
	,	Fc	,
q	que	CS	que
heram	eram	VSII3P0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
bastavam	bastavam	VMII3P0	bastar
pa	para	SPS00	para
q	que	CS	que
eu	eu	PP1CSN00	eu
Comese	comesse	RG	comesse
hum	um	Z	um
Cada	cada	DI0CN0	cada
dia	dia	NCMS000	dia
e	e	CC	e
q	que	CS	que
os	os	DA0MP0	o
havia	havia	VMII0S0	haver
de	de	SPS00	de
matar	matar	VMN0000	matar
e	e	CC	e
Consertar	consertar	VMN0000	consertar
porq	porque	CS	porque
Cada	cada	DI0CN0	cada
dia	dia	NCMS000	dia
havia	havia	VMII0S0	haver
ella	ela	PP3FS000	ele
de	de	SPS00	de
matar	matar	VMN0000	matar
hum	um	DI0MS0	um
	.	Fp	.
o	O	DA0MS0	o
Conserto	conserto	NCMS000	conserto
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
fazia	fazia	VMII0S0	fazer
hera	era	VSII0S0	ser
botar	botar	VMN0000	botar
vinagre	vinagre	NCMS000	vinagre
e	e	CC	e
huma	uma	DI0FS0	um
tigela	tigela	NCFS000	tigela
e	e	CC	e
Sal	sal	NCMS000	sal
e	e	CC	e
asuCar	açúcar	NCMS000	açúcar
e	e	CC	e
sobre	sobre	SPS00	sobre
estas	estas	DD0FP0	este
Couzas	coisas	NCFP000	coisa
sengrava	sangrava	VMII0S0	sangrar
o	o	DA0MS0	o
pombo	pombo	NCMS000	pombo
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
se	se	CS	se
depenava	depenava	VMII0S0	depenar
e	e	CC	e
alavava	lavava	VMII0S0	lavar
e	e	CC	e
e	e	CC	e
o	o	PP3MSA00	o
metia	metia	VMII0S0	meter
em	em	SPS00	em
huma	uma	DI0FS0	um
puCara	púcara	NCFS000	púcara
e	e	CC	e
mais	mais	RC	mais
poejos	poejos	NCMP000	poejo
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
botava	botava	VMII0S0	botar
na	na	SPS00+DA0FS0	em+o
puCara	púcara	NCFS000	púcara
esta	esta	DD0FS0	este
Couzas	coisas	NCFP000	coisa
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
tinha	tinha	VMII0S0	ter
na	na	SPS00+DA0FS0	em+o
tigela	tigela	NCFS000	tigela
e	e	CC	e
q	que	CS	que
o	o	DA0MS0	o
cuzesem	cozessem	VMSI3P0	cozer
e	e	CC	e
	,	Fc	,
depois	depois	RG	depois
dele	dele	SPS00+PP3MS000	de+ele
cozido	cozido	VMP00SM	cozer
	,	Fc	,
me	me	PP1CS000	me
fizesem	fizessem	VMSI3P0	fazer
tres	três	Z	três
o	ou	CC	ou
Coatro	quatro	Z	quatro
sopas	sopas	NCFP000	sopa
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
dise	disse	VMIS3S0	dizer
tres	três	Z	três
sopas	sopas	NCFP000	sopa
em	em	SPS00	em
huma	uma	DI0FS0	um
tigela	tigela	NCFS000	tigela
e	e	CC	e
nela	nela	SPS00+PP3FS000	em+ele
botesem	botassem	VMSI3P0	botar
o	o	DA0MS0	o
saldo	caldo	NCMS000	caldo
e	e	CC	e
as	as	DA0MS0	o
cobrise	cobrisse	VMSI0S0	cobrir
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
primeira	primeira	NCFS000	primeira
Couza	coisa	NCFS000	coisa
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
havia	havia	VMII0S0	haver
de	de	SPS00	de
Comer	comer	VMN0000	comer
q	que	CS	que
havia	havia	VMII0S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
o	o	DA0MS0	o
pombo	pombo	NCMS000	pombo
sem	sem	SPS00	sem
q	que	CS	que
deitase	deitasse	VMSI0S0	deitar
nada	nada	PI0NN00N	nada
e	e	CC	e
q	que	CS	que
ninguem	ninguém	PI0NN00N	ninguém
dele	dele	SPS00+PP3MS000	de+ele
Comese	comesse	RG	comesse
nada	nada	PI0NN00N	nada
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
q	que	CS	que
bobese	bebesse	VMSI0S0	beber
o	o	DA0MS0	o
Calda	calda	NCFS000	calda
e	e	CC	e
Comese	comesse	RG	comesse
as	as	DA0FP0	o
sopas	sopas	NCFP000	sopa
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
os	os	DA0MP0	o
nove	nove	Z	nove
pombos	pombos	NCMP000	pombo
os	os	DA0MP0	o
veio	veio	VMIS3S0	vir
fazer	fazer	VMN0000	fazer
nos	nos	SPS00+DA0MP0	em+o
nove	nove	Z	nove
dias	dias	NCMP000	dia
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
dito	dito	VMP00SM	dizer
	.	Fp	.
o	O	DA0MS0	o
primeiro	primeiro	NCMS000	primeiro
dia	dia	NCMS000	dia
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
mos	mos	PP1CS000+PP3MPA00	me+o
Comesou	começou	VMIS3S0	começar
a	a	SPS00	a
dar	dar	VMN0000	dar
fou	foi	VMIS3S0	ir
em	em	SPS00	em
hum	um	DI0MS0	um
quarta feira	quarta-feira	NCFS000	quarta-feira
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
quinta feira	quinta-feira	NCFS000	quinta-feira
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
desem	dessem	VMSI3P0	dar
hordem	ordem	NCFS000	ordem
a	a	SPS00	a
huma	uma	DI0FS0	um
pomba	pomba	NCFS000	pomba
e	e	CC	e
q	que	CS	que
a	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
me	me	PP1CS000	me
deitese	deitasse	VMSI0S0	deitar
e	e	CC	e
	,	Fc	,
asim	assim	RG	assim
como	como	CS	como
dese	desse	VMSI0S0	dar
as	as	DA0FP0	o
des	dez	Z	dez
horas	horas	NCFP000	hora
	,	Fc	,
me	me	PP1CS000	me
dese	desse	VMSI0S0	dar
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
a	a	DA0FS0	o
pomba	pomba	NCFS000	pomba
e	e	CC	e
eu	eu	PP1CSN00	eu
a	a	PP3FSA00	o
puzese	pusesse	VMSI0S0	pôr
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
estamogo	estômago	NCMS000	estômago
e	e	CC	e
o	o	DA0MS0	o
Rabo	rabo	NCMS000	rabo
dela	dela	SPS00+PP3FS000	de+ele
me	me	PP1CS000	me
fiquase	ficasse	VMSI0S0	ficar
pa	para	SPS00	para
a	a	DA0FS0	o
garganta	garganta	NCFS000	garganta
e	e	CC	e
a	a	DA0FS0	o
Cabesa	cabeça	NCFS000	cabeça
dela	dela	SPS00+PP3FS000	de+ele
pa	para	SPS00	para
baixo	baixo	RG	baixo
e	e	CC	e
q	que	CS	que
fose	fosse	VMSI0S0	ir
meia	meia	AQ0FS0	meia
hora	hora	NCFS000	hora
a	a	PP3FSA00	o
tirase	tirasse	VMSI0S0	tirar
do	do	SPS00+DA0MS0	de+o
estomago	estômago	NCMS000	estômago
e	e	CC	e
a	a	PP3FSA00	o
Chegase	chegasse	VMSI0S0	chegar
dobaxo	debaixo	RG	debaixo
do	do	SPS00+DA0MS0	de+o
braso	braço	NCMS000	braço
esquerdo	esquerdo	AQ0MS0	esquerdo
e	e	CC	e
a	a	PP3FSA00	o
dese	desse	VMSI0S0	dar
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
	.	Fp	.
ella	Ela	PP3FS000	ele
a	a	PP3FSA00	o
puzese	pusesse	VMSI0S0	pôr
a	à	SPS00+DA0FS0	a+o
parte	parte	NCFS000	parte
ahonde	aonde	PA000000	onde
as	as	DA0FP0	o
pombas	pombas	NCFP000	pomba
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
chegase	chegasse	VMSI0S0	chegar
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
sesta feira	sexta-feira	NCFS000	sexta-feira
pela	pela	SPS00+DA0FS0	por+o
minham	manhã	NCFS000	manhã
ma	ma	PP1CS000+PP3FSA00	me+o
dese	desse	VMSI0S0	dar
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
e	e	CC	e
eu	eu	PP1CSN00	eu
a	a	PP3FSA00	o
puzese	pusesse	VMSI0S0	pôr
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
estomago	estômago	NCMS000	estômago
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
a	a	PP3FSA00	o
Chegase	chegasse	VMSI0S0	chegar
debaixo	debaixo	RG	debaixo
do	do	SPS00+DA0MS0	de+o
braso	braço	NCMS000	braço
esquerdo	esquerdo	AQ0MS0	esquerdo
e	e	CC	e
q	que	CS	que
a	a	PP3FSA00	o
dese	desse	SPS00+DD0MS0	de+esse
a	a	SPS00	a
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
	.	Fp	.
e	E	CC	e
dise	disse	VMIS3S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
em	em	SPS00	em
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
modas	modas	NCFP000	moda
desem	dessem	VMSI3P0	dar
hordem	ordem	NCFS000	ordem
na	na	SPS00+DA0FS0	em+o
quinta feira	quinta-feira	NCFS000	quinta-feira
a	à	SPS00+DA0FS0	a+o
pomba	pomba	NCFS000	pomba
	,	Fc	,
porq	porque	CS	porque
na	na	SPS00+DA0FS0	em+o
sesta feira	sexta-feira	NCFS000	sexta-feira
a	a	SPS00	a
havia	havia	VMII0S0	haver
ella	ela	PP3FS000	ele
de	de	SPS00	de
hir	ir	VMN0000	ir
botala	botá-la	VMN0000+PP3FSA00	botar+o
na	na	SPS00+DA0FS0	em+o
vea	via	NCFS000	via
d	du	SPS00	de
agoa	água	NCFS000	água
e	e	CC	e
eu	eu	PP1CSN00	eu
q	que	CS	que
lha	lha	PP3CSD00+PP3FSA00	lhe+o
avia	havia	VMII0S0	haver
de	de	SPS00	de
dar	dar	VMN0000	dar
a	a	DA0FS0	o
pomba	pomba	NCFS000	pomba
a	a	SPS00	a
ella	ela	PP3FS000	ele
e	e	CC	e
huma	uma	DI0FS0	um
guita	guita	NCFS000	guita
pa	para	SPS00	para
ella	ela	PP3FS000	ele
atar	atar	VMN0000	atar
nesta	nesta	SPS00+DD0FS0	em+este
