Minha	Minha	DP1FSS	meu
tinha	tinha	VAIP3S0	ter
falecido	falecido	VMP0000	falecer
.	.	Fp	.
elle	Ele	PP3MS000	ele
mesmo	mesmo	AQ0MS0	mesmo
dará	dará	VMIF3S0	dar
mais	mais	RC	mais
larga	larga	AQ0FS0	largo
noticia	notícia	NCFS000	notícia
,	,	Fc	,
não	não	RN	não
só	só	RF	só
deste	deste	SPS00+DD0MS0	de+este
como	como	CS	como
dos	dos	SPS00+DA0MP0	de+o
mais	mais	DI0CN0	mais
Patricios	patrícios	NCMP000	patrício
q	que	PR0CN000	que
cá	cá	RG	cá
se	se	P00CN000	se
achão	acham	VMIP3P0	achar
nestes	nestes	SPS00+DD0MP0	em+este
Estados	Estados	NP00000	estados
,	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
eu	eu	PP1CSN00	eu
agora	agora	RG	agora
ande	ande	VMSP0S0	andar
embarcado	embarcado	VMP00SM	embarcar
,	,	Fc	,
q	que	CS	que
viemos	viemos	VMIS1P0	vir
acompanhar	acompanhar	VMN0000	acompanhar
a	a	DA0FS0	o
Nao	Nau	NP00000	nau
do	do	SPS00+DA0MS0	de+o
Reyno	Reino	NP00000	reino
em	em	SPS00	em
the	até	SPS00	até
cento	cento	NCMS000	cento
e	e	CC	e
trinta	trinta	Z	trinta
legoas	léguas	NCFP000	légua
plo	pelo	SPS00+DA0MS0	por+o
mar	mar	NCMS000	mar
dentro	dentro	RG	dentro
	,	Fc	,
não	não	RN	não
tive	tive	VMIS1S0	ter
mais	mais	RC	mais
lugar	lugar	NCMS000	lugar
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
hir	ir	VMN0000	ir
a	a	SPS00	a
Bordo	bordo	NCMS000	bordo
da	da	SPS00+DA0FS0	de+o
Nao	Nau	NP00000	nau
do	do	SPS00+DA0MS0	de+o
Reino	Reino	NP00000	reino
entregar	entregar	VMN0000	entregar
esta	esta	DD0FS0	este
e	e	CC	e
outras	outras	DI0FP0	outro
cartas	cartas	NCFP000	carta
,	,	Fc	,
hũa	uma	PI0FS000	um
do	do	SPS00+DA0MS0	de+o
calado	Calado	NP00000	calado
e	e	CC	e
outra	outra	PI0FS000	outro
de	de	SPS00	de
Lo-renço	Lourenço	NP00000	lorenço
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
mesmo	mesmo	AQ0MS0	mesmo
religiozo	religioso	NCMS000	religioso
p	por	SPS00	por
estes	estes	PD0MP000	este
taes	tais	DD0CP0	tal
andarem	andarem	VMN03P0	andar
embarcados	embarcados	VMP00PM	embarcar
comigo	comigo	SPS00+PP1CSO00	com+mim
e	e	CC	e
serem	serem	VSN03P0	ser
soldados	soldados	NCMP000	soldado
de	de	SPS00	de
hũa	uma	DI0FS0	um
compa	companhia	NCFS000	companhia
donde	onde	PA000000	onde
sou	sou	VSIP1S0	ser
sargto	sargento	NCMS000	sargento
	.	Fp	.
o	O	DA0MS0	o
Bernardo	Bernardo	NP00000	bernardo
Gomes	Gomes	NP00000	gomes
logra	logra	VMIP3S0	lograr
mui	muito	RQ	muito
pouca	pouca	DI0FS0	pouco
saude	saúde	NCFS000	saúde
cauza	causa	NCFS000	causa
mto	muito	RQ	muito
mole	mole	AQ0CS0	mole
,	,	Fc	,
q	que	CS	que
não	não	RN	não
faz	faz	VMIP3S0	fazer
nenhum	nenhum	DI0MS0	nenhum
exercicio	exercício	NCMS000	exercício
,	,	Fc	,
q	que	CS	que
aquelles	aqueles	PD0MP000	aquele
q	que	PR0CN000	que
cá	cá	RG	cá
o	o	PP3MSA00	o
não	não	RN	não
fazem	fazem	VMIP3P0	fazer
durão	duram	VMIP3P0	durar
mui	muito	RQ	muito
pouco	pouco	RQ	pouco
duvida	dúvida	NCFS000	dúvida
,	,	Fc	,
q	que	CS	que
tbem	também	RG	também
eu	eu	PP1CSN00	eu
no	no	SPS00+DA0MS0	em+o
pro	primeiro	AO0MS0	primeiro
anno	ano	NCMS000	ano
do	do	SPS00+DA0MS0	de+o
Reino	reino	NCMS000	reino
adoeci	adoeci	VMIS1S0	adoecer
mto	muito	RQ	muito
com	com	SPS00	com
sarnas	sarnas	NCFP000	sarna
e	e	CC	e
varias	várias	DI0FP0	vários
emfermidades	enfermidades	NCFP000	enfermidade
	.	Fp	.
depois	Depois	RG	depois
disso	disso	SPS00+PD0NN000	de+isso
tenho	tenho	VAIP1S0	ter
logrado	logrado	VMP0000	lograr
boa	boa	AQ0FS0	bom
saude	saúde	NCFS000	saúde
	,	Fc	,
q	que	CS	que
mereço	mereço	VMIP1S0	merecer
a	a	SPS00	a
Deos	Deus	NP00000	deus
,	,	Fc	,
e	e	CC	e
asim	assim	RG	assim
vou	vou	VMIP1S0	ir
passado	passado	VMP00SM	passar
como	como	CS	como
se	se	P00CN000	se
poem	põem	VMIP3P0	pôr
as	as	DA0FP0	o
couzas	coisas	NCFP000	coisa
,	.	Fp	.
a	A	DA0FS0	o
monção	monção	NCFS000	monção
passada	passada	VMP00SF	passar
chegou	chegou	VMIS3S0	chegar
aqui	aqui	RG	aqui
hum	um	DI0MS0	um
fo	filho	NCMS000	filho
de	de	SPS00	de
Mel	Manuel	NP00000	manuel
de	de	SPS00	de
Macedo	Macedo	NP00000	macedo
	.	Fp	.
la	Lá	RG	lá
o	o	PP3MSA00	o
tyvy	tive	VMIS1S0	ter
hum	um	DI0MS0	um
pouco	pouco	NCMS000	pouco
de	de	SPS00	de
tpo	tempo	NCMS000	tempo
em	em	SPS00	em
minha	minha	DP1FSS	meu
caza	casa	NCFS000	casa
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
como	como	CS	como
fui	fui	VMIS1S0	ir
embarcar	embarcar	VMN0000	embarcar
	,	Fc	,
qdo	quando	CS	quando
vim	vim	VMIS1S0	vir
lhe	lhe	PP3CSD00	lhe
perguntei	perguntei	VMIS1S0	perguntar
p	por	SPS00	por
elle	ele	PP3MS000	ele
	.	Fp	.
ja	Já	RG	já
tinha	tinha	VAIP3S0	ter
fugido	fugido	VMP0000	fugir
com	com	SPS00	com
outro	outro	DI0MS0	outro
hua	uma	DI0FS0	um
Feitoria	feitoria	NCFS000	feitoria
Ingleza	inglesa	AQ0FS0	inglês
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
na	na	SPS00+DA0FS0	em+o
Costa	Costa	NP00000	costa
de	de	SPS00	de
aonde	onde	PA000000	onde
chamão	chamam	VMIP3P0	chamar
Talicheira	Talicheira	NP00000	talicheira
	,	Fc	,
q	que	CS	que
estes	estes	DD0MP0	este
taes	tais	PD0CP000	tal
aly	ali	RG	ali
fogem	fogem	VMIP3P0	fugir
aseitão	aceitam	VMIP3P0	aceitar
paga	paga	NCFS000	paga
do	do	SPS00+DA0MS0	de+o
mesmo	mesmo	AQ0MS0	mesmo
Ingles	inglês	NCMS000	inglês
the	até	SPS00	até
acharem	acharem	VMN03P0	achar
monção	monção	NCFS000	monção
q	que	PR0CN000	que
os	os	PP3MPA00	o
levem	levem	VMSP0S0	levar
pa	para	SPS00	para
	.	Fp	.
cá	Cá	RG	cá
faleceu	faleceu	VMIS3S0	falecer
Joseph	José	NP00000	josé
Baupta	Batista	NP00000	batista
	,	Fc	,
o	o	DA0MS0	o
fo	filho	NCMS000	filho
do	do	SPS00+DA0MS0	de+o
Correyo	correio	NCMS000	correio
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
Hospital	hospital	NCMS000	hospital
	,	Fc	,
tizico	tísico	AQ0MS0	tísico
	.	Fp	.
esta	Esta	DD0FS0	este
noticia	notícia	NCFS000	notícia
podem	podem	VMIP3P0	poder
levar	levar	VMN0000	levar
a	a	SPS00	a
seu	seu	DP3MS0	seu
Pay	pai	NCMS000	pai
,	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
tbem	também	RG	também
cá	cá	RG	cá
tive	tive	VMIS1S0	ter
outra	outra	PI0FS000	outro
q	que	PR0CN000	que
morrido	morrido	VMP0000	morrer
Joseph	José	NP00000	josé
correia	Correia	NP00000	correia
da	da	SPS00+DA0FS0	de+o
Portagem	Portagem	NP00000	portagem
q	que	CS	que
tivera	tivera	VMIM0S0	ter
fora	fora	VSIM0S0	ser
Igual	igual	AQ0CS0	igual
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
vida	vida	NCFS000	vida
q	que	PR0CN000	que
de	de	SPS00	de
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
morrer	morrer	VMN0000	morrer
tão	tão	RC	tão
imcabrestado	encabrestado	VMP00SM	encabrestar
vivia	vivia	VMII0S0	viver
tanto	tanto	RC	tanto
a	à	SPS00+DA0FS0	a+o
redea	rédea	NCFS000	rédea
solta	solta	AQ0FS0	solto
strva	strva	X	X
exemplo	exemplo	NCMS000	exemplo
aos	aos	SPS00+DA0MP0	a+o
seus	seus	DP3MP0	seu
sequazes	sequazes	NCMP000	sequaz
	.	Fp	.
Vm	VM	NP00000	VM
mande	mande	VMSP0S0	mandar
noticia	notícia	NCFS000	notícia
de	de	SPS00	de
Izabel	Isabel	NP00000	isabel
da	da	SPS00+DA0FS0	de+o
Conceipção	Conceição	NP00000	conceição
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
mande	mande	VMSP0S0	mandar
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
parte	parte	NCFS000	parte
mtas	muitas	DI0FP0	muito
	,	Fc	,
mtas	muitas	DI0FP0	muito
saudes	saudades	NCFP000	saudade
	,	Fc	,
q	que	CS	que
não	não	RN	não
o	o	PP3MSA00	o
eu	eu	PP1CSN00	eu
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
escrever	escrever	VMN0000	escrever
,	,	Fc	,
q	que	CS	que
	,	Fc	,
como	como	CS	como
não	não	RN	não
noticia	notícia	NCFS000	notícia
do	do	SPS00+DA0MS0	de+o
Estado	estado	NCMS000	estado
em	em	SPS00	em
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
	,	Fc	,
rezão	razão	NCFS000	razão
hé	é	VSIP3S0	ser
q	que	CS	que
eu	eu	PP1CSN00	eu
não	não	RN	não
faço	faço	VMIP1S0	fazer
	,	Fc	,
não	não	RN	não
p	por	SPS00	por
me	me	PP1CS000	me
ingrato	ingrato	AQ0MS0	ingrato
q	que	CS	que
hera	era	VSII0S0	ser
desconhecer	desconhecer	VMN0000	desconhecer
o	o	DA0MS0	o
mto	muito	NCMS000	muito
de	de	SPS00	de
q	que	CS	que
devedor	devedor	NCMS000	devedor
q	que	PR0CN000	que
em	em	SPS00	em
todo	todo	DI0MS0	todo
tempo	tempo	NCMS000	tempo
confesar lhe	confessar-lhe	VMN0000+PP3CSD00	confessar+lhe
sou	sou	VSIP1S0	ser
obrigo	obrigado	VMP00SM	obrigar
	.	Fp	.
a	A	SPS00	a
sua	sua	DP3FS0	seu
fa	filha	NCFS000	filho
Franca	Francisca	NP00000	francisca
dará	dará	VMIF3S0	dar
Vm	VM	NP00000	VM
tbem	também	RG	também
de	de	SPS00	de
minha	minha	DP1FSS	meu
prte	parte	NCFS000	parte
hum	um	DI0MS0	um
grde	grande	AQ0CS0	grande
abraço	abraço	NCMS000	abraço
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
não	não	RN	não
permite	permite	VMIP3S0	permitir
o	o	DA0MS0	o
embarque	embarque	VMSP0S0	embarcar
o	o	DA0MS0	o
poderlhe	poder-lhe	VMN0000+PP3CSD00	poder+lhe
emviar	enviar	VMN0000	enviar
outra	outra	DI0FS0	outro
couza	coisa	NCFS000	coisa
	.	Fp	.
se	Se	CS	se
estivesse	estivesse	VMSI0S0	estar
em	em	SPS00	em
caza	casa	NCFS000	casa
	,	Fc	,
ja	já	RG	já
tinha	tinha	VAIP3S0	ter
decretado	decretado	VMP0000	decretar
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
havia	havia	VMII0S0	haver
de	de	SPS00	de
remeter	remeter	VMN0000	remeter
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
se	se	CS	se
não	não	RN	não
foi	foi	VMIS3S0	ir
nesta	nesta	SPS00+DD0FS0	em+este
monção	monção	NCFS000	monção
	,	Fc	,
já	já	RG	já
q	que	CS	que
o	o	DA0MS0	o
por	portador	NCMS000	portador
hera	era	VSII0S0	ser
tão	tão	RC	tão
seguro	seguro	AQ0MS0	seguro
	,	Fc	,
será	será	VSIF3S0	ser
em	em	SPS00	em
outra	outra	PI0FS000	outro
	,	Fc	,
querendo	querendo	VMG0000	querer
Deos	Deus	NP00000	deus
	.	Fp	.
os	Os	DA0MP0	o
meus	meus	DP1MPS	meu
coatro	quatro	Z	quatro
annos	anos	NCMP000	ano
q	que	PR0CN000	que
truxe	trouxe	VMIS1S0	trazer
de	de	SPS00	de
degredo	degredo	NCMS000	degredo
estãose	estão-se	VMIP3P0+P00CN000	estar+se
acabando	acabando	VMG0000	acabar
	.	Fp	.
elles	Eles	PP3MP000	ele
fimdados	findados	VMP00PM	findar
hei	hei	VMIP1S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
meus	meus	DP1MPS	meu
requerimtos	requerimentos	NCMP000	requerimento
a	a	SPS00	a
ver	ver	VMN0000	ver
se	se	CSI	se
posso	posso	VMIP1S0	poder
passar	passar	VMN0000	passar
a	a	SPS00	a
essas	essas	DD0FP0	esse
partes	partes	NCFP000	parte
,	,	Fc	,
q	que	CS	que
	,	Fc	,
a	a	SPS00	a
querer	querer	VMN0000	querer
hir	ir	VMN0000	ir
fugido	fugido	VMP00SM	fugir
	,	Fc	,
há	há	VMIP3S0	haver
mto	muito	RQ	muito
q	que	CS	que
o	o	PP3MSA00	o
tivera	tivera	VAIM0S0	ter
feito	feito	VMP0000	feito
	,	Fc	,
porem	porém	RG	porém
não	não	RN	não
quero	quero	VMIP1S0	querer
procurar	procurar	VMN0000	procurar
caminho	caminho	NCMS000	caminho
p	por	SPS00	por
onde	onde	PA000000	onde
adesvaneça	desvaneça	VMSP0S0	desvanecer
a	a	DA0FS0	o
opinião	opinião	NCFS000	opinião
em	em	SPS00	em
q	que	PR0CN000	que
me	me	PP1CS000	me
considero	considero	VMIP1S0	considerar
,	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
me	me	PP1CS000	me
pareçe	parece	VMIP3S0	parecer
melhor	melhor	RC	melhor
sollicitalo	solicitá-lo	VMN0000+PP3MSA00	solicitar+o
pellos	pelos	SPS00+DA0MP0	por+o
meyos	meios	NCMP000	meio
em	em	SPS00	em
q	que	PR0CN000	que
fique	fique	VMSP0S0	ficar
bem	bem	RG	bem
p	por	SPS00	por
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
caminhos	caminhos	NCMP000	caminho
e	e	CC	e
vá	vá	VMSP0S0	ir
eu	eu	PP1CSN00	eu
descançado	descansado	VMP00SM	descansar
pa	para	SPS00	para
a	a	DA0FS0	o
Patria	pátria	NCFS000	pátria
asistir	assistir	VMN0000	assistir
emqto	enquanto	CS	enquanto
Vm	VM	NP00000	VM
tiver	tiver	VMSF0S0	ter
vida	vida	NCFS000	vida
e	e	CC	e
adepois	depois	RG	depois
procurarei	procurarei	VMIF1S0	procurar
recurço	recurso	NCMS000	recurso
adonde	onde	PA000000	onde
possa	possa	VMSP0S0	poder
viver	viver	VMN0000	viver
	.	Fp	.
mandeme	Mande-me	VMSP0S0+PP1CS000	mandar+me
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
benção	bênção	NCFS000	bênção
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
peço	peço	VMIP1S0	pedir
,	,	Fc	,
e	e	CC	e
emcomendeme	encomende-me	VMSP0S0+PP1CS000	encomendar+me
a	a	SPS00	a
Deos	Deus	NP00000	deus
,	,	Fc	,
q	que	CS	que
os	os	DA0MP0	o
favores	favores	NCMP000	favor
q	que	PR0CN000	que
elle	Ele	PP3MS000	ele
me	me	PP1CS000	me
faz	faz	VMIP3S0	fazer
não	não	RN	não
me	me	PP1CS000	me
atribuo	atribuo	VMIP1S0	atribuir
senão	senão	CC	senão
as	às	SPS00+DA0FP0	a+o
introducoens	introduções	NCFP000	introdução
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
mtas	Muitas	DI0FP0	muito
saudes	saudades	NCFP000	saudade
a	a	SPS00	a
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
Parentes	parentes	NCMP000	parente
em	em	SPS00	em
geral	geral	NCMS000	geral
e	e	CC	e
a	a	SPS00	a
Bernardo	Bernardo	NP00000	bernardo
Frco	Francisco	NP00000	francisco
e	e	CC	e
a	a	SPS00	a
seus	seus	DP3MP0	seu
fos	filhos	NCMP000	filho
	.	Fp	.
com	Com	SPS00	com
isto	isto	PD0NN000	isto
não	não	RN	não
emfado	enfado	VMIP1S0	enfadar
mais	mais	RC	mais
a	a	DA0FS0	o
Vm	VM	NP00000	VM
	,	Fc	,
a	a	DA0FS0	o
qm	quem	PR0CN000	quem
Deos	Deus	NP00000	deus
gude	guarde	VMSP0S0	guardar
	.	Fp	.
Fragta	Fragata	NP00000	fragata
do	do	SPS00+DA0MS0	de+o
Comboyo	Comboio	NP00000	comboio
N	Nossa	NP00000	nossa
Snra	Senhora	NP00000	senhor
da	da	SPS00+DA0FS0	de+o
Palma	Palma	NP00000	palma
	,	Fc	,
31	31	Z	31
de	de	SPS00	de
Janro	janeiro	NCMS000	janeiro
de	de	SPS00	de
1727	1727	Z	1727
D	De	SPS00	de
Vm	VM	NP00000	VM
Filho	filho	NCMS000	filho
mto	muito	RQ	muito
amte	amante	AQ0CS0	amante
e	e	CC	e
mais	mais	RC	mais
obe	obediente	AQ0CS0	obediente
	,	Fc	,
Adrião	Adrião	NP00000	adrião
da	da	SPS00+DA0FS0	de+o
Silvra	Silveira	NP00000	silveira
Sarmto	Sarmento	NP00000	sarmento
