Lxa.	Lxa	NP00000	lisboa
informado	informado	VMP00SM	informar
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
viver	viver	NCMS000	viver
	.	Fp	.
Remeti	Remeti	VMIS1S0	remeter
as	as	DA0FP0	o
Crartas	cartas	NCFP000	carta
pera	para	SPS00	para
sima	cima	NCFS000	cima
	;	Fc	;
athe	até	SPS00	até
guora	agora	RG	agora
não	não	RN	não
tem	tem	VMIP3S0	ter
cheguado	chegado	VMP00SM	chegar
a	a	DA0FS0	o
Reposta	resposta	NCFS000	resposta
dellas	delas	SPS00+PP3FP000	de+ele
	,	Fc	,
mas	mas	CC	mais
tive	tive	VMIS1S0	ter
carta	carta	NCFS000	carta
que	que	PR0CN000	que
se	se	P00CN000	se
dis	diz	VMIP3S0	dizer
ficavão	ficavam	VMII3P0	ficar
de	de	SPS00	de
saude	saúde	NCFS000	saúde
e	e	CC	e
Recomendandome	recomendando-me	VMG0000+PP1CS000	recomendar+me
mto	muito	RQ	muito
	,	Fc	,
se	se	CS	se
tinha	tinha	VMII0S0	ter
algumas	algumas	DI0FP0	algum
notisias	notícias	NCFP000	notícia
de	de	SPS00	de
vmce	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
os	os	PP3MSA00	o
avizase	avisasse	VMSI0S0	avisar
hemanuel	Emanuel	NP00000	Emanuel
nunes	Nunes	NP00000	nunes
que	que	CS	que
vem	vem	VMIP3S0	vir
	.	Fp	.
pudera	Pudera	VMIM0S0	poder
vme	VM	NP00000	VM
AlenBrase	alembrar-se	VMN0000+P00CN000	alembrar-se
delle	dele	SPS00+PP3MS000	de+ele
No	no	SPS00+DA0MS0	em+o
particullar	particular	NCMS000	particular
que	que	PR0CN000	que
vme	VM	NP00000	VM
save	sabe	VMIP3S0	saber
	.	Fp	.
Marcos	Marcos	NP00000	marcos
Nunes	Nunes	NP00000	nunes
he	e	CC	e
dos	Domingos	NP00000	domingos
gonsalves	Gonçalves	NP00000	gonçalves
	,	Fc	,
todos	todos	PI0MP000	todo
geralmte	geralmente	RG	geralmente
se	se	CS	se
Recomendão	recomendam	VMIP3P0	recomendar
a	a	SPS00	a
vme	VM	NP00000	VM
	,	Fc	,
geralmte	geralmente	RG	geralmente
Com	com	SPS00	com
mtas	muitas	DI0FP0	muito
Lenbransas	lembranças	NCFP000	lembrança
	.	Fp	.
he	E	CC	e
lourenso	Lourenço	NP00000	lourenço
llopes	Lopes	NP00000	lopes
	,	Fc	,
seu	seu	DP3MS0	seu
Pro	primo	NCMS000	primo
	,	Fc	,
se	se	CS	se
Recomenda	recomenda	VMIP3S0	recomendar
a	a	SPS00	a
vme	VM	NP00000	VM
com	com	SPS00	com
mtas	muitas	DI0FP0	muito
lenbransas	lembranças	NCFP000	lembrança
	,	Fc	,
he	e	CC	e
que	que	CS	que
veja	veja	VMSP0S0	ver
vme	VM	NP00000	VM
o	o	DA0MS0	o
que	que	PR0CN000	que
fas	faz	VMIP3S0	fazer
	,	Fc	,
que	que	CS	que
hiso	isso	PD0NN000	isso
não	não	RN	não
parese	parece	VMIP3S0	parecer
bem	bem	RG	bem
vme	VM	NP00000	VM
estar	estar	VMN0000	estar
nesa	nessa	SPS00+DD0FS0	em+esse
teRa	terra	NCFS000	terra
a	há	VMIP3S0	haver
tantos	tantos	DI0MP0	tanto
annos	anos	NCMP000	ano
	,	Fc	,
Sem	sem	SPS00	sem
vme	VM	NP00000	VM
ter	ter	VMN0000	ter
ComRespondensia	correspondência	NCFS000	correspondência
a	a	SPS00	a
quem	quem	PR0CN000	quem
vme	VM	NP00000	VM
deve	deve	VMIP3S0	dever
ComResponder	corresponder	VMN0000	corresponder
	,	Fc	,
pouis	pois	CS	pois
deos	Deus	NP00000	deus
lhe	lhe	PP3CSD00	lhe
da	dá	VMIP3S0	dar
saude	saúde	NCFS000	saúde
pa	para	SPS00	para
o	o	DA0MS0	o
guanhar	ganhar	VMN0000	ganhar
	.	Fp	.
tambem	Também	RG	também
pode	pode	VMIP3S0	poder
vme	VM	NP00000	VM
fazer	fazer	VMN0000	fazer
aquillo	aquilo	PD0NN000	aquilo
que	que	CS	que
he	é	VSIP3S0	ser
obriguado	obrigado	VMP00SM	obrigar
he	e	CC	e
deos	Deus	NP00000	deus
Manda	manda	VMIP3S0	mandar
	,	Fc	,
porq	porque	CS	porque
helle	ele	PP3MS000	ele
inda	ainda	RG	ainda
esta	está	VMIP3S0	estar
lenbrado	lembrado	VMP00SM	lembrar
de	de	SPS00	de
huma	uma	DI0FS0	um
informasão	informação	NCFS000	informação
de	de	SPS00	de
vme	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
foi	foi	VMIS3S0	ir
tirar	tirar	VMN0000	tirar
adiante	adiante	RG	adiante
do	do	SPS00+DA0MS0	de+o
lhabens	lhafens	NCMS000	lhafens
d	de	SPS00	de
aRoios	Arroios	NP00000	arroios
	,	Fc	,
a	a	SPS00	a
huma	uma	DI0FS0	um
qa	quinta	NCFS000	quinta
donde	onde	PA000000	onde
helle	ele	PP3MS000	ele
prezidia	presidia	VMIP3S0	presidiar
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
se	se	CS	se
helle	ele	PP3MS000	ele
não	não	RN	não
fose	fosse	VMSI0S0	ir
	,	Fc	,
podera	pudera	VMIM0S0	poder
ser	ser	VSN0000	ser
que	que	CS	que
alguma	alguma	DI0FS0	algum
diabrura	diabrura	NCFS000	diabrura
poderia	poderia	VMIC0S0	poder
asoseder	suceder	VMN0000	suceder
	.	Fp	.
agora	Agora	RG	agora
vme	VM	NP00000	VM
considera	considera	VMIP3S0	considerar
o	o	DA0MS0	o
q	que	PR0CN000	que
niso	nisso	SPS00+PD0NN000	em+isso
pode	pode	VMIP3S0	poder
soseder	suceder	VMN0000	suceder
	.	Fp	.
como	Como	CS	como
aguora	agora	RG	agora
lla	lá	RG	lá
esta	está	VMIP3S0	estar
llonge	longe	RG	longe
	,	Fc	,
não	não	RN	não
havera	haverá	VMIF3S0	haver
quem	quem	PR0CN000	quem
de	dê	VMSP0S0	dar
notisia	notícia	NCFS000	notícia
	.	Fp	.
e	E	CC	e
	,	Fc	,
a	a	SPS00	a
Respto	respeito	NCMS000	respeito
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
eu	eu	PP1CSN00	eu
escrever	escrever	VMN0000	escrever
noto	notícia	NCFS000	notícia
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dava	dava	VMII0S0	dar
	,	Fc	,
hera	era	VMIP3S0	era
que	que	CS	que
as	as	DA0FP0	o
minhas	minhas	DP1FPS	meu
Cartas	cartas	NCFP000	carta
não	não	RN	não
servisem	servissem	RN	não
de	de	SPS00	de
condenasão	condenação	NCFS000	condenação
	.	Fp	.
he	E	CC	e
com	com	SPS00	com
isto	isto	PD0NN000	isto
não	não	RN	não
mollesto	molesto	VMIP1S0	molestar
mais	mais	RC	mais
a	a	SPS00	a
vme	VM	NP00000	VM
	.	Fp	.
o	O	DA0MS0	o
seo	céu	NCMS000	céu
o	o	PP3MSA00	o
gde	guarde	VMSP0S0	guardar
como	como	CS	como
lhe	lhe	PP3CSD00	lhe
dezo	desejo	VMIP1S0	desejar
	.	Fp	.
hera	Era	VSII0S0	ser
	,	Fc	,
mes	mês	NCMS000	mês
	,	Fc	,
anno	ano	NCMS000	ano
ut	ut	SPS00	ut
supra	supra	RG	supra
	.	Fp	.
Snor	Senhor	NP00000	senhor
Luis	Luís	NP00000	luís
dos	dos	SPS00+DA0MP0	de+o
Santos	Santos	NP00000	santos
	,	Fc	,
servo	servo	NCMS000	servo
de	de	SPS00	de
vme	VM	NP00000	VM
o	o	DA0MS0	o
mais	mais	RC	mais
amte	amante	AQ0CS0	amante
	,	Fc	,
Manoel	Manuel	NP00000	manuel
Rodrigues	Rodrigues	NP00000	rodrigues
