Querida	Querida	AQ0FS0	querido
esse	esse	DD0MS0	esse
he	é	VSIP3S0	ser
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
Cuido	cuidado	VMP00SM	cuidar
	.	Fp	.
não	Não	RN	não
se	se	P00CN000	se
mude	mude	VMSP0S0	mudar
a	a	DA0FS0	o
rapariga	rapariga	NCFS000	rapaz
por	por	SPS00	por
azonnas	enzonas	NCFP000	enzona
do	do	SPS00+DA0MS0	de+o
Pay	pai	NCMS000	pai
	,	Fc	,
q	que	CS	que
	,	Fc	,
feito	feito	NCMS000	feito
o	o	DA0MS0	o
cazamto	casamento	NCMS000	casamento
	,	Fc	,
mtas	muitas	DI0FP0	muito
coizas	coisas	NCFP000	coisa
has	hás	RG	hás
de	de	SPS00	de
tu	tu	PP2CSN00	tu
ver	ver	VMN0000	ver
a	a	SPS00	a
teo	teu	DP2MSS	teu
favor	favor	NCMS000	favor
	,	Fc	,
Ds	Deus	NP00000	deus
te	te	PP2CS000	te
de	dê	VMSP0S0	dar
saude	saúde	NCFS000	saúde
	.	Fp	.
e	E	CC	e
armate	arma-te	VMM02S0+PP2CS000	armar+te
de	de	SPS00	de
animo	ânimo	NCMS000	ânimo
	,	Fc	,
q	que	CS	que
	,	Fc	,
con	com	SPS00	com
u	o	DA0MS0	o
favor	favor	NCMS000	favor
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
ainda	ainda	RG	ainda
te	te	PP2CS000	te
has	hás	VMIP3S0	haver
de	de	SPS00	de
ver	ver	VMN0000	ver
con	com	SPS00	com
gostos	gostos	NCMP000	gosto
,	.	Fp	.
Eu	Eu	PP1CSN00	eu
fasso	faço	VMIP1S0	fazer
conta	conta	NCFS000	conta
de	de	SPS00	de
amanhem	amanhã	RG	amanhã
hir	ir	VMN0000	ir
falar	falar	VMN0000	falar
con	com	SPS00	com
D	Dom	NP00000	dom
Nuno	Nuno	NP00000	nuno
pa	para	SPS00	para
ver	ver	VMN0000	ver
se	se	CS	se
alcansso	alcanço	VMIP3S0	alcançar
licenssa	licença	NCFS000	licença
pa	para	SPS00	para
te	te	PP2CS000	te
falar	falar	VMN0000	falar
	.	Fp	.
q	Que	CS	que
Ds	Deus	NP00000	deus
premita	permita	VMSP0S0	permitir
q	que	CS	que
Eu	eu	PP1CSN00	eu
conssiga	consiga	VMSP0S0	conseguir
esse	esse	DD0MS0	esse
alivio	alívio	NCMS000	alívio
	.	Fp	.
o	O	DA0MS0	o
q	que	PR0CN000	que
he	é	VSIP3S0	ser
mao	mau	AQ0MS0	mau
he	é	VSIP3S0	ser
us	os	DA0MP0	o
alugeis	aluguéis	NCMP000	aluguel
de	de	SPS00	de
seje	sege	NCFS000	sege
e	e	CC	e
eu	eu	PP1CSN00	eu
estar	estar	VMN0000	estar
tão	tão	RC	tão
pobre	pobre	AQ0CS0	pobre
	.	Fp	.
E	E	CC	e
tambem	também	RG	também
me	me	PP1CS000	me
dizem	dizem	VMIP3P0	dizer
q	que	CS	que
ei	hei	VMIP1S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
falar	falar	VMN0000	falar
a	a	SPS00	a
el rei	El-Rei	NP00000	el-rei
e	e	CC	e
os	aos	SPS00+DA0MP0	a+o
sacratarios	secretários	NCMP000	secretário
	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
m	minha	DP1FSS	meu
rica	rica	AQ0FS0	rico
mana	Mana	NCFS000	mano
	,	Fc	,
por	por	SPS00	por
ti	ti	PP2CSO00	ti
estou	estou	VMIP1S0	estar
pronta	pronta	AQ0FS0	pronto
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
todo	todo	DI0MS0	todo
u	o	DA0MS0	o
eissesso	excesso	NCMS000	excesso
,	,	Fc	,
q	que	CS	que
estas	estas	DD0FP0	este
coizas	coisas	NCFP000	coisa
	,	Fc	,
bem	bem	RG	bem
podes	podes	VMIP2S0	poder
tu	tu	PP2CSN00	tu
supor	supor	VMN0000	supor
	,	Fc	,
pa	para	SPS00	para
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
genio	génio	NCMS000	génio
u	o	DA0MS0	o
quanto	quanto	PR0CN000	quanto
me	me	PP1CS000	me
custara	custará	VMIF3S0	custar
,	.	Fp	.
no	No	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
respeita	respeita	VMIP3S0	respeitar
a	a	SPS00	a
Joze	José	NP00000	josé
Pedro	Pedro	NP00000	pedro
	,	Fc	,
ha	há	VMIP3S0	haver
tres	três	Z	três
dias	dias	NCMP000	dia
q	que	PR0CN000	que
u	o	PP3MSA00	o
ssube	soube	VMIS1S0	saber
	,	Fc	,
te	te	PP2CS000	te
afirmo	afirmo	VMIP1S0	afirmar
q	que	CS	que
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
bem	bem	RG	bem
rauva	raiva	NCFS000	raiva
	.	Fp	.
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
não	não	RN	não
quero	quero	VMIP1S0	querer
quem	quem	PR0CN000	quem
lhe	lhe	PP3CSD00	lhe
de	dê	VMSP0S0	dar
milhor	melhor	RG	melhor
u	o	DA0MS0	o
recado	recado	NCMS000	recado
q	que	CS	que
u	o	DA0MS0	o
mener	menor	AQ0CS0	menor
	,	Fc	,
q	que	CS	que
tambem	também	RG	também
tumou	tomou	VMIS3S0	tomar
pacham	paixão	NCFS000	paixão
	,	Fc	,
e	e	CC	e
a	a	DA0FS0	o
m.	menina	NCFS000	menino
D	Dona	NP00000	dona
Anna	Ana	NP00000	ana
	,	Fc	,
q	que	PR0CN000	que
falla	fala	VMIP3S0	falar
nisto	nisto	SPS00+PD0NN000	em+isto
bem	bem	RG	bem
a	a	SPS00	a
meo	meu	DP1MSS	meu
gosto	gosto	NCMS000	gosto
	.	Fp	.
aseita	Aceita	VMIP3S0	.
delles	deles	SPS00+PP3MP000	de+ele
tres	três	Z	três
mil	mil	Z	mil
recomendassois	recomendações	NCFP000	recomendação
	.	Fp	.
u	O	DA0MS0	o
mener	menor	AQ0CS0	menor
	,	Fc	,
suponho	suponho	VMIP1S0	supor
se	se	CS	se
vai	vai	VMIP3S0	ir
de	de	SPS00	de
hoje	hoje	RG	hoje
a	a	SPS00	a
oito	oito	Z	oito
dias	dias	NCMP000	dia
	.	Fp	.
elle	Ele	PP3MS000	ele
me	me	PP1CS000	me
deo	deu	VMIS3S0	dar
esse	esse	DD0MS0	esse
escrito	escrito	NCMS000	escrito
pa	para	SPS00	para
te	te	PP2CS000	te
mandar	mandar	VMN0000	mandar
	.	Fp	.
mana	Mana	NP00000	mano
	,	Fc	,
disserãome	disseram-me	VMIS3P0+PP1CS000	dizer+me
q	que	CS	que
tu	tu	PP2CSN00	tu
me	me	PP1CS000	me
querias	querias	VMII2S0	querer
mandar	mandar	VMN0000	mandar
u	o	DA0MS0	o
teo	teu	DP2MSS	teu
colcham	colchão	NCMS000	colchão
	.	Fp	.
mandao	Manda-o	VMIP3S0+PP3MSA00	mandar+o
con	com	SPS00	com
o	o	DA0MS0	o
q	que	PR0CN000	que
ques	queres	VMIP2S0	querer
e	e	CC	e
tumara	tomara	VMIM0S0	tomar
q	que	CS	que
me	me	PP1CS000	me
mandasses	mandasses	VMSP2S0	mandar
u	o	DA0MS0	o
teo	teu	DP2MSS	teu
vestido	vestido	NCMS000	vestido
	.	Fp	.
e	E	CC	e
aDs	adeus	NCMS000	adeus
	,	Fc	,
mana	Mana	NP00000	mano
	,	Fc	,
q	que	CS	que
agora	agora	RG	agora
não	não	RN	não
posso	posso	VMIP1S0	poder
mais	mais	RC	mais
	.	Fp	.
mtas	Muitas	DI0FP0	muito
saudades	saudades	NCFP000	saudade
a	a	SPS00	a
faustina	Faustina	NP00000	faustina
e	e	CC	e
tem	tem	VMIP3S0	ter
animo	ânimo	NCMS000	ânimo
	,	Fc	,
q	que	CS	que
Ds	Deus	NP00000	deus
ha	há	VMIP3S0	haver
de	de	SPS00	de
acudir	acudir	VMN0000	acudir
	.	Fp	.
