Rmo	Reverendíssimo	AQSMS0	reverendo
repita	repita	VMSP0S0	repetir
a	a	SPS00	a
miudo	miúdo	NCMS000	miúdo
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
boas	boas	AQ0FP0	bom
noticias	notícias	NCFP000	notícia
.	.	Fp	.
A	A	SPS00	a
tudo	tudo	PI0NN000	tudo
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dis	diz	VMIP3S0	dizer
respto	respeito	NCMS000	respeito
,	,	Fc	,
envio	envio	VMIP1S0	enviar
Saudades	saudades	NCFP000	saudade
.	.	Fp	.
Não	Não	RN	não
há	há	VMIP3S0	haver
por	por	SPS00	por
hora	hora	NCFS000	honra
mais	mais	RC	mais
tempo	tempo	NCMS000	tempo
.	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
P	Paternidade	NP00000	paternidade
.	.	Fp	.
Mariana	Mariana	NP00000	mariana
	.	Fp	.
aos	Aos	SPS00+DA0MP0	a+o
13	13	Z	13
de	de	SPS00	de
Janro	janeiro	NCMS000	janeiro
de	de	SPS00	de
1763	1763	Z	1763
	.	Fp	.
De	De	SPS00	de
V	Vossa	DP2FSP	vosso
P	Paternidade	NP00000	paternidade
Amante	amante	AQ0CS0	amante
e	e	CC	e
fiel	fiel	AQ0CS0	fiel
Primo	primo	NCMS000	primo
	,	Fc	,
Lino	Lino	NP00000	lino
Lopes	Lopes	NP00000	lopes
de	de	SPS00	de
Mattos	Matos	NP00000	matos
