Mto	Muito	RQ	muito
em	em	SPS00	em
couza	coisa	NCFS000	coisa
nenhua	nenhuma	DI0FS0	nenhum
e	e	CC	e
nem	nem	CC	nem
pa	para	SPS00	para
tal	tal	RC	tal
queria	queria	VMII0S0	querer
comcorer	concorrer	VMN0000	concorrer
mas	mas	CC	mais
foi	foi	VSIS3S0	ser
por	por	SPS00	por
emduzimto	induzimento	NCMS000	induzimento
dellas	delas	SPS00+PP3FP000	de+ele
	.	Fp	.
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
vmce	VM	NP00000	VM
como	como	CS	como
dezejo	desejo	VMIP1S0	desejar
	.	Fp	.
Maria	Maria	NP00000	maria
da	da	SPS00+DA0FS0	de+o
Conceicão	Conceição	NP00000	conceição
eu	Eu	PP1CSN00	eu
pesso	peço	VMIP1S0	pedir
a	a	SPS00	a
vmce	VM	NP00000	VM
sñr	senhor	NCMS000	senhor
pe	padre	NCMS000	padre
cura	cura	NCMS000	cura
	,	Fc	,
deBaixo	debaixo	RG	debaixo
de	de	SPS00	de
confi-cão	confissão	NCFS000	confissão
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
não	não	RN	não
descubra	descubra	VMSP0S0	descobrir
a	a	SPS00	a
mim	mim	PP1CSO00	mim
debaixo	debaixo	RG	debaixo
de	de	SPS00	de
sezilio	sigilo	NCMS000	sigilo
de	de	SPS00	de
comficão	confissão	NCFS000	confissão
	.	Fp	.
