M	Muito	RQ	muito
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
diga	diga	VMSP0S0	dizer
q	que	CS	que
sim	sim	RG	sim
	,	Fc	,
denuncio	denuncio	VMIP1S0	denunciar
logo	logo	RG	logo
ao	ao	SPS00+DA0MS0	a+o
Sto	Santo	AQ0MS0	santo
officio	Ofício	NP00000	ofício
porq	porque	CS	porque
a	a	DA0FS0	o
Molher	mulher	NCFS000	mulher
esta	está	VMIP3S0	estar
viva	viva	AQ0FS0	vivo
,	.	Fp	.
e	E	CC	e
fasa	faça	VMSP0S0	fazer
Vmce	VM	NP00000	VM
essa	essa	DD0FS0	esse
deliga	diligência	NCFS000	diligência
com	com	SPS00	com
cautella	cautela	NCFS000	cautela
porq	porque	CS	porque
ca	cá	RG	cá
se	se	P00CN000	se
veyo	veio	VMIS3S0	vir
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
este	este	DD0MS0	este
hospital	Hospital	NP00000	hospital
q	que	CS	que
estava	estava	VMII0S0	estar
cazado	casado	VMP00SM	casar
,	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
Molher	mulher	NCFS000	mulher
ja	já	RG	já
o	o	PP3MSA00	o
sabe	sabe	VMIP3S0	saber
	.	Fp	.
do	Do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
ouver	houver	VMSF0S0	haver
	,	Fc	,
me	me	PP1CS000	me
avize	avise	VMSP0S0	avisar
.	.	Fp	.
as	As	DA0FP0	o
Igras	igrejas	NCFP000	igreja
dizem	dizem	VMIP3P0	dizer
q	que	CS	que
brevemte	brevemente	RG	brevemente
sairão	sairão	VMIF3P0	sair
	.	Fp	.
trabalhace	Trabalha-se	VMIP3S0+P00CN000	trabalhar+se
com	com	SPS00	com
forsa	força	NCFS000	força
nos	nos	SPS00+DA0MP0	em+o
palanques	palanques	NCMP000	palanque
pa	para	SPS00	para
os	os	DA0MP0	o
touros	touros	NCMP000	touro
	.	Fp	.
eu	Eu	PP1CSN00	eu
faso	faço	VMIP1S0	fazer
tensão	tenção	NCFS000	tenção
de	de	SPS00	de
os	os	PP3MPA00	o
não	não	RN	não
ver	ver	VMN0000	ver
	.	Fp	.
não	Não	RN	não
cerve	serve	VMIP3S0	servir
de	de	SPS00	de
mais	mais	RC	mais
	.	Fp	.
fico	Fico	VMIP1S0	ficar
pronto	pronto	AQ0MS0	pronto
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
obedecer	obedecer	VMN0000	obedecer
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
for	for	VSSF0S0	ser
de	de	SPS00	de
seu	seu	DP3MS0	seu
serviso	serviço	NCMS000	serviço
	.	Fp	.
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
Hospital	Hospital	NP00000	hospital
de	de	SPS00	de
Todos	Todos	DI0MP0	todo
os	os	DA0MP0	o
Santos	Santos	NP00000	santos
	,	Fc	,
20	20	Z	20
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
de	de	SPS00	de
1752	1752	Z	1752
	.	Fp	.
Servo	Servo	AQ0MS0	servo
Amo	amigo	NCMS000	amigo
Mais	mais	RC	mais
oBro	obrigado	VMP00SM	obrigar
de	de	SPS00	de
Vmc	VM	NP00000	VM
	,	Fc	,
O	O	DA0MS0	o
Pe	Padre	NP00000	padre
Anto	António	NP00000	antónio
Rodrigues	Rodrigues	NP00000	rodrigues
Leytam	Leitão	NP00000	leitão
