Tenho	Tenho	VAIP1S0	ter
ve	vê	VMIP3S0	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
vmce	VM	NP00000	VM
tem	tem	VAIP3S0	ter
dito	dito	VMP0000	dizer
em	em	SPS00	em
proguntas	perguntas	NCFP000	pergunta
pa	para	SPS00	para
milhor	melhor	RC	melhor
se	se	P00CN000	se
fundar	fundar	VMN0000	fundar
	,	Fc	,
tanto	tanto	CC	tanto
a	a	SPS00	a
respto	respeito	NCMS000	respeito
do	do	SPS00+DA0MS0	de+o
dinro	dinheiro	NCMS000	dinheiro
qe	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
ganharão	ganharam	VMIS3P0	ganhar
	,	Fc	,
como	como	CC	como
do	do	SPS00+DA0MS0	de+o
marido	marido	NCMS000	marido
de	de	SPS00	de
Joaqa	Joaquina	NP00000	joaquina
	.	Fp	.
e	E	CC	e
ja	já	RG	já
se	se	P00CN000	se
mandou	mandou	VMIS3S0	mandar
um	um	DI0MS0	um
requerimto	requerimento	NCMS000	requerimento
ao	ao	SPS00+DA0MS0	a+o
Regedor	Regedor	NP00000	regedor
a	a	SPS00	a
ver	ver	VMN0000	ver
se	se	CSI	se
o	o	PP3MSA00	o
mandava	mandava	VMII0S0	mandar
tirar	tirar	VMN0000	tirar
de	de	SPS00	de
segredo	segredo	NCMS000	segredo
	.	Fp	.
elle	Ele	PP3MS000	ele
despachou	despachou	VMIS3S0	despachar
que	que	CS	que
	,	Fc	,
po	por	SPS00	por
ora	ora	RG	ora
	,	Fc	,
não	não	RN	não
havia	havia	VMII0S0	haver
qe	que	PR0CN000	que
deferir	deferir	VMN0000	deferir
	,	Fc	,
mas	mas	CC	mas
isto	isto	PD0NN000	isto
ja	já	RG	já
foi	foi	VSIS3S0	ser
a	há	VMIP3S0	haver
mais	mais	RC	mais
de	de	SPS00	de
8	8	Z	8
dias	dias	NCMP000	dia
;	.	Fp	.
e	E	CC	e
fique	fique	VMSP0S0	ficar
descansado	descansado	VMP00SM	descansar
qe	que	CS	que
tudo	tudo	PI0NN000	tudo
qto	quanto	PA000000	quanto
lhe	lhe	PP3CSD00	lhe
eu	eu	PP1CSN00	eu
poder	puder	VMSF0S0	poder
fazer	fazer	VMN0000	fazer
	,	Fc	,
tudo	tudo	PI0NN000	tudo
lhe	lhe	PP3CSD00	lhe
ei	hei	VMIP1S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	,	Fc	,
tanto	tanto	CC	tanto
pla	pela	SPS00+DA0FS0	por+o
sua	sua	DP3FS0	seu
amizade	amizade	NCFS000	amizade
;	,	Fc	,
como	como	CS	como
pla	pela	SPS00+DA0FS0	por+o
endigençia	indigência	NCFS000	indigência
a	a	SPS00	a
qe	que	PR0CN000	que
o	o	PP3MSA00	o
vejo	vejo	VMIP1S0	ver
reduzido	reduzido	VMP00SM	reduzir
;	,	Fc	,
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
eu	eu	PP1CSN00	eu
bem	bem	RG	bem
dezejara	desejara	VMIM0S0	desejar
estar	estar	VMN0000	estar
na	na	SPS00+DA0FS0	em+o
ma	minha	DP1FSS	meu
mão	mão	NCFS000	mão
com	com	SPS00	com
qe	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
pudeçe	pudesse	VMSI0S0	poder
valer	valer	VMN0000	valer
;	,	Fc	,
pois	pois	CS	pois
conheça	conheça	VMSP0S0	conhecer
qe	que	CS	que
sou	sou	VSIP1S0	ser
seu	seu	DP3MS0	seu
Amigo	amigo	NCMS000	amigo
do	do	SPS00+DA0MS0	de+o
C	coração	NCMS000	coração
	.	Fp	.
emqto	Enquanto	CS	enquanto
ao	ao	SPS00+DA0MS0	a+o
signal	sinal	NCMS000	sinal
;	,	Fc	,
pode	pode	VMIP3S0	poder
mandalo	mandá-lo	VMN0000+PP3MSA00	mandar+o
pa	para	SPS00	para
se	se	P00CN000	se
emtregar	entregar	VMN0000	entregar
a	a	SPS00	a
Joaqa	Joaquina	NP00000	joaquina
	,	Fc	,
e	e	CC	e
ella	ela	PP3FS000	ele
por	por	SPS00	por
ora	ora	RG	ora
esta	está	VMIP3S0	estar
boa	boa	AQ0FS0	bom
;	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
mais	mais	NCMS000	mais
ja	já	RG	já
foi	foi	VMIS3S0	ir
pa	para	SPS00	para
a	a	DA0FS0	o
mão	mão	NCFS000	mão
do	do	SPS00+DA0MS0	de+o
sezdo	Sezinando	NP00000	sezinando
	.	Fp	.
