Exmo	Excelentíssimo	AQSMS0	excelente
desembaraçarme	desembaraçar-me	VMN0000+PP1CS000	desembaraçar+me
delle	dele	SPS00+PP3MS000	de+ele
sem	sem	SPS00	sem
me	me	PP1CS000	me
ser	ser	VSN0000	ser
possível	possível	AQ0CS0	possível
:	.	Fp	.
eis	Eis	RG	eis
aqui	aqui	RG	aqui
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
palavras	palavras	NCFP000	palavra
:	:	Fd	:
Meu	Meu	DP1MSS	meu
Sr	Senhor	NP00000	senhor
	,	Fc	,
vendo	vendo	VMG0000	ver
q	que	CS	que
vmce	VM	NP00000	VM
convivia	convivia	VMII0S0	conviver
com	com	SPS00	com
Anto	António	NP00000	antónio
Joaqm	Joaquim	NP00000	joaquim
	,	Fc	,
fiquei	fiquei	VMIS1S0	ficar
certo	certo	AQ0MS0	certo
q	que	CS	que
devia	devia	VMII0S0	dever
olharme	olhar-me	VMN0000+PP1CS000	olhar+me
com	com	SPS00	com
pouca	pouca	DI0FS0	pouco
affeição	afeição	NCFS000	afeição
,	.	Fp	.
busceio	Busquei-o	VMIS1S0+PP3MSA00	buscar+o
mts	muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
;	,	Fc	,
mas	mas	CC	mas
vmce	VM	NP00000	VM
estava	estava	VMII0S0	estar
sempre	sempre	RG	sempre
com	com	SPS00	com
sua	sua	DP3FS0	seu
Exca	Excelência	NP00000	excelência
;	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
agora	agora	RG	agora
q	que	CS	que
eu	eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
a	a	DA0FS0	o
occasião	ocasião	NCFS000	ocasião
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
falar	falar	VMN0000	falar
	,	Fc	,
quero	quero	VMIP1S0	querer
dizer lhe	dizer-lhe	VMN0000+PP3CSD00	dizer+lhe
q	que	CS	que
o	o	DA0MS0	o
Pe	Padre	NP00000	padre
Nôel	Noel	NP00000	noel
hé	é	VSIP3S0	ser
meu	meu	DP1MSS	meu
inimigo	inimigo	NCMS000	inimigo
porq	porque	CS	porque
me	me	PP1CS000	me
julga	julga	VMIP3S0	julgar
ingrato	ingrato	AQ0MS0	ingrato
a	a	SPS00	a
Mr	Monsieur	NP00000	monsieur
Le	Le	NP00000	le
Chevalier	Chevalier	NP00000	chevalier
de	de	SPS00	de
Vollandri	Vollandri	NP00000	vollandri
,	.	Fp	.
eu	Eu	PP1CSN00	eu
estive	estive	VMIS1S0	estar
àbisetra	àbisetra	NCFS000	x
por	por	SPS00	por
me	me	PP1CS000	me
curar	curar	VMN0000	curar
;	.	Fp	.
juguei	Joguei	VMIS1S0	jogar
mto	muito	RQ	muito
	,	Fc	,
fiz	fiz	VMIS1S0	fazer
alguãs	algumas	DI0FP0	algum
rapaziadas	rapaziadas	NCFP000	rapaziada
q	que	PR0CN000	que
não	não	RN	não
me	me	PP1CS000	me
ficão	ficam	VMIP3P0	ficar
mal	mal	RG	mal
,	,	Fc	,
peçolhe	peço-lhe	VMIP1S0+PP3CSD00	pedir+lhe
q	que	CS	que
informe	informe	VMSP0S0	informar
bem	bem	RG	bem
a	a	SPS00	a
sua	sua	DP3FS0	seu
Exca	Excelência	NP00000	excelência
...	...	Fs	...
eis	Eis	RG	eis
aqui	aqui	RG	aqui
tem	tem	VMIP3S0	ter
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
tudo	tudo	PI0NN000	tudo
q	que	PR0CN000	que
este	este	DD0MS0	este
homem	homem	NCMS000	homem
inconseqte	inconsequente	AQ0MS0	inconsequente
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
,	,	Fc	,
e	e	CC	e
sendo	sendo	VSG0000	ser
q	que	CS	que
eu	eu	PP1CSN00	eu
fugia	fugia	VMII0S0	fugir
delle	dele	SPS00+PP3MS000	de+ele
,	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
sou	sou	VSIP1S0	ser
infinitamte	infinitamente	RG	infinitamente
ligado	ligado	VMP00SM	ligar
com	com	SPS00	com
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
(	(	Fba	(
não	não	RN	não
	,	Fc	,
como	como	CS	como
julgão	julgam	VMIP3P0	julgar
estes	estes	DD0MP0	este
Srs	Senhores	NP00000	senhor
officiais	Oficiais	NP00000	oficial
	,	Fc	,
por	por	SPS00	por
parentesco	parentesco	NCMS000	parentesco
	,	Fc	,
mas	mas	CC	mas
por	por	SPS00	por
amize	amizade	NCFS000	amizade
)	)	Fbt	)
	.	Fp	.
assim	Assim	RG	assim
mesmo	mesmo	RG	mesmo
me	me	PP1CS000	me
entertem	entretém	VMIP3S0	entreter
de	de	SPS00	de
coisas	coisas	NCFP000	coisa
similhantes	semelhantes	AQ0CP0	semelhante
,	.	Fp	.
e	E	CC	e
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
homens	homens	NCMP000	homem
de	de	SPS00	de
bem	bem	NCCN000	bem
q	que	PR0CN000	que
já	já	RG	já
me	me	PP1CS000	me
tinhão	tinham	VAII3P0	ter
falado	falado	VMP0000	falar
deste	deste	SPS00+DD0MS0	de+este
Heroe	herói	NCMS000	herói
	,	Fc	,
Vieira	Vieira	NP00000	vieira
declarou-os	declarou-os	VMIS3S0+PP3MPA00	declarar+o
seus	seus	DP3MP0	seu
inimigos	inimigos	NCMP000	inimigo
	,	Fc	,
e	e	CC	e
teve	teve	VMIS3S0	ter
a	a	DA0FS0	o
arte	arte	NCFS000	arte
de	de	SPS00	de
me	me	PP1CS000	me
enternecer	enternecer	VMN0000	enternecer
;	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
mesmo	mesmo	RG	mesmo
conffesso	confesso	VMIP1S0	confessar
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
q	que	CS	que
estava	estava	VMII0S0	estar
preparado	preparado	VMP00SM	preparar
a	a	SPS00	a
seu	seu	DP3MS0	seu
favor	favor	NCMS000	favor
	.	Fp	.
depois	Depois	RG	depois
pensei	pensei	VMIS1S0	pensar
qto	quanto	PA000000	quanto
eu	eu	PP1CSN00	eu
era	era	VSII0S0	ser
susceptivel	suscetível	AQ0CS0	suscetível
de	de	SPS00	de
ser	ser	VSN0000	ser
enganado	enganado	VMP00SM	enganar
por	por	SPS00	por
hum	um	DI0MS0	um
homem	homem	NCMS000	homem
astuto	astuto	AQ0MS0	astuto
:	.	Fp	.
e	E	CC	e
já	já	RG	já
digo	digo	VMIP1S0	dizer
à	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
q	que	CS	que
este	este	DD0MS0	este
homem	homem	NCMS000	homem
he	é	VSIP3S0	ser
temivel	temível	AQ0CS0	temível
;	.	Fp	.
buscou	Buscou	VMIS3S0	buscar
todo	todo	AQ0MS0	todo
o	o	DA0MS0	o
modo	modo	NCMS000	modo
de	de	SPS00	de
saber	saber	VMN0000	saber
qual	qual	PT0CS000	qual
era	era	VSII0S0	ser
a	a	DA0FS0	o
ma	minha	DP1FSS	meu
maneira	maneira	NCFS000	maneira
de	de	SPS00	de
pensar	pensar	VMN0000	pensar
em	em	SPS00	em
religião	religião	NCFS000	religião
	.	Fp	.
não	Não	RN	não
o	o	PP3MSA00	o
conseguiu	conseguiu	VMIS3S0	conseguir
	,	Fc	,
voultou se	voltou-se	VMIS3S0+P00CN000	voltar+se
em	em	SPS00	em
queixas	queixas	NCFP000	queixa
contra	contra	SPS00	contra
o	o	DA0MS0	o
Pe	Padre	NP00000	padre
Noel	Noel	NP00000	noel
q	que	PR0CN000	que
o	o	PP3MSA00	o
tinha	tinha	VAII0S0	ter
comrompido	corrompido	VMP0000	corromper
;	.	Fp	.
enfim	Enfim	RG	enfim
	,	Fc	,
hé	é	VSIP3S0	ser
formidavel	formidável	AQ0CS0	formidável
;	.	Fp	.
hé	É	VSIP3S0	ser
hû	um	DI0MS0	um
cavalheiro	cavalheiro	NCMS000	cavalheiro
da	da	SPS00+DA0FS0	de+o
industria	indústria	NCFS000	indústria
.	.	Fp	.
eis	Eis	RG	eis
aqui	aqui	RG	aqui
o	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
offerece	oferece	VMIP3S0	oferecer
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
	,	Fc	,
de	de	SPS00	de
qm	quem	PR0CN000	quem
eu	eu	PP1CSN00	eu
sempre	sempre	RG	sempre
me	me	PP1CS000	me
conffessarei	confessarei	VMIF1S0	confessar
mto	muito	RQ	muito
obrigdo	obrigado	VMP00SM	obrigar
e	e	CC	e
amo	amigo	NCMS000	amigo
	,	Fc	,
Franco	Francisco	NP00000	francisco
José	José	NP00000	josé
de	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Hé	É	VSIP3S0	ser
hum	um	DI0MS0	um
official	oficial	NCMS000	oficial
q	que	PR0CN000	que
se	se	P00CN000	se
incumbe	incumbe	VMIP3S0	incumbir
de	de	SPS00	de
entregar	entregar	VMN0000	entregar
a	a	DA0FS0	o
carta	carta	NCFS000	carta
à	à	SPS00+DA0FS0	a+o
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
	,	Fc	,
q	que	PR0CN000	que
hé	é	VSIP3S0	ser
umanamte	humanamente	RG	humanamente
fino	fino	AQ0MS0	fino
e	e	CC	e
q	que	PR0CN000	que
	,	Fc	,
julgando-me	julgando-me	VMG0000+PP1CS000	julgar+me
Primo	primo	NCMS000	primo
de	de	SPS00	de
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
	,	Fc	,
me	me	PP1CS000	me
faz	faz	VMIP3S0	fazer
os	os	DA0MP0	o
maiores	maiores	AQ0CP0	maior
obsequios	obséquios	NCMP000	obséquio
	,	Fc	,
mas	mas	CC	mas
já	já	RG	já
me	me	PP1CS000	me
custarão	custaram	VMIS3P0	custar
13	13	Z	13
florins	florins	NCMP000	florim
e	e	CC	e
mais	mais	RC	mais
alguã	alguma	DI0FS0	algum
coisa	coisa	NCFS000	coisa
	.	Fp	.
chama-se	Chama-se	VMIP3S0+P00CN000	chamar+se
Le	Le	NP00000	le
Chevalier	Chevalier	NP00000	chevalier
de	de	SPS00	de
St	Saint	NCMS000	saint
Hilaire	Hilaire	NP00000	hilaire
	.	Fp	.
