Lovado	Louvado	VMP00SM	louvar
vir	vir	VMN0000	vir
depois	depois	RG	depois
da	da	SPS00+DA0FS0	de+o
semana	Semana	NP00000	semana
santa	Santa	AQ0FS0	santo
	.	Fp	.
eu	Eu	PP1CSN00	eu
hia	ia	VMII0S0	ir
saber	saber	VMN0000	saber
se	se	CSI	se
era	era	VSII0S0	ser
serto	certo	AQ0MS0	certo
	.	Fp	.
como	Como	CS	como
não	não	RN	não
axo	acho	VMIP1S0	achar
em	em	SPS00	em
caza	casa	NCFS000	casa
	,	Fc	,
diserame	dissera-me	VMIM0S0+PP1CS000	dizer+me
	,	Fc	,
coando	quando	CS	quando
eu	eu	PP1CSN00	eu
bati	bati	VMIS1S0	bater
na	na	SPS00+DA0FS0	em+o
escada	escada	NCFS000	escada
	:	Fd	:
	«	Fra	«
esta	Esta	DD0FS0	este
gente	gente	NCFS000	gente
ja	já	RG	já
se	se	P00CN000	se
mudaro	mudaram	VMIS3P0	mudar
para	para	SPS00	para
o	o	DA0MS0	o
mato	mato	NCMS000	mato
	!	Fa	!
so	Só	RG	só
a	a	DA0FS0	o
muher	mulher	NCFS000	mulher
he	é	VSIP3S0	ser
q	que	CS	que
inda	ainda	RG	ainda
estai	está	VMIP3S0	estar
ahi	aí	RG	aí
	!	Fa	!
	»	Frt	»
eu	Eu	PP1CSN00	eu
fique	fiquei	VMIS1S0	ficar
tão	tão	RC	tão
desconsolada	desconsolada	VMP00SF	desconsolar
e	e	CC	e
aguniada	agoniada	VMP00SF	agoniar
q	que	CS	que
não	não	RN	não
le	lhe	PP3CSD00	lhe
sei	sei	VMIP1S0	saber
espilicar	explicar	VMN0000	explicar
o	o	DA0MS0	o
como	como	PA000000	como
estou	estou	VMIP1S0	estar
	,	Fc	,
porq	porque	CS	porque
eu	eu	PP1CSN00	eu
estava	estava	VMII0S0	estar
mto	muito	RQ	muito
satifeta	satisfeita	AQ0FSP	satisfeito
com	com	SPS00	com
comfesar	confessar	VMN0000	confessar
com	com	SPS00	com
snr	Senhor	NP00000	senhor
pe	Padre	NP00000	padre
Meter	Mestre	NP00000	mestre
	.	Fp	.
agora	Agora	RG	agora
dizeme	diz-me	VMIP3S0+PP1CS000	dizer+me
q	que	CS	que
elle	ele	PP3MS000	ele
se	se	P00CN000	se
fou	foi	VMIS3S0	ir
embora	embora	RG	embora
	.	Fp	.
por	Por	SPS00	por
huã	uma	DI0FS0	um
ves	vez	NCFS000	vez
quero	quero	VMIP1S0	querer
q	que	CS	que
vmce	VM	NP00000	VM
me	me	PP1CS000	me
diga	diga	VMSP0S0	dizer
se	se	CSI	se
he	é	VSIP3S0	ser
serto	certo	AQ0MS0	certo
q	que	CS	que
elle	ele	PP3MS000	ele
não	não	RN	não
vem	vem	VMIP3S0	vir
	.	Fp	.
mas	Mas	CC	mas
não	não	RN	não
sei	sei	VMIP1S0	saber
como	como	PA000000	como
a	há	VMIP3S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
	.	Fp	.
eu	Eu	PP1CSN00	eu
inda	ainda	RG	ainda
não	não	RN	não
me	me	PP1CS000	me
deszobrigei	desobriguei	VMIS1S0	desobrigar
da	da	SPS00+DA0FS0	de+o
coresma	Quaresma	NP00000	quaresma
	,	Fc	,
nem	nem	CC	nem
tenho	tenho	VMIP1S0	ter
com	com	SPS00	com
qm	quem	PR0CN000	quem
	.	Fp	.
sertamte	Certamente	RG	certamente
le	lhe	PP3CSD00	lhe
digo	digo	VMIP1S0	dizer
q	que	CS	que
não	não	RN	não
estou	estou	VMIP1S0	estar
bem	bem	RG	bem
sem	sem	SPS00	sem
o	o	DA0MS0	o
snr	Senhor	NP00000	senhor
pe	Padre	NP00000	padre
metre	Mestre	NP00000	mestre
	.	Fp	.
mandeme	Mande-me	VMSP0S0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
o	o	DA0MS0	o
como	como	PA000000	como
he	é	VSIP3S0	ser
isto	isto	PD0NN000	isto
	.	Fp	.
quero	Quero	VMIP1S0	querer
ja	já	RG	já
saber	saber	VMN0000	saber
o	o	DA0MS0	o
como	como	PA000000	como
me	me	PP1CS000	me
e	hei	VMIP1S0	haver
de	de	SPS00	de
aver	haver	VMN0000	haver
	,	Fc	,
q	que	CS	que
não	não	RN	não
sei	sei	VMIP1S0	saber
o	o	DA0MS0	o
como	como	PA000000	como
estou	estou	VMIP1S0	estar
	.	Fp	.
snra	Senhora	NP00000	senhor
D	Dona	NP00000	dona
Antonia	Antónia	NP00000	antónia
para	para	SPS00	para
vmce	VM	NP00000	VM
mtas	muitas	DI0FP0	muito
lcas	licenças	NCFP000	licença
e	e	CC	e
dis	diz	VMIP3S0	dizer
q	que	CS	que
aparesa	apareça	VMSP0S0	aparecer
por	por	SPS00	por
ca	cá	RG	cá
logo	logo	RG	logo
	.	Fp	.
eu	Eu	PP1CSN00	eu
tambem	também	RG	também
faso	faço	VMIP1S0	fazer
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
a	à	SPS00+DA0FS0	a+o
snra	Senhora	NP00000	senhor
Clara	Clara	NP00000	clara
e	e	CC	e
maninas	meninas	NCFP000	menino
	.	Fp	.
D	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vmce	VM	NP00000	VM
por	por	SPS00	por
mto	muito	DI0MS0	muito
annos	anos	NCMP000	ano
	.	Fp	.
de	Dê	VMSP0S0	dar
vida	vida	NCFS000	vida
para	para	SPS00	para
le	lhe	PP3CSD00	lhe
fazer	fazer	VMN0000	fazer
mto	muito	RQ	muito
servisos	serviços	NCMP000	serviço
	.	Fp	.
de	De	SPS00	de
vmce	VM	NP00000	VM
serva	serva	NCFS000	servo
e	e	CC	e
C	criada	NCFS000	criado
	.	Fp	.
Thereza	Teresa	NP00000	teresa
de	de	SPS00	de
jezus	Jesus	NP00000	jesus
Faria	Faria	NP00000	faria
