Charissima	Caríssima	AQSFS0	caro
maxima	máxima	NCFS000	máxima
certa	certa	AQ0FS0	certo
de	de	SPS00	de
sofrer	sofrer	VMN0000	sofrer
sem	sem	SPS00	sem
disculpa	desculpa	NCFS000	desculpa
	,	Fc	,
quem	quem	PR0CN000	quem
nosso	nosso	DP1MSP	nosso
conceito	conceito	NCMS000	conceito
tem	tem	VMIP3S0	ter
tam	tão	RC	tão
pouco	pouco	DI0MS0	pouco
temor	temor	NCMS000	temor
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
quero	quero	VMIP1S0	querer
dar	dar	VMN0000	dar
as	as	DA0FP0	o
rezoins	razões	NCFP000	razão
de	de	SPS00	de
facto	facto	NCMS000	facto
que	que	PR0CN000	que
obrei	obrei	VMIS1S0	obrar
pa	para	SPS00	para
tirar	tirar	VMN0000	tirar
o	o	DA0MS0	o
seo	seu	DP3MS0	seu
scrupullo	escrúpulo	NCMS000	escrúpulo
e	e	CC	e
ver	ver	VMN0000	ver
e	e	CC	e
considerar	considerar	VMN0000	considerar
se	se	CS	se
assim	assim	RG	assim
socedeo	sucedeu	VMIS3S0	suceder
.	.	Fp	.
Primeiramte	Primeiramente	RG	primeiramente
	,	Fc	,
o	o	DA0MS0	o
solicitar	solicitar	VMN0000	solicitar
ou	ou	CC	ou
provocar	provocar	VMN0000	provocar
pa	para	SPS00	para
actos	atos	NCMP000	ato
illicitos	ilícitos	AQ0MP0	ilícito
ou	ou	CC	ou
deshonesos	desonestos	NCMP000	desonesto
	,	Fc	,
em	em	SPS00	em
seo	seu	DP3MS0	seu
verdadeiro	verdadeiro	AQ0MS0	verdadeiro
sentido	sentido	NCMS000	sentido
	,	Fc	,
he	é	VSIP3S0	ser
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
que	que	CS	que
atrahir	atrair	VMN0000	atrair
com	com	SPS00	com
afagos	afagos	NCMP000	afago
,	,	Fc	,
mover	mover	VMN0000	mover
e	e	CC	e
tentar	tentar	VMN0000	tentar
pa	para	SPS00	para
actos	atos	NCMP000	ato
venereos	venéreos	AQ0MP0	venéreo
e	e	CC	e
inhonestos	inonestos	NCMP000	inonesto
com	com	SPS00	com
algũ	algum	DI0MS0	algum
signal	sinal	NCMS000	sinal
exterior	exterior	AQ0CS0	exterior
,	,	Fc	,
palavras	palavras	NCFP000	palavra
,	,	Fc	,
rogos	rogos	NCMP000	rogo
,	,	Fc	,
tactos	tatos	NCMP000	tato
e	e	CC	e
açenos	acenos	NCMP000	aceno
amatorios	amatórios	AQ0MP0	amatório
.	,	Fc	,
como	como	CS	como
he	é	VSIP3S0	ser
doutrina	doutrina	NCFS000	doutrina
dos	dos	SPS00+DA0MP0	de+o
salm	Salmos	NP00000	Salmos
	,	Fc	,
tom	tomo	VMIP1S0	tomar
9o	9.º	Z	9.º
	,	Fc	,
tract	tratado	NCMS000	tratado
21	21	Z	21
	,	Fc	,
cap	capítulo	NCMS000	capítulo
4o	4.º	NP00000	4.º
	,	Fc	,
punt	ponto	NCMS000	ponto
3.62	3.62	Z	3.62
	,	Fc	,
n	número	NCMS000	número
22	22	Z	22
	,	Fc	,
etc	etc	NCMS000	etc
.	?	Fp	?
isto	Isto	PD0NN000	isto
	,	Fc	,
suposto	suposto	VMP00SM	supor
vamos	vamos	VMIP1P0	ir
ao	ao	SPS00+DA0MS0	a+o
facto	facto	NCMS000	facto
.	.	Fp	.
Cheguei	Cheguei	VMIS1S0	chegar
a	à	SPS00+DA0FS0	a+o
cella	cela	NCFS000	cela
de	de	SPS00	de
v	vossa	DP2FSP	vosso
charide	caridade	NCFS000	caridade
e	e	CC	e
âchei	achei	VMIS1S0	achar
sem	sem	SPS00	sem
dar	dar	VMN0000	dar
acordo	acordo	NCMS000	acordo
de	de	SPS00	de
si	si	PP3CNO00	si
;	.	Fp	.
bradeilhe	Bradei-lhe	Fp	.
e	e	CC	e
pegueilhe	peguei-lhe	CC	e
na	na	SPS00+DA0FS0	em+o
cabessa	cabeça	NCFS000	cabeça
e	e	CC	e
nada	nada	PI0NN00N	nada
me	me	PP1CS000	me
respondeo	respondeu	VMIS3S0	responder
.	.	Fp	.
puslhe	Pus-lhe	Fp	.
meos	meus	DP1MPS	meu
preceitos	preceitos	NCMP000	preceito
ou	ou	CC	ou
o	o	DA0MS0	o
que	que	PR0CN000	que
Ds	Deus	NP00000	deus
me	me	PP1CS000	me
inspirou	inspirou	VMIS3S0	inspirar
(	(	Fc	(
e	e	CC	e
aqui	aqui	RG	aqui
devo	devo	VMIP1S0	dever
eu	eu	PP1CSN00	eu
profundamte	profundamente	RG	profundamente
adorar	adorar	VMN0000	adorar
os	os	DA0MP0	o
seos	seus	DP3MP0	seu
juizos	juízos	NCMP000	juízo
de	de	SPS00	de
Ds	Deus	NP00000	deus
)	)	Fbt	)
e	e	CC	e
	,	Fc	,
chegando	chegando	VMG0000	chegar
o	o	DA0MS0	o
ouvido	ouvido	VMP00SM	ouvir
a	a	SPS00	a
sua	sua	DP3FS0	seu
faça	face	NCFS000	face
	,	Fc	,
comessou	começou	VMIS3S0	começar
v	vossa	DP2FSP	vosso
charide	caridade	NCFS000	caridade
a	a	SPS00	a
dizerme	dizer-me	VMN0000+PP1CS000	dizer+me
estava	estava	VMII0S0	estar
dando	dando	VMG0000	dar
os	os	DA0MP0	o
ultimos	últimos	AQ0MP0	último
alentos	alentos	NCMP000	alento
da	da	SPS00+DA0FS0	de+o
vida	vida	NCFS000	vida
.	.	Fp	.
eu	Eu	PP1CSN00	eu
a	a	SPS00	a
persuadi	persuadi	NCMS000	persuadi
a	a	SPS00	a
huã	uma	DI0FS0	um
total	total	AQ0CS0	total
resignação	resignação	NCFS000	resignação
na	na	SPS00+DA0FS0	em+o
vontade	vontade	NCFS000	vontade
de	de	SPS00	de
Ds	Deus	NP00000	deus
	.	Fp	.
e	E	CC	e
então	então	RG	então
foi	foi	VMIS3S0	ir
v	vossa	DP2FSP	vosso
charide	caridade	NCFS000	caridade
tomando	tomando	VMG0000	tomar
mais	mais	RC	mais
alento	alento	NCMS000	alento
e	e	CC	e
foi	foi	VMIS3S0	ir
confessandosse	confessando-se	VMG0000+P00CN000	confessar+se
e	e	CC	e
	,	Fc	,
pa	para	SPS00	para
o	o	DA0MS0	o
fazer	fazer	VMN0000	fazer
bem	bem	RG	bem
	,	Fc	,
me	me	PP1CS000	me
pedio	pediu	VMIS3S0	pedir
com	com	SPS00	com
mtas	muitas	DI0FP0	muito
lagrimas	lágrimas	NCFP000	lágrima
perdão	perdão	NCMS000	perdão
do	do	SPS00	de
me	me	PP1CS000	me
ter	ter	VMN0000	ter
largado	largado	VMP0000	largar
tendo	tendo	VMG0000	ter
sido	sido	VSP0000	ser
ma	minha	DP1FSS	meu
filha	filha	NCFS000	filho
spiritual	espiritual	AQ0CS0	espiritual
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
respondi	respondi	VMIS1S0	responder
chorando	chorando	VMG0000	chorar
tambem	também	RG	também
	,	Fc	,
chegando	chegando	VMG0000	chegar
a	a	SPS00	a
ma	minha	DP1FSS	meu
face	face	NCFS000	face
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
,	,	Fc	,
e	e	CC	e
	,	Fc	,
correndolhe	correndo-lhe	VMG0000	correr
a	a	DA0FS0	o
mão	mão	NCFS000	mão
pella	pela	SPS00+DA0FS0	por+o
cabessa	cabeça	NCFS000	cabeça
	,	Fc	,
não	não	RN	não
se	se	P00CN000	se
desconsollasse	desconsolasse	VMSI0S0	desconsolar
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
perdoava	perdoava	VMII0S0	perdoar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
pedia	pedia	VMII0S0	pedir
perdão	perdão	NCMS000	perdão
do	do	SPS00+DA0MS0	de+o
mto	muito	NCMS000	muito
que	que	CS	que
a	a	PP3FSA00	o
tinha	tinha	VAII0S0	ter
mortificado	mortificado	VMP00SM	mortificar
e	e	CC	e
outras	outras	DI0FP0	outro
palavras	palavras	NCFP000	palavra
de	de	SPS00	de
consollar	consolar	VMN0000	consolar
huã	uma	DI0FS0	um
alma	alma	NCFS000	alma
tam	tão	RC	tão
aflicta	aflita	AQ0FS0	aflito
.	.	Fp	.
Ora	Ora	RG	ora
veja	veja	VMSP0S0	ver
	,	Fc	,
v	vossa	DP2FSP	vosso
charide	caridade	NCFS000	caridade
	,	Fc	,
se	se	CS	se
este	este	DD0MS0	este
chegar	chegar	VMN0000	chegar
á	à	SPS00+DA0FS0	a+o
façe	face	NCFS000	face
sua	sua	DP3FS0	seu
ou	ou	CC	ou
correr	correr	VMN0000	correr
a	a	DA0FS0	o
mão	mão	NCFS000	mão
pella	pela	SPS00+DA0FS0	por+o
cabessa	cabeça	NCFS000	cabeça
ou	ou	CC	ou
pegarlhe	pegar-lhe	CC	ou
na	na	SPS00+DA0FS0	em+o
mão	mão	NCFS000	mão
em	em	SPS00	em
similhante	semelhante	AQ0CS0	semelhante
conflicto	conflito	NCMS000	conflito
,	,	Fc	,
eu	eu	PP1CSN00	eu
chorando	chorando	VMG0000	chorar
e	e	CC	e
v	vossa	DP2FSP	vosso
charide	caridade	NCFS000	caridade
tambem	também	RG	também
,	,	Fc	,
se	se	CS	se
se	se	P00CN000	se
pode	pode	VMIP3S0	poder
aplicar	aplicar	VMN0000	aplicar
a	à	SPS00+DA0FS0	a+o
doutrina	doutrina	NCFS000	doutrina
asima	acima	RG	acima
referida	referida	VMP00SF	referir
	.	Fp	.
Porêm	Porém	RG	porém
	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
pede	pede	VMIP3S0	pedir
não	não	RN	não
torne	torne	VMSP0S0	tornar
a	a	SPS00	a
obrar	obrar	VMN0000	obrar
couza	coisa	NCFS000	coisa
semilhante	semelhante	AQ0CS0	semelhante
,	,	Fc	,
ô	o	PP3MSA00	o
farei	farei	VMIF1S0	fazer
com	com	SPS00	com
tal	tal	RC	tal
exacção	exação	NCFS000	tal
que	que	CS	que
nem	nem	CC	nem
em	em	SPS00	em
confissão	confissão	NCFS000	confissão
(	(	Fc	(
pois	pois	CS	pois
só	só	RG	só
em	em	SPS00	em
cazo	caso	NCMS000	caso
de	de	SPS00	de
não	não	RN	não
haver	haver	VMN0000	haver
na	na	SPS00+DA0FS0	em+o
terra	terra	NCFS000	terra
outro	outro	DI0MS0	outro
sacerdote	sacerdote	NCMS000	sacerdote
e	e	CC	e
V	vossa	DP2FSP	vosso
charide	caridade	NCFS000	caridade
morrendo	morrendo	VMG0000	morrer
a	a	PP3FSA00	o
confessarei	confessarei	VMIF1S0	confessar
)	)	Fbt	)
nem	nem	CC	nem
fora	fora	RG	fora
della	dela	SPS00+PP3FS000	de+ele
mais	mais	CC	mais
terei	terei	VMIF1S0	ter
communicassão	comunicação	NCFS000	comunicação
com	com	SPS00	com
v	vossa	DP2FSP	vosso
c	caridade	NCFS000	caridade
	.	Fp	.
Não	Não	RN	não
me	me	PP1CS000	me
ponho	ponho	VMIP1S0	pôr
a	a	SPS00	a
discorrer	discorrer	VMN0000	discorrer
o	o	DA0MS0	o
que	que	PR0CN000	que
daqui	daqui	SPS00+RG	de+aqui
se	se	CS	se
segue	segue	VMIP3S0	seguir
	.	Fp	.
deicho	Deixo	VMIP1S0	deixar
isto	isto	PD0NN000	isto
a	à	SPS00+DA0FS0	a+o
ponderação	ponderação	NCFS000	ponderação
de	de	SPS00	de
quem	quem	PR0CN000	quem
a	a	PP3FSA00	o
aconçelhou	aconselhou	VMIS3S0	aconselhar
,	,	Fc	,
que	que	CS	que
o	o	PP3MSA00	o
fazem	fazem	VMIP3P0	fazer
como	como	CS	como
lho	lho	PP3CSD00+PP3MSA00	lhe+o
pintão	pintam	VMIP3P0	pintar
	.	Fp	.
e	E	CC	e
	,	Fc	,
ultimamte	ultimamente	RG	ultimamente
	,	Fc	,
pesso	peço	VMIP1S0	pedir
a	a	SPS00	a
v	vossa	DP2FSP	vosso
c	caridade	NCFS000	caridade
guarde	guarde	VMSP0S0	guardar
este	este	DD0MS0	este
papel	papel	NCMS000	papel
pa	para	SPS00	para
pare-çer	aparecer	VMN0000	aparecer
em	em	SPS00	em
publico	público	NCMS000	público
se	se	CS	se
for	for	VMSF0S0	ir
percizo	preciso	AQ0MS0	preciso
	,	Fc	,
que	que	CS	que
bem	bem	RG	bem
sabe	sabe	VMIP3S0	saber
com	com	SPS00	com
quanta	quanta	AQ0FS0	quanto
verdade	verdade	NCFS000	verdade
he	é	VSIP3S0	ser
feito	feito	NCMS000	feito
	.	Fp	.
o	O	DA0MS0	o
mais	mais	NCMS000	mais
fica	fica	VMIP3S0	ficar
pa	para	SPS00	para
Ds	Deus	NP00000	deus
	,	Fc	,
que	que	CS	que
a	a	PP3FSA00	o
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vsra	VS	NP00000	VS
.	.	Fp	.
