Exmo	Excelentissimo	NP00000	Excelentissimo
varias	várias	DI0FP0	vários
preguntas	perguntas	NCFP000	pergunta
e	e	CC	e
respostas	respostas	NCFP000	resposta
	,	Fc	,
fes	fez	VMIS3S0	fazer
o	o	DA0MS0	o
Rmo	reverendíssimo	AQSMS0	reverendo
Dr	doutor	NP00000	doutor
a	a	DA0FS0	o
devizão	divisão	NCFS000	divisão
comforme	conforme	SPS00	conforme
lhe	lhe	PP3CSD00	lhe
pareçeo	pareceu	VMIS3S0	parecer
justiça	justiça	NCFS000	justiça
,	,	Fc	,
o	o	DA0MS0	o
que	que	PR0CN000	que
não	não	RN	não
levarão	levaram	VMIS3P0	levar
a	a	SPS00	a
bem	bem	RG	bem
os	os	DA0MP0	o
mores	moradores	NCMP000	morador
daquella	daquela	SPS00+DD0FS0	de+aquele
frega	freguesia	NCFS000	freguesia
	,	Fc	,
principalme	principalmente	RG	principalmente
o	o	DA0MS0	o
sargto mor	sargento-mor	NCMS000	sargento-mor
Mel	Manuel	NP00000	manuel
Palharez	Palhares	NP00000	Palhares
	,	Fc	,
q	que	CS	que
se	se	CS	se
não	não	RN	não
quis	quis	VMIS3S0	querer
asignar	assinar	VMN0000	assinar
no	no	SPS00+DA0MS0	em+o
Lro	livro	NCMS000	livro
que	que	CS	que
da	da	SPS00+DA0FS0	de+o
devizão	divisão	NCFS000	divisão
se	se	CS	se
fez	fez	VMIS3S0	fazer
.	.	Fp	.
Eu	Eu	PP1CSN00	eu
tãobem	também	RG	também
não	não	RN	não
fiquey	fiquei	VMIS1S0	ficar
satisfeito	satisfeito	VMP00SM	satisfazer
	,	Fc	,
porq	porque	CS	porque
me	me	PP1CS000	me
tirão	tiram	VMIP3P0	tirar
as	as	DA0FP0	o
fazdas	fazendas	NCFP000	fazenda
q	que	PR0CN000	que
ficão	ficam	VMIP3P0	ficar
na	na	SPS00+DA0FS0	em+o
beira	beira	NCFS000	beira
do	do	SPS00+DA0MS0	de+o
Rio	rio	NCMS000	rio
Trahiry	Trairi	NP00000	Trairi
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
fico	fico	VMIP1S0	ficar
prejudicado	prejudicado	VMP00SM	prejudicar
	.	Fp	.
porque	Porque	CS	porque
	,	Fc	,
se	se	CS	se
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
ordena	ordena	VMIP3S0	ordenar
q	que	CS	que
se	se	CS	se
não	não	RN	não
falle	fale	VMSP0S0	falar
em	em	SPS00	em
aguas	águas	NCFP000	água
vertentez	vertentes	RG	vertentes
	,	Fc	,
não	não	RN	não
dis	diz	VMIP3S0	dizer
rellação	relação	NCFS000	relação
a	à	SPS00+DA0FS0	a+o
beira	beira	NCFS000	beira
do	do	SPS00+DA0MS0	de+o
Rio	rio	NCMS000	rio
da	da	SPS00+DA0FS0	de+o
parte	parte	NCFS000	parte
do	do	SPS00+DA0MS0	de+o
Sul	Sul	NP00000	sul
,	.	Fp	.
comtudo	Contudo	RG	contudo
	,	Fc	,
me	me	PP1CS000	me
calley	calei	VMIS1S0	calar
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
como	como	CS	como
vejo	vejo	VMIP1S0	ver
e	e	CC	e
tenho	tenho	VMIP1S0	ter
noticia	notícia	NCFS000	notícia
q	que	CS	que
aquellez	aqueles	DD0MP0	aquele
moradorez	moradores	NCMP000	morador
não	não	RN	não
sessão	cessam	VMIP3P0	cessar
com	com	SPS00	com
requerimentos	requerimentos	NCMP000	requerimento
a	a	SPS00	a
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
	,	Fc	,
embarassandome	embaraçando-me	VMG0000+PP1CS000	embaraçando-me
e	e	CC	e
embrulhandome	embrulhando-me	VMG0000+PP1CS000	embrulhar+me
de	de	SPS00	de
tal	tal	RC	tal
sorte	sorte	NCFS000	sorte
que	que	PR0CN000	que
me	me	PP1CS000	me
tem	têm	VMIP3S0	ter
posto	posto	VMP00SM	pôr
de	de	SPS00	de
cama	cama	NCFS000	cama
	,	Fc	,
por	por	SPS00	por
cuja	cuja	PR0CN000	cujo
rezão	razão	NCFS000	razão
não	não	RN	não
sou	sou	VSIP1S0	ser
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
	,	Fc	,
porque	porque	CS	porque
só	só	RG	só
asim	assim	RG	assim
ficava	ficava	VMII0S0	ficar
satisfeito	satisfeito	VMP00SM	satisfazer
.	.	Fp	.
Porem	Porém	RG	porém
	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
impede	impede	VMIP3S0	impedir
a	a	DA0FS0	o
molestia	moléstia	NCFS000	moléstia
o	o	DA0MS0	o
hir	ir	VMN0000	ir
a	à	SPS00+DA0FS0	a+o
prezença	presença	NCFS000	presença
de	de	SPS00	de
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
	,	Fc	,
como	como	CS	como
meo	meu	DP1MSS	meu
Prellado	prelado	NCMS000	prelado
e	e	CC	e
Snr	senhor	NP00000	senhor
me	me	PP1CS000	me
mde	mande	VMSP0S0	mandar
dizer	dizer	VMN0000	dizer
de	de	SPS00	de
De	de	SPS00	de
que	que	PR0CN000	que
sou	sou	VSIP1S0	ser
cura	cura	NCFS000	cura
,	,	Fc	,
ou	ou	CC	ou
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
retirar	retirar	VMN0000	retirar
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
dou	dou	VMIP1S0	dar
por	por	SPS00	por
satisfeito	satisfeito	VMP00SM	satisfazer
	.	Fp	.
e	E	CC	e
muito	muito	RQ	muito
lhe	lhe	PP3CSD00	lhe
hei	hei	VMIP1S0	haver
de	de	SPS00	de
agradiçer	agradecer	VMN0000	agradecer
	,	Fc	,
pois	pois	CS	pois
me	me	PP1CS000	me
tenho	tenho	VMIP1S0	ter
portado	portado	VMP0000	portar
com	com	SPS00	com
aquella	aquela	DD0FS0	aquele
prudençia	prudência	NCFS000	pordensia
e	e	CC	e
paciencia	paciência	NCFS000	paciência
de	de	SPS00	de
Joo	Jó	NP00000	Jó
;	.	Fp	.
O	O	DA0MS0	o
por	portador	NCMS000	portador
desta	desta	SPS00+DD0FS0	de+este
podera	poderá	VMIF3S0	poder
informar	informar	VMN0000	informar
a	a	SPS00	a
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
com	com	SPS00	com
alguma	alguma	DI0FS0	algum
individuação	individuação	NCFS000	individuação
	,	Fc	,
por	por	SPS00	por
ser	ser	VSN0000	ser
pesoa	pessoa	NCFS000	pessoa
que	que	PR0CN000	que
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
acompanhado	acompanhado	VMP00SM	acompanhar
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CN000	qual
vay	vai	VMIP3S0	ir
com	com	SPS00	com
petição	petição	NCFS000	petição
pa	para	SPS00	para
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
lhe	lhe	PP3CSD00	lhe
despensar	dispensar	VMN0000	dispensar
que	que	CS	que
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
corrão	corram	VMIP3P0	corrar
seus	seus	DP3MP0	seu
banhos	banhos	NCMP000	banho
em	em	SPS00	em
tres	três	Z	três
dias	dias	NCMP000	dia
continuos	contínuos	AQ0MP0	contínuo
	,	Fc	,
por	por	SPS00	por
ser	ser	VSN0000	ser
asim	assim	RG	assim
muito	muito	RQ	muito
necessario	necessário	AQ0MS0	necessário
pa	para	SPS00	para
efeito	efeito	NCMS000	efeito
de	de	SPS00	de
se	se	CS	se
receber	receber	VMN0000	receber
	,	Fc	,
por	por	SPS00	por
correr	correr	VMN0000	correr
risco	risco	NCMS000	risco
a	a	SPS00	a
sua	sua	DP3FS0	seu
vida	vida	NCFS000	vida
tendo	tendo	VMG0000	ter
alguma	alguma	DI0FS0	algum
demora	demora	NCFS000	demora
	.	Fp	.
Eu	Eu	PP1CSN00	eu
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
pe	parte	NCFS000	parte
rogo	rogo	VMIP1S0	rogar
a	a	SPS00	a
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
o	o	PP3MSA00	o
despache	despache	VMSP0S0	despachar
com	com	SPS00	com
aquella	aquela	DD0FS0	aquele
brevide	brevidade	NCFS000	brevidade
possivel	possível	AQ0CS0	possível
	,	Fc	,
porq	porque	CS	porque
a	a	DA0FS0	o
gente	gente	NCFS000	gente
desta	desta	SPS00+DD0FS0	de+este
terra	terra	NCFS000	terra
são	são	VSIP3P0	ser
avessos	avessos	NCMP000	avesso
e	e	CC	e
não	não	RN	não
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
dão	dão	VMIP3P0	dar
de	de	SPS00	de
matar	matar	VMN0000	matar
	,	Fc	,
por	por	SPS00	por
temerem	temerem	DA0MS0	temerem
pouco	pouco	NCMS000	pouco
a	a	SPS00	a
Ds	Deus	NP00000	deus
	.	Fp	.
O	O	DA0MS0	o
que	que	PR0CN000	que
mais	mais	RC	mais
Dezo	desejo	NCMS000	desejo
he	é	VSIP3S0	ser
a	a	DA0FS0	o
saude	saúde	NCFS000	saúde
e	e	CC	e
aumento	aumento	NCMS000	aumento
de	de	SPS00	de
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
	,	Fc	,
pellos	pelos	SPS00+DA0MP0	por+o
quaez	quais	PR0CP000	qual
não	não	RN	não
me	me	PP1CS000	me
esqueço	esqueço	VMIP1S0	esquecer
de	de	SPS00	de
rogar	rogar	VMN0000	rogar
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
Santo	santo	AQ0MS0	santo
sacrificio	sacrifício	NCMS000	sacrifício
	,	Fc	,
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
dias	dias	NCMP000	dia
a	a	SPS00	a
Deoz	Deus	NP00000	deus
	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
snr	senhor	NP00000	senhor
ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
	,	Fc	,
pa	para	SPS00	para
amparo	amparo	NCMS000	amparo
dos	dos	SPS00+DA0MP0	de+o
pobrez	pobres	NCMP000	pobre
e	e	CC	e
remedio	remédio	NCMS000	remédio
de	de	SPS00	de
seus	seus	DP3MP0	seu
subditos	súbditos	NCMP000	súbdito
	.	Fp	.
Nossa	Nossa	NP00000	nossa
Sra	Senhora	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
O	Ó	NP00000	ó
de	de	SPS00	de
Mepebu	Mipibú	NP00000	Mipibú
	,	Fc	,
24	24	Z	24
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
de	de	SPS00	de
1757	1757	Z	1757
	.	Fp	.
De	De	SPS00	de
v	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
O	o	DA0MS0	o
mais	mais	RC	mais
humilde	humilde	AQ0CS0	humilde
subdito	súbdito	NCMS000	súbdito
e	e	CC	e
obzequiozo	obsequioso	NCMS000	obsequioso
servo	servo	NCMS000	servo
	,	Fc	,
O	o	DA0MS0	o
P	padre	NP00000	padre
Jozê	José	NP00000	josé
Roiz	Rodrigues	NP00000	rodrigues
Ferra	Ferreira	NP00000	ferreira
