Rdmo	Reverendíssimo	AQSMS0	reverendo
Lourenço	Lourenço	NP00000	lourenço
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
,	,	Fc	,
do	do	SPS00+DA0MS0	de+o
mo	mesmo	AQ0MS0	mesmo
Povo	povo	NCMS000	povo
	,	Fc	,
qdo	quando	CS	quando
hia	ia	VMII0S0	ir
á	à	SPS00+DA0FS0	a+o
via sacra	via-sacra	NCFS000	via-sacra
,	,	Fc	,
Hia	ia	VMII0S0	ir
fazer	fazer	VMN0000	fazer
Serviço	serviço	NCMS000	serviço
ao	ao	SPS00+DA0MS0	a+o
Deabo	Diabo	NP00000	diabo
.	.	Fp	.
Franco	Francisco	NP00000	francisco
Lopes	Lopes	NP00000	lopes
,	,	Fc	,
do	do	SPS00+DA0MS0	de+o
mo	mesmo	AQ0MS0	mesmo
Luguar	lugar	NCMS000	lugar
,	,	Fc	,
disse	disse	VMIS3S0	dizer
q	que	CS	que
ouvira	ouvira	VMIM0S0	ouvir
dizer	dizer	VMN0000	dizer
ao	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
Joze	José	NP00000	josé
Paẽs	Pais	NP00000	pais
q	que	CS	que
	,	Fc	,
qdo	quando	CS	quando
Maria	Maria	NP00000	maria
Cabral	Cabral	NP00000	cabral
já	já	RG	já
Refferida	referida	VMP00SF	referir
ia	ia	VMII0S0	ir
á	à	SPS00+DA0FS0	a+o
via Sacra	via-sacra	NCFS000	via-sacra
	,	Fc	,
ia	ia	VMII0S0	ir
fazer	fazer	VMN0000	fazer
Serviço	serviço	NCMS000	serviço
ao	ao	SPS00+DA0MS0	a+o
Demonio	demónio	NCMS000	demónio
e	e	CC	e
q	que	CS	que
a	a	DA0FS0	o
geraçam	geração	NCFS000	geração
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Joze	José	NP00000	josé
Paẽs	Pais	NP00000	pais
era	era	VSII0S0	ser
Infamáda	infamada	VMP00SF	infamar
de	de	SPS00	de
ser	ser	VSN0000	ser
da	da	SPS00+DA0FS0	de+o
geraçam	geração	NCFS000	geração
dos	dos	SPS00+DA0MP0	de+o
Rabinos	rabinos	NCMP000	rabino
,	,	Fc	,
id	id	Fc	id
est	est	Fc	est
	,	Fc	,
de	de	SPS00	de
sangue	sangue	NCMS000	sangue
Hebraico	hebraico	AQ0MS0	hebraico
,	.	Fp	.
tanto	Tanto	CC	tanto
q	que	CS	que
elle	ele	PP3MS000	ele
	,	Fc	,
do	dito	VMP00SM	dizer
Franco	Francisco	NP00000	francisco
Lopes	Lopes	NP00000	lopes
,	,	Fc	,
lançára	lançara	VMIM0S0	lançar
em	em	SPS00	em
rosto	rosto	NCMS000	rosto
a	a	SPS00	a
seu	seu	DP3MS0	seu
Pay	pai	NCMS000	pai
e	e	CC	e
q	que	CS	que
the	té	SPS00	té
o	ao	SPS00+DA0MS0	a+o
prezente	presente	NCMS000	presente
lhe	lhe	PP3CSD00	lhe
nam	não	RN	não
Levaram	levaram	VMIS3P0	levar
Injuria	injúria	NCFS000	injúria
e	e	CC	e
q	que	CS	que
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
Infamia	infâmia	NCFS000	infâmia
lhe	lhe	PP3CSD00	lhe
vinha	vinha	VMII0S0	vir
pella	pela	SPS00+DA0FS0	por+o
pte	parte	NCFS000	parte
de	de	SPS00	de
sua	sua	DP3FS0	seu
May	mãe	NCFS000	mãe
Jeronima	Jerónima	NP00000	jerónima
Paes	Pais	NP00000	pais
,	,	Fc	,
nal	natural	AQ0CS0	natural
da	da	SPS00+DA0FS0	de+o
Povoa	Póvoa	NP00000	póvoa
da	da	SPS00+DA0FS0	de+o
Rainha	Rainha	NP00000	rainha
	,	Fc	,
Bispdo	bispado	NCMS000	bispado
de	de	SPS00	de
Coimbra	Coimbra	NP00000	coimbra
.	.	Fp	.
Vallemtim	Valentim	NP00000	valentim
d	de	SPS00	de
Amal	Amaral	NP00000	amaral
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
mo	mesmo	AQ0MS0	mesmo
Povo	povo	NCMS000	povo
,	,	Fc	,
official	oficial	NCMS000	oficial
de	de	SPS00	de
çapateiro	sapateiro	NCMS000	sapateiro
	,	Fc	,
disse	disse	VMIS3S0	dizer
q	que	CS	que
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Jozé	José	NP00000	josé
Paes	Pais	NP00000	pais
disséra	dissera	VMIM0S0	dizer
a	a	SPS00	a
Ma	Maria	NP00000	maria
Cabral	Cabral	NP00000	cabral
q	que	CS	que
	,	Fc	,
qdo	quando	CS	quando
servia	servia	VMII0S0	servir
a	a	SPS00	a
Ds	Deus	NP00000	deus
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
metia	metia	VMII0S0	meter
o	o	DA0MS0	o
Diabo	Diabo	NP00000	diabo
tentaçoins	tentações	NCFP000	tentação
pa	para	SPS00	para
blasphemar	blasfemar	VMN0000	blasfemar
dos	dos	SPS00+DA0MP0	de+o
vezinhos	vizinhos	NCMP000	vizinho
	,	Fc	,
eta	etc	NCMS000	etc
	.	Fp	.
Eu	Eu	PP1CSN00	eu
	,	Fc	,
O	o	DA0MS0	o
Pe	padre	NCMS000	padre
Joze	José	NP00000	josé
d	de	SPS00	de
Almda	Almeida	NP00000	almeida
Furtado	Furtado	NP00000	furtado
,	,	Fc	,
antes	antes	RG	antes
desta	desta	SPS00+DD0FS0	de+este
Infor-maçam	informação	NCFS000	informação
tambem	também	RG	também
thinha	tinha	VAII0S0	ter
ouvido	ouvido	VMP00SM	ouvir
ao	ao	SPS00+DA0MS0	a+o
Refferido	referido	VMP00SM	referir
Franco	Francisco	NP00000	francisco
d	de	SPS00	de
Almda	Almeida	NP00000	almeida
	,	Fc	,
Çapateiro	sapateiro	NCMS000	sapateiro
,	,	Fc	,
q	que	PR0CN000	que
no	no	SPS00+DA0MS0	em+o
dicto	dito	VMP00SM	dizer
dia	dia	NCMS000	dia
ouvira	ouvira	VMIM0S0	ouvir
ao	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
Jozeph	José	NP00000	josé
Paẽs	Pais	NP00000	pais
q	que	CS	que
	,	Fc	,
qdo	quando	CS	quando
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
Ma	Maria	NP00000	maria
Cabral	Cabral	NP00000	cabral
ia	ia	VMII0S0	ir
á	à	SPS00+DA0FS0	a+o
via  Sacra	via-sacra	NCFS000	via-sacra
ia	ia	VMII0S0	ir
fazer	fazer	VMN0000	fazer
Serviço	serviço	NCMS000	serviço
ao	ao	SPS00+DA0MS0	a+o
Deabo	Diabo	NP00000	diabo
;	.	Fp	.
E	E	CC	e
sempre	sempre	RG	sempre
ouvi	ouvi	VMIS1S0	ouvir
dizer	dizer	VMN0000	dizer
q	que	CS	que
a	a	DA0FS0	o
geraçam	geração	NCFS000	geração
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Joze	José	NP00000	josé
Paẽs	Pais	NP00000	pais
,	,	Fc	,
por	por	SPS00	por
pte	parte	NCFS000	parte
de	de	SPS00	de
sua	sua	DP3FS0	seu
May	mãe	NCFS000	mãe
Jeronima	Jerónima	NP00000	jerónima
Paẽs	Pais	NP00000	pais
,	,	Fc	,
q	que	PR0CN000	que
procedeu	procedeu	VMIS3S0	proceder
da	da	SPS00+DA0FS0	de+o
Povoa	Póvoa	NP00000	póvoa
da	da	SPS00+DA0FS0	de+o
Rainha	Rainha	NP00000	rainha
,	,	Fc	,
frga	freguesia	NCFS000	freguesia
de	de	SPS00	de
S	São	NP00000	são
Sobastiam	Sebastião	NP00000	sebastião
de	de	SPS00	de
Cativellos	Cativelos	NP00000	cativelos
	,	Fc	,
Bis-pdo	bispado	NCMS000	bispado
de	de	SPS00	de
Coimbra	Coimbra	NP00000	coimbra
,	,	Fc	,
hera	era	VSII0S0	ser
Infamáda	infamada	VMP00SF	infamar
,	,	Fc	,
de	de	SPS00	de
sangue	sangue	NCMS000	sangue
hebrai-co	hebraico	AQ0MS0	hebraico
,	,	Fc	,
e	e	CC	e
q	que	CS	que
a	a	DA0FS0	o
alguns	alguns	DI0MP0	algum
de	de	SPS00	de
Seos	seus	DP3MP0	seu
Parentes	parentes	NCMP000	parente
se	se	P00CN000	se
thinha	tinha	VAIP3S0	ter
visto	visto	VMP0000	ver
o	o	DA0MS0	o
Rabo	rabo	NCMS000	rabo
andando	andando	VMG0000	andar
a	a	SPS00	a
nadar	nadar	VMN0000	nadar
.	.	Fp	.
Isto	Isto	PD0NN000	isto
o	o	DA0MS0	o
q	que	PR0CN000	que
achei	achei	VMIS1S0	achar
,	.	Fp	.
vmce	VM	NP00000	VM
	,	Fc	,
sendo	sendo	VSG0000	ser
servido	servido	VMP00SM	servir
	,	Fc	,
dará	dará	VMIF3S0	dar
conta	conta	NCFS000	conta
ao	ao	SPS00+DA0MS0	a+o
Sto	Santo	NP00000	santo
Tribunal	Tribunal	NP00000	tribunal
,	,	Fc	,
adevertindo	advertindo	VMG0000	advertir
que	que	CS	que
	,	Fc	,
procurando	procurando	VMG0000	procurar
Eu	eu	PP1CSN00	eu
debaixo	debaixo	RG	debaixo
de	de	SPS00	de
segredo	segredo	NCMS000	segredo
e	e	CC	e
jura-mto	juramento	NCMS000	juramento
a	a	SPS00	a
Agosto	Augusto	NP00000	augusto
Lopes	Lopes	NP00000	lopes
	,	Fc	,
soltro	solteiro	AQ0MS0	solteiro
	,	Fc	,
fo	filho	NCMS000	filho
de	de	SPS00	de
Maria	Maria	NP00000	maria
de	de	SPS00	de
Abrantes	Abrantes	NP00000	abrantes
	,	Fc	,
va	viúva	NCFS000	viúvo
deste	deste	SPS00+DD0MS0	de+este
mo	mesmo	AQ0MS0	mesmo
Luguar	lugar	NCMS000	lugar
,	,	Fc	,
se	se	CSI	se
sabia	sabia	VMII0S0	saber
alguma	alguma	DI0FS0	algum
Couza	coisa	NCFS000	coisa
do	do	SPS00+DA0MS0	de+o
Refferido	referido	VMP00SM	referir
,	,	Fc	,
guardou	guardou	VMIS3S0	guardar
tam	tão	RC	tão
pouco	pouco	RQ	pouco
o	o	DA0MS0	o
segredo	segredo	NCMS000	segredo
,	,	Fc	,
q	que	CS	que
Loguo	logo	RG	logo
o	o	PP3MSA00	o
foi	foi	VMIS3S0	ir
Revellar	revelar	VMN0000	revelar
ao	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
Joze	José	NP00000	josé
Paẽs	Pais	NP00000	pais
,	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CS000	qual
dis	diz	VMIP3S0	dizer
me	me	PP1CS000	me
há	há	VMIP3S0	haver
de	de	SPS00	de
de-nunciar	denunciar	VMN0000	denunciar
,	,	Fc	,
por	por	SPS00	por
tirar	tirar	VMN0000	tirar
tal	tal	DD0CS0	tal
Informaçam	informação	NCFS000	informação
sem	sem	SPS00	sem
licença	licença	NCFS000	licença
do	do	SPS00+DA0MS0	de+o
Sto	Santo	NP00000	santo
Tribunal	Tribunal	NP00000	tribunal
.	.	Fp	.
Esta	Esta	PD0FS000	este
a	a	DA0FS0	o
verdade	verdade	NCFS000	verdade
	.	Fp	.
vmce	VM	NP00000	VM
fará	fará	VMIF3S0	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
for	for	VSSF0S0	ser
servido	servido	VMP00SM	servir
.	.	Fp	.
hoje	Hoje	RG	hoje
	,	Fc	,
22	22	Z	22
de	de	SPS00	de
Agto	agosto	NCMS000	agosto
de	de	SPS00	de
1765	1765	Z	1765
	,	Fc	,
eta	etc	NCMS000	etc
O	O	DA0MS0	o
Pe	padre	NCMS000	padre
Joze	José	NP00000	josé
d	de	SPS00	de
Almda	Almeida	NP00000	almeida
Furtado	Furtado	NP00000	furtado
