Mto	Muito	RQ	muito
e	e	CC	e
bizarria	bizarria	NCFS000	bizarria
de	de	SPS00	de
genio	génio	NCMS000	génio
favorecedor	favorecedor	NCMS000	favorecedor
	,	Fc	,
podia	podia	VMII0S0	poder
vencer	vencer	VMN0000	vencer
tanta	tanta	DI0FS0	tanto
contrariede	contrariedade	NCFS000	tanto
Como	como	CS	como
tenho	tenho	VMIP1S0	ter
experimentado	experimentado	VMP00SM	experimentar
	.	Fp	.
no	No	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
respta	respeita	VMIP3S0	respeitar
á	à	SPS00+DA0FS0	a+o
despeza	despesa	NCFS000	despesa
	,	Fc	,
eu	eu	PP1CSN00	eu
a	a	SPS00	a
não	não	RN	não
acho	acho	VMIP1S0	achar
grde	grande	AQ0CS0	grande
	,	Fc	,
pois	pois	CS	pois
não	não	RN	não
ignoro	ignoro	VMIP1S0	ignorar
o	o	DA0MS0	o
q	que	PR0CN000	que
qalqer	qualquer	DI0CS0	qualquer
couza	coisa	NCFS000	coisa
custa	custa	VMIP3S0	custar
	,	Fc	,
pelas	pelas	SPS00+DA0FP0	por+o
distas	distâncias	NCFP000	distância
como	como	CS	como
por	por	SPS00	por
ser	ser	NCMS000	ser
em	em	SPS00	em
tribunaes	tribunais	NCMP000	tribunal
,	,	Fc	,
q	que	CS	que
	,	Fc	,
como	como	CS	como
todos	todos	PI0MP000	todo
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
	,	Fc	,
algüs	alguns	PI0MP000	algum
am	hão	VMIP3P0	haver
de	de	SPS00	de
ficar	ficar	VMN0000	ficar
mais	mais	RC	mais
demorados	demorados	NCMP000	demorado
,	.	Fp	.
emqto	Enquanto	CS	enquanto
á	à	SPS00+DA0FS0	a+o
peti-ção	petição	NCFS000	petição
de	de	SPS00	de
alimtos	alimentos	NCMP000	alimento
	,	Fc	,
Eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
por	por	SPS00	por
tudo	tudo	PI0NN000	tudo
q	que	PR0CN000	que
VSa	VSa	NP00000	VSa
quizer	quiser	VMSF0S0	querer
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
Dor	doutor	NP00000	doutor
Jozé	José	NP00000	josé
Anto	António	NP00000	antónio
das	das	SPS00+DA0FP0	de+o
Neves	Neves	NP00000	neves
	,	Fc	,
Com	com	SPS00	com
qm	quem	PR0CN000	quem
VSa	VSa	NP00000	VSa
Comfirirá	conferirá	VMIP3S0	conferirar
	,	Fc	,
pois	pois	CS	pois
suposto	suposto	VMP00SM	supor
ele	ele	PP3MS000	ele
se	se	CS	se
não	não	RN	não
a	há	VMIP3S0	haver
de	de	SPS00	de
dezunir	desunir	VMN0000	desunir
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
parecer	parecer	NCMS000	parecer
	,	Fc	,
sempre	sempre	RG	sempre
é	é	VSIP3S0	ser
rezão	razão	NCFS000	razão
cer	ser	VSN0000	ser
ciente	ciente	AQ0CS0	ciente
	,	Fc	,
pois	pois	CS	pois
lhe	lhe	PP3CSD00	lhe
devo	devo	VMIP1S0	dever
ma	minha	DP1FSS	meu
amize	amizade	NCFS000	amizade
	.	Fp	.
e	E	CC	e
como	como	SPS00	como
VSa	VSa	NP00000	VSa
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
comssulte	consulte	VMIP3S0	consulter
	,	Fc	,
basta	basta	VMIP3S0	bastar
q	que	CS	que
VSa	VSa	NP00000	VSa
lho	lho	PP3CSD00+PP3MSA00	lhe+o
diga	diga	VMSP0S0	dizer
	,	Fc	,
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
mão	mão	NCFS000	mão
para	pára	SPS00	para
dro	dinheiro	NCMS000	dinheiro
q	que	CS	que
	,	Fc	,
inda	ainda	RG	ainda
q	que	CS	que
é	é	VSIP3S0	ser
pouco	pouco	NCMS000	pouco
	,	Fc	,
pode	pode	VMIP3S0	poder
ir	ir	VMN0000	ir
suprindo	suprindo	VMG0000	suprir
	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
q	que	PR0CN000	que
dezo	desejo	VMIP1S0	desejar
é	é	VSIP3S0	ser
a	a	DA0FS0	o
poce	posse	NCFS000	posse
de	de	SPS00	de
algüa	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
pa	para	SPS00	para
poder	poder	VMN0000	poder
suprir	suprir	VMN0000	suprir
como	como	CS	como
pede	pede	VMIP3S0	pedir
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
dezo	desejo	NCMS000	desejo
	.	Fp	.
mia	Minha	DP1FSS	meu
Tia	tia	NCFS000	tio
rende	rende	VMIP3S0	render
a	a	SPS00	a
VSa	VSa	NP00000	VSa
as	as	DA0FP0	o
grassas	graças	NCFP000	graça
por	por	SPS00	por
tãobem	também	RG	também
querer	querer	VMN0000	querer
beneficiala	beneficiá-la	VMN0000	querer
	,	Fc	,
pois	pois	CS	pois
na	na	SPS00+DA0FS0	em+o
verde	verdade	NCFS000	verdade
aqla	aquela	DD0FS0	aquele
mezda	mesada	NCFS000	mesada
supria	supria	NCFS000	supria
a	a	DA0FS0	o
Caza	casa	NCFS000	casa
e	e	CC	e
tenssas	tensas	NCFP000	tensa
as	as	DA0FP0	o
despezas	despesas	NCFP000	despesa
(	(	Fc	(
em	em	SPS00	em
pte	parte	NCFS000	parte
)	)	Fbt	)
de	de	SPS00	de
demandas	demandas	NCFP000	demanda
	,	Fc	,
q	que	CS	que
se	se	CS	se
Ds	Deus	NP00000	deus
me	me	PP1CS000	me
não	não	RN	não
dera	dera	VMIM0S0	dar
um	um	DI0MS0	um
pouco	pouco	NCMS000	pouco
de	de	SPS00	de
animo	ânimo	NCMS000	ânimo
me	me	PP1CS000	me
faria	faria	VMIC0S0	fazer
Louca	louca	AQ0FS0	louco
,	,	Fc	,
no	no	SPS00+DA0MS0	em+o
estado	estado	NCMS000	estado
a	a	SPS00	a
q	que	PR0CN000	que
reduzio	reduziu	VMIS3S0	reduzir
meu	meu	DP1MSS	meu
Iro	irmão	NCMS000	irmão
	,	Fc	,
q	que	CS	que
só	só	RG	só
me	me	PP1CS000	me
dá	dá	VMIP3S0	dar
duas	duas	Z	duas
moedas	moedas	NCFP000	moeda
de	de	SPS00	de
um	um	DI0MS0	um
foro	foro	NCMS000	foro
,	,	Fc	,
tres	três	Z	três
mil	mil	Z	mil
e	e	CC	e
treztos	trezentos	Z	trezentos
de	de	SPS00	de
outro	outro	DI0MS0	outro
,	,	Fc	,
dezaceis	dezasseis	Z	dezasseis
mil	mil	Z	mil
reis	réis	NCMP000	réis
de	de	SPS00	de
umas	umas	DI0FP0	um
cazas	casas	NCFP000	casa
	.	Fp	.
em	Em	SPS00	em
tudo	tudo	PI0NN000	tudo
se	se	P00CN000	se
tirão	tiram	VMIP3P0	tirar
as	as	DA0FP0	o
devidas	devidas	AQ0FP0	devido
decimas	décimas	NCFP000	décima
,	,	Fc	,
e	e	CC	e
uns	uns	DI0MP0	um
olivaes	olivais	NCMP000	um
q	que	CS	que
	,	Fc	,
só	só	RG	só
na	na	SPS00+DA0FS0	em+o
novide	novidade	NCFS000	novidade
antecedente	antecedente	AQ0CS0	antecedente
	,	Fc	,
derão	deram	VMIS3P0	dar
des	dez	Z	dez
@	arrobas	NCFP000	arroba
q	que	CS	que
	,	Fc	,
cendo	sendo	VSG0000	ser
o	o	DA0MS0	o
foro	foro	NCMS000	foro
por	por	SPS00	por
não	não	RN	não
ficar	ficar	VMN0000	ficar
sem	sem	SPS00	sem
nada	nada	PI0NN00N	nada
,	,	Fc	,
pedi	pedi	VMIS1S0	pedir
espera	espera	NCFS000	espera
pa	para	SPS00	para
esta	esta	DD0FS0	este
prezte	presente	NCFS000	presente
	.	Fp	.
ea	ea	X	X
o	o	DA0MS0	o
requerimto	requerimento	NCMS000	requerimento
está	está	VMIP3S0	estar
Como	como	SPS00	como
Couza	coisa	NCFS000	coisa
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
de	de	SPS00	de
qm	quem	PR0CN000	quem
Comfio	confio	VMIP1S0	confiar
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
felicide	felicidade	NCFS000	felicidade
:	.	Fp	.
Eu	Eu	PP1CSN00	eu
a	a	SPS00	a
dezo	desejo	NCMS000	desejo
a	a	SPS00	a
VSa	VSa	NP00000	VSa
	,	Fc	,
e	e	CC	e
pa	para	SPS00	para
mim	mim	PP1CSO00	mim
oCaziões	ocasiões	NCFP000	ocasião
de	de	SPS00	de
mostrar	mostrar	VMN0000	mostrar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
q	que	CS	que
sou	sou	VSIP1S0	ser
sua	sua	DP3FS0	seu
Mto	muito	RQ	muito
e	e	CC	e
mto	muito	RQ	muito
devedora	devedora	AQ0FS0	devedor
	,	Fc	,
Ma	Maria	NP00000	maria
Elena	Elena	NP00000	Elena
