Mto	Muito	RQ	muito
piguei	peguei	VMIS1S0	pegar
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
dipois	depois	RG	depois
da	da	SPS00+DA0FS0	de+o
tal	tal	PD0CS000	tal
comsomida	consumida	VMP00SF	consumir
e	e	CC	e
	,	Fc	,
o	ao	SPS00+DA0MS0	a+o
lẽtmte	lentamente	RG	lentamente
	,	Fc	,
deitei	deitei	VMIS1S0	deitar
nas	nas	SPS00+DA0FP0	em+o
lumeas	lumeas	X	X
	.	Fp	.
adevertindo	Advertindo	VMG0000	advertir
donde	onde	PA000000	onde
se	se	P00CN000	se
queimou	queimou	VMIS3S0	queimar
	,	Fc	,
foi	foi	VSIS3S0	ser
em	em	SPS00	em
hũ	um	DI0MS0	um
testo	testo	NCMS000	testo
de	de	SPS00	de
brazas	brasas	NCFP000	brasa
	,	Fc	,
q	que	PR0CN000	que
foi	foi	VSIS3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
deitei	deitei	VMIS1S0	deitar
pa	para	SPS00	para
donde	onde	PA000000	onde
ja	já	RG	já
dise	disse	VMIS3S0	dizer
	.	Fp	.
e	E	CC	e
saiba	saiba	VMSP0S0	saber
q	que	CS	que
em	em	SPS00	em
mim	mim	PP1CSO00	mim
ha	há	VMIP3S0	haver
copula	cópula	NCFS000	cópula
	.	Fp	.
suponho	Suponho	VMIP1S0	supor
me	me	PP1CS000	me
imtende	entende	VMIP3S0	entender
	,	Fc	,
e	e	CC	e
com	com	SPS00	com
qm	quem	PR0CN000	quem
	.	Fp	.
e	E	CC	e
pa	para	SPS00	para
ver	ver	VMN0000	ver
se	se	CSI	se
me	me	PP1CS000	me
não	não	RN	não
perseguia	perseguia	VMII0S0	perseguir
	,	Fc	,
tanto	tanto	RC	tanto
he	é	VSIP3S0	ser
q	que	CS	que
a	a	SPS00	a
Vmce	VM	NP00000	VM
pedia	pedia	VMII0S0	pedir
a	a	DA0FS0	o
reliquia	relíquia	NCFS000	relíquia
do	do	SPS00+DA0MS0	de+o
sto	santo	AQ0MS0	santo
lenho	lenho	NCMS000	lenho
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
ventre	ventre	NCMS000	ventre
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
como	como	CS	como
ando	ando	VMIP1S0	andar
	.	Fp	.
ja	Já	RG	já
Ds	Deus	NP00000	deus
queira	queira	VMSP0S0	querer
q	que	CS	que
se	se	P00CN000	se
isto	isto	PD0NN000	isto
não	não	RN	não
alcanse	alcance	VMSP0S0	alcançar
	,	Fc	,
q	que	CS	que
	,	Fc	,
se	se	CS	se
tal	tal	RC	tal
se	se	P00CN000	se
suspeita	suspeita	VMIP3S0	suspeitar
	,	Fc	,
sertamte	certamente	RG	certamente
me	me	PP1CS000	me
metem	metem	VMIP3P0	meter
no	no	SPS00+DA0MS0	em+o
casere	cárcere	NCMS000	cárcere
	,	Fc	,
donde	onde	PA000000	onde
	,	Fc	,
vendome	vendo-me	VMG0000+PP1CS000	ver+me
em	em	SPS00	em
poder	poder	VMN0000	poder
destas	destas	SPS00+DD0FP0	de+este
senhoras	senhoras	NCFP000	senhor
com	com	SPS00	com
emnominia	ignomínia	NCFS000	ignomínia
semilhante	semelhante	AQ0CS0	semelhante
	,	Fc	,
he	é	VSIP3S0	ser
emfalivel	infalível	AQ0CS0	infalível
matarme	matar-me	VMN0000+PP1CS000	matar+me
antes	antes	RG	antes
q	que	CS	que
elas	elas	PP3FP000	ele
me	me	PP1CS000	me
comsumão	consumam	VMSP3P0	consumir
e	e	CC	e
arenegada	arrenegada	VMP00SF	arrenegar
morrer	morrer	VMN0000	morrer
	.	Fp	.
the	Até	SPS00	até
gora	agora	RG	agora
nada	nada	PI0NN00N	nada
se	se	P00CN000	se
sabe	sabe	VMIP3S0	saber
	,	Fc	,
mas	mas	CC	mais
	,	Fc	,
como	como	CS	como
vem	veem	VMIP3P0	ver
como	como	CS	como
eu	eu	PP1CSN00	eu
ando	ando	VMIP1S0	andar
	,	Fc	,
cudão	cuidam	VMIP3P0	cuidar
serem	serem	VSN03P0	ser
masinasois	maquinações	NCFP000	maquinação
e	e	CC	e
dizem	dizem	VMIP3P0	dizer
tenho	tenho	VMIP1S0	ter
felatos	flatos	NCMP000	flato
malancoloicos	melancólicos	AQ0MP0	melancólico
	.	Fp	.
agora	Agora	RG	agora
veja	veja	VMSP0S0	ver
Vmce	VM	NP00000	VM
o	o	DA0MS0	o
como	como	NCMS000	como
me	me	PP1CS000	me
ei	hei	VMIP1S0	haver
de	de	SPS00	de
aver	haver	VMN0000	haver
neste	neste	SPS00+DD0MS0	em+este
particular	particular	NCMS000	particular
	,	Fc	,
em	em	SPS00	em
q	que	PR0CN000	que
so	só	RG	só
de	de	SPS00	de
ca	cá	RG	cá
me	me	PP1CS000	me
reseio	receio	VMIP1S0	recear
por	por	SPS00	por
não	não	RN	não
perder	perder	VMN0000	perder
corpo	corpo	NCMS000	corpo
e	e	CC	e
alma	alma	NCFS000	alma
	,	Fc	,
q	que	CS	que
do	do	SPS00+DA0MS0	de+o
Sto	Santo	AQ0MS0	santo
ofisio	Ofício	NP00000	ofício
zombo	zombo	VMIP1S0	zombar
eu	eu	PP1CSN00	eu
	.	Fp	.
quem	Quem	PR0CN000	quem
me	me	PP1CS000	me
avia	havia	VMII0S0	haver
de	de	SPS00	de
acuzar	acusar	VMN0000	acusar
o	o	DA0MS0	o
ele	ele	PP3MS000	ele
pode	pode	VMIP3S0	poder
ca	cá	RG	cá
virme	vir-me	VMN0000+PP1CS000	vir+me
buscar	buscar	VMN0000	buscar
	?	Fi	?
zombe	Zombo	VMIP1S0	zombar
diso	disso	SPS00+PD0NN000	de+isso
	.	Fp	.
tal	Tal	RC	tal
não	não	RN	não
esta	está	VMIP3S0	estar
ja	já	RG	já
em	em	SPS00	em
moda	moda	NCFS000	moda
	.	Fp	.
e	E	CC	e
de	de	SPS00	de
mais	mais	RC	mais
q	que	CS	que
triste	triste	AQ0CS0	triste
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
ca	cá	RG	cá
viese	viesse	VMSI0S0	vir
buscar	buscar	VMN0000	buscar
alguã	alguma	PI0FS000	algum
	,	Fc	,
q	que	CS	que
viria	viria	VMIC0S0	vir
buscar	buscar	VMN0000	buscar
lan	lã	NCFS000	lã
e	e	CC	e
iria	iria	VMIC0S0	ir
trusqquiado	tosquiado	VMP00SM	tosquiar
	,	Fc	,
como	como	CS	como
se	se	P00CN000	se
tras	traz	VMIP3S0	trazer
em	em	SPS00	em
dizer	dizer	VMN0000	dizer
	.	Fp	.
não	Não	RN	não
sou	sou	VSIP1S0	ser
mais	mais	RC	mais
dilatada	dilatada	VMP00SF	dilatar
pelo	pelo	SPS00+PP3MSA00	por+o
não	não	RN	não
molestar	molestar	VMN0000	molestar
	.	Fp	.
se	Se	CS	se
Vmce	VM	NP00000	VM
lhe	lhe	PP3CSD00	lhe
emportar	importar	VMN0000	importar
falarme	falar-me	VMN0000+PP1CS000	falar+me
	,	Fc	,
tal	tal	RC	tal
não	não	RN	não
fasa	faça	VMSP0S0	fazer
	.	Fp	.
digame	Diga-me	VMSP0S0+PP1CS000	dizer+me
o	o	DA0MS0	o
q	que	PR0CN000	que
quizer	quiser	VMSF0S0	querer
por	por	SPS00	por
escrita	escrita	NCFS000	escrita
	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
veremno	verem-no	VMN03P0+PP3MSA00	ver+o
ca	cá	RG	cá
tem	tem	VMIP3S0	ter
mtos	muitos	DI0MP0	muito
discontos	descontos	NCMP000	desconto
	.	Fp	.
o	O	DA0MS0	o
ceo	céu	NCMS000	céu
gde	guarde	VMSP0S0	guardar
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
pesoa	pessoa	NCFS000	pessoa
como	como	PA000000	como
lhe	lhe	PP3CSD00	lhe
dezo	desejo	VMIP1S0	desejar
	.	Fp	.
N	Nossa	DP2FSP	nosso
S	Senhora	NP00000	senhor
	,	Fc	,
oje	hoje	RG	hoje
	,	Fc	,
vinte	vinte	Z	vinte
e	e	CC	e
sete	sete	Z	sete
de	de	SPS00	de
julho	julho	NCMS000	julho
de	de	SPS00	de
1745	1745	Z	1745
	.	Fp	.
de	De	SPS00	de
Vmce	VM	NP00000	VM
veneradora	veneradora	NCFS000	venerador
	,	Fc	,
a	a	DA0FS0	o
mais	mais	RC	mais
obrigada	obrigada	AQ0FS0	obrigado
	,	Fc	,
soror	Soror	NP00000	soror
Franca	Francisca	NP00000	francisca
jozepha	Josefa	NP00000	josefa
do	do	SPS00+DA0MS0	de+o
Evanga	Evangelista	NP00000	evangelista
