Fiais	Fiães	NP00000	fiães
recomendão	recomendam	VMIP3P0	recomendar
com	com	SPS00	com
mtas	muitas	DI0FP0	muito
lenbrancas	lembranças	NCFP000	lembrança
	,	Fc	,
porqto	porquanto	CS	porquanto
são	são	VSIP3P0	ser
todos	todos	PI0MP000	todo
os	os	DA0MP0	o
que	que	PR0CN000	que
ha	há	VMIP3S0	haver
em	em	SPS00	em
caza	casa	NCFS000	casa
	.	Fp	.
minha	Minha	DP1FSS	meu
avo	avó	NCFS000	avô
	,	Fc	,
levoua	levou-a	VMIS3S0+PP3FSA00	levar+o
deos	Deus	NP00000	deus
a	a	SPS00	a
22	22	Z	22
de	de	SPS00	de
dezenbro	dezembro	NCMS000	dezembro
de	de	SPS00	de
1735	1735	Z	1735
.	.	Fp	.
Sor	Senhor	NP00000	senhor
Luis	Luís	NP00000	luís
dos	dos	SPS00+DA0MP0	de+o
Santos	Santos	NP00000	santos
	,	Fc	,
eu	eu	PP1CSN00	eu
li	li	VMIS1S0	ler
a	a	DA0FS0	o
carta	carta	NCFS000	carta
que	que	PR0CN000	que
vm	VM	NP00000	VM
mandou	mandou	VMIS3S0	mandar
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
gente	gente	NCFS000	gente
de	de	SPS00	de
cercoza	Cercosa	NP00000	cercosa
	,	Fc	,
em	em	SPS00	em
q	que	PR0CN000	que
me	me	PP1CS000	me
não	não	RN	não
pareceo	pareceu	VMIS3S0	parecer
mto	muito	RQ	muito
bem	bem	RG	bem
a	a	DA0FS0	o
reposta	resposta	NCFS000	resposta
que	que	PR0CN000	que
vm	VM	NP00000	VM
lhe	lhe	PP3CSD00	lhe
mandou	mandou	VMIS3S0	mandar
	,	Fc	,
a	a	DA0FS0	o
cual	qual	PR0CS000	qual
lhe	lhe	PP3CSD00	lhe
cervia	servia	VMII0S0	servir
mais	mais	RC	mais
de	de	SPS00	de
pena	pena	NCFS000	pena
do	do	SPS00+DA0MS0	de+o
que	que	CS	que
de	de	SPS00	de
alivio	alívio	NCMS000	alívio
e	e	CC	e
a	a	DA0FS0	o
cual	qual	PR0CS000	qual
hera	era	VSII0S0	ser
sem	sem	SPS00	sem
culpa	culpa	NCFS000	culpa
	,	Fc	,
pello	pelo	SPS00+DA0MS0	por+o
que	que	PR0CN000	que
me	me	PP1CS000	me
dezia	dizia	VMII0S0	dizer
	,	Fc	,
porqto	porquanto	CS	porquanto
a	a	DA0FS0	o
Senora	senhora	NP00000	senhor
dominguas	Domingas	NP00000	domingas
Rois	Rodrigues	NP00000	rodrigues
me	me	PP1CS000	me
dice	disse	VMIS3S0	dizer
q	que	CS	que
nunca	nunca	RN	nunca
lhe	lhe	PP3CSD00	lhe
escrevera	escrevera	VMIM0S0	escrever
e	e	CC	e
	,	Fc	,
senão	senão	CC	senão
como	como	CS	como
vm	VM	NP00000	VM
lhe	lhe	PP3CSD00	lhe
escrevia	escrevia	VMII0S0	escrever
	,	Fc	,
se	se	CSI	se
supeitava	supeitava	VMII0S0	suspeitar
q	que	CS	que
o	o	DA0MS0	o
irmão	irmão	NCMS000	irmão
de	de	SPS00	de
Lisboa	Lisboa	NP00000	lisboa
as	as	PP3FPA00	o
abrise	abrisse	VMSI0S0	abrir
	,	Fc	,
porq	porque	CS	porque
lhe	lhe	PP3CSD00	lhe
mandou	mandou	VMIS3S0	mandar
dizer	dizer	VMN0000	dizer
q	que	CS	que
tinha	tinha	VMII0S0	ter
pena	pena	NCFS000	pena
e	e	CC	e
tinteiro	tinteiro	NCMS000	tinteiro
para	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
escrever	escrever	VMN0000	escrever
como	como	CS	como
hera	era	VSII0S0	ser
lizito	lícito	AQ0MS0	lícito
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
saiBa	saiba	VMSP0S0	saber
	,	Fc	,
vm	VM	NP00000	VM
	,	Fc	,
q	que	CS	que
esta	esta	PD0FS000	este
he	é	VSIP3S0	ser
a	a	DA0FS0	o
mesma	mesma	AQ0FS0	mesmo
verdade	verdade	NCFS000	verdade
	.	Fp	.
não	Não	RN	não
lhe	lhe	PP3CSD00	lhe
queira	queira	VMSP0S0	querer
dar	dar	VMN0000	dar
penas	penas	NCFP000	pena
porq	porque	CS	porque
as	as	PP3FPA00	o
não	não	RN	não
merece	merece	VMIP3S0	merecer
nem	nem	CCN	nem
a	a	DA0FS0	o
mais	mais	RC	mais
imiga	inimiga	NCFS000	inimigo
e	e	CC	e
	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
vm	VM	NP00000	VM
la	lá	RG	lá
ganhe	ganhe	VMSP0S0	ganhar
mto	muito	RQ	muito
	,	Fc	,
intenda	entenda	VMSP0S0	entender
q	que	CS	que
não	não	RN	não
amda	anda	VMIP3S0	andar
Liver	livre	AQ0CS0	livre
da	da	SPS00+DA0FS0	de+o
conciencia	consciência	NCFS000	consciência
e	e	CC	e
o	o	DA0MS0	o
mundo	mundo	NCMS000	mundo
todo	todo	DI0MS0	todo
sem	sem	SPS00	sem
deos	Deus	NP00000	deus
he	é	VSIP3S0	ser
nada	nada	PI0NN00N	nada
e	e	CC	e
o	o	DA0MS0	o
nada	nada	PI0NN00N	nada
com	com	SPS00	com
deos	Deus	NP00000	deus
he	é	VSIP3S0	ser
tudo	tudo	VSIP3S0	ser
	.	Fp	.
e	E	CC	e
nesta	nesta	SPS00+DD0FS0	em+este
terra	terra	NCFS000	terra
valle	vale	VMIP3S0	valer
mais	mais	RC	mais
guanhar	ganhar	VMN0000	ganhar
seis	seis	Z	seis
vintens	vinténs	NCMP000	vintém
e	e	CC	e
de	de	SPS00	de
comer	comer	VMN0000	comer
q	que	CS	que
nesa	nessa	SPS00+DD0FS0	em+esse
hũ	um	DI0MS0	um
cuarto	quarto	NCMS000	quarto
d	de	SPS00	de
ouro	ouro	NCMS000	ouro
seco	seco	AQ0MS0	seco
	!	Fa	!
e	E	CC	e
juntamte	juntamente	RG	juntamente
não	não	RN	não
cude	cuide	VMSP0S0	cuidar
	,	Fc	,
vm	VM	NP00000	VM
	,	Fc	,
q	que	CS	que
isto	isto	PD0NN000	isto
e	e	CC	e
os	os	DA0MP0	o
incarecimtos	encarecimentos	NCMP000	encarecimento
se	se	CS	se
não	não	RN	não
he	é	VSIP3S0	ser
mto	muito	RQ	muito
dezo	desejo	RQ	muito
q	que	CS	que
eu	eu	PP1CSN00	eu
tinha	tinha	VMII0S0	ter
de	de	SPS00	de
me	me	PP1CS000	me
ver	ver	VMN0000	ver
com	com	SPS00	com
vm	VM	NP00000	VM
	,	Fc	,
e	e	CC	e
saiba	saiba	VMSP0S0	saber
q	que	CS	que
mais	mais	RC	mais
vale	vale	VMIP3S0	valer
hũ	um	DI0MS0	um
bo	bom	AQ0MS0	bom
fim	fim	NCMS000	fim
q	que	CS	que
hũ	um	DI0MS0	um
ruim	ruim	AQ0CS0	ruim
principio	princípio	NCMS000	princípio
	.	Fp	.
e	E	CC	e
a	a	SPS00	a
vm	VM	NP00000	VM
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
he	é	VSIP3S0	ser
necesario	necessário	AQ0MS0	necessário
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
documtos	documentos	NCMP000	documento
	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
sou	sou	VSIP1S0	ser
capas	capaz	AQ0CS0	capaz
de	de	SPS00	de
os	os	DA0MP0	o
dar	dar	VMN0000	dar
e	e	CC	e
sua	sua	DP3FS0	seu
madrinha	madrinha	NCFS000	madrinha
lhe	lhe	PP3CSD00	lhe
pede	pede	VMIP3S0	pedir
incarecidamte	encarecidamente	RG	encarecidamente
	,	Fc	,
porq	porquanto	CS	porquanto
estimara	estimara	VMIM0S0	estimar
a	a	SPS00	a
vello	vê-lo	VMN0000+PP3MSA00	ver+o
	,	Fc	,
e	e	CC	e
a	a	DA0FS0	o
inquiricão	inquirição	NCFS000	inquirição
q	que	CS	que
não	não	RN	não
tem	tem	VMIP3S0	ter
ocazião	ocasião	NCFS000	ocasião
agora	agora	RG	agora
de	de	SPS00	de
lha	lha	PP3CSD00+PP3FSA00	lhe+o
mandar	mandar	VMN0000	mandar
	.	Fp	.
e	E	CC	e
mais	mais	RC	mais
	,	Fc	,
se	se	CS	se
vm	VM	NP00000	VM
vier	vier	VMSF0S0	vir
	,	Fc	,
bem	bem	RG	bem
a	a	PP3FSA00	o
escuzara	escusara	VMIM0S0	escusar
	.	Fp	.
e	E	CC	e
vm	VM	NP00000	VM
ecreva	escreva	VMSP0S0	escrever
porque	porque	CS	porque
com	com	SPS00	com
suas	suas	DP3FP0	seu
novas	novas	NCFP000	nova
me	me	PP1CS000	me
dara	dará	VMIF3S0	dar
mto	muito	RQ	muito
alivio	alívio	NCMS000	alívio
	.	Fp	.
e	E	CC	e
fico	fico	VMIP1S0	ficar
para	para	SPS00	para
cervir	servir	VMN0000	servir
a	a	SPS00	a
vm	VM	NP00000	VM
e	e	CC	e
roguando	rogando	VMG0000	rogar
a	a	SPS00	a
rDs	Deus	NP00000	deus
q	que	CS	que
o	o	PP3MSA00	o
guarde	guarde	VMSP0S0	guardar
e	e	CC	e
traga	traga	VMSP0S0	trazer
com	com	SPS00	com
bem	bem	NCMS000	bem
	.	Fp	.
Deste	Deste	SPS00+DD0MS0	de+este
seu	seu	DP3MS0	seu
primo	primo	NCMS000	primo
q	que	PR0CN000	que
mto	muito	RQ	muito
lhe	lhe	PP3CSD00	lhe
deza	deseja	VMIP3S0	desejar
	,	Fc	,
Pedro	Pedro	NP00000	pedro
Francisco	Francisco	NP00000	francisco
