Mto	Muito	RQ	muito
outro	outro	DI0MS0	outro
	,	Fc	,
e	e	CC	e
não	não	RN	não
nos	nos	PP1CP000	nos
molestar	molestar	VMN0000	molestar
nem	nem	CC	nem
dilatar	dilatar	VMN0000	dilatar
tempo	tempo	NCMS000	tempo
	.	Fp	.
eu	Eu	PP1CSN00	eu
farei	farei	VMIF1S0	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
pareser	parecer	VMN0000	parecer
	,	Fc	,
ja	já	RG	já
q	que	CS	que
Vmces	VMs	NP00000	VM
asim	assim	RG	assim
o	o	PP3MSA00	o
querem	querem	VMIP3P0	querer
	.	Fp	.
primeiramte	Primeiramente	RG	primeiramente
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
comfirmo	confirmo	VMIP1S0	confirmar
por	por	SPS00	por
minha	minha	DP1FSS	meu
ultima	última	NCFS000	último
vontade	vontade	NCFS000	vontade
	,	Fc	,
mto	muito	NCMS000	muito
em	em	SPS00	em
meu	meu	DP1MSS	meu
juizo	juízo	NCMS000	juízo
perfeito	perfeito	AQ0MS0	perfeito
	,	Fc	,
q	que	CS	que
renego	renego	VMIP1S0	renegar
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
de	de	SPS00	de
sua	sua	DP3FS0	seu
mai	mãe	NCFS000	mãe
,	,	Fc	,
da	da	SPS00+DA0FS0	de+o
trindade	trindade	NCFS000	trindade
,	,	Fc	,
e	e	CC	e
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
misterios	mistérios	NCMP000	mistério
e	e	CC	e
sacramtos	sacramentos	NCMP000	sacramento
,	,	Fc	,
e	e	CC	e
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
a	a	DA0FS0	o
dita	dita	VMP00SF	dizer
igreija	igreja	NCFS000	igreja
manda	manda	VMIP3S0	mandar
crer	crer	VMN0000	crer
	.	Fp	.
eu	Eu	PP1CSN00	eu
abuzo	abuso	NCMS000	abuso
e	e	CC	e
tenho	tenho	VMIP1S0	ter
por	por	SPS00	por
mentira	mentira	NCFS000	mentira
	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
maior	maior	AQ0CS0	maior
erro	erro	NCMS000	erro
q	que	PR0CN000	que
se	se	P00CN000	se
pode	pode	VMIP3S0	poder
dar	dar	VMN0000	dar
	.	Fp	.
pois	Pois	RG	pois
se	se	CS	se
	,	Fc	,
the	até	SPS00	até
agora	agora	RG	agora
	,	Fc	,
so	só	RG	só
por	por	SPS00	por
hum	um	DI0MS0	um
modo	modo	NCMS000	modo
era	era	VSII0S0	ser
do	do	SPS00+DA0MS0	de+o
demonio	demónio	NCMS000	demónio
	,	Fc	,
agora	agora	RG	agora
de	de	SPS00	de
todo	todo	RG	todo
lhe	lhe	PP3CSD00	lhe
dou	dou	VMIP1S0	dar
pose	posse	NCFS000	posse
de	de	SPS00	de
meu	meu	DP1MSS	meu
corpo	corpo	NCMS000	corpo
e	e	CC	e
alma	alma	NCFS000	alma
	,	Fc	,
tendoo	tendo-o	VAG0000+PP3MSA00	ter+o
so	só	RG	só
por	por	SPS00	por
poderozo	poderoso	NCMS000	poderoso
,	.	Fp	.
pois	Pois	CS	pois
asim	assim	RG	assim
o	o	PP3MSA00	o
comfirma	confirma	VMIP3S0	confirmar
a	a	SPS00	a
minha	minha	DP1FSS	meu
experiençia	experiência	NCFS000	experiência
quando	quando	CS	quando
Vmces	VMs	NP00000	VM
me	me	PP1CS000	me
não	não	RN	não
valem	valem	VMIP3P0	valer
	,	Fc	,
como	como	CS	como
q	que	CS	que
se	se	CS	se
eu	eu	PP1CSN00	eu
emprendera	empreendera	SPS00	empreendera
alguma	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
tão	tão	RC	tão
emposivel	impossível	AQ0CS0	impossível
q	que	CS	que
no	no	SPS00+DA0MS0	em+o
mundo	mundo	NCMS000	mundo
se	se	CS	se
não	não	RN	não
vise	visse	VMSI0S0	ver
	.	Fp	.
pois	Pois	CS	pois
so	só	RG	só
he	é	VSIP3S0	ser
emposivel	impossível	AQ0CS0	impossível
deichar	deixar	VMN0000	deixar
de	de	SPS00	de
morrer	morrer	VMN0000	morrer
	,	Fc	,
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
mais	mais	NCMS000	mais
tem	tem	VMIP3S0	ter
remedio	remédio	NCMS000	remédio
,	,	Fc	,
se	se	CS	se
lho	lho	PP3CSD00+PP3MSA00	lhe+o
buscar	buscar	VMN0000	buscar
,	.	Fp	.
mas	Mas	CC	mas
Vmces	VMs	NP00000	VM
tanto	tanto	CC	tanto
o	o	DA0MS0	o
não	não	RN	não
fizerão	fizeram	VMIS3P0	fazer
q	que	CS	que
mo	mo	PP1CS000+PP3MSA00	me+o
empedem	impedem	VMIP3P0	impedir
,	,	Fc	,
como	como	CS	como
mo	mo	PP1CS000+PP3MSA00	me+o
dise	disse	VMIS3S0	dizer
quem	quem	PR0CN000	quem
o	o	PP3MSA00	o
sabe	sabe	VMIP3S0	saber
,	,	Fc	,
tam	tão	CC	tão
bem	bem	RG	bem
como	como	SPS00	como
Vmces	VMs	NP00000	VM
,	.	Fp	.
e	E	CC	e
isto	isto	PD0NN000	isto
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
Vmces	VMs	NP00000	VM
e	e	CC	e
a	a	SPS00	a
sua	sua	DP3FS0	seu
caridade	caridade	NCFS000	caridade
e	e	CC	e
zello	zelo	NCMS000	zelo
comigo	comigo	SPS00+PP1CSO00	com+mim
obrão	obram	VMIP3P0	obrar
,	,	Fc	,
esta	esta	DD0FS0	este
he	é	VSIP3S0	ser
a	a	SPS00	a
minha	minha	DP1FSS	meu
comfição	confissão	NCFS000	confissão
e	e	CC	e
comunhão	comunhão	NCFS000	comunhão
	,	Fc	,
e	e	CC	e
a	há	VMIP3S0	haver
de	de	SPS00	de
ser	ser	NCMS000	ser
	,	Fc	,
nem	nem	CC	nem
quero	quero	VMIP1S0	querer
outra	outra	DI0FS0	outro
	.	Fp	.
e	E	CC	e
guardem	guardem	SPS00	guardem
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
conselhos	conselhos	NCMP000	conselho
,	,	Fc	,
q	que	CS	que
isto	isto	PD0NN000	isto
não	não	RN	não
he	é	VSIP3S0	ser
demanda	demanda	NCFS000	demanda
q	que	CS	que
se	se	CS	se
dilate	dilate	RG	dilate
com	com	SPS00	com
letijos	litígios	NCMP000	litígio
,	.	Fp	.
era	Era	VSII0S0	ser
a	a	DA0FS0	o
salvação	salvação	NCFS000	salvação
q	que	PR0CN000	que
dependia	dependia	VMIP3S0	dependiar
de	de	SPS00	de
	,	Fc	,
logo	logo	RG	logo
	,	Fc	,
logo	logo	RG	logo
	,	Fc	,
ser	ser	VSN0000	ser
remediada	remediada	VMP00SF	remediar
	.	Fp	.
não	Não	RN	não
quizerão	quiseram	VMIS3P0	querer
Vmces	VMs	NP00000	VM
,	,	Fc	,
ora	ora	RG	ora
discansem	descansem	VMSP3P0	descansar
,	,	Fc	,
q	que	CS	que
ja	já	RG	já
fica	fica	VMIP3S0	ficar
a	a	SPS00	a
seu	seu	DP3MS0	seu
gosto	gosto	NCMS000	gosto
	.	Fp	.
o	O	DA0MS0	o
seu	seu	DP3MS0	seu
Ds	Deus	NP00000	deus
lhe	lhe	PP3CSD00	lhe
pesa	peça	VMSP0S0	pedir
tão	tão	RC	tão
istreita	estreita	AQ0FS0	estreito
conta	conta	NCFS000	conta
como	como	CS	como
merese	merece	VMIP3S0	merecer
o	o	DA0MS0	o
fervorozo	fervoroso	AQ0MS0	fervoroso
zelo	zelo	NCMS000	zelo
q	que	CS	que
com	com	SPS00	com
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
tem	têm	VMIP3S0	ter
exzicutado	executado	VMP00SM	executar
	,	Fc	,
he	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
oferese	oferece	VMIP3S0	oferecer
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
Vmce	VM	NP00000	VM
	.	Fp	.
pois	Pois	CS	pois
ja	já	RG	já
o	o	DA0MS0	o
mais	mais	NCMS000	mais
visto	visto	VMP00SM	ver
,	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
Vmces	VMs	NP00000	VM
obrão	obram	VMIP3P0	obrar
,	,	Fc	,
e	e	CC	e
os	os	DA0MP0	o
tempos	tempos	NCMP000	tempo
em	em	SPS00	em
q	que	CS	que
ja	já	RG	já
istou	estou	VMIP1S0	estar
não	não	RN	não
tem	têm	VMIP3S0	ter
nenhũ	nenhum	DI0MS0	nenhum
lugar	lugar	NCMS000	lugar
	.	Fp	.
e	E	CC	e
	,	Fc	,
agora	agora	RG	agora
	,	Fc	,
o	o	DA0MS0	o
escrever	escrever	VMN0000	escrever
isto	isto	PD0NN000	isto
he	é	VSIP3S0	ser
porq	porque	CS	porque
não	não	RN	não
tirei	tirei	VMIS1S0	tirar
tempo	tempo	NCMS000	tempo
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
dizer	dizer	VMN0000	dizer
tanto	tanto	CC	tanto
,	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
não	não	RN	não
quero	quero	VMIP1S0	querer
dilatar	dilatar	VMN0000	dilatar
por	por	SPS00	por
lo	lo	PP3MSA00	o
não	não	RN	não
molestar	molestar	VMN0000	molestar
tanto	tanto	RC	tanto
,	.	Fp	.
N	Nossa	NP00000	nossa
S	Senhora	NP00000	senhor
.	.	Fp	.
de	De	SPS00	de
quem	quem	PR0CN000	quem
Vmce	VM	NP00000	VM
quis	quis	VMIS3S0	querer
se	se	CS	se
comdenase	condenasse	VMSI0S0	condenar
	,	Fc	,
de	de	SPS00	de
q	que	CS	que
eu	eu	PP1CSN00	eu
ja	já	RG	já
faso	faço	VMIP1S0	fazer
mto	muito	RQ	muito
gosto	gosto	NCMS000	gosto
	,	Fc	,
Franca	Francisca	NP00000	francisca
jozepha	Josefa	NP00000	josefa
