Ilmo	Ilustríssimo	AQSMS0	ilustre
Seu	Seu	DP3MS0	seu
mais	mais	RC	mais
obediente	obediente	AQ0CS0	obediente
servo	servo	NCMS000	servo
e	e	CC	e
Vr	venerador	NCMS000	venerador
De	De	SPS00	de
VSa	VSa	NP00000	VSa
Joam	João	NP00000	joão
Joze	José	NP00000	josé
Bapta	Baptista	NP00000	baptista
Valca	Valença	NP00000	valença
	,	Fc	,
aos	aos	SPS00+DA0MP0	a+o
23	23	Z	23
de	de	SPS00	de
8bro	outubro	NCMS000	outubro
	,	Fc	,
1769	1769	Z	1769
