M	Muito	RQ	muito
socego	sossego	NCMS000	sossego
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
pedi	pedi	VMIS1S0	pedir
treztos	trezentos	Z	trezentos
mil	mil	Z	mil
reis	réis	NCMP000	réis
e	e	CC	e
quatro	quatro	Z	quatro
mil	mil	Z	mil
Cruzados	cruzados	NCMP000	cruzado
pa	para	SPS00	para
duar	doar	VMN0000	doar
,	.	Fp	.
não	Não	RN	não
respondeo	respondeu	VMIS3S0	responder
,	,	Fc	,
nem	nem	CC	nem
eu	eu	PP1CSN00	eu
instei	instei	VMIS1S0	instar
,	.	Fp	.
e	E	CC	e
Como	como	CS	como
reparou	reparou	VMIS3S0	reparar
no	no	SPS00+DA0MS0	em+o
meu	meu	DP1MSS	meu
Silencio	silêncio	NCMS000	silêncio
	,	Fc	,
Sahio	saiu	VMIS3S0	sair
Com	com	SPS00	com
a	a	DA0FS0	o
oferta	oferta	NCFS000	oferta
de	de	SPS00	de
duzentos	duzentos	Z	duzentos
e	e	CC	e
Um	um	DI0MS0	um
conto	conto	NCMS000	conto
,	.	Fp	.
mas	Mas	CC	mas
com	com	SPS00	com
tais	tais	AQ0CP0	tais
Cigurã-ssas	seguranças	NCFP000	seguranças
qtas	quantas	PA000000	quantas
tem	tem	VMIP3S0	ter
Um	um	DI0MS0	um
fio	fio	NCMS000	fio
de	de	SPS00	de
Aranha	aranha	NCFS000	aranha
,	,	Fc	,
temse	tem-se	VAIP3S0+P00CN000	ter+se
movido	movido	VMP0000	mover
Varias	várias	DI0FP0	vários
Couzas	coisas	NCFP000	coisa
	,	Fc	,
as	as	DA0FP0	o
quais	quais	PR0CP000	qual
	,	Fc	,
por	por	SPS00	por
não	não	RN	não
molestar	molestar	VMN0000	molestar
a	a	SPS00	a
vmce	VM	NP00000	VM
	,	Fc	,
não	não	RN	não
relato	relato	VMIP1S0	relatar
	.	Fp	.
e	E	CC	e
pesso	peço	VMIP1S0	pedir
ao	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
letrado	letrado	NCMS000	letrado
	,	Fc	,
o	o	DA0MS0	o
Dor	doutor	NP00000	doutor
José	José	NP00000	josé
Anto	António	NP00000	antónio
das	das	SPS00+DA0FP0	de+o
Ne-ves	Neves	NP00000	neves
	,	Fc	,
as	as	PP3FPA00	o
diga	diga	VMSP0S0	dizer
	,	Fc	,
q	que	CS	que
milhor	melhor	RG	melhor
o	o	PP3MSA00	o
sabe	sabe	VMIP3S0	saber
,	,	Fc	,
e	e	CC	e
tem	tem	VMIP3S0	ter
por	por	SPS00	por
meu	meu	DP1MSS	meu
respto	respeito	NCMS000	respeito
Levado	levado	VMP0000	levar
tais	tais	AQ0CP0	tais
diterios	ditérios	NCMP000	ditério
,	.	Fp	.
q	Que	CS	que
iso	isso	PD0NN000	isso
é	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
mais	mais	RC	mais
Cinto	sinto	VMIP1S0	sentir
,	:	Fp	:
ver	ver	VMN0000	ver
q	que	CS	que
	,	Fc	,
o	o	DA0MS0	o
serme	ser-me	VSN0000+PP1CS000	ser+me
fiel	fiel	AQ0CS0	fiel
sem	sem	SPS00	sem
interesses	interesses	NCMP000	interesse
,	,	Fc	,
a	a	DA0FS0	o
Utilide	utilidade	NCFS000	utilidade
é	é	VSIP3S0	ser
dezatenderem-no	desatenderem-no	VMN03P0+PP3MSA00	desatenderem-no
,	.	Fp	.
mas	Mas	CC	mas
tudo	tudo	PI0NN000	tudo
fás	faz	VMIP3S0	fazer
ser	ser	VSN0000	ser
mais	mais	RC	mais
Crecida	crescida	VMP00SF	crescer
a	a	SPS00	a
mia	minha	DP1FSS	meu
obrigam	obrigação	NCFS000	obrigação
	,	Fc	,
Agora	Agora	RG	agora
	,	Fc	,
porem	porém	RG	porém
	,	Fc	,
dezemganada	desenganada	VMP00SF	desenganar
q	que	CS	que
de	de	SPS00	de
sorte	sorte	NCFS000	sorte
algüa	alguma	DI0FS0	algum
se	se	P00CN000	se
vêce	vence	VMIP3S0	vencer
o	o	DA0MS0	o
genio	génio	NCMS000	génio
de	de	SPS00	de
Lço	Lourenço	NP00000	lourenço
	,	Fc	,
e	e	CC	e
q	que	CS	que
tem	tem	VMIP3S0	ter
Gaspar	Gaspar	NP00000	gaspar
não	não	RN	não
só	só	RG	só
prezo	preso	NCMS000	preso
mas	mas	CC	mais
maltratado	maltratado	VMP00SM	maltratar
	,	Fc	,
Como	como	CS	como
me	me	PP1CS000	me
ficou	ficou	VMIS3S0	ficar
Procam	procuração	NCFS000	procuração
sua	sua	DP3FS0	seu
pa	para	SPS00	para
cuidar	cuidar	VMN0000	cuidar
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
tocava	tocava	VMII0S0	tocar
,	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
não	não	RN	não
tenho	tenho	VMIP1S0	ter
uthelizado	utilizado	VMP0000	utilizar
	,	Fc	,
agora	agora	RG	agora
me	me	PP1CS000	me
qro	quero	VMIP1S0	querer
servir	servir	VMN0000	servir
dela	dela	SPS00+PP3FS000	de+ele
pa	para	SPS00	para
o	o	DA0MS0	o
fim	fim	NCMS000	fim
de	de	SPS00	de
Sua	sua	DP3FS0	seu
Soltura	soltura	NCFS000	soltura
	,	Fc	,
pois	pois	CS	pois
Cei	sei	VMIP1S0	saber
q	que	CS	que
está	está	VMIP3S0	estar
enocente	inocente	NCMS000	inocente
,	,	Fc	,
e	e	CC	e
maltratado	maltratado	VMP00SM	maltratar
,	.	Fp	.
e	E	CC	e
Como	como	CS	como
	,	Fc	,
querendo	querendo	VMG0000	querer
aCentar	assentar	VMN0000	assentar
prassa	praça	NCFS000	praça
	,	Fc	,
Lço	Lourenço	NP00000	lourenço
nunca	nunca	RN	nunca
o	o	DA0MS0	o
concentio	consentiu	NCMS000	consentiu
	,	Fc	,
julgo	julgo	VMIP1S0	julgar
agora	agora	RG	agora
é	é	VSIP3S0	ser
boa	boa	AQ0FS0	bom
oCazião	ocasião	NCFS000	ocasião
	,	Fc	,
pois	pois	CS	pois
cinco	cinco	Z	cinco
mezes	meses	NCMP000	mês
de	de	SPS00	de
prizão	prisão	NCFS000	prisão
é	é	VSIP3S0	ser
baste	bastante	AQ0CS0	bastante
	,	Fc	,
Cendo	sendo	VSG0000	ser
a	a	DA0FS0	o
Culpa	culpa	NCFS000	culpa
não	não	RN	não
dár	dar	VMN0000	dar
Licenssa	licença	NCFS000	licença
pa	para	SPS00	para
á	a	DA0FS0	o
venda	venda	NCFS000	venda
da	da	SPS00+DA0FS0	de+o
eranssa	herança	NCFS000	herança
,	.	Fp	.
e	E	CC	e
se	se	CS	se
ele	ele	PP3MS000	ele
a	há	VMIP3S0	haver
de	de	SPS00	de
andar	andar	VMN0000	andar
roto	roto	AQ0MS0	roto
e	e	CC	e
nececitado	necessitado	VMP00SM	necessitar
em	em	SPS00	em
Caza	casa	NCFS000	casa
por	por	SPS00	por
seu	seu	DP3MS0	seu
Iro	irmão	NCMS000	irmão
lhe	lhe	PP3CSD00	lhe
Comer	comer	VMN0000	comer
o	o	DA0MS0	o
q	que	PR0CN000	que
é	é	VSIP3S0	ser
seu	seu	DP3MS0	seu
	,	Fc	,
dessa	dessa	SPS00+DD0FS0	de+esse
mesma	mesma	AQ0FS0	mesmo
sorte	sorte	NCFS000	sorte
sirva	sirva	VMSP0S0	servir
S	Sua	DP3FS0	seu
Magde	Majestade	NP00000	majestade
	,	Fc	,
visto	visto	VMP00SM	ver
Lço	Lourenço	NP00000	lourenço
não	não	RN	não
cuidar	cuidar	VMN0000	cuidar
em	em	SPS00	em
acomodalo	acomodá-lo	SPS00	em
,	.	Fp	.
mas	Mas	CC	mas
Como	como	CS	como
	,	Fc	,
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
isto	isto	PD0NN000	isto
	,	Fc	,
se	se	CS	se
perciza	precisa	VMIP3S0	precisar
de	de	SPS00	de
qm	quem	PR0CN000	quem
delegencei	diligencie	RG	diligencie
,	,	Fc	,
vendome	vendo-me	VMG0000+PP1CS000	ver+me
no	no	SPS00+DA0MS0	em+o
dezampo	desamparo	NCMS000	desamparo
de	de	SPS00	de
não	não	RN	não
ter	ter	VMN0000	ter
niguem	ninguém	PI0NN00N	ninguém
	,	Fc	,
me	me	PP1CS000	me
valho	valho	VMIP1S0	valer
de	de	SPS00	de
vmce	VM	NP00000	VM
	,	Fc	,
Comfiando	confiando	VMG0000	confiar
o	o	DA0MS0	o
bom	bom	AQ0MS0	bom
efeito	efeito	NCMS000	efeito
	,	Fc	,
pois	pois	CS	pois
cei	sei	VMIP1S0	saber
Gaspar	Gaspar	NP00000	gaspar
lhe	lhe	PP3CSD00	lhe
tem	tem	VMIP3S0	ter
devida	devida	VMP00SF	dever
compaixão	compaixão	NCFS000	compaixão
	.	Fp	.
e	E	CC	e
é	é	VSIP3S0	ser
digno	digno	AQ0MS0	digno
dela	dela	SPS00+PP3FS000	de+ele
,	,	Fc	,
pois	pois	CS	pois
tem	tem	VMIP3S0	ter
Levado	levado	VMP0000	levar
taes	tais	AQ0CP0	tais
Crueldes	crueldades	NCFP000	tais
ao	ao	SPS00+DA0MS0	a+o
Iro	irmão	NCMS000	irmão
q	que	PR0CN000	que
se	se	P00CN000	se
fazem	fazem	VMIP3P0	fazer
incriveis	incríveis	AQ0CP0	incrível
,	.	Fp	.
teve	Teve	VMIS3S0	ter
a	a	DA0FS0	o
Lembça	lembrança	NCFS000	lembrança
de	de	SPS00	de
dizer	dizer	VMN0000	dizer
ele	ele	PP3MS000	ele
quizera	quisera	VMIM0S0	querer
matar	matar	VMN0000	matar
a	a	SPS00	a
todos	todos	PI0MP000	todo
com	com	SPS00	com
pessonha	peçonha	NCFS000	peçonha
,	.	Fp	.
qdo	Quando	CS	quando
eu	eu	PP1CSN00	eu
	,	Fc	,
informandome	informando-me	Fc	,
	,	Fc	,
sube	soube	VMIS1S0	saber
q	que	CS	que
o	o	DA0MS0	o
Preto	preto	NCMS000	preto
José	José	NP00000	josé
se	se	CS	se
tinha	tinha	VAII0S0	ter
queixado	queixado	VMP0000	queixar
do	do	SPS00+DA0MS0	de+o
Cobre	cobre	NCMS000	cobre
não	não	RN	não
estar	estar	VMN0000	estar
estanhado	estanhado	VMP00SM	estanhar
	,	Fc	,
e	e	CC	e
tanto	tanto	RC	tanto
q	que	CS	que
o	o	PP3MSA00	o
foi	foi	VMIS3S0	ir
	,	Fc	,
cessou	cessou	VMIS3S0	cessar
o	o	DA0MS0	o
veneno	veneno	NCMS000	veneno
,	.	Fp	.
e	E	CC	e
qm	quem	PR0CN000	quem
aproveita	aproveita	VMIP3S0	aproveitar
este	este	DD0MS0	este
socesso	sucesso	NCMS000	sucesso
pa	para	SPS00	para
fazer	fazer	VMN0000	fazer
ao	ao	SPS00+DA0MS0	a+o
seu	seu	DP3MS0	seu
cazo	caso	NCMS000	caso
,	,	Fc	,
q	que	CS	que
casta	casta	NCFS000	casta
de	de	SPS00	de
conduta	conduta	NCFS000	conduta
tem	tem	VMIP3S0	ter
?	?	Fp	?
e	E	CC	e
como	como	SPS00	como
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
destino	destino	NCMS000	destino
é	é	VSIP3S0	ser
polo	pô-lo	NCMS000	pô-lo
na	na	SPS00+DA0FS0	em+o
india	Índia	NP00000	índia
,	,	Fc	,
porq	porque	CS	porque
dis	diz	VMIP3S0	dizer
unido	unido	NCMS000	unido
comigo	comigo	SPS00+PP1CSO00	com+mim
teria	teria	VMIC0S0	ter
mtas	muitas	DI0FP0	muito
demandas	demandas	NCFP000	demanda
,	,	Fc	,
sempre	sempre	RG	sempre
receyo	receio	VMIP1S0	recear
nã	não	RN	não
fassa	faça	VMSP0S0	fazer
alguma	alguma	DI0FS0	algum
	,	Fc	,
pois	pois	CS	pois
tem	tem	VMIP3S0	ter
dro	dinheiro	NCMS000	dinheiro
	.	Fp	.
e	E	CC	e
por	por	SPS00	por
si	si	PP3CNO00	si
ë	é	VSIP3S0	ser
Procor	procurador	NCMS000	procurador
de	de	SPS00	de
qm	quem	PR0CN000	quem
vive	vive	VMIP3S0	viver
sem	sem	SPS00	sem
abrigo	abrigo	NCMS000	abrigo
e	e	CC	e
sem	sem	SPS00	sem
favor	favor	NCMS000	favor
,	,	Fc	,
e	e	CC	e
só	só	RG	só
agora	agora	RG	agora
o	o	PP3MSA00	o
ispero	espero	VMIP1S0	esperar
	,	Fc	,
querendo	querendo	VMG0000	querer
vmce	VM	NP00000	VM
incombirsse	incumbir-se	VMN0000+P00CN000	incumbir-se
desta	desta	SPS00+DD0FS0	de+este
deliga	diligência	NCFS000	diligência
	,	Fc	,
pela	pela	SPS00+DA0FS0	por+o
qal	qual	PR0CS000	qual
Terá	terá	VMIF3S0	ter
eterna	eterna	AQ0FS0	eterno
a	a	DA0FS0	o
comfissão	confissão	NCFS000	confissão
de	de	SPS00	de
sua	sua	DP3FS0	seu
obrigma	obrigadíssima	AQSFS0	obrigado
	,	Fc	,
e	e	CC	e
como	como	SPS00	como
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
genio	génio	NCMS000	génio
é	é	VSIP3S0	ser
favorecer	favorecer	VMN0000	favorecer
,	,	Fc	,
primita	permita	VMSP0S0	permitir
a	a	DA0FS0	o
ventura	ventura	NCFS000	ventura
facilitar	facilitar	VMN0000	facilitar
o	o	DA0MS0	o
q	que	PR0CN000	que
dezo	desejo	VMIP1S0	desejar
;	.	Fp	.
e	E	CC	e
não	não	RN	não
menos	menos	RC	menos
q	que	CS	que
vmce	VM	NP00000	VM
desfrute	desfrute	VMSP0S0	desfrutar
uma	uma	DI0FS0	um
Completa	completa	AQ0FS0	completo
saude	saúde	NCFS000	saúde
e	e	CC	e
com	com	SPS00	com
felicides	felicidades	NCFP000	felicidade
as	as	DA0FP0	o
mais	mais	RC	mais
constes	constantes	AQ0CP0	constante
	.	Fp	.
Ds	Deus	NP00000	deus
Gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmce	VM	NP00000	VM
por	por	SPS00	por
ms	muitos	DI0MP0	muito
as	anos	NCMP000	ano
	.	Fp	.
Sta	Santa	NP00000	santa
Iria	Iria	VMIC0S0	ir
	,	Fc	,
em	em	SPS00	em
23	23	Z	23
de	de	SPS00	de
Junho	junho	NCMS000	junho
de	de	SPS00	de
1779	1779	Z	1779
	.	Fp	.
De	De	SPS00	de
vmce	VM	NP00000	VM
Mto	muito	RQ	muito
Veneradora	veneradora	NCFS000	venerador
	,	Fc	,
Ma	Maria	NP00000	maria
Elena	Elena	NP00000	Elena
de	de	SPS00	de
Sza	Sousa	NP00000	sousa
Mexia	Mexia	NP00000	mexia
Galvão	Galvão	NP00000	galvão
