Mto	Muito	RQ	muito
Vmce	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
ahí	aí	RG	aí
dormia	dormia	VMIP3S0	dormiar
	,	Fc	,
como	como	CS	como
consta	consta	VMIP3S0	constar
,	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
athe	até	SPS00	até
agora	agora	RG	agora
ignorava	ignorava	VMII0S0	ignorar
,	,	Fc	,
e	e	CC	e
logo	logo	RG	logo
direy	direi	VMIF1S0	dizer
entro	entro	VMIP1S0	entrar
na	na	SPS00+DA0FS0	em+o
duvida	dúvida	NCFS000	dúvida
se	se	CS	se
he	é	VSIP3S0	ser
ou	ou	CC	ou
não	não	RN	não
verdro	verdadeiro	AQ0MS0	verdadeiro
religiozo	religioso	NCMS000	religioso
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
frade	frade	NCMS000	frade
e	e	CC	e
se	se	CS	se
he	é	VSIP3S0	ser
ou	ou	CC	ou
não	não	RN	não
sacerdote	sacerdote	NCMS000	sacerdote
,	,	Fc	,
despois	depois	RG	depois
de	de	SPS00	de
aver	haver	VMN0000	haver
aqui	aqui	RG	aqui
do	dito	VMP00SM	dizer
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
capella	capela	NCFS000	capela
desta	desta	SPS00+DD0FS0	de+este
qta	quinta	NCFS000	quinta
	,	Fc	,
sinco	cinco	Z	cinco
missas	missas	NCFP000	missa
.	.	Fp	.
Chegou	Chegou	VMIS3S0	chegar
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
religiozo	religioso	NCMS000	religioso
a	a	SPS00	a
esta	esta	DD0FS0	este
quinta	quinta	NCFS000	quinta
na	na	SPS00+DA0FS0	em+o
da	dita	VMP00SF	dizer
3a fra	3ª-feira	NCFS000	terça-feira
	,	Fc	,
q	que	CS	que
se	se	P00CN000	se
contarão	contaram	VMIS3P0	contar
quatorze	catorze	Z	catorze
do	do	SPS00+DA0MS0	de+o
corrte	corrente	AQ0CS0	corrente
mes	mês	NCMS000	mês
;	,	Fc	,
e	e	CC	e
me	me	PP1CS000	me
dice	disse	VMIS3S0	dizer
avia	havia	VMII0S0	haver
saido	saído	VMP0000	sair
de	de	SPS00	de
Espanha	Espanha	NP00000	espanha
,	,	Fc	,
aonde	onde	PA000000	onde
era	era	VSII0S0	ser
conventual	conventual	NCMS000	conventual
no	no	SPS00+DA0MS0	em+o
convento	Convento	NP00000	convento
capuxo	Capucho	NCMS000	capucho
de	de	SPS00	de
S	São	NP00000	são
Lucas	Lucas	NP00000	lucas
,	,	Fc	,
pa	para	SPS00	para
as	as	DA0FP0	o
ordens	ordens	NCFP000	ordem
de	de	SPS00	de
missa	missa	NCFS000	missa
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dera	dera	VMIM0S0	dar
o	o	DA0MS0	o
snr	senhor	NP00000	senhor
Bispo	Bispo	NP00000	bispo
do	do	SPS00+DA0MS0	de+o
Algarve	Algarve	NP00000	algarve
	,	Fc	,
a	a	SPS00	a
elle	ele	PP3MS000	ele
e	e	CC	e
a	a	SPS00	a
religiozo	religioso	NCMS000	religioso
da	da	SPS00+DA0FS0	de+o
mesma	mesma	AQ0FS0	mesmo
ordem	ordem	NCFS000	ordem
capuxa	capucha	NCFS000	capucha
,	,	Fc	,
xamado	chamado	VMP00SM	chamar
Fr	frei	NP00000	frei
Angelo	Ângelo	NP00000	ângelo
,	.	Fp	.
q	Que	CS	que
taobem	também	RG	também
dice	disse	VMIS3S0	dizer
ser	ser	VSN0000	ser
seu	seu	DP3MS0	seu
Primo	primo	NCMS000	primo
E	e	CC	e
q	que	CS	que
ambos	ambos	PI0MP000	ambos
celebrarão	celebraram	VMIS3P0	celebrar
missa	missa	NCFS000	missa
em	em	SPS00	em
dia	dia	NCMS000	dia
de	de	SPS00	de
dois	dois	Z	dois
,	,	Fc	,
no	no	SPS00+DA0MS0	em+o
Convto	Convento	NP00000	convento
dos	dos	SPS00+DA0MP0	de+o
Capuxos	Capuchos	NP00000	capuchos
de	de	SPS00	de
faro	Faro	NP00000	faro
;	.	Fp	.
e	E	CC	e
	,	Fc	,
despois	depois	RG	depois
de	de	SPS00	de
aver	haver	VMN0000	haver
estado	estado	VMP0000	estar
	,	Fc	,
e	e	CC	e
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
companheyro	companheiro	NCMS000	companheiro
e	e	CC	e
Primo	primo	NCMS000	primo
,	,	Fc	,
Em	em	SPS00	em
caza	casa	NCFS000	casa
do	do	SPS00+DA0MS0	de+o
Snr	senhor	NP00000	senhor
Bispo	Bispo	NP00000	bispo
mais	mais	CC	mais
de	de	SPS00	de
hũ	um	DI0MS0	um
mes	mês	NCMS000	mês
	,	Fc	,
e	e	CC	e
se	se	CS	se
partirão	partiram	VMIS3P0	partir
na	na	SPS00+DA0FS0	em+o
direitura	direitura	NCFS000	direitura
de	de	SPS00	de
Lxa.	Lxa	NP00000	lisboa
,	,	Fc	,
dizendo	dizendo	VMG0000	dizer
hião	iam	VMII3P0	ir
estudar	estudar	VMN0000	estudar
Theologia	Teologia	NP00000	teologia
pa	para	SPS00	para
despois	depois	RG	depois
hirem	irem	VMII3P0	ir
pregar	pregar	VMN0000	pregar
aos	aos	SPS00+DA0MP0	a+o
imfieis	infiéis	NCMP000	infiel
,	,	Fc	,
gentios	gentios	NCMP000	gentio
das	das	SPS00+DA0FP0	de+o
nossas	nossas	DP1FPP	nosso
conquistas	conquistas	NCFP000	conquista
,	,	Fc	,
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
q	que	PR0CN000	que
se	se	P00CN000	se
pratica	pratica	VMIP3S0	praticar
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
instituto	instituto	NCMS000	instituto
.	.	Fp	.
Dice	Disse	VMIS3S0	dizer
xegara	chegara	VMIM0S0	chegar
á	à	SPS00+DA0FS0	a+o
Va	vila	NCFS000	vila
de	de	SPS00	de
Aljustar	Aljustrel	NP00000	Aljustrel
e	e	CC	e
seu	seu	DP3MS0	seu
companheyro	companheiro	NCMS000	companheiro
	,	Fc	,
e	e	CC	e
q	que	CS	que
este	este	DD0MS0	este
adoecera	adoecera	NCMS000	adoecera
com	com	SPS00	com
hua	uma	DI0FS0	um
inflamação	inflamação	NCFS000	inflamação
grde	grande	AQ0CS0	grande
nas	nas	SPS00+DA0FP0	em+o
costas	costas	NCFP000	costa
,	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
fizera	fizera	VMIM0S0	fazer
em	em	SPS00	em
razão	razão	NCFS000	razão
das	das	SPS00+DA0FP0	de+o
feridas	feridas	NCFP000	ferida
q	que	PR0CN000	que
nellas	nelas	SPS00+PP3FP000	em+ele
trazia	trazia	VMN0000	trazer
,	,	Fc	,
feitas	feitas	VMP00PF	fazer
pellas	pelas	SPS00+DA0FP0	por+o
disciplinas	disciplinas	NCFP000	disciplina
q	que	PR0CN000	que
tomarão	tomaram	VMIS3P0	tomar
,	,	Fc	,
dandolhe	dando-lhe	VMG0000+PP3CSD00	dar+lhe
taobem	também	RG	também
huã	uma	DI0FS0	um
grde	grande	AQ0CS0	grande
febre	febre	NCFS000	febre
;	,	Fc	,
e	e	CC	e
q	que	CS	que
meu	meu	DP1MSS	meu
Irmão	irmão	NCMS000	irmão
mandara	mandara	VMIM0S0	mandar
aSistirlhe	assistir-lhe	VMN0000+PP3CSD00	mandar
logo	logo	RG	logo
o	o	DA0MS0	o
Medico	médico	NCMS000	médico
e	e	CC	e
cirurgião	cirurgião	NCMS000	cirurgião
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
sarjarão	sarjaram	VMIS3P0	sarjar
as	as	DA0FP0	o
costas	costas	NCFP000	costa
e	e	CC	e
q	que	CS	que
elle	ele	PP3MS000	ele
e	e	CC	e
o	o	DA0MS0	o
do	dito	NCMS000	o
Seu	seu	DP3MS0	seu
Primo	primo	NCMS000	primo
sarjado	sarjado	VMP00SM	sarjar
estiverão	estiveram	VMIS3P0	estar
nessa	nessa	SPS00+DD0FS0	em+esse
caza	casa	NCFS000	casa
athe	até	SPS00	até
ao	ao	SPS00+DA0MS0	a+o
dia	dia	NCMS000	dia
treze	treze	Z	treze
do	do	SPS00+DA0MS0	de+o
corrte	corrente	AQ0CS0	corrente
mes	mês	NCMS000	mês
,	,	Fc	,
em	em	SPS00	em
q	que	CS	que
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
P	padre	NP00000	padre
seraphim	Serafim	NP00000	serafim
da	da	SPS00+DA0FS0	de+o
Pax	Paz	NP00000	paz
sahio	saiu	VMIS3S0	sair
de	de	SPS00	de
Aljuster	Aljustrel	NP00000	Aljustrel
:	,	Fc	,
deyxando	deixando	VMG0000	deixar
em	em	SPS00	em
nossa	nossa	DP1FSP	nosso
caza	casa	NCFS000	casa
na	na	SPS00+DA0FS0	em+o
da	dita	VMP00SF	dizer
va	vila	NCFS000	vila
ao	ao	SPS00+DA0MS0	a+o
do	dito	NCMS000	a+o
seu	seu	DP3MS0	seu
Primo	primo	NCMS000	primo
Fr	frei	NP00000	frei
Angelo	Ângelo	NP00000	ângelo
,	,	Fc	,
já	já	RG	já
convalecendo	convalescendo	VMG0000	convalescer
;	,	Fc	,
mas	mas	CC	mais
incapax	incapaz	AQ0CS0	incapaz
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
jornada	jornada	NCFS000	jornada
;	,	Fc	,
como	como	SPS00	como
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Pe	padre	NCMS000	padre
dice	disse	VMIS3S0	dizer
na	na	SPS00+DA0FS0	em+o
preza	presença	NCFS000	presença
de	de	SPS00	de
Vmce	VM	NP00000	VM
	,	Fc	,
aonde	onde	PA000000	onde
taobem	também	RG	também
ovio	ouviu	VMIS3S0	ouvir
dizer	dizer	VMN0000	dizer
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
contou	contou	VMIS3S0	contar
a	a	SPS00	a
respto	respeito	NCMS000	respeito
da	da	SPS00+DA0FS0	de+o
Prizão	prisão	NCFS000	prisão
do	do	SPS00+DA0MS0	de+o
capam mor	capitão-mor	NCMS000	capitão-mor
de	de	SPS00	de
Aljuster	Aljustrel	NP00000	Aljustrel
,	,	Fc	,
q	que	CS	que
suponho	suponho	VMIP1S0	supor
não	não	RN	não
esquecera	esquecera	VMIM0S0	esquecer
a	a	SPS00	a
Vmce	VM	NP00000	VM
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
na	na	SPS00+DA0FS0	em+o
Sua	sua	DP3FS0	seu
prezença	presença	NCFS000	presença
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
ma	minha	DP1FSS	meu
dice	disse	VMIS3S0	dizer
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
religiozo	religioso	NCMS000	religioso
;	,	Fc	,
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
esta	esta	DD0FS0	este
razão	razão	NCFS000	razão
	,	Fc	,
o	o	DA0MS0	o
não	não	RN	não
repito	repito	VMIP1S0	repetir
.	.	Fp	.
Nesta	Nesta	SPS00+DD0FS0	em+este
ora	hora	NCFS000	hora
xega	chega	VMIP3S0	chegar
o	o	DA0MS0	o
Almocreve	almocreve	NCMS000	almocreve
da	da	SPS00+DA0FS0	de+o
nossa	nossa	DP1FSP	nosso
caza	casa	NCFS000	casa
e	e	CC	e
outro	outro	DI0MS0	outro
creado	criado	NCMS000	criado
nosso	nosso	DP1MSP	nosso
a	a	SPS00	a
esta	esta	DD0FS0	este
qta	quinta	NCFS000	quinta
e	e	CC	e
me	me	PP1CS000	me
troxera	trouxera	VMIM0S0	trazer
carta	carta	NCFS000	carta
de	de	SPS00	de
meu	meu	DP1MSS	meu
Irmão	irmão	NCMS000	irmão
	,	Fc	,
o	o	DA0MS0	o
Snr	senhor	NP00000	senhor
Affo	Afonso	NP00000	afonso
Eloy	Eloy	NP00000	Eloy
;	.	Fp	.
e	E	CC	e
	,	Fc	,
antes	antes	RG	antes
de	de	SPS00	de
abrilla	abri-la	SPS00	de
	,	Fc	,
procurey	procurei	VMIS1S0	procurar
aos	aos	SPS00+DA0MP0	a+o
doz	dois	Z	dois
creados	criados	NCMP000	criado
,	,	Fc	,
se	se	CS	se
trazia	trazia	VMN0000	trazer
em	em	SPS00	em
sua	sua	DP3FS0	seu
companhia	companhia	NCFS000	companhia
ao	ao	SPS00+DA0MS0	a+o
P	padre	NP00000	padre
Fr	frei	NP00000	frei
Angelo	Ângelo	NP00000	ângelo
,	,	Fc	,
Espanhol	espanhol	NCMS000	espanhol
Religiozo	religioso	AQ0MS0	religioso
capuxo	capucho	NCMS000	capucho
q	que	CS	que
  na	  na	SPS00+DA0FS0	em+o
nossa	nossa	DP1FSP	nosso
caza	casa	NCFS000	casa
avia	havia	VMII0S0	haver
ficado	ficado	VMP0000	ficar
doente	doente	AQ0CS0	doente
e	e	CC	e
sarjado	sarjado	VMP00SM	sarjar
;	.	Fp	.
os	Os	DA0MP0	o
quaes	quais	PR0CP000	qual
me	me	PP1CS000	me
responderão	responderam	VMIS3P0	responder
q	que	CS	que
tal	tal	RC	tal
religiozo	religioso	NCMS000	religioso
não	não	RN	não
vinha	vinha	VMII0S0	vir
em	em	SPS00	em
sua	sua	DP3FS0	seu
companhia	companhia	NCFS000	companhia
,	,	Fc	,
nem	nem	CC	nem
tinha	tinha	VAII0S0	ter
estado	estado	VMP0000	estar
em	em	SPS00	em
nossa	nossa	DP1FSP	nosso
caza	casa	NCFS000	casa
doente	doente	AQ0CS0	doente
;	.	Fp	.
e	E	CC	e
	,	Fc	,
ratificandome	ratificando-me	VMG0000+PP1CS000	ratificando-me
em	em	SPS00	em
apertadas	apertadas	VMP00PF	apertar
perguntas	perguntas	NCFP000	pergunta
com	com	SPS00	com
os	os	DA0MP0	o
moços	moços	NCMP000	moço
,	,	Fc	,
Elles	eles	SPS00+PP3MP000	de+ele
estiverão	estiveram	VMIS3P0	estar
sempre	sempre	RG	sempre
constantes	constantes	AQ0CP0	constante
em	em	SPS00	em
dizerme	dizer-me	VMN0000+PP1CS000	dizer+me
era	era	VMIP3S0	era
verde	verdade	NCFS000	verdade
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
tinhão	tinham	VMII3P0	ter
do	dito	VMP00SM	dizer
,	,	Fc	,
pois	pois	CS	pois
em	em	SPS00	em
nossa	nossa	DP1FSP	nosso
caza	casa	NCFS000	casa
não	não	RN	não
estiverão	estiveram	VMIS3P0	estar
frades	frades	NCMP000	frade
castelhanos	castelhanos	NCMP000	castelhano
,	,	Fc	,
nem	nem	CC	nem
saos	sãos	AQ0MP0	são
nem	nem	CC	nem
doentes	doentes	NCMP000	doente
;	.	Fp	.
e	E	CC	e
	,	Fc	,
abrindo	abrindo	VMG0000	abrir
a	a	DA0FS0	o
carta	carta	NCFS000	carta
de	de	SPS00	de
meu	meu	DP1MSS	meu
Irmão	irmão	NCMS000	irmão
,	,	Fc	,
me	me	PP1CS000	me
não	não	RN	não
fala	fala	VMIP3S0	falar
,	,	Fc	,
nella	nela	SPS00+PP3FS000	em+ele
,	,	Fc	,
em	em	SPS00	em
averem	haverem	VMN03P0	haver
ali	ali	RG	ali
estado	estado	VMP0000	estar
	,	Fc	,
doentes	doentes	NCMP000	doente
nem	nem	CC	nem
sãos	sãos	AQ0MP0	são
,	,	Fc	,
nenhus	nenhuns	DI0MP0	nenhum
religiozos	religiosos	NCMP000	religioso
espanhoes	espanhóis	NCMP000	espanhol
e	e	CC	e
só	só	RG	só
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
esteve	esteve	VMIS3S0	estar
prezo	preso	NCMS000	preso
em	em	SPS00	em
casa	casa	NCFS000	casa
dois	dois	Z	dois
dias	dias	NCMP000	dia
por	por	SPS00	por
ficar	ficar	VMN0000	ficar
rijo	rijo	NCMS000	rijo
ao	ao	SPS00+DA0MS0	a+o
Juis	Juiz	NP00000	juiz
vereador	Vereador	NP00000	vereador
,	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
fazia	fazia	VMII0S0	fazer
huã	uma	DI0FS0	um
diliga	diligência	NCFS000	diligência
,	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
parecia	parecia	VMII0S0	parecer
necacitarce	necessitar-se	VMN0000+P00CN000	necessitar+se
prompta	pronta	AQ0FS0	pronto
pa	para	SPS00	para
descobirce	descobrir-se	VMN0000+P00CN000	descobrir+se
o	o	DA0MS0	o
Ladrão	ladrão	NCMS000	ladrão
do	do	SPS00+DA0MS0	de+o
cofre	cofre	NCMS000	cofre
da	da	SPS00+DA0FS0	de+o
mizericordia	misericórdia	NCFS000	misericórdia
	.	Fp	.
e	E	CC	e
	,	Fc	,
recolhendo	recolhendo	VMG0000	recolher
o	o	DA0MS0	o
Juis	juiz	NCMS000	juiz
de	de	SPS00	de
Fora	fora	RG	fora
,	,	Fc	,
o	o	PP3MSA00	o
mandou	mandou	VMIS3S0	mandar
prender	prender	VMN0000	prender
em	em	SPS00	em
caza	casa	NCFS000	casa
dois	dois	Z	dois
dias	dias	NCMP000	dia
e	e	CC	e
fazer	fazer	VMN0000	fazer
Requerimto	requerimento	NCMS000	requerimento
nenhũ	nenhum	DI0MS0	nenhum
O	o	DA0MS0	o
mandace	mandasse	VMSI0S0	mandar
soltar	soltar	VMN0000	soltar
.	.	Fp	.
Como	Como	CS	como
Vmce	VM	NP00000	VM
não	não	RN	não
a	há	VMIP3S0	haver
de	de	SPS00	de
Esquecer	esquecer	VMN0000	esquecer
o	o	DA0MS0	o
q	que	PR0CN000	que
a	a	SPS00	a
respto	respeito	NCMS000	respeito
desta	desta	SPS00+DD0FS0	de+este
noticia	notícia	NCFS000	notícia
Eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
dice	disse	VMIS3S0	dizer
e	e	CC	e
o	o	DA0MS0	o
q	que	PR0CN000	que
a	a	SPS00	a
ella	ela	PP3FS000	ele
respondeo	respondeu	VMIS3S0	responder
o	o	DA0MS0	o
Pe	padre	NP00000	padre
Seraphim	Serafim	NP00000	serafim
da	da	SPS00+DA0FS0	de+o
Pax	Paz	NP00000	paz
,	,	Fc	,
fica	fica	VMIP3S0	ficar
Vmce	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
eu	eu	PP1CSN00	eu
,	,	Fc	,
sabendo	sabendo	VMG0000	saber
q	que	CS	que
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Pe	padre	NCMS000	padre
he	é	VSIP3S0	ser
hũ	um	DI0MS0	um
mentirozo	mentiroso	AQ0MS0	mentiroso
,	,	Fc	,
coberto	coberto	VMP00SM	cobrir
em	em	SPS00	em
abito	hábito	NCMS000	hábito
tão	tão	RC	tão
santo	santo	NCMS000	santo
,	,	Fc	,
com	com	SPS00	com
hũ	um	DI0MS0	um
xpo.	XPO	NP00000	cristo
ao	ao	SPS00+DA0MS0	a+o
pescoço	pescoço	NCMS000	pescoço
	.	Fp	.
e	E	CC	e
sayba	saiba	VMSP0S0	saber
taobem	também	RG	também
q	que	CS	que
não	não	RN	não
querem	querem	VMIP3P0	querer
cama	cama	NCFS000	cama
pa	para	SPS00	para
deitarce	deitar-se	VMN0000+P00CN000	deitar+se
nesta	nesta	SPS00+DD0FS0	em+este
caza	casa	NCFS000	casa
,	.	Fp	.
dormio	Dormiu	VMIS3S0	dormir
em	em	SPS00	em
huã	uma	DI0FS0	um
esteyra	esteira	NCFS000	esteira
na	na	SPS00+DA0FS0	em+o
capella	capela	NCFS000	capela
desta	desta	SPS00+DD0FS0	de+este
qta	quinta	NCFS000	quinta
	,	Fc	,
aonde	onde	PA000000	onde
quis	quis	VMIS3S0	querer
ficar	ficar	VMN0000	ficar
a	a	SPS00	a
tito	título	NCMS000	título
morar	morar	VMN0000	morar
nella	nela	SPS00+PP3FS000	em+ele
;	.	Fp	.
mas	Mas	CC	mas
he	é	VSIP3S0	ser
tão	tão	RC	tão
justificada	justificada	VMP00SF	justificar
a	a	SPS00	a
sua	sua	DP3FS0	seu
vida	vida	NCFS000	vida
q	que	PR0CN000	que
emvestio	investiu	VMIS3S0	investir
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
moço	moço	NCMS000	moço
e	e	CC	e
o	o	PP3MSA00	o
precizou	precisou	VMIS3S0	precisar
a	a	SPS00	a
fazer lhe	fazer-lhe	VMN0000+PP3CSD00	fazer+lhe
huã	uma	DI0FS0	um
pulção	pulsão	NCFS000	pulsão
na	na	SPS00+DA0FS0	em+o
mesma	mesma	AQ0FS0	mesmo
Igreja	igreja	NCFS000	igreja
,	.	Fp	.
e	E	CC	e
	,	Fc	,
deffendendoce	defendendo-se	VMG0000+P00CN000	defender+se
este	este	PD0MS000	este
da	da	SPS00+DA0FS0	de+o
da	dita	VMP00SF	dizer
obra	obra	NCFS000	obra
por	por	SPS00	por
ser	ser	VSN0000	ser
pecaminoza	pecaminosa	NCFS000	pecaminosa
,	,	Fc	,
lhe	lhe	PP3CSD00	lhe
tirou	tirou	VMIS3S0	tirar
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Pe	padre	NCMS000	padre
a	a	DA0FS0	o
duvida	dúvida	NCFS000	dúvida
	,	Fc	,
dizendolhe	dizendo-lhe	VMG0000+PP3CSD00	dizer+lhe
não	não	RN	não
era	era	VSII0S0	ser
peccado	pecado	NCMS000	pecado
,	.	Fp	.
e	E	CC	e
	,	Fc	,
tornando	tornando	VMG0000	tornar
a	a	SPS00	a
persuadilo	persuadi-lo	SPS00	a
ao	ao	SPS00+DA0MS0	a+o
mesmo	mesmo	AQ0MS0	mesmo
dezaforo	desaforo	NCMS000	desaforo
no	no	SPS00+DA0MS0	em+o
refferido	referido	VMP00SM	referir
Lugar	lugar	NCMS000	lugar
,	,	Fc	,
se	se	CS	se
tornou	tornou	VMIS3S0	tornar
a	a	SPS00	a
escuzar	escusar	VMN0000	escusar
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
moço	moço	NCMS000	moço
com	com	SPS00	com
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
fundamto	fundamento	NCMS000	fundamento
,	.	Fp	.
e	E	CC	e
então	então	RG	então
lhe	lhe	PP3CSD00	lhe
dice	disse	VMIS3S0	dizer
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Pe	padre	NCMS000	padre
sim	sim	RG	sim
	,	Fc	,
era	era	VSII0S0	ser
peccado	pecado	NCMS000	pecado
,	,	Fc	,
mas	mas	CC	mais
era	era	VSII0S0	ser
pequinino	pequenino	AQ0MS0	pequenino
;	.	Fp	.
e	E	CC	e
em	em	SPS00	em
ambas	ambas	DI0FP0	ambos
	,	Fc	,
com	com	SPS00	com
efeito	efeito	NCMS000	efeito
	,	Fc	,
executou	executou	VMIS3S0	executar
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Pe	padre	NCMS000	padre
o	o	DA0MS0	o
q	que	PR0CN000	que
pertendia	pretendia	VMII0S0	pretender
,	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
neste	neste	SPS00+DD0MS0	em+este
insto	instituto	NCMS000	instituto
declara	declara	VMIP3S0	declarar
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
moço	moço	NCMS000	moço
.	.	Fp	.
Eu	Eu	PP1CSN00	eu
procurey	procurei	VMIS1S0	procurar
ao	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
religiozo	religioso	NCMS000	religioso
pellas	pelas	SPS00+DA0FP0	por+o
suas	suas	DP3FP0	seu
cartas	cartas	NCFP000	carta
de	de	SPS00	de
ordens	ordens	NCFP000	ordem
,	,	Fc	,
q	que	CS	que
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
dice	disse	VMIS3S0	dizer
não	não	RN	não
trazia	trazia	VMN0000	trazer
,	,	Fc	,
pois	pois	CS	pois
tinhão	tinham	VAII3P0	ter
ficado	ficado	VMP0000	ficar
na	na	SPS00+DA0FS0	em+o
mão	mão	NCFS000	mão
de	de	SPS00	de
seu	seu	DP3MS0	seu
Primo	primo	NCMS000	primo
em	em	SPS00	em
Aljuster	Aljustrel	NP00000	Aljustrel
com	com	SPS00	com
outros	outros	PI0MP000	outro
mais	mais	RC	mais
papeis	papéis	NCMP000	papel
de	de	SPS00	de
sua	sua	DP3FS0	seu
religam	religião	NCFS000	religião
,	.	Fp	.
e	E	CC	e
não	não	RN	não
me	me	PP1CS000	me
persuadia	persuadia	VMII0S0	persuadir
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
	,	Fc	,
debayxo	debaixo	RG	debaixo
de	de	SPS00	de
abito	hábito	NCMS000	hábito
tão	tão	RC	tão
santo	santo	NCMS000	santo
,	,	Fc	,
podia	podia	VMII0S0	poder
aver	haver	VMN0000	haver
taes	tais	AQ0CP0	tais
vilhacarias	velhacarias	NCFP000	velhacaria
,	.	Fp	.
o	O	DA0MS0	o
deyxey	deixei	VMIS1S0	deixar
dizer	dizer	VMN0000	dizer
missa	missa	NCFS000	missa
;	,	Fc	,
poren	porém	RG	porém
adeverti	adverti	VMIS1S0	advertir
elle	ele	PP3MS000	ele
o	o	PP3MSA00	o
