Ma	Minha	DP1FSS	meu
.	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
tudo	tudo	PI0NN000	tudo
tem	tem	VMIP3S0	ter
seu	seu	DP3MS0	seu
tempo	tempo	NCMS000	tempo
,	.	Fp	.
e	E	CC	e
rezoluçoens	resoluções	NCFP000	resolução
apre-sadas	apressadas	VMP00PF	apressar
são	são	VSIP3P0	ser
precipicio	precipício	NCMS000	precipício
certo	certo	AQ0MS0	certo
.	.	Fp	.
Veja	Veja	VMSP0S0	ver
q	que	CS	que
em	em	SPS00	em
hũ	um	DI0MS0	um
peito	peito	NCMS000	peito
nobre	nobre	AQ0CS0	nobre
como	como	CS	como
o	o	DA0MS0	o
seu	seu	PX3MS000	seu
não	não	RN	não
dizem	dizem	VMIP3P0	dizer
bem	bem	RG	bem
vilanias	vilanias	NCFP000	vilania
,	,	Fc	,
e	e	CC	e
menos	menos	RC	menos
lhe	lhe	PP3CSD00	lhe
estão	estão	VMIP3P0	estar
bem	bem	RG	bem
inconsiderações	inconsiderações	NCFP000	inconsideração
.	.	Fp	.
Disfarçar	Disfarçar	VMN0000	disfarçar
he	é	VSIP3S0	ser
bizar-ria	bizarria	NCFS000	bizarria
e	e	CC	e
generozide	generosidade	NCFS000	generosidade
de	de	SPS00	de
animo	ânimo	NCMS000	ânimo
.	.	Fp	.
Desfarce	Disfarce	VMSP0S0	disfarçar
por	por	SPS00	por
hũ	um	DI0MS0	um
pouco	pouco	RQ	pouco
,	,	Fc	,
coma	coma	VMSP0S0	comer
,	,	Fc	,
disimule	dissimule	VMSP0S0	dissimular
,	,	Fc	,
q	que	CS	que
Ds	Deus	NP00000	deus
he	é	VSIP3S0	ser
grde	grande	AQ0CS0	grande
,	.	Fp	.
entretãto	Entretanto	RG	entretanto
	,	Fc	,
se	se	P00CN000	se
podem	podem	VMIP3P0	poder
dar	dar	VMN0000	dar
ordem	ordem	NCFS000	ordem
aos	aos	SPS00+DA0MP0	a+o
meyos	meios	NCMP000	meio
pa	para	SPS00	para
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
alivio	alívio	NCMS000	alívio
.	.	Fp	.
A	A	SPS00	a
mim	mim	PP1CSO00	mim
	,	Fc	,
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
pa	para	SPS00	para
qto	quanto	PA000000	quanto
lhe	lhe	PP3CSD00	lhe
poder	puder	VMSF0S0	poder
servir	servir	VMN0000	servir
	,	Fc	,
com	com	SPS00	com
aquela	aquela	DD0FS0	aquele
vonte	vontade	NCFS000	vontade
q	que	PR0CN000	que
em	em	SPS00	em
seu	seu	DP3MS0	seu
mesmo	mesmo	AQ0MS0	mesmo
Pai	pai	NCMS000	pai
experimentaria	experimentaria	VMIC0S0	experimentar
.	.	Fp	.
Não	Não	RN	não
desdoure	desdoure	VMSP0S0	desdourar
com	com	SPS00	com
açoens	ações	NCFP000	ação
de	de	SPS00	de
hũ	um	DI0MS0	um
dia	dia	NCMS000	dia
o	o	CC	e
credito	crédito	NCMS000	crédito
e	e	CC	e
louvores	louvores	NCMP000	louvor
,	,	Fc	,
q	que	CS	que
com	com	SPS00	com
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
nobreza	nobreza	NCFS000	nobreza
e	e	CC	e
bela	bela	AQ0FS0	belo
indole	índole	NCFS000	índole
toda	toda	DI0FS0	todo
vida	vida	NCFS000	vida
tem	tem	VAIP3S0	ter
grangeado	granjeado	VMP0000	granjear
.	.	Fp	.
Pondere	Pondere	VMSP0S0	ponderar
a	a	DA0FS0	o
suprema	suprema	AQ0FS0	supremo
e	e	CC	e
infinita	infinita	AQ0FS0	infinito
Mage	majestade	NP00000	majestade
de	de	SPS00	de
Ds	Deus	NP00000	deus
S	Senhor	NP00000	senhor
N	Nosso	DP1MSP	nosso
q	que	PR0CN000	que
creou	criou	VMIS3S0	criar
a	a	SPS00	a
vmce	VM	NP00000	VM
	,	Fc	,
aos	aos	SPS00+DA0MP0	a+o
Anjos	Anjos	NCMP000	anjo
,	,	Fc	,
a	a	SPS00	a
todo	todo	DI0MS0	todo
mũdo	mundo	NCMS000	mundo
irado	irado	VMP00SM	irar
contra	contra	SPS00	contra
vmce	VM	NP00000	VM
,	,	Fc	,
q	que	PR0CN000	que
pode	pode	VMIP3S0	poder
tomar	tomar	VMN0000	tomar
vingança	vingança	NCFS000	vingança
das	das	SPS00+DA0FP0	de+o
injurias	injúrias	NCFP000	injúria
q	que	PR0CN000	que
vmce	VM	NP00000	VM
a	a	SPS00	a
sua	sua	DP3FS0	seu
mesma	mesma	AQ0FS0	mesmo
Mai	mãe	NCFS000	mãe
está	está	VMIP3S0	estar
fazendo	fazendo	VMG0000	fazer
,	,	Fc	,
q	que	CS	que
Ds	Deus	NP00000	deus
toma	toma	VMIP3S0	tomar
por	por	SPS00	por
seus	seus	DP3MP0	seu
os	os	DA0MP0	o
agravos	agravos	NCMP000	agravo
feitos	feitos	VMP00PM	fazer
a	a	SPS00	a
Mays	mães	NCFP000	mãe
.	.	Fp	.
Espero	Espero	VMIP1S0	esperar
de	de	SPS00	de
vmce	VM	NP00000	VM
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
generozo	generoso	AQ0MS0	generoso
animo	ânimo	NCMS000	ânimo
me	me	PP1CS000	me
não	não	RN	não
falte	falte	VMSP0S0	faltar
ao	ao	SPS00+DA0MS0	a+o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
peço	peço	VMIP1S0	pedir
prostrado	prostrado	VMP00SM	prostrar
a	a	SPS00	a
seus	seus	DP3MP0	seu
pes	pés	NCMP000	pé
,	.	Fp	.
e	E	CC	e
vem	vem	VMIP3S0	vir
a	a	SPS00	a
ser	ser	VSN0000	ser
q	que	CS	que
coma	coma	VMSP0S0	comer
,	,	Fc	,
q	que	CS	que
de	dê	VMSP0S0	dar
gloria	glória	NCFS000	glória
a	a	SPS00	a
Ds	Deus	NP00000	deus
;	,	Fc	,
confuzão	confusão	NCFS000	confusão
a	a	SPS00	a
satanas	Satanás	NP00000	satanás
	,	Fc	,
e	e	CC	e
espere	espere	VMSP0S0	esperar
hũ	um	DI0MS0	um
pouco	pouco	RQ	pouco
q	que	CS	que
Ds	Deus	NP00000	deus
descubra	descubra	VMSP0S0	descobrir
meyos	meios	NCMP000	meio
	,	Fc	,
eta	etc	NCMS000	etc
	,	Fc	,
de	de	SPS00	de
se	se	P00CN000	se
ver	ver	VMN0000	ver
livre	livre	AQ0CS0	livre
desa	dessa	SPS00+DD0FS0	de+esse
caza	casa	NCFS000	casa
.	.	Fp	.
