Exmo	Excelentíssimo	AQSMS0	excelente
,	.	Fp	.
eu	Eu	PP1CSN00	eu
sei	sei	VMIP1S0	saber
quaes	quais	PR0CP000	qual
são	são	VSIP3P0	ser
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
deveres	deveres	NCMP000	dever
;	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
coitada	coitada	NCFS000	coitada
	,	Fc	,
qual	qual	CS	qual
não	não	RN	não
tem	tem	VMIP3S0	ter
sido	sido	VSP0000	ser
tambem	também	RG	também
a	a	SPS00	a
sua	sua	DP3FS0	seu
aflição	aflição	NCFS000	aflição
,	,	Fc	,
a	a	DA0FS0	o
perda	perda	NCFS000	perda
de	de	SPS00	de
huma	uma	DI0FS0	um
May	mãe	NCFS000	mãe
amiga	amiga	AQ0FS0	amigo
e	e	CC	e
estremoza	extremosa	NCFS000	extremosa
,	,	Fc	,
a	a	DA0FS0	o
lembrança	lembrança	NCFS000	lembrança
de	de	SPS00	de
não	não	RN	não
ter	ter	VMN0000	ter
outro	outro	DI0MS0	outro
amparo	amparo	NCMS000	amparo
senão	senão	CC	senão
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
,	,	Fc	,
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
pode	pode	VMIP3S0	poder
faltar	faltar	VMN0000	faltar
,	,	Fc	,
faltando-me	faltando-me	VMG0000+PP1CS000	faltar+me
a	a	DA0FS0	o
vida	vida	NCFS000	vida
;	.	Fp	.
o	O	DA0MS0	o
desemparo	desamparo	NCMS000	desamparo
em	em	SPS00	em
q	que	PR0CN000	que
ficaria	ficaria	VMIC0S0	ficar
então	então	RG	então
;	!	Fp	!
tudo	Tudo	PI0NN000	tudo
a	a	PP3FSA00	o
deve	deve	VMIP3S0	dever
atromentar	atormentar	VMN0000	atormentar
e	e	CC	e
fazella	fazê-la	VMN0000+PP3FSA00	fazer+o
digna	digna	VMIP3S0	dignar
de	de	SPS00	de
compaixão	compaixão	NCFS000	compaixão
:	.	Fp	.
estes	Estes	DD0MP0	este
poderózos	poderosos	NCMP000	poderoso
motivos	motivos	NCMP000	motivo
,	,	Fc	,
espero	espero	VMIP1S0	esperar
q	que	CS	que
sejão	sejam	VSSP3P0	ser
capazes	capazes	AQ0CP0	capaz
de	de	SPS00	de
animar-me	animar-me	SPS00	de
e	e	CC	e
fazer	fazer	VMN0000	fazer
com	com	SPS00	com
q	que	CS	que
não	não	RN	não
secumba	sucumba	VMIP3S0	sucumbar
a	a	SPS00	a
huma	uma	DI0FS0	um
dõr	dor	NCFS000	dor
tão	tão	CC	tão
aguda	aguda	NCFS000	aguda
;	.	Fp	.
o	O	DA0MS0	o
meu	meu	DP1MSS	meu
estado	estado	NCMS000	estado
de	de	SPS00	de
saude	saúde	NCFS000	saúde
he	é	VSIP3S0	ser
ainda	ainda	RG	ainda
percario	precário	NCMS000	precário
,	.	Fp	.
he	É	VSIP3S0	ser
precizo	preciso	AQ0MS0	preciso
que	que	CS	que
a	a	DA0FS0	o
razão	razão	NCFS000	razão
tome	tome	VMSP0S0	tomar
grande	grande	AQ0CS0	grande
parte	parte	NCFS000	parte
neste	neste	SPS00+DD0MS0	em+este
negocio	negócio	NCMS000	negócio
,	.	Fp	.
Ds	Deus	NP00000	deus
o	o	PP3MSA00	o
queria	queria	VMII0S0	querer
;	;	Fc	;
e	e	CC	e
que	que	CS	que
não	não	RN	não
tenha	tenha	VMSP0S0	ter
ainda	ainda	RG	ainda
chegado	chegado	VMP00SM	chegar
a	a	DA0FS0	o
Licença	licença	NCFS000	licença
!	!	Fp	!
e	E	CC	e
eu	eu	PP1CSN00	eu
q	que	PR0CN000	que
continue	continue	VMSP0S0	continuar
a	a	SPS00	a
seportar	suportar	VMN0000	suportar
a	a	DA0FS0	o
tirania	tirania	NCFS000	tirania
mais	mais	RC	mais
fatal	fatal	AQ0CS0	fatal
e	e	CC	e
que	que	CS	que
tão	tão	RC	tão
funesta	funesta	AQ0FS0	funesto
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
sido	sido	VSP0000	ser
.	.	Fp	.
He	É	VSIP3S0	ser
muito	muito	RQ	muito
sofrêr	sofrer	VMN0000	sofrer
.	.	Fp	.
Eu	Eu	PP1CSN00	eu
agradeço	agradeço	VMIP1S0	agradecer
a	a	SPS00	a
V	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
os	os	DA0MP0	o
bons	bons	AQ0MP0	bom
officios	ofícios	NCMP000	ofício
que	que	PR0CN000	que
me	me	PP1CS000	me
tem	tem	VMIP3S0	ter
prestado	prestado	VMP0000	prestar
,	.	Fp	.
sei	Sei	VMIP1S0	saber
q	que	CS	que
concorrão	concorram	VMIS3P0	concorr
com	com	SPS00	com
as	as	DA0FP0	o
despesas	despesas	NCFP000	despesa
do	do	SPS00+DA0MS0	de+o
enterro	enterro	NCMS000	enterro
e	e	CC	e
logo	logo	RG	logo
q	que	CS	que
chegue	chegue	VMSP0S0	chegar
a	a	SPS00	a
Lxa	Lxa	NP00000	lisboa
serei	serei	VSIF1S0	ser
pontual	pontual	AQ0CS0	pontual
em	em	SPS00	em
satisfazer	satisfazer	VMN0000	satisfazer
:	.	Fp	.
mto	Muito	RQ	muito
senti	senti	VMIS1S0	sentir
que	que	CS	que
o	o	DA0MS0	o
Dor	Doutor	NP00000	doutor
Andrade	Andrade	NP00000	andrade
estivesse	estivesse	VMSI0S0	estar
duente	doente	AQ0CS0	doente
,	,	Fc	,
q	que	CS	que
não	não	RN	não
podesse	pudesse	VMSI0S0	poder
hir	ir	VMN0000	ir
ver	ver	VMN0000	ver
ma	minha	DP1FSS	meu
Mulher	mulher	NCFS000	mulher
	.	Fp	.
des	Desde	SPS00	desde
q	que	CS	que
eu	eu	PP1CSN00	eu
escrevi	escrevi	VMIS1S0	escrever
a	a	SPS00	a
V	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
a	a	SPS00	a
tal	tal	RC	tal
respto	respeito	NCMS000	respeito
talves	talvez	RG	talvez
q	que	CS	que
elle	ele	PP3MS000	ele
tivesse	tivesse	VMSI0S0	ter
feito	feito	NCMS000	feito
o	o	DA0MS0	o
sigund	segundo	SPS00	segundo
milagre	milagre	NCMS000	milagre
.	.	Fp	.
A	A	SPS00	a
respto	respeito	NCMS000	respeito
da	da	SPS00+DA0FS0	de+o
guerrilha	guerrilha	NCFS000	guerrilha
	,	Fc	,
sei	sei	VMIP1S0	saber
o	o	DA0MS0	o
segte	seguinte	NCMS000	seguinte
pelo	pelo	SPS00+DA0MS0	por+o
prnonciar	pronunciar	VMN0000	pronunciar
;	:	Fp	:
ontem	ontem	RG	ontem
	,	Fc	,
12	12	Z	12
do	do	SPS00+DA0MS0	de+o
corrte	corrente	NCMS000	corrente
	,	Fc	,
pelas	pelas	SPS00+DA0FP0	por+o
11	11	Z	11
horas	horas	NCFP000	hora
da	da	SPS00+DA0FS0	de+o
manhã	manhã	NCFS000	manhã
	,	Fc	,
chegou	chegou	VMIS3S0	chegar
a	a	SPS00	a
Elvas	Elvas	NP00000	elvas
o	o	DA0MS0	o
Juis	Juiz	NP00000	juiz
de	de	SPS00	de
Fora	Fora	NP00000	fora
e	e	CC	e
Provedor	Provedor	NP00000	provedor
q	que	CS	que
tinhão	tinham	VAII3P0	ter
sahido	saído	VMP0000	sair
daqui	daqui	SPS00+DA0FS0	de+o
com	com	SPS00	com
o	o	DA0MS0	o
mais	mais	RC	mais
Povo	povo	NCMS000	povo
q	que	CS	que
os	os	DA0MP0	o
quis	quis	VMIS3S0	querer
acompanhar	acompanhar	VMN0000	acompanhar
,	.	Fp	.
dirigirão-se	Dirigiram-se	VMIS3P0+P00CN000	Dirigiram-se
a	à	SPS00+DA0FS0	a+o
Sé	Sé	NP00000	sé
aonde	onde	PA000000	onde
estava	estava	VMII0S0	estar
o	o	DA0MS0	o
Governador	governador	NCMS000	governador
,	,	Fc	,
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
Estado	Estado	NP00000	estado
Maior	Maior	NP00000	maior
e	e	CC	e
mta	muita	DI0FS0	muito
gente	gente	NCFS000	gente
e	e	CC	e
alli	ali	RG	ali
derão	deram	VMIS3P0	dar
acçoes	ações	NCFP000	ação
de	de	SPS00	de
graça	graça	NCFS000	graça
por	por	SPS00	por
haverem	haverem	VMN03P0	haver
desbaratado	desbaratado	VMP00SM	desbaratar
a	a	DA0FS0	o
guerrilha	guerrilha	NCFS000	guerrilha
,	,	Fc	,
segundo	segundo	CS	segundo
dizem	dizem	VMIP3P0	dizer
;	.	Fp	.
ouvi	Ouvi	VMIS1S0	ouvir
dizer	dizer	VMN0000	dizer
q	que	CS	que
trazião	traziam	VMII3P0	trazer
prezos	presos	NCMP000	preso
37	37	Z	37
guerrilheiros	guerrilheiros	NCMP000	guerrilheiro
,	,	Fc	,
mas	mas	CC	mais
sei	sei	VMIP1S0	saber
q	que	CS	que
não	não	RN	não
entrarão	entraram	VMIS3P0	entrar
nenhuns	nenhuns	DI0MP0	nenhum
;	.	Fp	.
querião	Queriam	VMII3P0	querer
hir	ir	VMN0000	ir
ao	ao	SPS00+DA0MS0	a+o
Trem	trem	NCMS000	trem
matar	matar	VMN0000	matar
os	os	DA0MP0	o
malhados	Malhados	NP00000	malhado
prezos	presos	NCMP000	preso
,	,	Fc	,
mas	mas	CC	mais
o	o	DA0MS0	o
Juiz	Juiz	NP00000	juiz
de	de	SPS00	de
Fora	Fora	NP00000	fora
os	os	DA0MP0	o
dissuadio	dissuadiu	VMIS3S0	dissuadir
desta	desta	SPS00+DD0FS0	de+este
empreza	empresa	NCFS000	empresa
.	.	Fp	.
Consta	Consta	VMIP3S0	constar
estar	estar	VMN0000	estar
em	em	SPS00	em
Porto	Porto	NP00000	porto
alegre	Alegre	NP00000	alegre
o	o	DA0MS0	o
Brigado	Brigadeiro	NCMS000	brigadeiro
Raimundo	Raimundo	NP00000	raimundo
,	,	Fc	,
em	em	SPS00	em
Cavallara	Cavalaria	NP00000	cavalaria
e	e	CC	e
os	os	DA0MP0	o
Ilheos	ilhéus	NCMP000	ilhéu
da	da	SPS00+DA0FS0	de+o
3a	Terceira	NP00000	terceira
q	que	PR0CN000	que
estavão	estavam	VMII3P0	estar
em	em	SPS00	em
Salvaterra	Salvaterra	NP00000	salvaterra
;	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
apanharão	apanharam	VMIS3P0	apanhar
alguns	alguns	DI0MP0	algum
da	da	SPS00+DA0FS0	de+o
guerrilha	guerrilha	NCFS000	guerrilha
q	que	PR0CN000	que
vão	vão	VMIP3P0	ir
a	a	SPS00	a
ser	ser	VSN0000	ser
fuzilados	fuzilados	VMP00SM	fuzilar
na	na	SPS00+DA0FS0	em+o
da	dita	VMP00SF	dizer
Cide	cidade	NCFS000	cidade
e	e	CC	e
q	que	CS	que
outros	outros	PI0MP000	outro
se	se	P00CN000	se
recolherão	recolheram	VMIS3P0	recolher
à	à	SPS00+DA0FS0	a+o
Hespanha	Espanha	NP00000	espanha
,	.	Fp	.
mas	Mas	CC	mas
de	de	SPS00	de
certo	certo	RG	certo
nada	nada	PI0NN00N	nada
sei	sei	VMIP1S0	saber
porq	porque	CS	porque
humas	umas	DI0FP0	um
notas	notícias	NCFP000	notícia
desmentem	desmentem	SPS00	desmentem
as	as	DA0FP0	o
outras	outras	DI0FP0	outro
:	.	Fp	.
a	A	SPS00	a
respto	respeito	NCMS000	respeito
de	de	SPS00	de
estarem	estarem	VMN03P0	estar
em	em	SPS00	em
Campo	Campo	NP00000	campo
maior	Maior	NP00000	maior
,	,	Fc	,
julgo	julgo	VMIP1S0	julgar
não	não	RN	não
ter	ter	VMN0000	ter
lugar	lugar	NCMS000	lugar
porq	porque	CS	porque
hum	um	DI0MS0	um
guerrilha	guerrilha	NCMS000	guerrilha
não	não	RN	não
entra	entra	VMIP3S0	entrar
impunemente	impunemente	RG	impunemente
em	em	SPS00	em
huma	uma	DI0FS0	um
Praça	praça	NCFS000	praça
de	de	SPS00	de
guerra	guerra	NCFS000	guerra
;	.	Fp	.
ontem	Ontem	RG	ontem
houverão	houveram	VMIS3P0	haver
luminarias	luminárias	NCFP000	luminária
nesta	nesta	SPS00+DD0FS0	em+este
cide	cidade	NCFS000	cidade
e	e	CC	e
por	por	SPS00	por
isso	isso	PD0NN000	isso
julgo	julgo	VMIP1S0	julgar
ser	ser	VSN0000	ser
verdade	verdade	NCFS000	verdade
a	a	DA0FS0	o
distruição	destruição	NCFS000	destruição
da	da	SPS00+DA0FS0	de+o
guerrilha	guerrilha	NCFS000	guerrilha
,	,	Fc	,
ou	ou	CC	ou
pelo	pelo	SPS00+DA0MS0	por+o
menos	menos	RC	menos
q	que	CS	que
entrarão	entraram	VMIS3P0	entrar
na	na	SPS00+DA0FS0	em+o
Hespanha	Espanha	NP00000	espanha
e	e	CC	e
he	é	VSIP3S0	ser
provavel	provável	AQ0CS0	provável
q	que	CS	que
os	os	DA0MP0	o
desarmem	desarmem	NCMS000	desarmem
.	.	Fp	.
Terá	Terá	VMIF3S0	ter
a	a	DA0FS0	o
bondade	bondade	NCFS000	bondade
de	de	SPS00	de
saber	saber	VMN0000	saber
se	se	CS	se
	,	Fc	,
pela	pela	SPS00+DA0FS0	por+o
outra	outra	DI0FS0	outro
banda	banda	NCFS000	banda
,	,	Fc	,
ou	ou	CC	ou
por	por	SPS00	por
algum	algum	DI0MS0	algum
sitio	sítio	NCMS000	sítio
em	em	SPS00	em
redor	redor	NCMS000	redor
de	de	SPS00	de
Lxa	Lxa	NP00000	lisboa
	,	Fc	,
não	não	RN	não
tem	tem	VMIP3S0	ter
chegado	chegado	VMP00SM	chegar
o	o	DA0MS0	o
terrivel	terrível	AQ0CS0	terrível
mal	mal	NCMS000	mal
,	,	Fc	,
porq	porque	CS	porque
neste	neste	SPS00+DD0MS0	em+este
cazo	caso	NCMS000	caso
alugáva	alugava	NCMS000	caso
alguma	alguma	DI0FS0	algum
caza	casa	NCFS000	casa
pa	para	SPS00	para
tirar	tirar	VMN0000	tirar
ma	minha	DP1FSS	meu
filha	filha	NCFS000	filho
daquella	daquela	SPS00+DD0FS0	de+aquele
	,	Fc	,
q	que	PR0CN000	que
esta	está	VMIP3S0	estar
impestáda	empestada	VMP00SF	empestar
,	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
	,	Fc	,
indo	indo	VMG0000	ir
pa	para	SPS00	para
a	a	DA0FS0	o
Cide	cidade	NCFS000	cidade
	,	Fc	,
me	me	PP1CS000	me
poupava	poupava	PP1CS000	me
em	em	SPS00	em
vêr	ver	VMN0000	ver
objectos	objetos	NCMP000	objeto
q	que	PR0CN000	que
me	me	PP1CS000	me
desgostem	desgostem	VMIP3P0	desgoster
.	.	Fp	.
Basta	Basta	VMIP3S0	bastar
de	de	SPS00	de
importuna-lo	importuná-lo	SPS00	de
,	.	Fp	.
eu	Eu	PP1CSN00	eu
só	só	RG	só
dezejo	desejo	VMIP1S0	desejar
que	que	CS	que
rezista	resista	VMSP0S0	resistir
a	a	SPS00	a
tão	tão	RC	tão
grande	grande	AQ0CS0	grande
tempestade	tempestade	NCFS000	tempestade
e	e	CC	e
q	que	CS	que
seja	seja	VSSP0S0	ser
sempre	sempre	RG	sempre
mto	muito	NCMS000	muito
e	e	CC	e
mto	muito	RQ	muito
felis	feliz	AQ0CS0	feliz
.	.	Fp	.
o	O	DA0MS0	o
seu	seu	DP3MS0	seu
Ame	amante	AQ0CS0	amante
	,	Fc	,
Anto	António	NP00000	antónio
Seara	Seara	NCFS000	seara
Elvas	Elvas	NP00000	elvas
	,	Fc	,
13	13	Z	13
de	de	SPS00	de
Julho	julho	NCMS000	julho
de	de	SPS00	de
1833	1833	Z	1833
PS	PS	NCMS000	ps
Foi	Foi	VSIP3S0	ser
precizo	preciso	AQ0MS0	preciso
abrir	abrir	VMN0000	abrir
a	a	DA0FS0	o
carta	carta	NCFS000	carta
depois	depois	RG	depois
de	de	SPS00	de
fechada	fechada	VMP00SF	fechar
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
dizer	dizer	VMN0000	dizer
q	que	CS	que
ja	já	RG	já
falei	falei	VMIS1S0	falar
ao	ao	SPS00+DA0MS0	a+o
Dor	Doutor	NP00000	doutor
Fernando	Fernando	NP00000	fernando
,	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
recomenda	recomenda	VMIP3S0	recomendar
a	a	SPS00	a
V	Vossa	NP00000	vossa
Exa	Excelência	NP00000	excelência
	,	Fc	,
e	e	CC	e
ficou	ficou	VMIS3S0	ficar
de	de	SPS00	de
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
o	o	DA0MS0	o
mandado	mandado	NCMS000	mandado
pa	para	SPS00	para
receber	receber	VMN0000	receber
,	,	Fc	,
logo	logo	RG	logo
q	que	CS	que
haja	haja	VMSP0S0	haver
ja	já	RG	já
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
pa	para	SPS00	para
se	se	CS	se
repartir	repartir	VMN0000	repartir
	.	Fp	.
Dizem	Dizem	VMIP3P0	dizer
q	que	CS	que
há	há	VMIP3S0	haver
outra	outra	DI0FS0	outro
Guerrilha	guerrilha	NCFS000	guerrilha
em	em	SPS00	em
Serpa	Serpa	NP00000	serpa
Cumandada	comandada	VMP00SF	comandar
pelo	pelo	SPS00+DA0MS0	por+o
Pe	Padre	NP00000	padre
Gões	Góis	NP00000	góis
,	,	Fc	,
q	que	CS	que
será	será	VSIF3S0	ser
de	de	SPS00	de
300	300	Z	300
homens	homens	NCMP000	homem
;	,	Fc	,
mas	mas	CC	mais
sedo	cedo	RG	cedo
se	se	CS	se
aniquilará	aniquilará	VMIF3S0	aniquilar
com	com	SPS00	com
a	a	DA0FS0	o
chegada	chegada	VMP00SF	chegar
da	da	SPS00+DA0FS0	de+o
Tropa	tropa	NCFS000	tropa
	.	Fp	.
