Acha-se	Acha-se	VMIP3S0+P00CN000	achar+se
tinhão	tinham	VMII3P0	ter
a	a	DA0FS0	o
vista	vista	NCFS000	vista
em	em	SPS00	em
outra	outra	DI0FS0	outro
couza	coisa	NCFS000	coisa
q	que	CS	que
não	não	RN	não
fosse	fosse	VSSI0S0	ser
a	a	DA0FS0	o
deitarem	deitarem	VMII3P0	deitar
a	a	DA0FS0	o
religião	religião	NCFS000	religião
pr	por	SPS00	por
terra	terra	NCFS000	terra
	,	Fc	,
pizando-a	pisando-a	VMG0000+PP3FSA00	pisar+o
aos	aos	SPS00+DA0MP0	a+o
pes	pés	NCMP000	pé
,	,	Fc	,
e	e	CC	e
derribarem	derribarem	VMN03P0	derribar
o	o	DA0MS0	o
Trono	trono	NCMS000	trono
:	,	Fc	,
acrecentando	acrescentando	VMG0000	acrescentar
q	que	CS	que
o	o	DA0MS0	o
General	general	NCMS000	general
Sepul-veda	Sepúlveda	NP00000	sepúlveda
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
ladrão	ladrão	NCMS000	ladrão
refinado	refinado	VMP00SM	refinar
	.	Fp	.
e	E	CC	e
agora	agora	RG	agora
mmo	mesmo	RG	mesmo
consta	consta	VMIP3S0	constar
q	que	CS	que
elle	ele	PP3MS000	ele
aqui	aqui	RG	aqui
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
fugindo	fugindo	VMG0000	fugir
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
freguezia	freguesia	NCFS000	freguesia
pr	por	SPS00	por
cauza	causa	NCFS000	causa
destas	destas	SPS00+DD0FP0	de+este
mmas	mesmas	AQ0FP0	mesmo
blasfemias	blasfémias	NCFP000	blasfémia
q	que	PR0CN000	que
se	se	P00CN000	se
dis	diz	VMIP3S0	dizer
mtas	muitas	DI0FP0	muito
vezes	vezes	NCFP000	vez
ali	ali	RG	ali
ter	ter	VAN0000	ter
proferido	proferido	VMP00SM	proferir
:	.	Fp	.
ora	Ora	RG	ora
	,	Fc	,
daqui	daqui	SPS00+RG	de+aqui
se	se	P00CN000	se
ve	vê	VMIP3S0	ver
qto	quanto	PA000000	quanto
este	este	DD0MS0	este
menbro	membro	NP00000	membro
he	é	VSIP3S0	ser
prejudicial	prejudicial	AQ0CS0	prejudicial
na	na	SPS00+DA0FS0	em+o
republica	república	NCFS000	república
	,	Fc	,
principalmte	principalmente	RG	principalmente
nas	nas	SPS00+DA0FP0	em+o
atuais	atuais	AQ0CP0	atual
circunstancias	circunstâncias	NCFP000	circunstância
:	.	Fp	.
Couzas	Coisas	NCFP000	coisa
estas	estas	PD0FP000	este
q	que	PR0CN000	que
	,	Fc	,
pa	para	SPS00	para
descargo	descargo	VMP00SM	descargar
de	de	SPS00	de
sua	sua	DP3FS0	seu
conciencia	consciência	NCFS000	consciência
	,	Fc	,
fas	faz	VMIP3S0	fazer
patente	patente	NCMS000	patente
hum	um	DI0MS0	um
Cidadão	cidadão	NCMS000	cidadão
Contitucional	constitucional	AQ0CS0	constitucional
	.	Fp	.
