Eu	Eu	PP1CSN00	eu
	.	Fp	.
pois	Pois	CS	pois
elles	eles	PP3MP000	ele
não	não	RN	não
ce	se	P00CN000	se
ocupão	ocupam	VMIP3P0	ocupar
senão	senão	CC	senão
em	em	SPS00	em
Roubare	roubar	VMN0000	roubar
	.	Fp	.
pois	Pois	CS	pois
em	em	SPS00	em
apracendo	aparecendo	VMG0000	aparecer
por	por	SPS00	por
la	lá	RG	lá
algum	algum	PI0MS000	algum
desses	desses	SPS00+DD0MP0	de+esse
	,	Fc	,
he	é	VSIP3S0	ser
prendelos	prendê-los	VMN0000+PP3MPA00	prender+o
e	e	CC	e
Remetelos	remetê-los	VMN0000+PP3MPA00	remeter+o
para	para	SPS00	para
lisboa	Lisboa	NP00000	lisboa
	.	Fp	.
pois	Pois	CS	pois
elles	eles	PP3MP000	ele
vão	vão	VMIP3P0	ir
la	lá	RG	lá
com	com	SPS00	com
centido	sentido	NCMS000	sentido
de	de	SPS00	de
Roubare	roubar	VMN0000	roubar
o	o	DA0MS0	o
conigo	cónego	NCMS000	cónego
Rondão	Rondão	NP00000	rondão
e	e	CC	e
varias	várias	AQ0FN0	vários
loges	lojas	NCFP000	loja
	,	Fc	,
e	e	CC	e
la	lá	RG	lá
para	para	SPS00	para
vila	vila	NCFS000	vila
dentro	dentro	RG	dentro
não	não	RN	não
cei	sei	VMIP1S0	saber
aonde	onde	PA000000	onde
he	é	VSIP3S0	ser
	.	Fp	.
e	E	CC	e
ce	se	CS	se
não	não	RN	não
forem	forem	VMSF3P0	ir
la	lá	RG	lá
para	para	SPS00	para
o	o	DA0MS0	o
principio	princípio	NCMS000	princípio
	,	Fc	,
não	não	RN	não
vão	vão	VMIP3P0	ir
la	lá	RG	lá
senão	senão	CC	senão
para	para	SPS00	para
o	o	DA0MS0	o
principio	princípio	NCMS000	princípio
deste	deste	SPS00+DD0MS0	de+este
Inverno	inverno	NCMS000	inverno
	.	Fp	.
pois	Pois	CS	pois
aquelle	aquele	DD0MS0	aquele
cano	cano	NCMS000	cano
da	da	SPS00+DA0FS0	de+o
frabrica	fábrica	NCFS000	fábrica
da	da	SPS00+DA0FS0	de+o
çola	sola	NCFS000	sola
	,	Fc	,
mandio   	mande-o	Fc	,
talpare	tapar	VMN0000	tapar
	,	Fc	,
que	que	CS	que
Bota	bota	VMIP3S0	botar
para	para	SPS00	para
o	o	DA0MS0	o
Mare	mar	NCMS000	mar
	.	Fp	.
pois	Pois	CS	pois
tome	tome	VMSP0S0	tomar
centido	sentido	NCMS000	sentido
nisço	nisso	SPS00+PD0NN000	em+isso
	,	Fc	,
pois	pois	CS	pois
la	lá	RG	lá
he	é	VSIP3S0	ser
que	que	CS	que
se	se	P00CN000	se
mete	mete	VMIP3S0	meter
o	o	DA0MS0	o
Maxadinho	Machadinho	NP00000	machadinho
e	e	CC	e
aos	aos	SPS00+DA0MP0	a+o
panhois	espanhóis	NCMP000	espanhol
	.	Fp	.
vão	Vão	VMIP3P0	ir
la	lá	VMIP3P0	ir
com	com	SPS00	com
esse	esse	DD0MS0	esse
centido	sentido	NCMS000	sentido
de	de	SPS00	de
apurzentare	apresentar	VMN0000	apresentar
la	lá	RG	lá
pa	para	SPS00	para
fazere	fazer	VMN0000	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
quizece	quisesse	VMSI0S0	querer
	.	Fp	.
o	O	DA0MS0	o
dito	dito	VMP00SM	dizer
oMem	homem	NCMS000	homem
Baixinho	baixinho	AQDMS0	baixo
xama	chama	VMIP3S0	chamar
Joaquim	Joaquim	NP00000	joaquim
Coelho	Coelho	NP00000	coelho
	.	Fp	.
pois	Pois	CS	pois
Algum	algum	DI0MS0	algum
dia	dia	NCMS000	dia
sabera	saberá	VMIF3S0	saber
quem	quem	PR0CN000	quem
escreveu	escreveu	VMIS3S0	escrever
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
	,	Fc	,
pois	pois	CS	pois
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
Supe	suplicante	NCCS000	suplicante
que	que	CS	que
a	a	PP3FSA00	o
Mandou	mandou	VMIS3S0	mandar
escrevere	escrever	VMN0000	escrever
Ista	está	VMIP3S0	estar
prezo	preso	VMP00SM	prender
	.	Fp	.
