Serenissimo	Sereníssimo	AQSMS0	sereno
a	a	DA0FS0	o
cou«sa	coisa	NCFS000	coisa
hia	ia	VMII0S0	ir
sahindo	saindo	VMG0000	sair
ainda	ainda	RG	ainda
melhor	melhor	RC	melhor
q	que	CS	que
elle	ele	PP3MS000	ele
pensára	pensara	VMIM0S0	pensar
.	.	Fp	.
Depois	Depois	RG	depois
disto	disto	SPS00+PD0NN000	de+isto
,	,	Fc	,
disse-me	disse-me	VMIS3S0+PP1CS000	dizer+me
Sandoval	Sandoval	NP00000	sandoval
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
tinha	tinha	VAIP3S0	ter
occorido	ocorrido	VMP0000	ocorrer
huma	uma	DI0FS0	um
idéa	ideia	NCFS000	ideia
para	para	SPS00	para
accrescentar	acrescentar	VMN0000	acrescentar
ao	ao	SPS00+DA0MS0	a+o
Projecto	projeto	NCMS000	projeto
da	da	SPS00+DA0FS0	de+o
Conspiração	conspiração	NCFS000	conspiração
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
parecia	parecia	VMII0S0	parecer
muito	muito	RQ	muito
importante	importante	AQ0CS0	importante
e	e	CC	e
expressou-se	expressou-se	VMIS3S0+P00CN000	expressar+se
nos	nos	SPS00+DA0MP0	em+o
seguintes	seguintes	AQ0CP0	seguinte
termos	termos	NCMP000	termo
:	:	Fd	:
«	«	Fra	«
Alêm	Além	RG	além
dos	dos	SPS00+DA0MP0	de+o
impressos	impressos	NCMP000	impresso
em	em	SPS00	em
q	que	PR0CN000	que
já	já	RG	já
temos	temos	VAIP1P0	ter
falado	falado	VMP0000	falar
,	,	Fc	,
havemos	havemos	VMIP1P0	haver
fazer	fazer	VMN0000	fazer
Cartas	cartas	NCFP000	carta
circulares	circulares	AQ0CP0	circular
para	para	SPS00	para
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
Authoridades	autoridades	NCFP000	autoridade
do	do	SPS00+DA0MS0	de+o
Reino	reino	NCMS000	reino
em	em	SPS00	em
q	que	PR0CN000	que
se	se	P00CN000	se
lhes	lhes	PP3CPD00	lhe
Ordene	ordene	VMSP0S0	ordenar
em	em	SPS00	em
Nome	nome	NCMS000	nome
de	de	SPS00	de
El Rei	El-Rei	NP00000	el-rei
q	que	CS	que
immediatamente	imediatamente	RG	imediatamente
fação	façam	VMSP3P0	fazer
proclamar	proclamar	VMN0000	proclamar
a	a	DA0FS0	o
Consti«tuição	Constituição	NP00000	constituição
em	em	SPS00	em
seus	seus	DP3MP0	seu
destrictos	distritos	NCMP000	distrito
e	e	CC	e
fazer	fazer	VMN0000	fazer
espalhar	espalhar	VMN0000	espalhar
as	as	DA0FP0	o
Proclamações	proclamações	NCFP000	proclamação
q	que	PR0CN000	que
juntas	juntas	AQ0FP0	junto
se	se	P00CN000	se
envião	enviam	VMIP3P0	enviar
.	.	Fp	.
Para	Para	SPS00	para
este	este	DD0MS0	este
fim	fim	NCMS000	fim
,	,	Fc	,
continúa	continua	VMIP3S0	continuar
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
já	já	RG	já
temos	temos	VMIP1P0	ter
quem	quem	PR0CN000	quem
abra	abra	VMSP0S0	abrir
o	o	DA0MS0	o
sêlo	selo	NCMS000	selo
para	para	SPS00	para
se	se	P00CN000	se
selarem	selarem	VMN03P0	selar
as	as	DA0FP0	o
Circulares	circulares	NCFP000	circulare
e	e	CC	e
já	já	RG	já
temos	temos	VMIP1P0	ter
tambem	também	RG	também
Pessoa	pessoa	NCFS000	pessoa
q	que	PR0CN000	que
tira	tira	VMIP3S0	tira
as	as	DA0FP0	o
assignaturas	assinaturas	NCFP000	assinatura
falsas	falsas	AQ0FP0	falso
dos	dos	SPS00+DA0MP0	de+o
Secretarios	Secretários	NP00000	secretário
d'	de	SPS00	de
Estado	Estado	NP00000	estado
.	.	Fp	.
»	»	Frt	»
Acabada	Acabada	VMP00SF	acabar
q	que	PR0CN000	que
foi	foi	VSIS3S0	ser
a	a	DA0FS0	o
narração	narração	NCFS000	narração
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
tratei	tratei	VMIS1S0	tratar
de	de	SPS00	de
indagar	indagar	VMN0000	indagar
quem	quem	PR0CN000	quem
erão	eram	VSII3P0	ser
os	os	DA0MP0	o
socios	sócios	NCMP000	sócio
,	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
q	que	PR0CN000	que
Sandoval	Sandoval	NP00000	sandoval
me	me	PP1CS000	me
tornou	tornou	VMIS3S0	tornar
q	que	CS	que
não	não	RN	não
sabía	sabia	VMII0S0	saber
porq	porque	CS	porque
o	o	DA0MS0	o
Coronel	Coronel	NP00000	coronel
Antonio	António	NP00000	antónio
Pereira	Pereira	NP00000	pereira
era	era	VSII0S0	ser
quem	quem	PR0CN000	quem
tratava	tratava	VMII0S0	tratar
de	de	SPS00	de
os	os	PP3MPA00	o
convocar	convocar	VMN0000	convocar
e	e	CC	e
q	que	CS	que
só	só	RG	só
saberiamos	saberíamos	VMIC1P0	saber
quem	quem	PR0CN000	quem
erão	eram	VSII3P0	ser
na	na	SPS00+DA0FS0	em+o
occasião	ocasião	NCFS000	ocasião
de	de	SPS00	de
darem	darem	VMN03P0	dar
seus	seus	DP3MP0	seu
juramentos	juramentos	NCMP000	juramento
ou	ou	CC	ou
q	que	CS	que
em	em	SPS00	em
alguma	alguma	DI0FS0	algum
sessão	sessão	NCFS000	sessão
nos	nos	SPS00+DA0MP0	em+o
juntariamos	juntaríamos	VMIC1P0	juntar
todos	todos	PI0MP000	todo
e	e	CC	e
q	que	CS	que
então	então	RG	então
veriamos	veríamos	VMIC1P0	ver
quem	quem	PR0CN000	quem
erão	eram	VSII3P0	ser
.	.	Fp	.
perguntei-lhe	Perguntei-lhe	VMIS1S0+PP3CSD00	perguntar+lhe
se	se	CSI	se
no	no	SPS00+DA0MS0	em+o
trama	trama	NCMS000	trama
entravão	entravam	VMII3P0	entrar
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
amigos	amigos	AQ0MP0	amigo
Boticario	boticário	NCMS000	boticário
e	e	CC	e
Picador	picador	NCMS000	picador
e	e	CC	e
tive	tive	VMIS1S0	ter
em	em	SPS00	em
resposta	resposta	NCFS000	resposta
q	que	CS	que
o	o	DA0MS0	o
Picador	picador	NCMS000	picador
de	de	SPS00	de
nada	nada	PI0NN00N	nada
sabia	sabia	VMII0S0	saber
por	por	SPS00	por
ora	ora	RG	ora
,	,	Fc	,
porêm	porém	RG	porém
	,	Fc	,
q	que	CS	que
estava	estava	VMII0S0	estar
descontente	descontente	AQ0CS0	descontente
com	com	SPS00	com
o	o	DA0MS0	o
actual	atual	AQ0CS0	atual
Governo	governo	NCMS000	governo
e	e	CC	e
q	que	CS	que
era	era	VSII0S0	ser
homem	homem	NCMS000	homem
valente	valente	AQ0CS0	valente
e	e	CC	e
honrado	honrado	VMP00SM	honrar
,	,	Fc	,
portanto	portanto	CC	portanto
q	que	CS	que
veriamos	veríamos	VMIC1P0	ver
;	,	Fc	,
mas	mas	CC	mais
q	que	CS	que
o	o	DA0MS0	o
Boticario	boticário	NCMS000	boticário
,	,	Fc	,
apezar	apesar	SPS00	apesar
q	que	CS	que
era	era	VSII0S0	ser
Maçon	maçon	NCMS000	maçon
,	,	Fc	,
era	era	VSII0S0	ser
muito	muito	RQ	muito
medroso	medroso	AQ0MS0	medroso
e	e	CC	e
q	que	CS	que
só	só	RG	só
poderia	poderia	VMIC0S0	poder
servir	servir	VMN0000	servir
para	para	SPS00	para
pregar	pregar	VMN0000	pregar
Proclamações	proclamações	NCFP000	proclamação
aqui	aqui	RG	aqui
em	em	SPS00	em
Lisboa	Lisboa	NP00000	lisboa
.	.	Fp	.
Eis	Eis	RG	eis
quanto	quanto	PR0MS000	quanto
por	por	SPS00	por
agora	agora	RG	agora
posso	posso	VMIP1S0	poder
informar	informar	VMN0000	informar
a	a	DA0FS0	o
Vossa	Vossa	DP2FSP	vosso
Alteza	Alteza	NP00000	alteza
Real	Real	AQ0CS0	real
relativo	relativo	AQ0MS0	relativo
á	à	SPS00+DA0FS0	a+o
Conjuração	conjuração	NCFS000	conjuração
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
6	6	Z	6
de	de	SPS00	de
Setembro	setembro	NCMS000	setembro
de	de	SPS00	de
1823	1823	Z	1823
.	.	Fp	.
Sou	Sou	VSIP1S0	ser
de	de	SPS00	de
Vossa	Vossa	DP2FSP	vosso
Alteza	Alteza	NP00000	alteza
Real	Real	AQ0CS0	real
O	o	DA0MS0	o
mais	mais	RC	mais
respeitoso	respeitoso	AQ0MS0	respeitoso
e	e	CC	e
fiel	fiel	AQ0CS0	fiel
Subdito	súbdito	NCMS000	súbdito
	,	Fc	,
Joaquim	Joaquim	NP00000	joaquim
Maria	Maria	NP00000	maria
Torres	Torres	NP00000	torres
