Ilmo	Ilustríssimo	AQSMS0	ilustre
ordem	ordem	NCFS000	ordem
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
sem	sem	SPS00	sem
Processo	processo	NCMS000	processo
e	e	CC	e
não	não	RN	não
se	se	P00CN000	se
me	me	PP1CS000	me
declarando	declarando	VMG0000	declarar
a	a	DA0FS0	o
culpa	culpa	NCFS000	culpa
	.	Fp	.
e	E	CC	e
Pesso	peço	VMIP1S0	pedir
	,	Fc	,
Protesto	protesto	NCMS000	protesto
	.	Fp	.
Forta	Fortaleza	NP00000	fortaleza
da	da	SPS00+DA0FS0	de+o
Guia	Guia	NP00000	guia
	,	Fc	,
14	14	NP00000	14
de	de	SPS00	de
Sbro	setembro	NCMS000	setembro
de	de	SPS00	de
1822	1822	Z	1822
E	E	CC	e
R	Roga	VMIP3S0	rogar
M	Mercê	NCFS000	mercê
	,	Fc	,
Emilio	Emílio	NP00000	Emílio
Mel	Manuel	NP00000	manuel
Mora	Moreira	NP00000	moreira
de	de	SPS00	de
Figrdo	Figueiredo	NP00000	figueiredo
	,	Fc	,
unico	único	AQ0MS0	único
Constitucional	constitucional	NCMS000	constitucional
sem	sem	SPS00	sem
partido	partido	NCMS000	partido
	.	Fp	.
