Ilmo	Ilustríssimo	AQSMS0	ilustre
as	as	DA0FP0	o
Vouzes	vozes	NCFP000	voz
e	e	CC	e
discucoens	discussões	NCFP000	discussão
das	das	SPS00+DA0FP0	de+o
Cortes	Cortes	NP00000	corte
e	e	CC	e
reforso	reforço	VMIP1S0	reforçar
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
protesto	protesto	NCMS000	protesto
antecedente	antecedente	AQ0CS0	antecedente
tendo	tendo	VMG0000	ter
a	a	SPS00	a
declarar	declarar	VMN0000	declarar
q	que	CS	que
fui	fui	VSIS1S0	ser
prezo	preso	VMP00SM	prender
pa	para	SPS00	para
o	o	DA0MS0	o
Forte	Forte	NP00000	forte
onde	onde	PA000000	onde
o	o	DA0MS0	o
Govor	Governador	NP00000	governador
se	se	P00CN000	se
não	não	RN	não
achava	achava	VMII0S0	achar
e	e	CC	e
se	se	P00CN000	se
abrio	abriu	VMIS3S0	abrir
a	a	DA0FS0	o
Porta	porta	NCFS000	porta
sem	sem	SPS00	sem
o	o	DA0MS0	o
santo	santo	NCMS000	santo
e	e	CC	e
senha	senha	NCFS000	senha
	.	Fp	.
de	De	SPS00	de
lá	lá	RG	lá
parti	parti	VMIS1S0	partir
pa	para	SPS00	para
a	a	DA0FS0	o
Guia	Guia	NP00000	guia
acompanhado	acompanhado	VMP00SM	acompanhar
plo	pelo	SPS00+DA0MS0	por+o
Capm	Capitão	NP00000	capitão
Ajud	Adudante	NP00000	adudante
 di	di	X	X
Ordens	ordens	NCFP000	ordem
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	.	Fp	.
protesto	Protesto	VMIP1S0	protestar
sobre	sobre	SPS00	sobre
todas	todas	DI0FP0	todo
estas	estas	DD0FP0	este
encoherencias	incoerências	NCFP000	incoerência
a	a	SPS00	a
VSa	VSa	NP00000	VSa
pr	por	SPS00	por
cuja	cuja	PU0FS000	cujo
ordem	ordem	NCFS000	ordem
estou	estou	VMIP1S0	estar
prezo	preso	VMP00SM	prender
e	e	CC	e
não	não	RN	não
do	do	SPS00+DA0MS0	de+o
senado	Senado	NP00000	senado
	,	Fc	,
q	que	PR0CN000	que
não	não	RN	não
tem	tem	VMIP3S0	ter
tal	tal	DD0CS0	tal
poder	poder	VMN0000	poder
como	como	CS	como
lhe	lhe	PP3CSD00	lhe
provarei	provarei	VMIS1S0	provarar
	.	Fp	.
Forta	Fortaleza	NP00000	fortaleza
da	da	SPS00+DA0FS0	de+o
Guia	Guia	NP00000	guia
	,	Fc	,
14	14	NP00000	14
de	de	SPS00	de
Sbro	setembro	NCMS000	setembro
1822	1822	Z	1822
Emilio	Emílio	NP00000	Emílio
Mel	Manuel	NP00000	manuel
Mora	Moreira	NP00000	moreira
de	de	SPS00	de
Figrdo	Figueiredo	NP00000	figueiredo
	,	Fc	,
unico	único	AQ0MS0	único
Constitucional	constitucional	AQ0CS0	constitucional
sem	sem	SPS00	sem
partido	partido	NCMS000	partido
