Illma	Ilustríssima	AQSFS0	ilustre
Livrado	livrado	VMP0000	livrar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
e	e	CC	e
Seu	seu	DP3MS0	seu
home	homem	NCMS000	homem
serem	serem	VSN03P0	ser
robados	roubados	NCMP000	roubado
qd	quando	CS	quando
hiao	iam	VMII3P0	ir
o	ao	SPS00+DA0MS0	a+o
Togal	Tojal	NP00000	Tojal
	,	Fc	,
pois	pois	CS	pois
o	o	DA0MS0	o
rezervamos	reservámos	NCMS000	reservámo
pa	para	SPS00	para
huma	uma	DI0FS0	um
oCazião	ocasião	NCFS000	ocasião
Como	como	SPS00	como
esta	esta	DD0FS0	este
	.	Fp	.
nos	Nós	PP1CP000	nós
Contamos	contamos	VMIP3S0	contar
Com	com	SPS00	com
Vsa	VSa	NP00000	VSa
	.	Fp	.
veja	Veja	VMSP0S0	ver
se	se	CS	se
nos	nos	SPS00+DA0FS0	em+os
falta	falta	NCFS000	falta
ó	ou	CC	ou
nos	nos	PP1CP000	nos
descobre	descobre	VMIP3S0	descobrir
segredo	segredo	NCMS000	segredo
a	a	DA0FS0	o
pesoa	pessoa	NCFS000	pessoa
alguma	alguma	DI0FS0	algum
	.	Fp	.
nem	Nem	CC	nem
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
proprio	próprio	NCMS000	próprio
marido	marido	NCMS000	marido
	!	Fp	!
olhe	Olhe	VMSP0S0	olhar
que	que	CS	que
a	a	DA0FS0	o
vida	vida	NCFS000	vida
lhe	lhe	PP3CSD00	lhe
custara	custará	VMIF3S0	custar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
serão	serão	VSIF3P0	ser
queimadas	queimadas	VMP00PF	queimar
suas	suas	DP3FP0	seu
cazas	casas	NCFP000	casa
e	e	CC	e
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
quinta	quinta	NCFS000	quinta
das	das	SPS00+DA0FP0	de+o
praias	praias	NCFP000	praia
e	e	CC	e
a	a	SPS00	a
que	que	PR0CN000	que
Conprou	comprou	VMIS3S0	comprar
ha	há	VMIP3S0	haver
pouco	pouco	NCMS000	pouco
no	no	SPS00+DA0MS0	em+o
Togal	Tojal	NP00000	Tojal
	.	Fp	.
não	Não	RN	não
lhe	lhe	PP3CSD00	lhe
a	há	VMIP3S0	haver
de	de	SPS00	de
valer	valer	VMN0000	valer
as	as	DA0FP0	o
percaçoes	precações	NCFP000	precação
	.	Fp	.
veja	Veja	VMSP0S0	ver
se	se	P00CN000	se
descobre	descobre	VMIP3S0	descobrir
segredo	segredo	NCMS000	segredo
o	ou	CC	ou
nos	nos	SPS00+DA0FS0	em+os
falta	falta	NCFS000	falta
	.	Fp	.
o	Ao	SPS00+DA0MS0	a+o
depois	depois	RG	depois
não	não	RN	não
se	se	P00CN000	se
queixe	queixe	VMSP0S0	queixar
q	que	CS	que
que	que	CS	que
fomos	fomos	VMIS1P0	ir
maos	maus	AQ0MP0	mau
homes	homens	NCMP000	homem
	.	Fp	.
por	Por	SPS00	por
iço	isso	PD0NN000	isso
a	a	SPS00	a
avizamos	avisamos	NCMP000	avisamo
e	e	CC	e
não	não	RN	não
queira	queira	VMSP0S0	querer
perder	perder	VMN0000	perder
a	a	DA0FS0	o
vida	vida	NCFS000	vida
e	e	CC	e
seu	seu	DP3MS0	seu
home	homem	NCMS000	homem
	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
que	que	PR0CN000	que
tem	tem	VMIP3S0	ter
	,	Fc	,
para	para	SPS00	para
modo	modo	NCMS000	modo
100:000	100$000	Z	100$000
R	réis	NCMP000	réis
	,	Fc	,
pode	pode	VMIP3S0	poder
metelos	metê-los	VMIP3S0	poder
dentro	dentro	RG	dentro
de	de	SPS00	de
hun	um	DI0MS0	um
sobreescrito	sobrescrito	NCMS000	sobrescrito
e	e	CC	e
mandalos	mandá-los	VMN0000+PP3MPA00	mandar+o
a	à	SPS00+DA0FS0	a+o
Sala	sala	NCFS000	sala
Fixada	fechada	VMP00SF	fechar
da	da	SPS00+DA0FS0	de+o
Cadeia	Cadeia	NP00000	cadeia
da	da	SPS00+DA0FS0	de+o
Cidade	Cidade	NCFS000	cidade
	,	Fc	,
e	e	CC	e
que	que	CS	que
proguntem	perguntem	VMSP3P0	perguntar
pelo	pelo	SPS00+DA0MS0	por+o
Snr	Senhor	NP00000	senhor
Castro	Castro	NP00000	castro
,	.	Fp	.
o	O	DA0MS0	o
melhor	melhor	RC	melhor
hera	era	VMIP3S0	era
metelhos	metê-los	VMIP3S0	era
en	em	SPS00	em
sobreescrito	sobrescrito	NCMS000	sobrescrito
ao	ao	SPS00+DA0MS0	a+o
Sor	Senhor	NP00000	senhor
Anto	António	NP00000	antónio
godinho	Godinho	NP00000	godinho
Bras	Brás	NP00000	brás
e	e	CC	e
Castro	Castro	NP00000	castro
e	e	CC	e
meter	meter	VMN0000	meter
a	a	DA0FS0	o
Carta	carta	NCFS000	carta
na	na	SPS00+DA0FS0	em+o
caixa	caixa	NCFS000	caixa
de	de	SPS00	de
Corro	correio	NCMS000	correio
	.	Fp	.
se	Se	CS	se
mandar	mandar	VMN0000	mandar
o	o	DA0MS0	o
Corro	correio	NCMS000	correio
	,	Fc	,
seja	seja	VSSP0S0	ser
no	no	SPS00+DA0MS0	em+o
sobreescrito	sobrescrito	NCMS000	sobrescrito
nome	nome	NCMS000	nome
todo	todo	RG	todo
q	que	PR0CN000	que
digo	digo	VMIP1S0	dizer
	.	Fp	.
e	E	CC	e
se	se	CS	se
mandar	mandar	VMN0000	mandar
a	à	SPS00+DA0FS0	a+o
Cadeia	cadeia	NCFS000	cadeia
,	,	Fc	,
so	só	RG	só
ponha	ponha	VMSP0S0	pôr
no	no	SPS00+DA0MS0	em+o
sobreescrito	sobrescrito	NCMS000	sobrescrito
o	o	DA0MS0	o
Snr	Senhor	NP00000	senhor
Castro	Castro	NP00000	castro
	.	Fp	.
veja	Veja	VMSP0S0	ver
se	se	P00CN000	se
toma	toma	VMIP3S0	tomar
sentido	sentido	NCMS000	sentido
no	no	SPS00+DA0MS0	em+o
que	que	PR0CN000	que
digo	digo	VMIP1S0	dizer
	.	Fp	.
e	E	CC	e
qn	quando	CS	quando
vier	vier	VMSF0S0	vir
	,	Fc	,
Venha	venha	VMSP0S0	vir
so	só	RG	só
	.	Fp	.
veja	Veja	VMSP0S0	ver
VSa	VSa	NP00000	VSa
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
se	se	P00CN000	se
mete	mete	VMIP3S0	meter
	,	Fc	,
se	se	CS	se
falta	falta	NCFS000	falta
o	ou	CC	ou
descobre	descobre	VMIP3S0	descobrir
segredo	segredo	NCMS000	segredo
	.	Fp	.
seja	Seja	VSSP0S0	ser
sen	sem	SPS00	sem
falta	falta	NCFS000	falta
the	até	SPS00	até
Cesta feira	sexta-feira	NCFS000	sexta-feira
	.	Fp	.
e	E	CC	e
qdo	quando	CS	quando
mandar	mandar	VMN0000	mandar
	,	Fc	,
seja	seja	VSSP0S0	ser
da	da	SPS00+DA0FS0	de+o
huma	uma	DI0FS0	um
the	até	SPS00	até
as	às	SPS00+DA0FP0	a+o
2	2	Z	2
da	da	SPS00+DA0FS0	de+o
Tarde	tarde	NCFS000	tarde
	.	Fp	.
as	As	DA0FP0	o
grades	grades	NCFP000	grade
ficão	ficam	VMIP3P0	ficar
o	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
do	do	SPS00+DA0MS0	de+o
entunlho	entulho	NCMS000	entulho
	.	Fp	.
remeto	Remeto	VMIP1S0	remeter
heça	essa	DD0FS0	esse
senha	senha	NCFS000	senha
	.	Fp	.
qn	Quando	CS	quando
vier	vier	VMSF0S0	vir
	,	Fc	,
Levara	levará	VMIF3S0	levar
signal	sinal	NCMS000	sinal
	,	Fc	,
e	e	CC	e
	,	Fc	,
se	se	CS	se
for	for	VMSF0S0	ir
o	o	DA0MS0	o
Corro	correio	NCMS000	correio
	,	Fc	,
La	lá	RG	lá
hira	irá	VMIF3S0	ir
sinal	sinal	NCMS000	sinal
	.	Fp	.
sou	Sou	VSIP1S0	ser
Vor	venerador	NCMS000	venerador
e	e	CC	e
C	criado	NCMS000	criado
	...	Fc	...
24	24	Z	24
d	de	SPS00	de
7bro	setembro	NCMS000	setembro
1822	1822	Z	1822
	,	Fc	,
Mel	Manuel	NP00000	manuel
Vaz	Vaz	NP00000	vaz
Bascardos	Bascardos	NP00000	bascardos
	,	Fc	,
capitão	capitão	NCMS000	capitão
da	da	SPS00+DA0FS0	de+o
quadrilha	quadrilha	NCFS000	quadrilha
