Nunca	Nunca	RN	nunca
	,	Fc	,
ql	qual	PT0CS000	qual
he	é	VSIP3S0	ser
a	a	DA0FS0	o
boa	boa	AQ0FS0	bom
administracão	administracão	NCFS000	administração
da	da	SPS00+DA0FS0	de+o
fa	fazenda	NCFS000	fazenda
	?	Fi	?
q	Que	CS	que
não	não	RN	não
dem	deem	VMSP3P0	dar
causa	causa	NCFS000	causa
a	a	SPS00	a
hum	um	DI0MS0	um
clamor	clamor	NCMS000	clamor
publico	público	AQ0MS0	público
:	!	Fa	!
q	Que	CS	que
deixem	deixem	VMSP3P0	deixar
ja	já	RG	já
de	de	SPS00	de
anequilar	aniquilar	VMN0000	aniquilar
este	este	DD0MS0	este
povo	povo	NCMS000	povo
q	que	PR0CN000	que
tanto	tanto	RC	tanto
se	se	P00CN000	se
empenhão	empenham	VMIP3P0	empenhar
em	em	SPS00	em
roduzir	reduzir	VMN0000	reduzir
à	à	SPS00+DA0FS0	a+o
Escravidão	escravidão	NCFS000	escravidão
:	!	Fa	!
que	Que	CS	que
deixem	deixem	VMSP3P0	deixar
ja	já	RG	já
os	os	DA0MP0	o
monepolios	monopólios	NCMP000	monopólio
q	que	PR0CN000	que
fazem	fazem	VMIP3P0	fazer
com	com	SPS00	com
os	os	DA0MP0	o
bens	bens	NCMP000	bem
do	do	SPS00+DA0MS0	de+o
povo	povo	NCMS000	povo
de	de	SPS00	de
sorte	sorte	NCFS000	sorte
de	de	SPS00	de
q	que	PR0CN000	que
mtos	muitos	PI0MP000	muito
	,	Fc	,
ou	ou	CC	ou
alguns	alguns	PI0MP000	algum
	,	Fc	,
dos	dos	SPS00+DA0MP0	de+o
Seres	Senhores	NP00000	senhor
governanças	governanças	NCFP000	governança
se	se	P00CN000	se
andão	andam	VMIP3P0	andar
pastando	pastando	VMG0000	pastar
por	por	SPS00	por
crerem	crerem	VMN03P0	crer
q	que	CS	que
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
gados	gados	NCMP000	gado
comem	comem	VMIP3P0	comer
as	as	DA0FP0	o
siaras	searas	NCFP000	seara
dos	dos	SPS00+DA0MP0	de+o
desgraçados	desgraçados	VMP00PM	desgraçar
lavradores	lavradores	NCMP000	lavrador
	!	Fa	!
q	Que	CS	que
he	é	VSIP3S0	ser
tempo	tempo	NCMS000	tempo
de	de	SPS00	de
se	se	P00CN000	se
mandarem	mandarem	VMN03P0	mandar
e	e	CC	e
de	de	SPS00	de
deixarem	deixarem	VMN03P0	deixar
o	o	DA0MS0	o
despotismo	despotismo	NCMS000	despotismo
,	!	Fa	!
q	Que	CS	que
não	não	RN	não
deixem	deixem	VMSP3P0	deixar
de	de	SPS00	de
cumprir	cumprir	VMN0000	cumprir
os	os	DA0MP0	o
Acordons	acórdãos	NCMP000	acórdão
q	que	PR0CN000	que
eles	eles	PP3MP000	ele
mmos	mesmos	AQ0MP0	mesmo
fazem	fazem	VMIP3P0	fazer
só	só	RG	só
com	com	SPS00	com
o	o	DA0MS0	o
fim	fim	NCMS000	fim
de	de	SPS00	de
enganarem	enganarem	VMN03P0	enganar
o	o	DA0MS0	o
povo	povo	NCMS000	povo
;	,	Fc	,
e	e	CC	e
outras	outras	DI0FP0	outro
mtas	muitas	DI0FP0	muito
couzas	coisas	NCFP000	coisa
q	que	PR0CN000	que
por	por	SPS00	por
modestia	modéstia	NCFS000	modéstia
omito	omito	VMIP1S0	omitir
	.	Fp	.
Deve	Deve	VMIP3S0	dever
mais	mais	RC	mais
fazer	fazer	VMN0000	fazer
saber	saber	VMN0000	saber
as	às	SPS00+DA0FP0	a+o
Suas	Suas	DP3FP0	seu
Sas	Senhorias	NP00000	senhoria
q	que	CS	que
tambem	também	RG	também
sabemsabe	sabe	VMIP3S0	saber
o	o	DA0MS0	o
povo	povo	NCMS000	povo
,	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
rustico	rústico	AQ0MS0	rústico
,	,	Fc	,
fazer	fazer	VMN0000	fazer
destinção	distinção	NCFS000	distinção
de	de	SPS00	de
pesoa	pessoa	NCFS000	pessoa
de	de	SPS00	de
bem	bem	RG	bem
a	a	SPS00	a
hum	um	DI0MS0	um
bebado	bêbedo	NCMS000	bêbedo
,	,	Fc	,
mas	mas	CC	mais
tambem	também	RG	também
sabe	sabe	VMIP3S0	saber
q	que	CS	que
ser	ser	VSN0000	ser
homem	homem	NCMS000	homem
de	de	SPS00	de
bem	bem	RG	bem
não	não	RN	não
consiste	consiste	VMIP3S0	consistir
só	só	RG	só
em	em	SPS00	em
ter	ter	VMN0000	ter
mto	muito	RQ	muito
q	que	CS	que
comer	comer	VMN0000	comer
,	,	Fc	,
he	é	VSIP3S0	ser
necessr	necessário	AQ0MS0	necessário
não	não	RN	não
dar	dar	VMN0000	dar
ocasião	ocasião	NCFS000	ocasião
a	a	SPS00	a
q	que	CS	que
o	o	DA0MS0	o
rustico	rústico	NCMS000	rústico
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
falte	falte	VMSP0S0	faltar
ao	ao	SPS00+DA0MS0	a+o
respto	respeito	NCMS000	respeito
respeitando	respeitando	VMG0000	respeitar
sempre	sempre	RG	sempre
o	o	DA0MS0	o
decoro	decoro	NCMS000	decoro
de	de	SPS00	de
suas	suas	DP3FP0	seu
nobrezas	nobrezas	NCFP000	nobreza
claras	claras	AQ0FP0	claro
:	.	Fp	.
mas	Mas	CC	mas
como	como	CS	como
não	não	RN	não
ha	há	VMIP3S0	haver
de	de	SPS00	de
hum	um	DI0MS0	um
povo	povo	NCMS000	povo
rustico	rústico	AQ0MS0	rústico
e	e	CC	e
ignorante	ignorante	AQ0CS0	ignorante
clamar	clamar	VMN0000	clamar
alta	alta	RG	altamente
e	e	CC	e
poderosamte	poderosamente	RG	poderosamente
vendo	vendo	VMG0000	ver
as	as	DA0FP0	o
suas	suas	DP3FP0	seu
searas	searas	NCFP000	seara
comidas	comidas	VMP00PF	comer
por	por	SPS00	por
porcos	porcos	NCMP000	porco
e	e	CC	e
ovelhas	ovelhas	NCFP000	ovelha
,	,	Fc	,
dar	dar	VMN0000	dar
coimas	coimas	NCFP000	coima
hum	um	DI0MS0	um
dia	dia	NCMS000	dia
e	e	CC	e
absolvelas	absolvê-las	VMN0000+PP3FPA00	absolver+o
n'outro	noutro	SPS00+PI0MS000	em+outro
	,	Fc	,
e	e	CC	e
	,	Fc	,
qd	quando	CS	quando
mto	muito	RQ	muito
	,	Fc	,
condem-na	condenam	VMIP3P0	condenar
alm	alguns	DI0MP0	algum
desgraçados	desgraçados	NCMP000	desgraçado
.	.	Fp	.
Ora	Ora	RG	ora
huma	uma	PI0FS000	um
Ja	já	RG	já
asim	assim	RG	assim
	,	Fc	,
so	só	RG	só
no	no	SPS00+DA0MS0	em+o
Inferno	inferno	NCMS000	inferno
.	.	Fp	.
Se	Se	CS	se
este	este	DD0MS0	este
miseravel	miserável	AQ0CS0	miserável
povo	povo	NCMS000	povo
se	se	P00CN000	se
visse	visse	VMSI0S0	ver
governado	governado	VMP00SM	governar
como	como	PA000000	como
deve	deve	VMIP3S0	dever
ser	ser	VSN0000	ser
	,	Fc	,
ja	já	RG	já
não	não	RN	não
haveria	haveria	VMIC0S0	haver
pasquins	pasquins	NCMP000	pasquim
nem	nem	CCN	nem
clamor	clamor	NCMS000	clamor
publico	público	AQ0MS0	público
;	.	Fp	.
portanto	Portanto	RG	portanto
	,	Fc	,
a	a	DA0FS0	o
emend	emenda	NCFS000	emenda
de	de	SPS00	de
todas	todas	DI0FP0	todo
estas	estas	DD0FP0	este
cousas	coisas	NCFP000	coisa
tambem	também	RG	também
he	é	VSIP3S0	ser
da	da	SPS00+DA0FS0	de+o
N	nossa	DP1FSP	nosso
Constam	constituição	NCFS000	constituição
	,	Fc	,
q	que	PR0CN000	que
espero	espero	VMIP1S0	esperar
va	vá	VMSP0S0	ir
pregar	pregar	VMN0000	pregar
amanhaã	amanhã	RG	amanhã
,	.	Fp	.
estes	Estes	PD0MP000	este
são	são	VSIP3P0	ser
os	os	DA0MP0	o
sentimtos	sentimentos	NCMP000	sentimento
do	do	SPS00+DA0MS0	de+o
povo	povo	NCMS000	povo
	,	Fc	,
q	que	PR0CN000	que
nele	nele	SPS00+PP3MS000	em+ele
bom	bom	AQ0MS0	bom
efeito	efeito	NCMS000	efeito
lhe	lhe	PP3CSD00	lhe
dará	dará	VMIF3S0	dar
o	o	DA0MS0	o
agradecimto	agradecimento	NCMS000	agradecimento
	.	Fp	.
e	E	CC	e
bom	bom	AQ0MS0	bom
será	será	VSIF3S0	ser
levar	levar	VMN0000	levar
este	este	DD0MS0	este
sabonete	sabonete	NCMS000	sabonete
	,	Fc	,
q	que	CS	que
também	também	RG	também
he	é	VSIP3S0	ser
da	da	SPS00+DA0FS0	de+o
N	nossa	DP1FSP	nosso
Constam	constituição	NCFS000	constituição
	.	Fp	.
Seu	Seu	DP3MS0	seu
mto	muito	RQ	muito
venor	venerador	NCMS000	venerador
	,	Fc	,
Hum	Um	DI0MS0	um
certo	certo	AQ0MS0	certo
constitucional	Constitucional	NCMS000	constitucional
