Rmo	Reverendíssimo	AQSMS0	reverendo
sua	sua	DP3FS0	seu
pte	parte	NCFS000	parte
	,	Fc	,
pello	pelo	SPS00+DA0MS0	por+o
amor	amor	NCMS000	amor
ao	ao	SPS00+DA0MS0	a+o
Soberano	Soberano	NP00000	soberano
e	e	CC	e
pellos	pelos	SPS00+DA0MP0	por+o
Deputados	deputados	NCMP000	deputado
	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
Esperito	Espírito	NP00000	espírito
Sancto	Santo	NP00000	santo
lhes	lhes	PP3CPD00	lhe
infunda	infunda	VMSP0S0	infundar
o	o	DA0MS0	o
seo	seu	DP3MS0	seu
Dom	dom	NCMS000	dom
	,	Fc	,
e	e	CC	e
rezar	rezar	VMN0000	rezar
o	o	DA0MS0	o
tal	tal	DD0CS0	tal
Pater	Pater	X	pater
Nostes	Noster	X	noster
	.	Fp	.
e	E	CC	e
sou	sou	VSIP1S0	ser
com	com	SPS00	com
estima	estima	NCFS000	estima
Seo	seu	DP3MS0	seu
Mto	muito	RQ	muito
attento	atento	AQ0MS0	atento
amo	amigo	NCMS000	amigo
Venor	venerador	NCMS000	venerador
obrgdo	obrigado	VMP00SM	obrigar
	.	Fp	.
Estevão	Estêvão	NP00000	estêvão
Je	José	NP00000	josé
da	da	SPS00+DA0FS0	de+o
Sa	Silva	NP00000	silva
Alz	Álvares	NP00000	álvares
Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
27	27	Z	27
de	de	SPS00	de
7bro	setembro	NCMS000	setembro
de	de	SPS00	de
1821	1821	Z	1821
.	.	Fp	.
eu	Eu	PP1CSN00	eu
pertendo	pretendo	VMIP1S0	pretender
ir	ir	VMN0000	ir
ahi	aí	RG	aí
em	em	SPS00	em
8bro	outubro	NCMS000	outubro
	,	Fc	,
mas	mas	CC	mas
ir	ir	VMN0000	ir
pro	primeiro	RG	primeiro
a	a	SPS00	a
ma	minha	DP1FSS	meu
caza	casa	NCFS000	casa
	,	Fc	,
q	que	CS	que
este	este	DD0MS0	este
meo	meu	DP1MSS	meu
irmao	irmão	NCMS000	irmão
Dos	Domingos	NP00000	domingos
a	à	SPS00+DA0FS0	a+o
espera	espera	VMIP3S0	esperar
de	de	SPS00	de
mim	mim	PP1CSO00	mim
pa	para	SPS00	para
cantar	cantar	VMN0000	cantar
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
missa	missa	NCFS000	missa
	,	Fc	,
etc	etc	NCMS000	etc
	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
Falei	Falei	VMIS1S0	falar
hoje	hoje	RG	hoje
com	com	SPS00	com
o	o	DA0MS0	o
Dor	doutor	NCMS000	doutor
Borjes	Borges	NP00000	borges
	.	Fp	.
