Hoje	Hoje	RG	hoje
Corenta	quarenta	Z	quarenta
moedas	moedas	NCFP000	moeda
pa	para	SPS00	para
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
Livramto	livramento	NCMS000	livramento
	,	Fc	,
aonde	onde	PA000000	onde
Eu	eu	PP1CSN00	eu
não	não	RN	não
poço	posso	VMIP1S0	poder
de	de	SPS00	de
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
Comresponder	corresponder	VMN0000	corresponder
	,	Fc	,
mas	mas	CC	mais
se	se	P00CN000	se
me	me	PP1CS000	me
fas	faz	VMIP3S0	fazer
perzizo	preciso	AQ0MS0	preciso
Acupar	ocupar	VMN0000	ocupar
Alguns	alguns	DI0MP0	algum
Snres	senhores	NCMP000	senhor
pa	para	SPS00	para
este	este	DD0MS0	este
fim	fim	NCMS000	fim
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
espero	espero	VMIP1S0	esperar
de	de	SPS00	de
VSa	VSa	NP00000	VSa
que	que	CS	que
me	me	PP1CS000	me
faça	faça	VMSP0S0	fazer
o	o	DA0MS0	o
favor	favor	NCMS000	favor
de	de	SPS00	de
me	me	PP1CS000	me
prestar	prestar	VMN0000	prestar
20	20	Z	20
moedas	moedas	NCFP000	moeda
	.	Fp	.
he	E	CC	e
VSa	VSa	NP00000	VSa
remetera	remeterá	VMIF3S0	remeter
este	este	DD0MS0	este
dinro	dinheiro	NCMS000	dinheiro
a	a	SPS00	a
este	este	DD0MS0	este
meu	meu	DP1MSS	meu
primo	primo	NCMS000	primo
por	por	SPS00	por
Algum	algum	DI0MS0	algum
Conrespondente	correspondente	NCMS000	correspondente
	,	Fc	,
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
se	se	P00CN000	se
Chama	chama	VMIP3S0	chamar
Franco	Francisco	NP00000	francisco
Joze	José	NP00000	josé
CarapuÇa	Carapuça	NCFS000	carapuça
	.	Fp	.
isto	Isto	PD0NN000	isto
a	há	VMIP3S0	haver
de	de	SPS00	de
de	de	SPS00	de
Çer	ser	VSN0000	ser
imtregue	entregue	VMP00SM	entregar
as	às	SPS00+DA0FP0	a+o
grades	grades	NCFP000	grade
da	da	SPS00+DA0FS0	de+o
da	dita	VMP00SF	dizer
Cada	Cadeia	NP00000	cadeia
nova	Nova	NP00000	nova
da	da	SPS00+DA0FS0	de+o
Corte	Corte	NP00000	corte
deBaixo	debaixo	RG	debaixo
de	de	SPS00	de
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
sagredo	segredo	NCMS000	segredo
	.	Fp	.
sem	Sem	SPS00	sem
novide	novidade	NCFS000	novidade
Alguma	alguma	DI0FS0	algum
	,	Fc	,
este	este	DD0MS0	este
denro	dinheiro	NCMS000	dinheiro
a	há	VMIP3S0	haver
de	de	SPS00	de
de	de	SPS00	de
estar	estar	VMN0000	estar
emtregue	entregue	VMP0000	entregar
athe	até	SPS00	até
o	ao	SPS00+DA0MS0	a+o
dia	dia	NCMS000	dia
des	dez	Z	dez
do	do	SPS00+DA0MS0	de+o
mes	mês	NCMS000	mês
de	de	SPS00	de
nobro	novembro	NCMS000	novembro
	.	Fp	.
he	E	CC	e
	,	Fc	,
pa	para	SPS00	para
governo	governo	NCMS000	governo
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	,	Fc	,
ahi	aí	RG	aí
lhe	lhe	PP3CSD00	lhe
Remeto	remeto	VMIP1S0	remeter
hum	um	DI0MS0	um
sinaL	sinal	NCMS000	sinal
e	e	CC	e
outro	outro	PI0MS000	outro
o	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
primo	primo	NCMS000	primo
pa	para	SPS00	para
	,	Fc	,
Condo	quando	CS	quando
VSa	VSa	NP00000	VSa
mandar	mandar	VMN0000	mandar
emtregar	entregar	VMN0000	entregar
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
Contia	quantia	NCFS000	quantia
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
dara	dará	VMIF3S0	dar
o	o	DA0MS0	o
sinaL	sinal	NCMS000	sinal
ermão	irmão	AQ0MS0	irmão
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
paçara	passará	VMIF3S0	passar
hum	um	DI0MS0	um
ReÇibo	recibo	NCMS000	recibo
	,	Fc	,
q	que	CS	que
Eu	eu	PP1CSN00	eu
este	este	DD0MS0	este
dinro	dinheiro	NCMS000	dinheiro
lhe	lhe	PP3CSD00	lhe
hei	hei	VMIP1S0	haver
de	de	SPS00	de
Eu	eu	PP1CSN00	eu
pagar	pagar	VMN0000	pagar
pa	para	SPS00	para
o	o	DA0MS0	o
Reis	Reis	NP00000	reis
	.	Fp	.
e	E	CC	e
VSa	VSa	NP00000	VSa
me	me	PP1CS000	me
a	há	VMIP3S0	haver
de	de	SPS00	de
amostrar	mostrar	VMN0000	mostrar
os	os	DA0MP0	o
mmo	mesmo	AQ0MS0	mesmo
sinais	sinais	NCMP000	sinais
e	e	CC	e
u	o	DA0MS0	o
Reçibo	recibo	NCMS000	recibo
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
a	há	VMIP3S0	haver
de	de	SPS00	de
emtregar	entregar	VMN0000	entregar
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
primo	primo	NCMS000	primo
	.	Fp	.
he	E	CC	e
	,	Fc	,
Comrespondendo	correspondendo	VMG0000	corresponder
VSa	VSa	NP00000	VSa
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
deCaLarada	declarada	VMP00SF	declarar
	,	Fc	,
sempre	sempre	RG	sempre
Çera	será	VSIF3S0	ser
Respeitado	respeitado	VMP00SM	respeitar
he	e	CC	e
tudo	tudo	PI0NN000	tudo
Coanto	quanto	PR0CN000	quanto
for	for	VMSF0S0	ir
da	da	SPS00+DA0FS0	de+o
peçoa	pessoa	NCFS000	pessoa
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	.	Fp	.
Eu	Eu	PP1CSN00	eu
sempre	sempre	RG	sempre
ficarei	ficarei	VMIF1S0	ficar
pronto	pronto	AQ0MS0	pronto
e	e	CC	e
mais	mais	CC	mais
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
Camaradas	camaradas	NCMP000	camarada
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
Conto	quanto	PA000000	quanto
VSa	VSa	NP00000	VSa
detriminar	determinar	VMN0000	determinar
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
VSa	VSa	NP00000	VSa
se	se	P00CN000	se
me	me	PP1CS000	me
faltar	faltar	VMN0000	faltar
	,	Fc	,
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
quinta	quinta	NCFS000	quinta
das	das	SPS00+DA0FP0	de+o
cazas	Casas	NP00000	casa
novas	Novas	NP00000	nova
sera	será	VSIF3S0	ser
feita	feita	VMP00SF	fazer
em	em	SPS00	em
zinza	cinza	NCFS000	cinza
he	e	CC	e
VSa	VSa	NP00000	VSa
perdera	perderá	VMIF3S0	perder
a	a	DA0FS0	o
Vida	vida	NCFS000	vida
	,	Fc	,
q	que	CS	que
Eu	eu	PP1CSN00	eu
Ja	já	RG	já
estive	estive	VMIS1S0	estar
pa	para	SPS00	para
La	lá	RG	lá
hir	ir	VMN0000	ir
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
huma	uma	DI0FS0	um
Vezita	visita	NCFS000	visita
Condo	quando	PA000000	quando
VSa	VSa	NP00000	VSa
estava	estava	VMII0S0	estar
na	na	SPS00+DA0FS0	em+o
quinta	quinta	NCFS000	quinta
	,	Fc	,
he	e	CC	e
mmo	mesmo	RG	mesmo
a	à	SPS00+DA0FS0	a+o
Caza	casa	NCFS000	casa
de	de	SPS00	de
VSa	VSa	NP00000	VSa
hirii	irei	VMIF1S0	ir
mais	mais	CC	mais
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
Camaradas	camaradas	NCMP000	camarada
a	a	SPS00	a
fazermos	fazermos	VMN01P0	fazer
o	o	DA0MS0	o
istrago	estrago	NCMS000	estrago
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
apeteçer	apetecer	VMN0000	apetecer
he	e	CC	e
a	a	SPS00	a
paçar	passar	VMN0000	passar
tudo	tudo	PI0NN000	tudo
a	a	SPS00	a
fogo	fogo	NCMS000	fogo
	,	Fc	,
q	que	CS	que
a	a	SPS00	a
mim	mim	PP1CSO00	mim
a	a	DA0FS0	o
villa	vila	NCFS000	vila
não	não	RN	não
se	se	P00CN000	se
Me	me	PP1CS000	me
poi	põe	VMIP3S0	pôr
por	por	SPS00	por
deante	diante	RG	diante
	.	Fp	.
isto	Isto	PD0NN000	isto
he	é	VSIP3S0	ser
não	não	RN	não
sendo	sendo	VSG0000	ser
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
primo	primo	NCMS000	primo
emtregue	entregue	VMP00SM	entregar
desta	desta	SPS00+DD0FS0	de+este
Contia	quantia	NCFS000	quantia
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
mándo	mando	VMIP1S0	mandar
pedir	pedir	VMN0000	pedir
	,	Fc	,
q	que	CS	que
Eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
Juro	juro	VMIP1S0	jurar
por	por	SPS00	por
estas	estas	DD0FP0	este
Cruzes	cruzes	NCFP000	cruz
	,	Fc	,
se	se	CS	se
me	me	PP1CS000	me
faltar	faltar	VMN0000	faltar
	,	Fc	,
q	que	CS	que
poco	pouco	DI0MS0	pouco
tempo	tempo	NCMS000	tempo
a	há	VMIP3S0	haver
de	de	SPS00	de
ViVer	viver	VMN0000	viver
	.	Fp	.
Comforme	Conforme	CS	conforme
Vai	vai	VMIP3S0	ir
este	este	DD0MS0	este
Coração	coração	NCMS000	coração
	,	Fc	,
aSim	assim	RG	assim
se	se	P00CN000	se
lhe	lhe	PP3CSD00	lhe
a	há	VMIP3S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
o	ao	SPS00+DA0MS0	a+o
de	de	SPS00	de
VSa	VSa	NP00000	VSa
	.	Fp	.
asim	Assim	RG	assim
q	que	CS	que
Logo	logo	RG	logo
aReÇeba	receba	VMSP0S0	receber
esta	esta	PD0FS000	este
	,	Fc	,
espero	espero	VMIP1S0	esperar
q	que	CS	que
VSa	VSa	NP00000	VSa
mande	mande	VMSP0S0	mandar
Resposta	resposta	NCFS000	resposta
o	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
primo	primo	NCMS000	primo
na	na	SPS00+DA0FS0	em+o
cada	Cadeia	NP00000	cadeia
nova	Nova	NP00000	nova
da	da	SPS00+DA0FS0	de+o
Corte	Corte	NP00000	corte
pa	para	SPS00	para
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
parteçipar	participar	VMN0000	participar
de	de	SPS00	de
a	a	DA0FS0	o
Comrespondença	correspondência	NCFS000	correspondência
q	que	PR0CN000	que
VSa	VSa	NP00000	VSa
tem	tem	VMIP3S0	ter
pa	para	SPS00	para
Eu	eu	PP1CSN00	eu
saber	saber	VMN0000	saber
o	o	DA0MS0	o
q	que	PR0CN000	que
hei	hei	VMIP1S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	,	Fc	,
q	que	CS	que
Eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
escrevo	escrevo	VMIP1S0	escrever
pa	para	SPS00	para
saber	saber	VMN0000	saber
de	de	SPS00	de
qm	quem	PR0CN000	quem
a	há	VMIP3S0	haver
de	de	SPS00	de
aReçeber	receber	VMN0000	receber
o	o	DA0MS0	o
dinro	dinheiro	NCMS000	dinheiro
	.	Fp	.
não	Não	RN	não
lhe	lhe	PP3CSD00	lhe
digo	digo	VMIP1S0	dizer
mais	mais	RC	mais
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
fara	fará	VMIF3S0	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
bem	bem	RG	bem
lhe	lhe	PP3CSD00	lhe
parÇer	parecer	VMN0000	parecer
	.	Fp	.
o	Ao	SPS00+DA0MS0	a+o
despois	depois	RG	depois
	,	Fc	,
não	não	RN	não
se	se	P00CN000	se
quixe	queixe	VMSP0S0	queixar
Com	com	SPS00	com
isto	isto	PD0NN000	isto
	.	Fp	.
aDs	Adeus	I	adeus
	,	Fc	,
athe	até	SPS00	até
Vista	vista	NCFS000	vista
	.	Fp	.
Deste	Deste	SPS00+DD0MS0	de+este
seu	seu	DP3MS0	seu
Cro	criado	NCMS000	criado
	,	Fc	,
Anto	António	NP00000	antónio
Chuço	Chuço	NP00000	chuço
	,	Fc	,
q	que	CS	que
sempre	sempre	RG	sempre
he	e	CC	e
a	há	VMIP3S0	haver
de	de	SPS00	de
çer	ser	VSN0000	ser
olhe	olhe	VMSP0S0	olhar
morte	morte	NCFS000	morte
capitão	capitão	NCMS000	capitão
de	de	SPS00	de
huma	uma	DI0FS0	um
compania	companhia	NCFS000	companhia
de	de	SPS00	de
Corenta	quarenta	Z	quarenta
Camaradas	camaradas	NCMP000	camarada
	.	Fp	.
Snr	Senhor	NP00000	senhor
	,	Fc	,
Remetera	remeterá	VMIF3S0	remeter
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
Contia	quantia	NCFS000	quantia
o	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
primo	primo	NCMS000	primo
prezo	preso	AQ0MSP	preso
na	na	SPS00+DA0FS0	em+o
Cada	Cadeia	NP00000	cadeia
nova	Nova	NP00000	nova
da	da	SPS00+DA0FS0	de+o
Corte	Corte	NP00000	corte
chamado	chamado	VMP00SM	chamar
Franco	Franciso	NP00000	Franciso
Joze	José	NP00000	josé
Corapuça	Carapuça	NCFS000	carapuça
	.	Fp	.
