Serenissimo	Sereníssimo	AQSMS0	sereno
Bento	Bento	NP00000	bento
	,	Fc	,
em	em	SPS00	em
quem	quem	PR0CN000	quem
me	me	PP1CS000	me
tinha	tinha	VAIP3S0	ter
faldo	falado	VMP0000	falar
,	,	Fc	,
para	para	SPS00	para
q	que	CS	que
não	não	RN	não
apparecesse	aparecesse	VMSI0S0	aparecer
aquella	aquela	DD0FS0	aquele
noute	noite	NCFS000	noite
,	,	Fc	,
mas	mas	CC	mais
sim	sim	RG	sim
na	na	SPS00+DA0FS0	em+o
do	do	SPS00+DA0MS0	de+o
dia	dia	NCMS000	dia
quinze	quinze	Z	quinze
.	.	Fp	.
Passei	Passei	VMIS1S0	passar
então	então	RG	então
a	a	SPS00	a
fallar	falar	VMN0000	falar
com	com	SPS00	com
alguma	alguma	DI0FS0	algum
subtileza	subtileza	NCFS000	subtileza
sobre	sobre	SPS00	sobre
os	os	DA0MP0	o
Conspiradores	conspiradores	NCMP000	conspirador
dizendo	dizendo	VMG0000	dizer
q	que	CS	que
havia	havia	VMII0S0	haver
muita	muita	DI0FS0	muito
gente	gente	NCFS000	gente
q	que	PR0CN000	que
já	já	RG	já
sabia	sabia	VMII0S0	saber
q	que	CS	que
breve	breve	RG	breve
havia	havia	VMII0S0	haver
huma	uma	DI0FS0	um
Revolução	revolução	NCFS000	revolução
em	em	SPS00	em
Lisboa	Lisboa	NP00000	lisboa
e	e	CC	e
q	que	CS	que
se	se	P00CN000	se
fallava	falava	VMII0S0	falar
q	que	CS	que
entravão	entravam	VMII3P0	entrar
nella	nela	SPS00+PP3FS000	em+ele
o	o	DA0MS0	o
Capitão	capitão	NCMS000	capitão
de	de	SPS00	de
Milicias	milícias	NCFP000	milícia
Amóra	Amora	NP00000	amora
,	,	Fc	,
o	o	DA0MS0	o
Capitão	capitão	NCMS000	capitão
Prátas	Pratas	NP00000	pratas
de	de	SPS00	de
Cavallaria	cavalaria	NCFS000	cavalaria
de	de	SPS00	de
Policia	polícia	NCFS000	polícia
,	,	Fc	,
hum	um	DI0MS0	um
Chefe	Chefe	NCMS000	chefe
de	de	SPS00	de
Divisão	Divisão	NCFS000	divisão
,	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
Apenas	Apenas	RG	apenas
acabei	acabei	VMIS1P0	acabar
de	de	SPS00	de
pronunciar	pronunciar	VMN0000	pronunciar
o	o	DA0MS0	o
nome	nome	NCMS000	nome
das	das	SPS00+DA0FP0	de+o
Pessoas	pessoas	NCFP000	pessoa
de	de	SPS00	de
quem	quem	PR0CN000	quem
eu	eu	PP1CSN00	eu
desconfiava	desconfiava	VMII0S0	desconfiar
,	,	Fc	,
Sandoval	Sandoval	NP00000	sandoval
	,	Fc	,
persuadido	persuadido	VMP00SM	persuadir
ser	ser	VSN0000	ser
verdade	verdade	NCFS000	verdade
o	o	DA0MS0	o
q	que	PR0CN000	que
acabara	acabara	VMIM0S0	acabar
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
dizer	dizer	VMN0000	dizer
,	,	Fc	,
exclamou	exclamou	VMIS3S0	exclamar
exasperado	exasperado	VMP00SM	exasperar
,	:	Fd	:
«	«	Fra	«
Não	Não	RN	não
ha	há	VMIP3S0	haver
leviandade	leviandade	NCFS000	leviandade
semelhante	semelhante	AQ0CS0	semelhante
!	!	Fp	!
Se	Se	CS	se
este	este	DD0MS0	este
negocio	negócio	NCMS000	negócio
se	se	CS	se
vai	vai	VMIP3S0	ir
divulgando	divulgando	VMG0000	divulgar
,	,	Fc	,
nada	nada	PI0NN00N	nada
faremos	faremos	VMIF1P0	fazer
!	!	Fp	!
Esta	Esta	DD0FS0	este
noute	noite	NCFS000	noite
vou	vou	VMIP1S0	ir
já	já	RG	já
fallar	falar	VMN0000	falar
com	com	SPS00	com
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
Amigos	amigos	NCMP000	amigo
e	e	CC	e
vêr	ver	VMN0000	ver
como	como	SPS00	como
isso	isso	PD0NN000	isso
he	é	VSIP3S0	ser
.	.	Fp	.
»	»	Frt	»
Passou	Passou	VMIS3S0	passar
depois	depois	RG	depois
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
mil	mil	Z	mil
reflexões	reflexões	NCFP000	reflexão
ácerca	acerca	RG	acerca
do	do	SPS00+DA0MS0	de+o
segredo	segredo	NCMS000	segredo
q	que	PR0CN000	que
exigïa	exigia	VMII0S0	exigir
semelhante	semelhante	AQ0CS0	semelhante
negocio	negócio	NCMS000	negócio
,	,	Fc	,
dizendo-me	dizendo-me	VMG0000+PP1CS000	dizer+me
q	que	CS	que
taes	tais	AQ0CP0	tais
cousas	coisas	NCFP000	coisa
se	se	CS	se
não	não	RN	não
fiavão	fiavam	VMII3P0	fiar
de	de	SPS00	de
ninguem	ninguém	PI0NN00N	ninguém
.	.	Fp	.
Perguntei	Perguntei	VMIS1S0	perguntar
a	a	SPS00	a
Sandoval	Sandoval	NP00000	sandoval
se	se	CS	se
entre	entre	SPS00	entre
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
socios	sócios	NCMP000	sócio
havia	havia	VMII0S0	haver
Officiaes	oficiais	NCMP000	oficial
Generaes	generais	AQ0MP0	general
,	.	Fp	.
respondeo-me	Respondeu-me	VMIS3S0+PP1CS000	responder+me
q	que	CS	que
sim	sim	RG	sim
;	.	Fp	.
e	E	CC	e
fallando	falando	VMG0000	falar
depois	depois	RG	depois
de	de	SPS00	de
individuos	indivíduos	NCMP000	indivíduo
descontentes	descontentes	AQ0CP0	descontente
com	com	SPS00	com
o	o	DA0MS0	o
actual	atual	AQ0CS0	atual
Governo	governo	NCMS000	governo
,	,	Fc	,
nomeou	nomeou	VMIS3S0	nomear
o	o	DA0MS0	o
Chefe	chefe	NCMS000	chefe
de	de	SPS00	de
Divisão	divisão	NCFS000	divisão
Garção	Garção	NP00000	garção
;	,	Fc	,
o	o	DA0MS0	o
General	General	NP00000	general
Stubes	Stubbes	NP00000	stubbes
e	e	CC	e
o	o	DA0MS0	o
Brigadeiro	Brigadeiro	NCMS000	brigadeiro
Francisco	Francisco	NP00000	francisco
de	de	SPS00	de
Paula	Paula	NP00000	paula
Azevedo	Azevedo	NP00000	azevedo
;	,	Fc	,
asseverando-me	asseverando-me	VMG0000+PP1CS000	asseverando-me
q	que	CS	que
todos	todos	PI0MP000	todo
erão	eram	VSII3P0	ser
Maçons	maçons	NCMP000	maçom
.	.	Fp	.
Perguntei	Perguntei	VMIS1S0	perguntar
a	a	SPS00	a
Sandoval	Sandoval	NP00000	sandoval
se	se	CS	se
estes	estes	DD0MP0	este
Individuos	indivíduos	NCMP000	indivíduo
entravão	entravam	VMII3P0	entrar
na	na	SPS00+DA0FS0	em+o
Conspiração	conspiração	NCFS000	conspiração
,	.	Fp	.
respondeo-me	Respondeu-me	VMIS3S0+PP1CS000	responder+me
q	que	CS	que
julgava	julgava	VMII0S0	julgar
q	que	CS	que
sim	sim	RG	sim
.	.	Fp	.
Offereci	Ofereci	VMIS1S0	oferecer
a	a	DA0FS0	o
casa	casa	NCFS000	casa
de	de	SPS00	de
minha	minha	DP1FSS	meu
habitação	habitação	NCFS000	habitação
para	para	SPS00	para
fazerem	fazerem	VMII3P0	fazer
suas	suas	DP3FP0	seu
Conferencias	conferências	NCFP000	conferência
,	,	Fc	,
e	e	CC	e
Sandoval	Sandoval	NP00000	sandoval
não	não	RN	não
mostrou	mostrou	VMIS3S0	mostrar
desagradar-lhe	desagradar-lhe	VMIS3S0	mostrar
a	a	DA0FS0	o
offerta	oferta	NCFS000	oferta
,	.	Fp	.
e	E	CC	e
hindo	indo	VMG0000	ir
marcar	marcar	VMN0000	marcar
hum	um	DI0MS0	um
papel	papel	NCMS000	papel
com	com	SPS00	com
hum	um	DI0MS0	um
sinete	sinete	NCMS000	sinete
,	,	Fc	,
mo	mo	PP1CS000+PP3MSA00	me+o
deo	deu	VMIS3S0	dar
e	e	CC	e
disse	disse	VMIS3S0	dizer
,	:	Fd	:
«	«	Fra	«
se	Se	CS	se
fôr	for	VMSF0S0	ir
necessario	necessário	AQ0MS0	necessário
fazermos	fazermos	VMN01P0	fazer
em	em	SPS00	em
sua	sua	DP3FS0	seu
casa	casa	NCFS000	casa
alguma	alguma	DI0FS0	algum
Sessão	sessão	NCFS000	sessão
,	,	Fc	,
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
socios	sócios	NCMP000	sócio
lhe	lhe	PP3CSD00	lhe
apresentarão	apresentarão	VMIF3P0	apresentar
hum	um	DI0MS0	um
signal	sinal	NCMS000	sinal
igual	igual	AQ0CS0	igual
a	a	SPS00	a
este	este	PD0MS000	este
»	»	Frt	»
(	(	Fc	(
q	que	PR0CN000	que
remetto	remeto	VMIP1S0	remeter
junto	junto	RG	junto
a	a	SPS00	a
esta	esta	DD0FS0	este
Participação	participação	NCFS000	participação
)	)	Fbt	)
.	.	Fp	.
Voltei	Voltei	VMIS1S0	voltar
hoje	hoje	RG	hoje
outra	outra	DI0FS0	outro
vez	vez	NCFS000	vez
a	a	SPS00	a
casa	casa	NCFS000	casa
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
mas	mas	CC	mais
nada	nada	PI0NN00N	nada
pude	pude	VMIS1S0	poder
adiantar	adiantar	VMN0000	adiantar
sobre	sobre	SPS00	sobre
este	este	DD0MS0	este
objecto	objeto	NCMS000	objeto
.	.	Fp	.
Á	À	SPS00+DA0FS0	a+o
vista	vista	NCFS000	vista
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
deixo	deixo	VMIP1S0	deixar
dito	dito	VMP00SM	dizer
,	,	Fc	,
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
Determinará	determinará	VMIF3S0	determinar
quaes	quais	PR0CP000	qual
são	são	VSIP3P0	ser
as	as	DA0FP0	o
providencias	providências	NCFP000	providência
q	que	PR0CN000	que
se	se	P00CN000	se
devem	devem	VMIP3P0	dever
dar	dar	VMN0000	dar
em	em	SPS00	em
caso	caso	NCMS000	caso
tão	tão	RC	tão
melindroso	melindroso	AQ0MS0	melindroso
e	e	CC	e
arriscado	arriscado	VMP00SM	arriscar
;	,	Fc	,
pois	pois	CS	pois
julgo	julgo	VMIP1S0	julgar
ser	ser	VSN0000	ser
da	da	SPS00+DA0FS0	de+o
maior	maior	AQ0CS0	maior
necessidade	necessidade	NCFS000	necessidade
capturar	capturar	VMN0000	capturar
os	os	DA0MP0	o
Individuos	indivíduos	NCMP000	indivíduo
mencionados	mencionados	VMP00PM	mencionar
nas	nas	SPS00+DA0FP0	em+o
minhas	minhas	DP1FPS	meu
Participações	participações	NCFP000	participação
,	,	Fc	,
visto	visto	VMP00SM	ver
não	não	RN	não
ter	ter	VMN0000	ter
já	já	RG	já
esperança	esperança	NCFS000	esperança
alguma	alguma	DI0FS0	algum
de	de	SPS00	de
obter	obter	VMN0000	obter
mais	mais	RC	mais
esclarecimentos	esclarecimentos	NCMP000	esclarecimento
de	de	SPS00	de
Candido	Cândido	NP00000	cândido
d'	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Sandoval	Sandoval	NP00000	sandoval
.	.	Fp	.
Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
16	16	Z	16
de	de	SPS00	de
Setembro	setembro	NCMS000	setembro
de	de	SPS00	de
1823	1823	Z	1823
.	.	Fp	.
Sou	Sou	VSIP1S0	ser
	,	Fc	,
com	com	SPS00	com
a	a	DA0FS0	o
maior	maior	AQ0CS0	maior
veneração	veneração	NCFS000	veneração
	,	Fc	,
De	de	SPS00	de
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
Humilde	humilde	AQ0CS0	humilde
e	e	CC	e
fiel	fiel	AQ0CS0	fiel
Subdito	súbdito	NCMS000	súbdito
	,	Fc	,
Joaquim	Joaquim	NP00000	joaquim
Maria	Maria	NP00000	maria
Torres	Torres	NP00000	torres
