Mano	Mano		
dois	dois	Z	dois
Annos	anos	NCMP000	ano
.	.	Fp	.
O	O	DA0MS0	o
tal	tal	DD0CS0	tal
q	que	PR0CN000	que
La	lá	RG	lá
O	o	PP3MSA00	o
meteo	meteu	VMIS3S0	meter
não	não	RN	não
teve	teve	VMIS3S0	ter
senão	senão	CC	senão
tres	três	Z	três
dias	dias	NCMP000	dia
Libradade	liberdade	NCFS000	liberdade
	.	Fp	.
Esta	Está	VMIP3S0	estar
La	lá	RG	lá
Com	com	SPS00	com
toda	toda	DI0FS0	todo
serteza	certeza	NCFS000	certeza
	.	Fp	.
fas lhe	Faz-lhe	VMM02S0+PP3CSD00	fazer+lhe
toda	toda	DI0FS0	todo
deLigencia	diligência	NCFS000	diligência
	.	Fp	.
quando	Quando	CS	quando
La	lá	RG	lá
o	o	PP3MSA00	o
meteo	meteu	VMIS3S0	meter
	,	Fc	,
ainda	ainda	RG	ainda
o	o	DA0MS0	o
monte	Monte	NP00000	monte
não	não	RN	não
Estava	estava	VMII0S0	estar
aCabado	acabado	VMP00SM	acabar
,	.	Fp	.
isto	Isto	PD0NN000	isto
he	é	VSIP3S0	ser
Antre	entre	SPS00	entre
Alter	Alter	NP00000	alter
e	e	CC	e
bonaVila	Benavila	NP00000	benavila
	.	Fp	.
a	A	DA0FS0	o
parede	parede	NCFS000	o
deve	deve	VMIP3S0	dever
estar	estar	VMN0000	estar
Munto	muito	RQ	muito
moLe	mole	AQ0CS0	mole
por	por	SPS00	por
ser	ser	VSN0000	ser
feita	feita	VMP00SF	fazer
de	de	SPS00	de
pouCo	pouco	DI0MS0	pouco
tenpo	tempo	NCMS000	tempo
	.	Fp	.
asim	Assim	RG	assim
	,	Fc	,
toma	toma	VMM02S0	,
bem	bem	RG	bem
sentido	sentido	NCMS000	sentido
	!	Fa	!
he	É	VSIP3S0	ser
na	na	SPS00+DA0FS0	em+o
parede	parede	NCFS000	parede
do	do	SPS00+DA0MS0	de+o
norte	norte	NCMS000	norte
,	,	Fc	,
mas	mas	CC	mas
mesmo	mesmo	RF	mesmo
ao	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
da	da	SPS00+DA0FS0	de+o
Esquina	esquina	NCFS000	esquina
da	da	SPS00+DA0FS0	de+o
parede	parede	NCFS000	parede
das	das	SPS00+DA0FP0	de+o
Cueras	cueiras	NCFS000	cueira
	,	Fc	,
desviado	desviado	VMP00SM	desviar
hum	um	DI0MS0	um
palmo	palmo	NCMS000	palmo
Cresido	crescido	VMP00SM	crescer
da	da	SPS00+DA0FS0	de+o
esquina	esquina	NCFS000	esquina
	,	Fc	,
Levantado	levantado	VMP00SM	levantar
do	do	SPS00+DA0MS0	de+o
chão	chão	NCMS000	chão
dois	dois	Z	dois
palmos	palmos	NCMP000	palmo
e	e	CC	e
Coatro	quatro	Z	quatro
dedos	dedos	NCMP000	dedo
.	.	Fp	.
Vai	Vai	VMM02S0	ir
com	com	SPS00	com
toda	toda	DI0FS0	todo
borbidade	brevidade	NCFS000	brevidade
	.	Fp	.
