Serenisso	Sereníssimo	AQSMS0	sereno
Nada	Nada	PI0NN00N	nada
importa	importa	VMIP3S0	importar
,	,	Fc	,
me	me	PP1CS000	me
tornou	tornou	VMIS3S0	tornar
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
o	o	DA0MS0	o
Partido	partido	NCMS000	partido
Realista	realista	AQ0CS0	realista
he	é	VSIP3S0	ser
mui	muito	RQ	muito
pequeno	pequeno	AQ0MS0	pequeno
e	e	CC	e
aquellas	aquelas	DD0FP0	aquele
Pessoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
temêrmos	temermos	VMSF1P0	temer
serão	serão	VSIF3P0	ser
rapidamente	rapidamente	RG	rapidamente
abafadas	abafadas	VMP00PF	abafar
para	para	SPS00	para
se	se	CS	se
não	não	RN	não
oppõrem	oporem	VMN01P0	opor
aos	aos	SPS00+DA0MP0	a+o
progressos	progressos	NCMP000	progresso
da	da	SPS00+DA0FS0	de+o
Revolução	revolução	NCFS000	revolução
.	.	Fp	.
Alêm	Além	RG	além
disto	disto	SPS00+PD0NN000	de+este
,	,	Fc	,
estamos	estamos	VMIP1P0	estar
apoiados	apoiados	VMP00PM	apoiar
pelos	pelos	SPS00+DA0MP0	por+o
Hespanhoes	espanhóis	NCMP000	espanhol
:	.	Fp	.
ha	Há	VMIP3S0	haver
pouco	pouco	NCMS000	pouco
chegou	chegou	VMIS3S0	chegar
aqui	aqui	RG	aqui
a	a	SPS00	a
Lisboa	Lisboa	NP00000	lisboa
uma	uma	DI0FS0	um
Senhora	senhora	NCFS000	senhor
Hespanhola	espanhola	AQ0FS0	espanhol
vinda	vinda	NCFS000	vinda
de	de	SPS00	de
Bada«joz	Badajoz	NP00000	Badajoz
a	a	DA0FS0	o
qual	qual	PR0CN000	qual
serve	serve	VMIP3S0	servir
de	de	SPS00	de
Emissario	emissário	NCMS000	emissário
para	para	SPS00	para
as	as	DA0FP0	o
relações	relações	NCFP000	relação
q	que	PR0CN000	que
ha	há	VMIP3S0	haver
entre	entre	SPS00	entre
os	os	DA0MP0	o
Liberaes	liberais	NCMP000	liberal
de	de	SPS00	de
Hespanha	Espanha	NP00000	espanha
e	e	CC	e
Portugal	Portugal	NP00000	portugal
.	.	Fp	.
Meu	Meu	DP1MSS	meu
amigo	amigo	NCMS000	amigo
,	,	Fc	,
continuou	continuou	VMIS3S0	continuar
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
não	não	RN	não
ha	há	VMIP3S0	haver
remedio	remédio	NCMS000	remédio
senão	senão	CC	senão
tomarem-se	tomarem-se	VMSF3P0+P00CN000	tomar+se
as	as	DA0FP0	o
medidas	medidas	NCFP000	medida
mais	mais	CC	mais
barbaras	bárbaras	AQ0FP0	bárbaro
,	,	Fc	,
visto	visto	VMP00SM	ver
q	que	CS	que
o	o	DA0MS0	o
despotico	despótico	AQ0MS0	despótico
Governo	governo	NCMS000	governo
tão	tão	RC	tão
barbaro	bárbaro	AQ0MS0	bárbaro
he	é	VSIP3S0	ser
comnôsco	connosco	SPS00+PP1CPO00	com+nós
.	.	Fp	.
»	»	Frt	»
Acabada	Acabada	VMP00SF	acabar
q	que	PR0CN000	que
foi	foi	VMIS3S0	ir
a	a	DA0FS0	o
narração	narração	NCFS000	narração
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
fiz	fiz	VMIS1S0	fazer
alguma	alguma	DI0FS0	algum
diligencia	diligência	NCFS000	diligência
por	por	SPS00	por
saber	saber	VMN0000	saber
quem	quem	PR0CN000	quem
era	era	VSII0S0	ser
o	o	DA0MS0	o
Figurão	figurão	NCMS000	figurão
com	com	SPS00	com
quem	quem	PR0CN000	quem
hontem	ontem	RG	ontem
tinha	tinha	VAII0S0	ter
fallado	falado	VMP0000	falar
,	,	Fc	,
mas	mas	CC	mais
Sandoval	Sandoval	NP00000	sandoval
não	não	RN	não
mo	mo	PP1CS000+PP3MSA00	me+o
descobrio	descobriu	VMIS3S0	descobrir
.	.	Fp	.
Perguntei-lhe	Perguntei-lhe	VMIS1S0+PP3CSD00	perguntar+lhe
se	se	CS	se
alguem	alguém	PI0NN000	alguém
tinha	tinha	VAII0S0	ter
já	já	RG	já
dado	dado	VMP00SM	dar
juramento	juramento	NCMS000	juramento
,	.	Fp	.
tive	Tive	VMIS1S0	ter
em	em	SPS00	em
resposta	resposta	NCFS000	resposta
q	que	CS	que
não	não	RN	não
convinha	convinha	VMII0S0	convir
esta	esta	DD0FS0	este
formalidade	formalidade	NCFS000	formalidade
porq	porque	CS	porque
os	os	DA0MP0	o
socios	sócios	NCMP000	sócio
não	não	RN	não
se	se	P00CN000	se
devião	deviam	VMII3P0	dever
conhecer	conhecer	VMN0000	conhecer
huns	uns	DI0MP0	um
aos	aos	SPS00+DA0MP0	a+o
outros	outros	DI0MP0	outro
;	,	Fc	,
pois	pois	CS	pois
se	se	CS	se
por	por	SPS00	por
desgraça	desgraça	NCFS000	desgraça
alguns	alguns	DI0MP0	algum
se	se	CS	se
descobrissem	descobrissem	VMSI3P0	descobrir
,	,	Fc	,
não	não	RN	não
se	se	P00CN000	se
perderem	perderem	VMII3P0	perder
todos	todos	DI0MP0	todo
.	.	Fp	.
Notei	Notei	VMIS1S0	notar
em	em	SPS00	em
Sandoval	Sandoval	NP00000	sandoval
grande	grande	AQ0CS0	grande
alegria	alegria	NCFS000	alegria
,	,	Fc	,
e	e	CC	e
não	não	RN	não
se	se	P00CN000	se
fartava	fartava	VMII0S0	fartar
de	de	SPS00	de
me	me	PP1CS000	me
repetir	repetir	VMN0000	repetir
que	que	CS	que
o	o	DA0MS0	o
Plano	plano	NCMS000	plano
não	não	RN	não
podia	podia	VMII0S0	poder
falhar	falhar	VMN0000	falhar
porque	porque	CS	porque
tinhamos	tínhamos	VMII1P0	ter
muita	muita	DI0FS0	muito
gente	gente	NCFS000	gente
.	.	Fp	.
Eis	Eis	RG	eis
exactamente	exatamente	RG	exatamente
quanto	quanto	CS	quanto
sobre	sobre	SPS00	sobre
tal	tal	RC	tal
objecto	objeto	NCMS000	objeto
tem	tem	VMIP3S0	ter
chegado	chegado	VMP00SM	chegar
ao	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
conhecimento	conhecimento	NCMS000	conhecimento
e	e	CC	e
o	o	DA0MS0	o
q	que	PR0CN000	que
sem	sem	SPS00	sem
a	a	DA0FS0	o
menor	menor	AQ0CS0	menor
alteração	alteração	NCFS000	alteração
tenho	tenho	VMIP1S0	ter
a	a	SPS00	a
mui	muito	RQ	muito
destincta	distinta	AQ0FS0	distinto
honra	honra	NCFS000	honra
de	de	SPS00	de
pôr	pôr	VMN0000	pôr
na	na	SPS00+DA0FS0	em+o
presença	presença	NCFS000	presença
de	de	SPS00	de
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
.	.	Fp	.
Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
10	10	Z	10
de	de	SPS00	de
Setembro	setembro	NCMS000	setembro
de	de	SPS00	de
1823	1823	Z	1823
.	.	Fp	.
Sou	Sou	VSIP1S0	ser
com	com	SPS00	com
o	o	DA0MS0	o
maior	maior	AQ0CS0	maior
respeito	respeito	NCMS000	respeito
de	de	SPS00	de
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
Humilde	humilde	AQ0CS0	humilde
e	e	CC	e
fiel	fiel	AQ0CS0	fiel
subdito	súbdito	NCMS000	súbdito
Joaquim	Joaquim	NP00000	joaquim
Maria	Maria	NP00000	maria
Torres	Torres	NP00000	torres
