Exmo	Excelentíssimo	AQSMS0	excelente
de	de	SPS00	de
q	que	PR0CN000	que
ja	já	RG	já
imprimio	imprimiu	VMIS3S0	imprimir
hum	um	DI0MS0	um
volume	volume	NCMS000	volume
:	.	Fp	.
trata	Trata	VMIP3S0	tratar
este	este	DD0MS0	este
	,	Fc	,
alem	além	RG	além
da	da	SPS00+DA0FS0	de+o
descripsão	descrição	NCFS000	descrição
fisica	física	NCFS000	física
do	do	SPS00+DA0MS0	de+o
paiz	país	NCMS000	país
	,	Fc	,
de	de	SPS00	de
hua	uma	DI0FS0	um
relação	relação	NCFS000	relação
dos	dos	SPS00+DA0MP0	de+o
costumes	costumes	NCMP000	costume
da	da	SPS00+DA0FS0	de+o
nação	nação	NCFS000	nação
portugueza	portuguesa	AQ0FS0	português
,	,	Fc	,
a	a	SPS00	a
qm	quem	PR0CN000	quem
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
volume	volume	NCMS000	volume
hé	é	VSIP3S0	ser
hum	um	DI0MS0	um
libello	libelo	NCMS000	libelo
infamatorio	infamatório	NCMS000	infamatório
;	.	Fp	.
não	Não	RN	não
há	há	VMIP3S0	haver
coiza	coisa	NCFS000	coisa
má	má	AQ0FS0	mau
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
não	não	RN	não
ponha	ponha	VMSP0S0	pôr
;	.	Fp	.
tão	Tão	RC	tão
cruelmte	cruelmente	RG	cruelmente
nos	nos	PP1CP000	nos
trata	trata	VMIP3S0	tratar
q	que	CS	que
	,	Fc	,
àpezar	apesar	SPS00	apesar
deste	deste	SPS00+DD0MS0	de+este
espinho	espinho	NCMS000	espinho
q	que	PR0CN000	que
a	a	DA0FS0	o
inquisição	Inquisição	NP00000	inquisição
nos	nos	SPS00+DA0MP0	em+o
pos	pôs	VMIS3S0	pôr
na	na	SPS00+DA0FS0	em+o
garganta	garganta	NCFS000	garganta
	,	Fc	,
a	a	DA0FS0	o
forsa	força	NCFS000	força
da	da	SPS00+DA0FS0	de+o
verde	verdade	NCFS000	verdade
e	e	CC	e
este	este	DD0MS0	este
amor	amor	NCMS000	amor
q	que	PR0CN000	que
se	se	P00CN000	se
tem	tem	VMIP3S0	ter
ao	ao	SPS00+DA0MS0	a+o
berço	berço	NCMS000	berço
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
viu	viu	VMIS3S0	ver
nascer	nascer	VMN0000	nascer
excitarão	excitaram	SPS00	excitaram
Caldas	Caldas	NP00000	caldas
a	a	SPS00	a
responder	responder	VMN0000	responder
;	.	Fp	.
VExa	VExa	NP00000	VExa
vera	verá	VMIF3S0	ver
no	no	SPS00+DA0MS0	em+o
jornal	jornal	NCMS000	jornal
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
resposta	resposta	NCFS000	resposta
q	que	PR0CN000	que
	,	Fc	,
se	se	CS	se
não	não	RN	não
hé	é	VSIP3S0	ser
eloquente	eloquente	AQ0CS0	eloquente
,	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
menos	menos	RC	menos
hé	é	VSIP3S0	ser
inteira	inteira	AQ0FS0	inteiro
,	,	Fc	,
polida	polida	VMP00SF	polir
e	e	CC	e
conveniente	conveniente	AQ0CS0	conveniente
.	.	Fp	.
Lembrei-me	Lembrei-me	VMIS1S0+PP1CS000	lembrar+me
hũ	um	DI0MS0	um
destes	destes	SPS00+DD0MP0	de+este
dias	dias	NCMP000	dia
de	de	SPS00	de
procurar	procurar	VMN0000	procurar
ainda	ainda	RG	ainda
fazer me	fazer-me	VMN0000+PP1CS000	fazer+me
util	útil	AQ0CS0	útil
à	à	SPS00+DA0FS0	a+o
ma	minha	DP1FSS	meu
nação	nação	NCFS000	nação
;	.	Fp	.
o	O	DA0MS0	o
meio	meio	NCMS000	meio
era	era	VSII0S0	ser
a	a	DA0FS0	o
continuação	continuação	NCFS000	continuação
das	das	SPS00+DA0FP0	de+o
mas	minhas	DP1FPS	meu
viagens	viagens	NCFP000	viagem
q	que	PR0CN000	que
	,	Fc	,
findadas	findadas	NCFP000	findada
em	em	SPS00	em
3	3	Z	3
annos	anos	NCMP000	ano
mais	mais	CC	mais
,	,	Fc	,
poderião	poderiam	VMIC3P0	poder
resultar	resultar	VMN0000	resultar
talvez	talvez	RG	talvez
em	em	SPS00	em
utilide	utilidade	NCFS000	utilidade
do	do	SPS00+DA0MS0	de+o
estado	estado	NCMS000	estado
q	que	PR0CN000	que
	,	Fc	,
tendo	tendo	VMG0000	ter
outros	outros	PI0MP000	outro
mais	mais	RC	mais
habeis	hábeis	AQ0CP0	hábil
,	,	Fc	,
não	não	RN	não
os	os	PP3MSA00	o
tem	tem	VMIP3S0	ter
mais	mais	RC	mais
promptos	prontos	AQ0MP0	pronto
;	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
sendo	sendo	VSG0000	ser
justo	justo	AQ0MS0	justo
q	que	CS	que
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
cidadao	cidadão	NCMS000	cidadão
se	se	CS	se
habilite	habilite	RG	habilite
;	,	Fc	,
tambem	também	RG	também
o	o	PP3MSA00	o
hé	é	VSIP3S0	ser
q	que	CS	que
o	o	DA0MS0	o
soberanno	soberano	NCMS000	soberano
o	o	PP3MSA00	o
empregue	empregue	VMSP0S0	empregar
	.	Fp	.
assim	Assim	RG	assim
	,	Fc	,
prompto	pronto	NCMS000	pronto
a	a	SPS00	a
servir	servir	VMN0000	servir
,	,	Fc	,
não	não	RN	não
estou	estou	VMIP1S0	estar
a	a	SPS00	a
a	a	SPS00	a
despender	despender	VMN0000	despender
hũ	um	DI0MS0	um
real	real	NCMS000	real
:	.	Fp	.
nesta	Nesta	SPS00+DD0FS0	em+este
mente	mente	NCFS000	mente
parto	parto	VMIP1S0	partir
este	este	DD0MS0	este
anno	ano	NCMS000	ano
a	a	SPS00	a
Lxa	Lxa	NP00000	lisboa
;	.	Fp	.
se	Se	CS	se
VExa	VExa	NP00000	VExa
quizer	quiser	VMSF0S0	querer
fazer	fazer	VMN0000	fazer
lembrar	lembrar	VMN0000	lembrar
isto	isto	PD0NN000	isto
ao	ao	SPS00+DA0MS0	a+o
Sr	Sr	NP00000	Sr
Martinho	Martinho	NP00000	martinho
de	de	SPS00	de
Mello	Melo	NP00000	melo
,	,	Fc	,
faremos	faremos	VMIF1P0	fazer
VExa	VExa	NP00000	VExa
e	e	CC	e
eu	eu	PP1CSN00	eu
o	o	DA0MS0	o
nosso	nosso	DP1MSP	nosso
dever	dever	NCMS000	dever
;	.	Fp	.
estes	Estes	DD0MP0	este
Srs	Senhores	NP00000	senhores
obrarão	obrarão	VMIS3P0	obrar
o	o	DA0MS0	o
q	que	PR0CN000	que
quizerem	quiserem	VMSF3P0	querer
;	,	Fc	,
certos	certos	AQ0MP0	certo
de	de	SPS00	de
q	que	CS	que
não	não	RN	não
os	os	PP3MSA00	o
hei	hei	VMIP1S0	haver
de	de	SPS00	de
importunar	importunar	VMN0000	importunar
com	com	SPS00	com
segdas	segundas	AO0FP0	segundo
representaçoens	representações	NCFP000	representação
porq	porque	CS	porque
tenho	tenho	VMIP1S0	ter
pouco	pouco	DI0MS0	pouco
talento	talento	NCMS000	talento
de	de	SPS00	de
requerente	requerente	NCMS000	requerente
	.	Fp	.
Mostrar lhes-hei	Mostrar-lhes-ei	Fp	.
como	como	CS	como
sou	sou	VSIP1S0	ser
Dr	doutor	NCMS000	doutor
de	de	SPS00	de
Leide	Leiden	NP00000	leiden
e	e	CC	e
membro	membro	NP00000	membro
da	da	SPS00+DA0FS0	de+o
sociede	Sociedade	NCFS000	sociedade
Real	Real	NP00000	real
de	de	SPS00	de
Medicina	Medicina	NP00000	medicina
de	de	SPS00	de
Pariz	Paris	NP00000	paris
	.	Fp	.
tambem	Também	RG	também
lhes	lhes	PP3CPD00	lhe
apresentarei	apresentarei	VMIF1S0	apresentar
documtos	documentos	NCMP000	documento
de	de	SPS00	de
Mtro	Mtro.	NP00000	Mtro.
e	e	CC	e
Vandelli	Vandelli	NP00000	Vandelli
;	,	Fc	,
pois	pois	CS	pois
são	são	VSIP3P0	ser
estas	estas	DD0FP0	este
as	as	DA0FP0	o
informaçoens	informações	NCFP000	informação
pelas	pelas	SPS00+DA0FP0	por+o
quais	quais	PR0CP000	qual
se	se	P00CN000	se
devem	devem	VMIP3P0	dever
guiar	guiar	VMN0000	guiar
os	os	DA0MP0	o
soberannos	soberanos	NCMP000	soberano
;	.	Fp	.
e	E	CC	e
os	os	DA0MP0	o
direitos	direitos	NCMP000	direito
q	que	PR0CN000	que
apresenta	apresenta	VMIP3S0	apresentar
o	o	DA0MS0	o
Vassallo	vassalo	NCMS000	vassalo
não	não	RN	não
pa	para	SPS00	para
hũ	um	DI0MS0	um
particular	particular	NCMS000	particular
mais	mais	CC	mais
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
papeis	papéis	NCMP000	papel
pa	para	SPS00	para
embrulhar	embrulhar	VMN0000	embrulhar
adubos	adubos	NCMP000	adubo
.	.	Fp	.
Estimo	Estimo	VMIP1S0	estimar
q	que	CS	que
VExa	VExa	NP00000	VExa
se	se	CS	se
repoise	repouse	VMSP0S0	repousar
das	das	SPS00+DA0FP0	de+o
fadigas	fadigas	NCFP000	fadiga
da	da	SPS00+DA0FS0	de+o
Corte	Corte	NP00000	corte
na	na	SPS00+DA0FS0	em+o
compa	companhia	NCFS000	companhia
de	de	SPS00	de
hua	uma	DI0FS0	um
tão	tão	RC	tão
amavel	amável	AQ0CS0	amável
Sra	Senhora	NP00000	senhor
;	,	Fc	,
e	e	CC	e
q	que	CS	que
na	na	SPS00+DA0FS0	em+o
solidão	solidão	NCFS000	solidão
do	do	SPS00+DA0MS0	de+o
campo	campo	NCMS000	campo
	,	Fc	,
contemplando	contemplando	VMG0000	contemplar
a	a	DA0FS0	o
natureza	natureza	NCFS000	natureza
simplez	simples	AQ0CS0	simples
e	e	CC	e
desfeitada	desfeitada	VMP00SF	desfeitar
	,	Fc	,
continue	continue	VMSP0S0	continuar
a	a	SPS00	a
misturar	misturar	VMN0000	misturar
com	com	SPS00	com
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
caracter	caráter	NCMS000	caráter
ja	já	RG	já
doce	doce	NCMS000	doce
a	a	DA0FS0	o
ternura	ternura	NCFS000	ternura
e	e	CC	e
o	o	DA0MS0	o
amor	amor	NCMS000	amor
q	que	PR0CN000	que
inspirao	inspiram	VMIP3P0	inspirar
a	a	DA0FS0	o
contemplação	contemplação	NCFS000	contemplação
do	do	SPS00+DA0MS0	de+o
Creador	Criador	NCMS000	criador
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
creatura	criatura	NCFS000	criatura
:	.	Fp	.
vinculos	Vínculos	NCMP000	vínculo
com	com	SPS00	com
q	que	PR0CN000	que
nascemos	nascemos	VMIP3S0	nascer
,	-	Fc	-
q	que	PR0CN000	que
nem	nem	RN	nem
são	são	VSIP3P0	ser
a	a	DA0FS0	o
obra	obra	NCFS000	obra
dos	dos	SPS00+DA0MP0	de+o
homens	homens	NCMP000	homem
nem	nem	CC	nem
dependem	dependem	VMIP3P0	depender
do	do	SPS00+DA0MS0	de+o
seu	seu	DP3MS0	seu
arbitrio	arbítrio	NCMS000	arbítrio
,	-	Fc	-
ligão	ligam	NCMS000	ligam
no	no	SPS00+DA0MS0	em+o
coração	coração	NCMS000	coração
,	,	Fc	,
aonde	onde	PA000000	onde
eu	eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
o	o	DA0MS0	o
prazer	prazer	NCMS000	prazer
de	de	SPS00	de
consagrar	consagrar	VMN0000	consagrar
sua	sua	DP3FS0	seu
terna	terna	NCFS000	terna
amize	amizade	NCFS000	amizade
.	.	Fp	.
a	A	SPS00	a
VExa	VExa	NP00000	VExa
	,	Fc	,
de	de	SPS00	de
Qm	quem	PR0CN000	quem
mto	muito	RQ	muito
affectuozo	afetuoso	AQ0MS0	afetuoso
e	e	CC	e
obrigdo	obrigado	VMP00SM	obrigar
amo	amigo	NCMS000	amigo
Franco	Francisco	NP00000	francisco
José	José	NP00000	josé
de	de	SPS00	de
Almeida	Almeida	NP00000	almeida
Je	Je	NP00000	Je
vous	vous	SPS00	vous
prie	prie	NCFS000	prie
de	de	SPS00	de
vouloir	vouloir	VMN0000	vouloir
bien	bien	SPS00	bien
faire	faire	NCFS000	faire
de	de	SPS00	de
mes	mes	DA0MS0	mes
compliments	compliments	NCMS000	compliments
à	à	SPS00+DA0FS0	a+o
Mr	Mr	NP00000	mr
Rendorp	Rendorp	X	Rendorp
,	,	Fc	,
et	et	NCMS000	et
à	à	SPS00+DA0FS0	a+o
cet	cet	NP00000	cet
autre	autre	SPS00	autre
Mr	Mr	NP00000	mr
qui	qui	SPS00	que
m'	m'	NCFS000	m'
a	a	SPS00	a
fait	fait	NCMS000	fait
l'	l'	SPS00	l'
honneur	honneur	VMN0000	honneur
de	de	SPS00	de
se	se	CS	se
rapeller	rappeller	VMN0000	rappeller
de	de	SPS00	de
moi	moi	NCMS000	moi
;	.	Fp	.
ayez	Ayez	NP00000	Ayez
aussi	aussi	SPS00	ausse
la	la	DA0FS0	la
complaisanse	complaisanse	NCFS000	complaisanse
de	de	SPS00	de
presenter	présenter	VMN0000	présenter
mes	mes	SPS00	mes
respects	respects	NCFP000	respect
à	à	SPS00+DA0FS0	a+o
Mme	Mme	NP00000	mme
Rendorp	Rendorp	X	Rendorp
,	,	Fc	,
quoique	quoique	VMIS1S0	quoer
je	je	RG	je
n'	n'	RG	je
ai	ai	NCMS000	ai
pas	pas	X	X
été	été	NP00000	été
assez	assez	NCFS000	assez
heureux	heureux	SPS00	heureux
pour	pour	VMN0000	pour
la	la	DA0FS0	la
voir	voir	NCFS000	voir
avant	avant	SPS00	avant
mon	mon	NCMS000	mongue
depart	départ	NCMS000	départ
	.	Fp	.
