alguns	Alguns	DI0MP0	algum
:	.	NCFS000	liberdade
porem	Porém	RG	porém
 	,	Fc	,
 esta 	esta	DD0FS0	este
damnosa	danosa	AQ0FS0	danoso
calumnia	calúnia	NCFS000	calúnia
	,	Fc	,
sabendo-se	sabendo-se	VMG0000+P00CN000	saber+se
 q 	que	CS	que
foi	foi	VSIS3S0	ser
dada	dada	VMP00SF	dar
com	com	SPS00	com
dolo	dolo	NCMS000	dolo
e	e	CC	e
malicia	malícia	NCFS000	malícia
e	e	CC	e
conhecendo-se	conhecendo-se	VMG0000+P00CN000	conhecer+se
sua	sua	DP3FS0	seu
falcidade	falsidade	NCFS000	falsidade
	,	Fc	,
não	não	RN	não
deveria	deveria	VMIC0S0	dever
eu	eu	PP1CSN00	eu
gozar	gozar	VMN0000	gozar
do	do	SPS00+DA0MS0	de+o
mesmo	mesmo	AQ0MS0	mesmo
indulto	indulto	NCMS000	indulto
,	,	Fc	,
declarado	declarado	VMP00SM	declarar
inocente	inocente	AQ0CS0	inocente
;	,	AQ0CS0	inocente
que	que	PR0CN000	que
gozaria	gozaria	VMIC0S0	gozar
se	se	CS	se
culpado	culpado	VMP00SM	culpar
fosse	fosse	VSSI0S0	ser
?	?	Fp	?
É	É	VSIP3S0	ser
na	na	SPS00+DA0FS0	em+o
recta	reta	AQ0FS0	reto
Justiça	justiça	NCFS000	justiça
de	de	SPS00	de
 V  Sa 	VSa	NP00000	VSa
em	em	SPS00	em
que	que	PR0CN000	que
fundo	fundo	VMIP1S0	fundar
todas	todas	DI0FP0	todo
minhas	minhas	DP1FPS	meu
esperanças	esperanças	NCFP000	esperança
e	e	CC	e
de	de	SPS00	de
quem	quem	PR0CN000	quem
espero	espero	VMIP1S0	esperar
alivio	alívio	NCMS000	alívio
a	a	SPS00	a
tão	tão	RC	tão
graves	graves	AQ0CP0	grave
males	males	NCMP000	mal
 q 	que	PR0CN000	que
soffro	sofro	VMIP1S0	sofrer
	,	Fc	,
cooperando	cooperando	VMG0000	cooperar
 pa 	para	SPS00	para
render-me	render-me	VMN0000+PP1CS000	render+me
á	à	SPS00+DA0FS0	a+o
vida	vida	NCFS000	vida
civil	civil	AQ0CS0	civil
e	e	CC	e
a	à	SPS00+DA0FS0	a+o
Patria	pátria	NCFS000	pátria
que	que	PR0CN000	que
tanto	tanto	RC	tanto
amo	amo	VMIP1S0	amar
	.	Fp	.
