Senhora	Senhora		
todo	todo	PI0MS000	todo
	,	Fc	,
i	e	CC	e
Vmce	VM	NP00000	VM
Serme	ser-me	VSN0000+PP1CS000	ser+me
tão	tão	RC	tão
falssa	falsa	AQ0FS0	falso
i	e	CC	e
tán	tão	RC	tão
treidora	traidora	AQ0FS0	traidor
	...	Fs	...
paÇienÇia	Paciência	I	paciência
	!	Fa	!
Esta	Esta	DD0FS0	este
Carta	carta	NCFS000	carta
	,	Fc	,
faÇa	faça	VMSP0S0	fazer
della	dela	SPS00+PP3FS000	de+ele
o	o	DA0MS0	o
q	que	PR0CN000	que
quizer	quiser	VMSF0S0	querer
	,	Fc	,
mais	mais	RC	mais
para	para	SPS00	para
Saber	saber	VMN0000	saber
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
Sintimentos	sentimentos	NCMP000	sentimento
	,	Fc	,
Vasta	basta	VMIP3S0	bastar
Vmce	VM	NP00000	VM
	.	Fp	.
guardea	Guarde-a	VMSP0S0+PP3FSA00	guardar+o
ou	ou	CC	ou
rrasgea	rasgue-a	VMSP0S0+PP3FSA00	rasgar+o
	.	Fp	.
adeus	Adeus	Fp	.
	,	Fp	.
adeus	adeus	Fp	.
	,	Fp	.
adeus	adeus	Fp	.
	.	Fp	.
não	Não	RN	não
a	a	PP3FSA00	o
mostre	mostre	VMSP0S0	mostrar
a	a	SPS00	a
ningun	nenhum	PI0MS00N	nenhum
	.	Fp	.
con	Com	SPS00	com
a	a	DA0FS0	o
Carta	carta	NCFS000	carta
	,	NCFS000	carta
não	não	RN	não
me	me	PP1CS000	me
inporta	importa	VMIP3S0	importar
	.	Fp	.
