Consttame	Consta-me	VMIP3S0+PP1CS000	constar+me
caldeiros	caldeireiros	NCMP000	caldeireiro
q	que	PR0CN000	que
VSa	VSa	NP00000	VSa
me	me	PP1CS000	me
deo	deu	VMIS3S0	dar
em	em	SPS00	em
relação	relação	NCFS000	relação
,	,	Fc	,
consta	consta	VMIP3S0	constar
q	que	CS	que
a	há	VMIP3S0	haver
tempos	tempos	NCMP000	tempo
forão	foram	VMIS3P0	ir
pa	para	SPS00	para
Valada	Valada	NP00000	valada
,	,	Fc	,
ou	ou	CC	ou
Va	Vila	NP00000	vila
Franca	Franca	NP00000	franca
da	da	SPS00+DA0FS0	de+o
Restauração	Restauração	NCFS000	restauração
	,	Fc	,
a	a	SPS00	a
trabalhar	trabalhar	VMN0000	trabalhar
na	na	SPS00+DA0FS0	em+o
qualidade	qualidade	NCFS000	qualidade
de	de	SPS00	de
Valadores	valadores	NCMP000	valador
.	.	Fp	.
Ds	Deus	NP00000	deus
Gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
VSa	VSa	NP00000	VSa
	.	Fp	.
Montemor o Velho	Montemor-o-Velho	NP00000	montemor-o-velho
	,	Fc	,
10	10	Z	10
de	de	SPS00	de
Abril	abril	NCMS000	abril
de	de	SPS00	de
1824	1824	Z	1824
	.	Fp	.
Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Corregor	Corregedor	NP00000	corregedor
da	da	SPS00+DA0FS0	de+o
Comarca	Comarca	NP00000	comarca
de	de	SPS00	de
Leiria	Leiria	NP00000	leiria
Joze	José	NP00000	josé
Pessoa	Pessoa	NCFS000	pessoa
de	de	SPS00	de
Carvalho	Carvalho	NP00000	carvalho
d'	de	SPS00	de
Eça	Eça	NP00000	eça
	,	Fc	,
Tte Corel	Tenente-Coronel	NP00000	tenente-coronel
de	de	SPS00	de
Mlas	Milícias	NP00000	milícias
da	da	SPS00+DA0FS0	de+o
Figueira	Figueira	NP00000	figueira
