Carlota	Carlota		
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
man-des	mandes	VMSP2S0	mandar
asepipe	acepipe	NCMS000	acepipe
algum	algum	PI0MS000	algum
.	.	Fp	.
Agora	Agora	RG	agora
hé	é	VSIP3S0	ser
perçizo	preciso	AQ0MS0	preciso
q	que	CS	que
tu	tu	PP2CSN00	tu
ve-nhas	venhas	VMSP2S0	vir
	,	Fc	,
o	ou	CC	ou
mandes	mandes	VMSP2S0	mandar
a	a	SPS00	a
Lisbôa	Lisboa	NP00000	lisboa
pa	para	SPS00	para
me	me	PP1CS000	me
mandâres	mandares	VMII2S0	mandar
para	para	SPS00	para
aqui	aqui	RG	aqui
essas	essas	DD0FP0	esse
coizas	coisas	NCFP000	esse
todas	todas	PI0FP000	todo
que	que	PR0CN000	que
ahi	aí	RG	aí
te	te	PP2CS000	te
pesso	peço	VMIP1S0	pedir
nessa	nessa	SPS00+DD0FS0	em+esse
relação	relação	NCFS000	relação
q	que	PR0CN000	que
vai	vai	VMIP3S0	ir
junta	junta	VMP00SF	juntar
para	para	SPS00	para
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
quarta-feira	quarta-feira	NCFS000	quarta-feira
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
mandár	mandar	VMN0000	mandar
tudo	tudo	PI0NN000	tudo
pa	para	SPS00	para
a	a	DA0FS0	o
torre	torre	NCFS000	o
;	.	Fp	.
as	As	DA0FP0	o
seroilhas	ceroulas	NCFP000	o
	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
as	as	PP3FPA00	o
tenhas	tenhas	VMSP2S0	ter
e	e	CC	e
já	já	RG	já
feitas	feitas	VMP00PF	fazer
	,	Fc	,
não	não	RN	não
as	as	PP3FPA00	o
mande	mande	VMSP0S0	mandar
porque	porque	CS	porque
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
vão	vão	VMIP3P0	ir
desta	desta	SPS00+DD0FS0	de+este
vez	vez	NCFS000	vez
,	,	Fc	,
e	e	CC	e
	,	Fc	,
se	se	CS	se
as	as	PP3FPA00	o
não	não	RN	não
tens	tens	VMIP2S0	ter
ainda	ainda	RG	ainda
feitas	feitas	VMP00PF	fazer
	,	Fc	,
então	então	RG	então
faze-as	faze-as	VMM02S0+PP3FPA00	fazer+o
como	como	CS	como
elle	ele	PP3MS000	ele
diz	diz	VMIP3S0	dizer
	,	Fc	,
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
hirem	irem	VMII3P0	ir
pa	para	SPS00	para
a	a	DA0FS0	o
outra	outra	DI0FS0	outro
vez	vez	NCFS000	vez
com	com	SPS00	com
os	os	DA0MP0	o
tamancos	tamancos	NCMP000	tamanco
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
pede	pede	VMIP3S0	pedir
,	,	Fc	,
isto	isto	PD0NN000	isto
hé	é	VSIP3S0	ser
o	o	DA0MS0	o
que	que	PR0CN000	que
deves	deves	VMIP2S0	dever
fazer	fazer	VMN0000	fazer
e	e	CC	e
não	não	RN	não
faças	faças	VMSP2S0	fazer
mais	mais	RC	mais
nem	nem	CCN	nem
menos	menos	RC	menos
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
tudo	tudo	PI0NN000	tudo
isto	isto	PD0NN000	isto
que	que	PR0CN000	que
te	te	PP2CS000	te
digo	digo	VMIP1S0	dizer
.	.	Fp	.
manda-me	Manda-me	VMM02S0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
se	se	P00CN000	se
passar	passar	VMN0000	passar
a	a	SPS00	a
respeito	respeito	NCMS000	respeito
da	da	SPS00+DA0FS0	de+o
guarda-roupa	guarda-roupa	NCMS000	guarda-roupa
o	ou	CC	ou
de	de	SPS00	de
outra	outra	DI0FS0	outro
qualquer	qualquer	DI0CS0	qualquer
coiza	coisa	NCFS000	coisa
e	e	CC	e
não	não	RN	não
te	te	PP2CS000	te
esqueças	esqueças	VMSP2S0	esquecer
da	da	SPS00+DA0FS0	de+o
ma	minha	DP1FSS	meu
recomendação	recomendação	NCFS000	recomendação
	,	Fc	,
q	que	PR0CN000	que
hé	é	VSIP3S0	ser
queimares	queimares	VMII2S0	queimar
esta	esta	DD0FS0	este
ma	minha	DP1FSS	meu
carta	carta	NCFS000	carta
logo	logo	RG	logo
	,	Fc	,
logo	logo	RG	logo
q	que	CS	que
a	a	PP3FSA00	o
leias	leias	VMSP2S0	ler
,	,	Fc	,
e	e	CC	e
manda-me	manda-me	VMM02S0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
se	se	CSI	se
o	o	DA0MS0	o
Almeida	Almeida	NP00000	almeida
terá	terá	VAIF3S0	ter
queimado	queimado	VMP0000	queimar
tudo	tudo	PI0NN000	tudo
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
tenho	tenho	VAIP1S0	ter
mandado	mandado	VMP0000	mandar
	.	Fp	.
recomendações	Recomendações	NCFP000	recomendação
a	a	SPS00	a
todos	todos	PI0MP000	todo
,	,	Fc	,
e	e	CC	e
manda-me	manda-me	VMM02S0+PP1CS000	mandar+me
dizer	dizer	VMN0000	dizer
o	o	DA0MS0	o
mais	mais	RC	mais
q	que	PR0CN000	que
tu	tu	PP2CSN00	tu
fizestes	fizestes	VMIS2S0	fazer
na	na	SPS00+DA0FS0	em+o
sexta-feira	sexta-feira	NCFS000	sexta-feira
,	.	Fp	.
ahi	Aí	RG	aí
remeto	remeto	VMIP1S0	remeter
as	as	DA0FP0	o
duas	duas	Z	duas
conrespondençias	correspondências	NCFP000	correspondência
pa	para	SPS00	para
as	as	DA0FP0	o
tu	tu	PP2CSN00	tu
guardáres	guardares	VMII2S0	guardar
e	e	CC	e
juntamente	juntamente	RG	juntamente
o	o	DA0MS0	o
taxo	tacho	NCMS000	tacho
e	e	CC	e
o	o	DA0MS0	o
pano	pano	NCMS000	pano
que	que	PR0CN000	que
a	a	DA0FS0	o
Feleçidade	Felicidade	NP00000	felicidade
me	me	PP1CS000	me
mandou	mandou	VMIS3S0	mandar
com	com	SPS00	com
os	os	DA0MP0	o
linguados	linguados	NCMP000	linguado
	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
se	se	CSI	se
me	me	PP1CS000	me
esqueçe	esquece	VMIP3S0	esquecer
mais	mais	RC	mais
alguma	alguma	DI0FS0	algum
coiza	coisa	NCFS000	coisa
,	,	Fc	,
mas	mas	CC	mas
creio	creio	VMIP1S0	crer
que	que	CS	que
não	não	RN	não
	.	Fp	.
o	O	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
houver	houver	VMSF0S0	haver
	,	Fc	,
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
te	te	PP2CS000	te
darei	darei	VMIF1S0	dar
parte	parte	NCFS000	parte
.	.	Fp	.
aDs	Adeus	I	adeus
	.	Fp	.
tem	Tem	VMM02S0	.
mais	mais	RC	mais
algum	algum	DI0MS0	algum
soçego	sossego	NCMS000	sossego
	,	Fc	,
que	que	PR0CN000	que
hé	é	VSIP3S0	ser
o	o	DA0MS0	o
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
te	te	PP2CS000	te
dezeijo	desejo	VMIP1S0	desejar
.	.	Fp	.
Teu	Teu	Fp	.
mano	mano	Fp	.
	,	Fp	.
Plaçido	Plácido	Fp	.
Para	Para	SPS00	para
o	o	DA0MS0	o
Almeida	Almeida	NP00000	almeida
	.	Fp	.
Nada	Nada	PI0NN00N	nada
mais	mais	RC	mais
tem	tem	VAIP3S0	ter
havido	havido	VMP0000	haver
de	de	SPS00	de
notavel	notável	AQ0CS0	notável
depois	depois	RG	depois
da-quella	daquela	SPS00+DD0FS0	de+aquele
bôa	boa	AQ0FS0	bom
e	e	CC	e
excelente	excelente	AQ0CS0	excelente
fazenda	fazenda	NCFS000	fazenda
q	que	PR0CN000	que
te	te	PP2CS000	te
mandei	mandei	VMIS1S0	mandar
no	no	SPS00+DA0MS0	em+o
outro	outro	DI0MS0	outro
dia	dia	NCMS000	dia
,	,	Fc	,
o	o	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
há	há	VMIP3S0	haver
agora	agora	RG	agora
hé	é	VSIP3S0	ser
a	a	DA0FS0	o
parte	parte	NCFS000	o
do	do	SPS00+DA0MS0	de+o
thelegrafaco	telégrafo	NCMS000	telégrafo
	,	Fc	,
dáda	dada	VMP00SF	dar
ao	ao	SPS00+DA0MS0	a+o
governo	governo	NCMS000	governo
na	na	SPS00+DA0FS0	em+o
6a feira	6ª-feira	NCFS000	sexta-feira
	,	Fc	,
q	que	PR0CN000	que
diz	diz	VMIP3S0	dizer
asim	assim	RG	assim
-	:	Fd	:
O	O	DA0MS0	o
General	General	NP00000	general
Gaspar	Gaspar	NP00000	gaspar
Teixeira	Teixeira	NP00000	teixeira
	,	Fc	,
comandante	comandante	NCCS000	comandante
em	em	SPS00	em
chefe	chefe	NCMS000	chefe
do	do	SPS00+DA0MS0	de+o
exercito	exército	NCMS000	exército
de	de	SPS00	de
Operações	operações	NCFP000	operação
em	em	SPS00	em
terra	terra	NCFS000	terra
con-tra	contra	SPS00	contra
os	os	DA0MP0	o
rebeldes	rebeldes	NCMP000	rebelde
;	,	Fc	,
reçebeo	recebeu	VMIS3S0	receber
officios	ofícios	NCMP000	ofício
do	do	SPS00+DA0MS0	de+o
comandante	comandante	NCCS000	comandante
da	da	SPS00+DA0FS0	de+o
esquadra	esquadra	NCFS000	esquadra
de	de	SPS00	de
S	Sua	DP3FS0	seu
Mage	Majestade	NP00000	majestade
(	(	Fba	(
e	e	Fba	(
	,	Fc	,
já	já	RG	já
se	se	P00CN000	se
sabe	sabe	VMIP3S0	saber
	,	Fc	,
sua	sua	DP3FS0	seu
Mges-tade	Majestade	NP00000	majestade
Miguelista	miguelista	NP00000	miguelista
)	)	Fbt	)
	,	Fbt	)
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
ancora-da	ancorada	VMP00SF	ancorar
no	no	SPS00+DA0MS0	em+o
porto	porto	NCMS000	porto
de	de	SPS00	de
vigo	Vigo	NP00000	vigo
na	na	SPS00+DA0FS0	em+o
Hespanha	Espanha	NP00000	espanha
,	,	Fc	,
onde	onde	PA000000	onde
entrou	entrou	VMIS3S0	entrar
no	no	SPS00+DA0MS0	em+o
dia	dia	NCMS000	dia
30	30	Z	30
do	do	SPS00+DA0MS0	de+o
mez	mês	NCMS000	mês
passado	passado	VMP00SM	passar
;	.	Fp	.
o	O	DA0MS0	o
Serto-rio	Sertório	NP00000	sertório
lá	lá	RG	lá
está	está	VMIP3S0	estar
ao	ao	SPS00+DA0MS0	a+o
pé	pé	NCMS000	pé
com	com	SPS00	com
12	12	Z	12
embarcações	embarcações	NCFP000	embarcação
para	para	SPS00	para
comprimentar	cumprimentar	VMN0000	cumprimentar
o	o	DA0MS0	o
grande	grande	AQ0CS0	grande
Je	José	NP00000	josé
Feliz	Feliz	NP00000	feliz
	,	Fc	,
em	em	SPS00	em
tendo	tendo	VMG0000	ter
ocazião	ocasião	NCFS000	ocasião
,	,	Fc	,
pois	pois	CS	pois
hé	é	VSIP3S0	ser
o	o	DA0MS0	o
Almirante	Almirante	DA0MS0	o
q	que	PR0CN000	que
comanda	comanda	VMIP3S0	comandar
a	a	DA0FS0	o
esquadra	esquadra	NCFS000	esquadra
Miguelista	miguelista	AQ0MS0	miguelista
.	.	Fp	.
na	Na	SPS00+DA0FS0	em+o
6a feira	6.ª-feira	NCFS000	sexta-feira
chegou	chegou	VMIS3S0	chegar
huma	uma	DI0FS0	um
Fragatta	fragata	NCFS000	fragata
vinda	vinda	VMP00SF	vir
de	de	SPS00	de
Inglaterra	Inglaterra	NP00000	inglaterra
a	à	SPS00+DA0FS0	a+o
Esquadra	esquadra	NCFS000	esquadra
ingleza	inglesa	AQ0FS0	inglês
,	,	Fc	,
veio	veio	VMIS3S0	vir
pelo	pelo	SPS00+DA0MS0	por+o
Porto	Porto	NP00000	porto
	,	Fc	,
porém	porém	RG	porém
apenas	apenas	RG	apenas
só	só	RF	só
pode	pode	VMIP3S0	poder
reçeber	receber	VMN0000	receber
huma	uma	DI0FS0	um
carta	carta	NCFS000	carta
de	de	SPS00	de
hum	um	DI0MS0	um
coro-nel	coronel	NCMS000	coronel
inglez	inglês	AQ0MS0	inglês
q	que	PR0CN000	que
ali	ali	RG	ali
está	está	PR0CN000	que
encarregado	encarregado	VMP00SM	encarregar
de	de	SPS00	de
huma	uma	DI0FS0	um
comissão	comissão	NCFS000	comissão
particular	particular	AQ0CS0	particular
.	,	Fc	,
cuja	cuja	DT0FS0	cujo
carta	carta	NCFS000	carta
mandou	mandou	VMIS3S0	mandar
pa	para	SPS00	para
Lord	Lord	NP00000	lord
Russel	Russel	NP00000	russel
	,	Fc	,
q	que	PR0CN000	que
aqui	aqui	RG	aqui
está	está	PR0CN000	que
.	.	Fp	.
veremos	Veremos	VMIF1P0	ver
o	o	DA0MS0	o
que	que	PR0CN000	que
sai	sai	VMIP3S0	sair
daqui	daqui	SPS00+RG	de+aqui
,	.	Fp	.
não	Não	RN	não
trouçe	trouxe	VMIS1S0	trazer
mais	mais	RC	mais
nada	nada	PI0NN00N	nada
por	por	SPS00	por
haver	haver	VMN0000	haver
hum	um	DI0MS0	um
grande	grande	AQ0CS0	grande
temporal	temporal	NCMS000	temporal
no	no	SPS00+DA0MS0	em+o
Porto	Porto	NP00000	porto
.	.	Fp	.
O	O	DA0MS0	o
Telles	Teles	NP00000	teles
Jordão	Jordão	NP00000	jordão
lá	lá	RG	lá
o	o	PP3MSA00	o
levou	levou	VMIS3S0	levar
o	ao	SPS00+DA0MS0	a+o
Diábo	diabo	NP00000	diabo
da	da	SPS00+DA0FS0	de+o
torre	torre	NCFS000	torre
e	e	CC	e
já	já	RG	já
os	os	DA0MP0	o
prezos	presos	NCMP000	preso
es-tão	estão	DA0MP0	o
livres	livres	AQ0CP0	livre
daquelle	daquele	SPS00+DD0MS0	de+aquele
malvádo	malvado	NCMS000	malvado
,	.	Fp	.
foi	Foi	VSIS3S0	ser
nomeádo	nomeado	VMP00SM	nomear
pa	para	SPS00	para
hir	ir	VMN0000	ir
a	a	SPS00	a
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
pressa	pressa	NCFS000	o
tomar	tomar	DA0FS0	o
o	o	DA0MS0	o
comando	comando	NCMS000	comando
da	da	SPS00+DA0FS0	de+o
segunda	segunda	AO0FS0	segundo
devizão	divisão	NCFS000	divisão
do	do	SPS00+DA0MS0	de+o
Exercito	Exército	NP00000	exército
	,	Fc	,
em	em	SPS00	em
lugar	lugar	NCMS000	lugar
do	do	SPS00+DA0MS0	de+o
General	General	NP00000	general
Povoas	Póvoas	NP00000	póvoas
	,	Fc	,
q	que	PR0CN000	que
se	se	P00CN000	se
deu	deu	VMIS3S0	dar
por	por	SPS00	por
doente	doente	AQ0CS0	doente
por	por	SPS00	por
vêr	ver	VMN0000	ver
q	que	CS	que
a	a	DA0FS0	o
coiza	coisa	NCFS000	coisa
não	não	RN	não
vai	vai	VMIP3S0	ir
bôa	boa	AQ0FS0	bom
.	.	Fp	.
aDeus	Adeus	I	adeus
	.	Fp	.
