Exmo	Excelentíssimo		
bem	bem	RG	bem
conheço	conheço	VMIP1S0	conhecer
que	que	CS	que
não	não	RN	não
tenho	tenho	VAIP1S0	ter
comprido	cumprido	VMP0000	cumprir
com	com	SPS00	com
os	os	DA0MP0	o
meos	meus	DP1MPS	meu
deveres	deveres	NCMP000	dever
de	de	SPS00	de
hir	ir	VMN0000	ir
dar	dar	VMN0000	dar
conta	conta	NCFS000	conta
de	de	SPS00	de
que	que	PR0CN000	que
hera	era	VSII0S0	ser
entregue	entregue	VMP00SM	entregar
de	de	SPS00	de
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
e	e	CC	e
so	só	RF	só
estou	estou	VMIP1S0	estar
pensando	pensando	VMG0000	pensar
da	da	SPS00+DA0FS0	de+o
falta	falta	NCFS000	falta
de	de	SPS00	de
alguma	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
por	por	SPS00	por
eu	eu	PP1CSN00	eu
não	não	RN	não
ter	ter	VAN0000	ter
feito	feito	VMP0000	fazer
entregue	entregue	VMP00SM	entregar
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
estava	estava	VMII0S0	estar
Responsavel	responsável	AQ0CS0	responsável
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
	,	Fc	,
porque	porque	CS	porque
a	a	SPS00	a
mim	mim	PP1CSO00	mim
ja	já	RG	já
me	me	PP1CS000	me
disserão	disseram	VMIS3P0	dizer
que	que	CS	que
a	a	DA0FS0	o
Roza	Rosa	NP00000	rosa
que	que	CS	que
dezia	dizia	VMII0S0	dizer
que	que	CS	que
faltava	faltava	VMII0S0	faltar
huma	uma	DI0FS0	um
Camiza	camisa	NCFS000	camisa
,	.	Fp	.
pois	Pois	CS	pois
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
bem	bem	RG	bem
sabe	sabe	VMIP3S0	saber
o	o	DA0MS0	o
que	que	PR0CN000	que
tinha	tinha	VMII0S0	ter
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
quarto	quarto	NCMS000	quarto
,	.	Fp	.
paresseme	Parece-me	VMIP3S0+PP1CS000	parecer+me
que	que	CS	que
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
havia	havia	VMII0S0	haver
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
faltar	faltar	VMN0000	faltar
nada	nada	PI0NN00N	nada
,	.	Fp	.
por	Por	SPS00	por
serto	certo	AQ0MS0	certo
	,	Fc	,
me	me	PP1CS000	me
hão	hão	VMIP3P0	haver
de	de	SPS00	de
inputar	imputar	VMN0000	imputar
a	a	DA0FS0	o
falta	falta	NCFS000	o
de	de	SPS00	de
alguma	alguma	DI0FS0	algum
Couza	coisa	NCFS000	coisa
	.	Fp	.
como	Como	CS	como
isto	isto	PD0NN000	isto
aconteceo	aconteceu	VMIS3S0	acontecer
assim	assim	RG	assim
	,	Fc	,
tem	tem	VMIP3S0	ter
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
ocazião	ocasião	NCFS000	o
de	de	SPS00	de
fazerem	fazerem	VMII3P0	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
quizerem	quiserem	VMSF3P0	querer
	.	Fp	.
o	O	DA0MS0	o
que	que	PR0CN000	que
pesso	peço	VMIP1S0	pedir
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
perdão	perdão	NCMS000	perdão
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
isto	isto	PD0NN000	isto
e	e	CC	e
que	que	CS	que
me	me	PP1CS000	me
faça	faça	VMSP0S0	fazer
o	o	DA0MS0	o
favor	favor	NCMS000	favor
de	de	SPS00	de
me	me	PP1CS000	me
passar	passar	VMN0000	passar
Attestação	atestação	NCFS000	atestação
	,	Fc	,
porque	porque	CS	porque
me	me	PP1CS000	me
he	é	VSIP3S0	ser
preçizo	preciso	AQ0MS0	preciso
	,	Fc	,
para	para	SPS00	para
me	me	PP1CS000	me
arranjar	arranjar	VMN0000	arranjar
	.	Fp	.
e	E	CC	e
com	com	SPS00	com
isto	isto	PD0NN000	isto
não	não	RN	não
infado	enfado	VMIP1S0	enfadar
mais	mais	RC	mais
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
e	e	CC	e
espero	espero	VMIP1S0	esperar
que	que	CS	que
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
me	me	PP1CS000	me
não	não	RN	não
deixe	deixe	VMSP0S0	deixar
de	de	SPS00	de
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
resposta	resposta	NCFS000	resposta
	.	Fp	.
Deste	Deste	Fp	.
Seu	seu	Fp	.
Criado	criado	Fp	.
	,	Fp	.
Joze	José	Fp	.
dos	dos	Fp	.
Santos	Santos	Fp	.
