Serenissimo	Sereníssimo	AQSMS0	sereno
e	e	CC	e
diz	diz	VMIP3S0	dizer
	:	Fp	:
«	«	Fra	«
Entre	Entre	SPS00	entre
esses	esses	DD0MP0	esse
	,	Fc	,
seria	seria	VSIC0S0	ser
prezo	preso	VMP00SM	prender
o	o	DA0MS0	o
Tenente	Tenente	NP00000	tenente
Saldanha	Saldanha	NP00000	saldanha
?	?	Fp	?
»	»	Frt	»
	.	Fp	.
e	E	CC	e
dizendo-lhe	dizendo-lhe	VMG0000+PP3CSD00	dizer+lhe
q	que	CS	que
sim	sim	RG	sim
,	,	Fc	,
mostrou	mostrou	VMIS3S0	mostrar
a	a	DA0FS0	o
maior	maior	AQ0CS0	maior
exasperação	exasperação	NCFS000	exasperação
,	,	Fc	,
dizendo	dizendo	VMG0000	dizer
q	que	CS	que
contava	contava	VMII0S0	contar
com	com	SPS00	com
elle	ele	PP3MS000	ele
porq	porque	CS	porque
já	já	RG	já
lhe	lhe	PP3CSD00	lhe
tinha	tinha	VAIP3S0	ter
fallado	falado	VMP0000	falar
para	para	SPS00	para
entrar	entrar	VMN0000	entrar
na	na	SPS00+DA0FS0	em+o
Conspiração	conspiração	NCFS000	conspiração
e	e	CC	e
q	que	CS	que
o	o	DA0MS0	o
dito	dito	VMP00SM	dizer
Tenente	Tenente	NP00000	tenente
Saldanha	Saldanha	NP00000	saldanha
se	se	P00CN000	se
tinha	tinha	VAII0S0	ter
offerecido	oferecido	VMP00SM	oferecer
para	para	SPS00	para
cooperar	cooperar	VMN0000	cooperar
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
parte	parte	NCFS000	parte
quanto	quanto	PR0CN000	quanto
estivesse	estivesse	VMSI0S0	estar
em	em	SPS00	em
suas	suas	DP3FP0	seu
forças	forças	NCFP000	força
a	a	SPS00	a
fim	fim	NCMS000	fim
de	de	SPS00	de
se	se	P00CN000	se
reestabelecer	reestabelecer	VMN0000	reestabelecer
o	o	DA0MS0	o
Systema	sistema	NCMS000	sistema
Constitucional	constitucional	AQ0CS0	constitucional
.	.	Fp	.
Continua	Continua	VMIP3S0	continuar
Sandoval	Sandoval	NP00000	sandoval
com	com	SPS00	com
huma	uma	DI0FS0	um
forte	forte	AQ0CS0	forte
declamação	declamação	NCFS000	declamação
contra	contra	SPS00	contra
o	o	DA0MS0	o
actual	atual	AQ0CS0	atual
Governo	governo	NCMS000	governo
e	e	CC	e
contra	contra	SPS00	contra
El Rei	El-Rei	NP00000	el-rei
Nosso	Nosso	NP00000	nosso
Senhor	Senhor	NP00000	senhor
,	,	Fc	,
Depois	depois	RG	depois
da	da	SPS00+DA0FS0	de+o
qual	qual	PR0CS000	qual
disse	disse	VMIS3S0	dizer
q	que	CS	que
brevemente	brevemente	RG	brevemente
acabaria	acabaria	VMIC0S0	acabar
com	com	SPS00	com
os	os	DA0MP0	o
Tyrannos	tiranos	NCMP000	tirano
porq	porque	CS	porque
	,	Fc	,
alêm	além	RG	além
da	da	SPS00+DA0FS0	de+o
sublevação	sublevação	NCFS000	sublevação
q	que	PR0CN000	que
se	se	P00CN000	se
hia	ia	VMII0S0	ir
fazer	fazer	VMN0000	fazer
em	em	SPS00	em
Portugal	Portugal	NP00000	portugal
,	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Hespanha	Espanha	NP00000	espanha
tambem	também	RG	também
os	os	DA0MP0	o
Maçõns	maçons	NCMP000	maçom
trabalhavão	trabalhavam	VMII3P0	trabalhar
de	de	SPS00	de
accôrdo	acordo	NCMS000	acordo
com	com	SPS00	com
os	os	DA0MP0	o
Maçõns	maçons	NCMP000	maçom
Portuguezes	portugueses	AQ0MP0	português
:	.	Fp	.
e	E	CC	e
hindo	indo	VMG0000	ir
buscar	buscar	VMN0000	buscar
huma	uma	DI0FS0	um
carta	carta	NCFS000	carta
q	que	PR0CN000	que
Sandoval	Sandoval	NP00000	sandoval
filho	Filho	NP00000	filho
tinha	tinha	VAIP3S0	ter
escripto	escrito	VMP0000	escrever
do	do	SPS00+DA0MS0	de+o
Limoeiro	Limoeiro	NP00000	limoeiro
,	,	Fc	,
ma	ma	PP1CS000+PP3FSA00	me+o
lêo	leu	VMIS3S0	ler
,	,	Fc	,
e	e	CC	e
dava	dava	VMII0S0	dar
a	a	DA0FS0	o
seguinte	seguinte	AQ0CS0	seguinte
noticia	notícia	NCFS000	notícia
,	:	Fp	:
«	«	Fra	«
q	Que	CS	que
o	o	DA0MS0	o
Alcaide	alcaide	NCMS000	alcaide
Constitucional	constitucional	AQ0CS0	constitucional
de	de	SPS00	de
Albuquerque	Albuquerque	NP00000	albuquerque
q	que	PR0CN000	que
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
prezo	preso	VMP00SM	prender
na	na	SPS00+DA0FS0	em+o
Cadêa	Cadeia	NP00000	cadeia
da	da	SPS00+DA0FS0	de+o
Cidade	Cidade	NCFS000	cidade
,	,	Fc	,
por	por	SPS00	por
correspondencias	correspondências	NCFP000	correspondência
q	que	PR0CN000	que
conservava	conservava	VMII0S0	conservar
com	com	SPS00	com
Hespanha	Espanha	NP00000	espanha
,	,	Fc	,
affirmava	afirmava	VMII0S0	afirmar
q	que	CS	que
Cabreira	Cabreira	NP00000	cabreira
vinha	vinha	VMII0S0	vir
com	com	SPS00	com
hum	um	DI0MS0	um
Exercito	exército	NCMS000	exército
constitucional	constitucional	AQ0CS0	constitucional
de	de	SPS00	de
dez	dez	Z	dez
mil	mil	Z	mil
homens	homens	NCMP000	homem
attacar	atacar	VMN0000	atacar
as	as	DA0FP0	o
fronteiras	fronteiras	NCFP000	fronteira
de	de	SPS00	de
Portugal	Portugal	NP00000	portugal
»	»	Frt	»
	.	Fp	.
Apenas	Apenas	RG	apenas
Sandoval	Sandoval	NP00000	sandoval
acabou	acabou	VMIS3S0	acabar
a	a	DA0FS0	o
leitura	leitura	NCFS000	leitura
da	da	SPS00+DA0FS0	de+o
Carta	carta	NCFS000	carta
de	de	SPS00	de
seu	seu	DP3MS0	seu
filho	filho	NCMS000	filho
,	,	Fc	,
exclamou	exclamou	VMIS3S0	exclamar
:	:	Fd	:
«	«	Fra	«
A	A	DA0FS0	o
occasião	ocasião	NCFS000	ocasião
não	não	RN	não
póde	pode	VMIP3S0	poder
ser	ser	VSN0000	ser
melhor	melhor	RC	melhor
!	!	Fp	!
não	Não	RN	não
ha	há	VMIP3S0	haver
tempo	tempo	NCMS000	tempo
a	a	SPS00	a
perder	perder	VMN0000	perder
;	!	Fp	!
deve-se	Deve-se	VMIP3S0+P00CN000	dever+se
ultimar	ultimar	VMN0000	ultimar
este	este	DD0MS0	este
negocio	negócio	NCMS000	negócio
com	com	SPS00	com
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
brevidade	brevidade	NCFS000	brevidade
.	!	Fa	!
»	»	Frt	»
	.	Fp	.
E	E	CC	e
peguntando-lhe	perguntando-lhe	CC	e
eu	eu	PP1CSN00	eu
se	se	CS	se
havia	havia	VMII0S0	haver
mais	mais	RC	mais
alguns	alguns	DI0MP0	algum
socios	sócios	NCMP000	sócio
,	,	Fc	,
fallou-me	falou-me	VMIS3S0+PP1CS000	falar+me
no	no	SPS00+DA0MS0	em+o
Padre	Padre	NP00000	padre
Joaquim	Joaquim	NP00000	joaquim
de	de	SPS00	de
Santa	Santa	NP00000	santa
Anna	Ana	NP00000	ana
,	,	Fc	,
Religioso	religioso	NCMS000	religioso
q	que	PR0CN000	que
foi	foi	VSIS3S0	ser
dos	dos	SPS00+DA0MP0	de+o
Barbadinhos	Barbadinhos	NP00000	Barbadinhos
da	da	SPS00+DA0FS0	de+o
Boa	Boa	NP00000	boa
morte	Morte	NP00000	morte
.	.	Fp	.
Passámos	Passámos	VMIS1P0	passar
a	a	SPS00	a
fallar	falar	VMN0000	falar
nas	nas	SPS00+DA0FP0	em+o
dissenções	dissensões	NCFP000	dissensão
q	que	PR0CN000	que
tem	tem	VAIP3S0	ter
havido	havido	VMP0000	haver
entre	entre	SPS00	entre
as	as	DA0FP0	o
lojas	lojas	NCFP000	loja
Maçonicas	maçónicas	AQ0FP0	maçónico
,	,	Fc	,
e	e	CC	e
por	por	SPS00	por
esta	esta	DD0FS0	este
conversação	conversação	NCFS000	conversação
vim	vim	VMIS1S0	vir
a	a	SPS00	a
saber	saber	VMN0000	saber
q	que	CS	que
sandoval	Sandoval	NP00000	sandoval
era	era	VSII0S0	ser
Grande  Orador	Grande-Orador	NP00000	grande-orador
da	da	SPS00+DA0FS0	de+o
loja	loja	NCFS000	loja
«	«	Fra	«
Regeneração	Regeneração	NP00000	regeneração
»	»	Frt	»
	.	Fp	.
porêm	Porém	RG	porém
	,	Fc	,
soube	soube	VMIS1S0	saber
igualmente	igualmente	RG	igualmente
q	que	CS	que
agora	agora	RG	agora
não	não	RN	não
havia	havia	VMII0S0	haver
reuniões	reuniões	NCFP000	reunião
porque	porque	CS	porque
a	a	DA0FS0	o
Loja	loja	NCFS000	loja
se	se	CS	se
achava	achava	VMII0S0	achar
revolucionada	revolucionada	VMP00SF	revolucionar
.	.	Fp	.
Disse-me	Disse-me	VMIS3S0+PP1CS000	dizer+me
que	que	CS	que
o	o	DA0MS0	o
Tenente	Tenente	NP00000	tenente
Saldanha	Saldanha	NP00000	saldanha
era	era	VSII0S0	ser
o	o	DA0MS0	o
Irmão	Irmão	NP00000	irmão
terrivel	Terrível	NP00000	terrível
da	da	SPS00+DA0FS0	de+o
dita	dita	VMP00SF	dizer
Loja	loja	NCFS000	loja
;	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
Veneravel	Venerável	NP00000	venerável
era	era	VSII0S0	ser
Caetano	Caetano	NP00000	caetano
Joze	José	NP00000	josé
de	de	SPS00	de
Carvalho	Carvalho	NP00000	carvalho
,	,	Fc	,
Boticario	boticário	NCMS000	boticário
ao	ao	SPS00+DA0MS0	a+o
Pôço	Poço	NP00000	poço
Novo	Novo	NP00000	novo
;	.	Fp	.
disse-me	Disse-me	VMIS3S0+PP1CS000	dizer+me
q	que	CS	que
o	o	DA0MS0	o
Coronel	Coronel	NP00000	coronel
Valladas	Valadas	NP00000	Valadas
,	,	Fc	,
Joze	José	NP00000	josé
Maria	Maria	NP00000	maria
d'	de	SPS00	de
Aguilar	Aguilar	NP00000	aguilar
e	e	CC	e
o	o	DA0MS0	o
Solitano	Solitano	NP00000	solitano
tambem	também	RG	também
pertencião	pertenciam	VMII3P0	pertencer
à	à	SPS00+DA0FS0	a+o
loja	loja	NCFS000	loja
maçonica	maçónica	AQ0FS0	maçónico
«	«	Fra	«
Regeneração	Regeneração	NP00000	regeneração
»	»	Frt	»
	.	Fp	.
Acabada	Acabada	VMP00SF	acabar
q	que	PR0CN000	que
foi	foi	VSIS3S0	ser
nossa	nossa	DP1FSP	nosso
Conferencia	conferência	NCFS000	conferência
,	,	Fc	,
despedi-me	despedi-me	Fc	,
de	de	SPS00	de
Sandoval	Sandoval	NP00000	sandoval
,	,	Fc	,
e	e	CC	e
este	este	PD0MS000	este
me	me	PP1CS000	me
recommendou	recomendou	VMIS3S0	recomendar
com	com	SPS00	com
muita	muita	DI0FS0	muito
instancia	instância	NCFS000	instância
q	que	CS	que
aliciasse	aliciasse	VMSI0S0	aliciar
algumas	algumas	DI0FP0	algum
Pessoas	pessoas	NCFP000	pessoa
em	em	SPS00	em
quem	quem	PR0CN000	quem
confiasse	confiasse	VMSI0S0	confiar
para	para	SPS00	para
nos	nos	PP1CP000	nos
ajudar	ajudar	VMN0000	ajudar
.	.	Fp	.
Nada	Nada	PI0NN00N	nada
mais	mais	RC	mais
tenho	tenho	VMIP1S0	ter
por	por	SPS00	por
agora	agora	RG	agora
q	que	PR0CN000	que
participar	participar	VMN0000	participar
a	a	SPS00	a
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
senão	senão	CC	senão
q	que	CS	que
continuarei	continuarei	VMIF1S0	continuar
com	com	SPS00	com
o	o	DA0MS0	o
maior	maior	AQ0CS0	maior
escrupulo	escrúpulo	NCMS000	escrúpulo
a	a	SPS00	a
observar	observar	VMN0000	observar
as	as	DA0FP0	o
Reaes	reais	AQ0CP0	real
Ordens	ordens	NCFP000	ordem
q	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
de	de	SPS00	de
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
.	.	Fp	.
Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
4	4	Z	4
de	de	SPS00	de
Setembro	setembro	NCMS000	setembro
de	de	SPS00	de
1823	1823	Z	1823
.	.	Fp	.
Sou	Sou	VSIP1S0	ser
	,	Fc	,
com	com	SPS00	com
o	o	DA0MS0	o
devido	devido	VMP00SM	dever
respeito	respeito	NCMS000	respeito
	,	Fc	,
De	de	SPS00	de
Vossa	Vossa	NP00000	vossa
Alteza	Alteza	NP00000	alteza
Real	Real	NP00000	real
O	o	DA0MS0	o
mais	mais	RC	mais
humilde	humilde	AQ0CS0	humilde
e	e	CC	e
fiel	fiel	AQ0CS0	fiel
Subdito	súbdito	NCMS000	súbdito
	,	Fc	,
Joaquim	Joaquim	NP00000	joaquim
Maria	Maria	NP00000	maria
Torres	Torres	NP00000	torres
