Exmo	Excelentíssimo	AQSMS0	excelente
suas	suas	DP3FP0	seu
lágrimas	lágrimas	NCFP000	lágrima
.	.	Fp	.
Por	Por	SPS00	por
certo	certo	NCMS000	certo
aquelle	aquele	DD0MS0	aquele
mimo	mimo	NCMS000	mimo
,	,	Fc	,
aquella	aquela	DD0FS0	aquele
meiguice	meiguice	NCFS000	meiguice
,	,	Fc	,
aquelle	aquele	DD0MS0	aquele
fogo	fogo	NCMS000	fogo
de	de	SPS00	de
ciume	ciúme	NCFS000	ciúme
q	que	PR0CN000	que
no	no	SPS00+DA0MS0	em+o
rosto	rosto	NCMS000	rosto
mudo	mudo	AQ0MS0	mudo
exprimem	exprimem	NCMS000	exprimem
tão	tão	CC	tão
vivamte	vivamente	RG	vivamente
o	o	DA0MS0	o
q	que	PR0CN000	que
vai	vai	VMIP3S0	ir
no	no	SPS00+DA0MS0	em+o
coração	coração	NCMS000	coração
,	,	Fc	,
só	só	RG	só
as	as	DA0FP0	o
nossas	nossas	DP1FPP	nosso
Portuguezas	portuguesas	NCFP000	português
o	o	PP3MSA00	o
tem	têm	VMIP3S0	ter
.	.	Fp	.
Hum	Um	DI0MS0	um
suspiro	suspiro	NCMS000	suspiro
desdenhozo	desdenhoso	NCMS000	desdenhoso
,	,	Fc	,
hũ	um	DI0MS0	um
suspiro	suspiro	NCMS000	suspiro
escapado	escapado	VMP00SM	escapar
,	,	Fc	,
q	que	DT0CS0	que
Emphasis	ênfase	NP00000	ênfase
suavissima	suavíssima	AQSFS0	suave
não	não	RG	não
escondem	escondem	NCFS000	escondem
?	?	Fp	?
Bem	Bem	RG	bem
mal	mal	RG	mal
parece	parece	VMIP3S0	parecer
q	que	CS	que
eu	eu	PP1CSN00	eu
entertenha	entretenha	NCFS000	entretenha
a	a	SPS00	a
VExa	VExa	NP00000	VExa
de	de	SPS00	de
coizas	coisas	NCFP000	coisa
q	que	PR0CN000	que
o	o	DA0MS0	o
mundo	mundo	NCMS000	mundo
trata	trata	VMIP3S0	tratar
de	de	SPS00	de
bagatella	bagatela	NCFS000	bagatela
emqto	enquanto	CS	enquanto
algũ	algum	DI0MS0	algum
projecto	projeto	NCMS000	projeto
enredante	enredante	RG	enredante
,	,	Fc	,
alguma	alguma	DI0FS0	algum
intriga	intriga	NCFS000	intriga
politica	política	NCFS000	política
	,	Fc	,
occupa	ocupa	VMIP3S0	ocupar
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
alma	alma	NCFS000	alma
;	.	Fp	.
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
não	não	RN	não
o	o	PP3MSA00	o
supponho	suponho	VMIP1S0	supor
na	na	SPS00+DA0FS0	em+o
Haya	Haia	NP00000	Haia
;	.	Fp	.
está	Está	VMIP3S0	estar
no	no	SPS00+DA0MS0	em+o
campo	campo	NCMS000	campo
,	.	Fp	.
agora	Agora	RG	agora
não	não	RN	não
he	é	VSIP3S0	ser
Menistro	ministro	NCMS000	ministro
;	,	Fc	,
hé	é	VSIP3S0	ser
mister	mister	NCMS000	mister
devertir se	divertir-se	VMN0000+P00CN000	divertir+se
	.	Fp	.
e	E	CC	e
estas	estas	DD0FP0	este
lembranças	lembranças	NCFP000	lembrança
não	não	RN	não
são	são	VSIP3P0	ser
tão	tão	RC	tão
indignas	indignas	AQ0FP0	indigno
do	do	SPS00+DA0MS0	de+o
homem	homem	NCMS000	homem
q	que	CS	que
elle	ele	PP3MS000	ele
	,	Fc	,
sem	sem	SPS00	sem
sahir	sair	VMN0000	sair
de	de	SPS00	de
si	si	PP3CNO00	si
	,	Fc	,
não	não	RN	não
acha	acha	VMIP3S0	achar
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
coração	coração	NCMS000	coração
e	e	CC	e
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
sangue	sangue	NCMS000	sangue
os	os	DA0MP0	o
estimulos	estímulos	NCMP000	estímulo
q	que	PR0CN000	que
as	as	DA0MS0	o
suscitão	suscitam	NCMS000	suscitam
;	.	Fp	.
vou	Vou	VMIP1S0	ir
pa	para	SPS00	para
Portugal	Portugal	NP00000	portugal
,	,	Fc	,
e	e	CC	e
se	se	CS	se
comigo	comigo	SPS00+PP1CSO00	com+mim
fosse	fosse	VMSI0S0	ir
aquella	aquela	DD0FS0	aquele
por	por	SPS00	por
qm	quem	PR0CN000	quem
eu	eu	PP1CSN00	eu
sahi	saí	VMIS1S0	sair
;	,	Fc	,
teria	teria	VMIC0S0	ter
eu	eu	PP1CSN00	eu
hum	um	DI0MS0	um
prazer	prazer	NCMS000	prazer
inteiro	inteiro	AQ0MS0	inteiro
;	.	Fp	.
creio	Creio	VMIP1S0	crer
q	que	CS	que
hum	um	DI0MS0	um
Portuguez	português	NCMS000	português
longe	longe	RG	longe
de	de	SPS00	de
Portugal	Portugal	NP00000	portugal
hé	é	VSIP3S0	ser
peixe	peixe	NCMS000	peixe
fora	fora	RG	fora
de	de	SPS00	de
agua	água	NCFS000	água
,	.	Fp	.
enlanguice	Enlanguesce	VMIP3S0	enlanguescer
e	e	CC	e
morre	morre	VMIP3S0	morrer
	.	Fp	.
eu	Eu	PP1CSN00	eu
dezejo	desejo	VMIP1S0	desejar
o	o	DA0MS0	o
bem	bem	NCMS000	bem
de	de	SPS00	de
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
homem	homem	NCMS000	homem
;	.	Fp	.
convido	Convido	NP00000	convido
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
Portuguez	português	NCMS000	português
a	a	SPS00	a
ir	ir	VMN0000	ir
passar	passar	VMN0000	passar
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
dias	dias	NCMP000	dia
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
berço	berço	NCMS000	berço
,	.	Fp	.
de	De	SPS00	de
q	que	PT0CN000	que
servem	servem	VMIP3P0	servir
gdes	grandes	AQ0CP0	grande
esperanças	esperanças	NCFP000	esperança
;	,	Fc	,
se	se	CS	se
o	o	DA0MS0	o
homem	homem	NCMS000	homem
só	só	RG	só
vive	vive	VMIP3S0	viver
do	do	SPS00+DA0MS0	de+o
desejo	desejo	NCMS000	desejo
q	que	PR0CN000	que
desfruta	desfruta	VMIP3S0	desfrutar
!	?	Fp	?
Hum	Um	DI0MS0	um
vestido	vestido	NCMS000	vestido
doirado	doirado	NCMS000	doirado
hé	é	VSIP3S0	ser
coisa	coisa	NCFS000	coisa
viva	viva	AQ0FS0	vivo
,	,	Fc	,
mas	mas	CC	mais
tornar	tornar	VMN0000	tornar
em	em	SPS00	em
lugar	lugar	NCMS000	lugar
de	de	SPS00	de
alliciar	aliciar	VMN0000	aliciar
cega	cega	VMIP3S0	cegar
há	há	VMIP3S0	haver
tanto	tanto	CC	tanto
não	não	RN	não
basta	basta	VMIP3S0	bastar
vestir	vestir	VMN0000	vestir
dos	dos	SPS00+DA0MP0	de+o
pannos	panos	NCMP000	pano
q	que	PR0CN000	que
ellas	ellas	NP00000	ellas
.	.	Fp	.
Hua	Uma	DI0FS0	um
carruagem	carruagem	NCFS000	carruagem
hé	é	VSIP3S0	ser
mto	muito	RQ	muito
commoda	cómoda	NCFS000	cómoda
;	,	Fc	,
mas	mas	CC	mais
o	o	DA0MS0	o
e-xercicio	exercício	NCMS000	exercício
hé	é	VSIP3S0	ser
	.	Fp	.
mtos	Muitos	PI0MP000	muito
estão	estão	VMIP3P0	estar
a	à	SPS00+DA0FS0	a+o
roda	roda	NCFS000	roda
de	de	SPS00	de
mim	mim	PP1CSO00	mim
,	,	Fc	,
e	e	CC	e
as	as	DA0FP0	o
bellas	belas	AQ0FP0	belo
assistem	assistem	VMIP3P0	assistir
no	no	SPS00+DA0MS0	em+o
bairro	bairro	NCMS000	bairro
,	.	Fp	.
não	Não	RN	não
se	se	P00CN000	se
vive	vive	VMIP3S0	viver
mto	muito	RQ	muito
bem	bem	RG	bem
sem	sem	SPS00	sem
aquelle	aquele	DD0MS0	aquele
appomto	apontamento	NCMS000	apontamento
	.	Fp	.
Gdes	Grandes	AQ0CP0	grande
Palacios	palácios	NCMP000	palácio
inculcão	inculcam	SPS00	inculcam
magnificencia	magnificência	NCFS000	magnificência
;	,	Fc	,
mas	mas	CC	mais
não	não	RN	não
se	se	P00CN000	se
está	está	VMIP3S0	estar
bem	bem	RG	bem
guardado	guardado	VMP00SM	guardar
dos	dos	SPS00+DA0MP0	de+o
tempos	tempos	NCMP000	tempo
	,	Fc	,
com	com	SPS00	com
hua	uma	DI0FS0	um
cara	cara	NCFS000	cara
decente	decente	RG	decente
,	,	Fc	,
aonde	onde	PA000000	onde
eu	eu	PP1CSN00	eu
oiça	oiça	VMIP3S0	oiçar
a	a	DA0FS0	o
voz	voz	NCFS000	voz
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
amo	amigo	NCMS000	amigo
(	(	Fc	(
logo	logo	RG	logo
q	que	CS	que
elega	eleja	VMIP3S0	elejar
a	a	DA0FS0	o
do	do	SPS00+DA0MS0	de+o
som	som	NCMS000	som
de	de	SPS00	de
hũa	uma	DI0FS0	um
campainha	campainha	NCFS000	campainha
,	,	Fc	,
recado	recado	NCMS000	recado
e	e	CC	e
resposta	resposta	NCFS000	resposta
de	de	SPS00	de
hũ	um	DI0MS0	um
criado	criado	NCMS000	criado
estupido	estúpido	AQ0MS0	estúpido
	)	Fc	)
,	,	Fc	,
q	que	CS	que
tudo	tudo	PI0NN000	tudo
me	me	PP1CS000	me
repreza	represa	VMIP3S0	represar
o	o	DA0MS0	o
gosto	gosto	NCMS000	gosto
de	de	SPS00	de
desfrutar	desfrutar	VMN0000	desfrutar
este	este	DD0MS0	este
prazer	prazer	NCMS000	prazer
q	que	PR0CN000	que
as	as	DA0FP0	o
almas	almas	NCFP000	alma
sensiveis	sensíveis	AQ0CP0	sensível
e	e	CC	e
innovantes	inovantes	RG	inovantes
só	só	RG	só
conhecem	conhecem	VMIP3P0	conhecer
.	.	Fp	.
Que	Que	CS	que
bem	bem	RG	bem
se	se	CS	se
vive	vive	VMIP3S0	viver
com	com	SPS00	com
o	o	DA0MS0	o
pouco	pouco	NCMS000	pouco
.	.	Fp	.
não	Não	RN	não
são	são	VSIP3P0	ser
os	os	DA0MP0	o
Diogenes	Diógenes	NP00000	Diógenes
e	e	CC	e
os	os	DA0MP0	o
Crates	Crates	NP00000	crates
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
Herois	heróis	NCMP000	herói
,	,	Fc	,
nem	nem	CC	nem
também	também	RG	também
os	os	DA0MP0	o
Cresos	Cresos	NP00000	cresos
nem	nem	CC	nem
os	os	DA0MP0	o
Alexandres	Alexandres	NP00000	Alexandres
,	,	Fc	,
q	que	CS	que
no	no	SPS00+DA0MS0	em+o
excesso	excesso	NCMS000	excesso
não	não	RN	não
pode	pode	VMIP3S0	poder
haver	haver	VMN0000	haver
virtde	virtude	NCFS000	virtude
nem	nem	CC	nem
prazer	prazer	NCMS000	prazer
.	.	Fp	.
Só	Só	RG	só
Epicuro	Epicuro	NP00000	Epicuro
me	me	PP1CS000	me
atrai	atrai	VMIP3S0	atrair
,	.	Fp	.
eis	Eis	RG	eis
aqui	aqui	RG	aqui
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
Heroe	herói	NCMS000	herói
:	!	Fp	!
naquelle	Naquele	SPS00+DD0MS0	em+aquele
tempo	tempo	NCMS000	tempo
em	em	SPS00	em
q	que	PR0CN000	que
a	a	SPS00	a
Grecia	Grécia	NP00000	grécia
e	e	CC	e
em	em	SPS00	em
q	que	CS	que
os	os	DA0MP0	o
Philosophos	filósofos	NCMP000	filósofo
se	se	P00CN000	se
mordião	mordiam	VMIP3P0	mordiar
cruamte	cruamente	RG	cruamente
porq	porque	CS	porque
sobre	sobre	SPS00	sobre
as	as	DA0FP0	o
ruinas	ruínas	NCFP000	ruína
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
se	se	CS	se
levantava	levantava	VMII0S0	levantar
outra	outra	DI0FS0	outro
mais	mais	RC	mais
frenetica	frenética	NCFS000	frenética
e	e	CC	e
mais	mais	RC	mais
insolente	insolente	AQ0CS0	insolente
,	,	Fc	,
em	em	SPS00	em
q	que	CS	que
a	a	DA0FS0	o
difinição	definição	NCFS000	definição
de	de	SPS00	de
summo	sumo	NCMS000	sumo
Bem	bem	RG	bem
ocupava	ocupava	VMII0S0	ocupar
e	e	CC	e
dividia	dividia	SPS00	dividia
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
cabeças	cabeças	NCFP000	cabeça
;	,	Fc	,
o	o	DA0MS0	o
bom	bom	AQ0MS0	bom
Philosopho	filósofo	NCMS000	bom
	,	Fc	,
quieto	quieto	AQ0MS0	quieto
e	e	CC	e
socegado	sossegado	VMP00SM	sossegar
,	,	Fc	,
inalteravel	inalterável	AQ0CS0	inalterável
a	a	SPS00	a
ensultos	insultos	NCMP000	insulto
,	,	Fc	,
a	a	SPS00	a
desafios	desafios	NCMP000	desafio
e	e	CC	e
a	a	SPS00	a
imbustes	embustes	NCMP000	embuste
	,	Fc	,
ouvia	ouvia	VMII0S0	ouvir
a	a	SPS00	a
natureza	natureza	NCFS000	natureza
pura	pura	AQ0FS0	puro
e	e	CC	e
innocente	inocente	NCMS000	inocente
,	,	Fc	,
estudava-a	estudava-a	VMII0S0+PP3FSA00	estudar+o
e	e	CC	e
seguia-a	seguia-a	VMIP3S0+PP3FSA00	seguiar+o
	.	Fp	.
o	O	DA0MS0	o
bem	bem	NCMS000	bem
não	não	RN	não
esta-va	estava	VMII0S0	estar
longe	longe	RG	longe
,	:	Fp	:
morava	morava	VMII0S0	morar
no	no	SPS00+DA0MS0	em+o
coração	coração	NCMS000	coração
do	do	SPS00+DA0MS0	de+o
homem	homem	NCMS000	homem
:	.	Fp	.
a	A	DA0FS0	o
ordem	ordem	NCFS000	ordem
hé	é	VSIP3S0	ser
este	este	DD0MS0	este
bem	bem	NCMS000	bem
geral	geral	NCMS000	geral
;	.	Fp	.
qdo	Quando	CS	quando
o	o	DA0MS0	o
homem	homem	NCMS000	homem
sabe	sabe	VMIP3S0	saber
do	do	SPS00+DA0MS0	de+o
lugar	lugar	NCMS000	lugar
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
hé	é	VSIP3S0	ser
destinado	destinado	VMP00SM	destinar
,	,	Fc	,
agita-se	agita-se	NCFS000+P00CN000	agita-se
,	,	Fc	,
não	não	RN	não
tem	tem	VMIP3S0	ter
mais	mais	RC	mais
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
escutar	escutar	VMN0000	escutar
o	o	DA0MS0	o
grito	grito	NCMS000	grito
do	do	SPS00+DA0MS0	de+o
interno	interno	AQ0MS0	interno
;	.	Fp	.
remette-o	Remete-o	Fp	.
a	a	DA0FS0	o
ordem	ordem	NCFS000	ordem
	,	Fc	,
e	e	CC	e
feliz	feliz	AQ0CS0	feliz
;	,	Fc	,
gozava	gozava	VMII0S0	gozar
de	de	SPS00	de
hua	uma	DI0FS0	um
paz	paz	NCFS000	paz
interna	interna	NCFS000	interna
q	que	CS	que
nenhum	nenhum	DI0MS0	nenhum
dos	dos	SPS00+DA0MP0	de+o
Philosophos	fiósofos	NCMP000	fiósofo
podia	podia	VMII0S0	poder
perturbar	perturbar	VMN0000	perturbar
:	.	Fp	.
escarnecia	Escarnecia	NP00000	Escarnecia
os	os	DA0MP0	o
Reis	reis	NCMP000	rei
do	do	SPS00+DA0MS0	de+o
povo	povo	NCMS000	povo
;	,	Fc	,
mas	mas	CC	mais
ajoelhava	ajoelhava	CC	mais
perante	perante	SPS00	perante
os	os	DA0MP0	o
altares	altares	NCMP000	altar
,	.	Fp	.
custava lhe	Custava-lhe	Fp	.
pouco	pouco	NCMS000	pouco
,	.	Fp	.
respeitava	Respeitava	Fp	.
o	o	DA0MS0	o
prejuizo	prejuízo	NCMS000	prejuízo
do	do	SPS00+DA0MS0	de+o
povo	povo	NCMS000	povo
,	,	Fc	,
e	e	CC	e
antes	antes	RG	antes
do	do	SPS00+DA0MS0	de+o
paiz	país	NCMS000	país
,	,	Fc	,
era	era	VSII0S0	ser
bom	bom	AQ0MS0	bom
cidadão	cidadão	NCMS000	cidadão
.	.	Fp	.
desfrutava	Desfrutava	Fp	.
os	os	DA0MP0	o
prazeres	prazeres	NCMP000	prazer
	,	Fc	,
mas	mas	CC	mais
era	era	VMIP3S0	era
a	a	SPS00	a
sua	sua	DP3FS0	seu
virde	virtude	NCFS000	virtude
o	o	DA0MS0	o
não	não	RN	não
em	em	SPS00	em
vicio	vício	NCMS000	vício
,	.	Fp	.
mas	Mas	CC	mas
intendemos	entendemos	VMIP3P0	entender
bem	bem	RG	bem
este	este	DD0MS0	este
homem	homem	NCMS000	homem
sensato	sensato	NCMS000	sensato
,	,	Fc	,
e	e	CC	e
veremos	veremos	VMIF1P0	ver
qto	quanto	PR0CN000	quanto
homens	homens	NCMP000	homem
são	são	VSIP3P0	ser
injustos	injustos	AQ0MP0	injusto
.	.	Fp	.
Mais	Mais	CC	mais
ainda	ainda	RG	ainda
levando	levando	VMG0000	levar
a	a	SPS00	a
VExa	VExa	NP00000	VExa
	,	Fc	,
s	sem	SPS00	sem
todavia	todavia	RG	todavia
pode	pode	VMIP3S0	poder
hum	um	DI0MS0	um
phantasma	fantasma	NCMS000	fantasma
triste	triste	AQ0CS0	triste
q	que	CS	que
a	a	DA0FS0	o
vista	vista	NCFS000	vista
do	do	SPS00+DA0MS0	de+o
campo	campo	NCMS000	campo
produz	produz	VMIP3S0	produzir
sobre	sobre	SPS00	sobre
a	a	DA0FS0	o
noite	noite	NCFS000	noite
.	.	Fp	.
Agora	Agora	RG	agora
falando	falando	VMG0000	falar
deste	deste	SPS00+DD0MS0	de+este
q	que	PR0CN000	que
eu	eu	PP1CSN00	eu
trouxe	trouxe	VMIS1S0	trazer
	,	Fc	,
peço	peço	VMIP1S0	pedir
a	a	SPS00	a
VExa	VExa	NP00000	VExa
q	que	CS	que
mande	mande	VMSP0S0	mandar
dizer	dizer	VMN0000	dizer
ao	ao	SPS00+DA0MS0	a+o
Sr	Senhor	NP00000	senhor
Branco	Branco	NP00000	branco
,	,	Fc	,
a	a	SPS00	a
qm	quem	PR0CN000	quem
eu	eu	PP1CSN00	eu
deixo	deixo	VMIP1S0	deixar
o	o	DA0MS0	o
q	que	PR0CN000	que
determina	determina	VMIP3S0	determinar
della	dela	SPS00+PP3FS000	de+ele
;	.	Fp	.
e	E	CC	e
de	de	SPS00	de
mim	mim	PP1CSO00	mim
pode	pode	VMIP3S0	poder
VExa	VExa	NP00000	VExa
determinar	determinar	VMN0000	determinar
em	em	SPS00	em
Lxa	Lxa	NP00000	lisboa
,	,	Fc	,
aonde	onde	PA000000	onde
mostrarei	mostrarei	VMIF1S0	mostrar
,	,	Fc	,
segdo	segundo	SPS00	segundo
o	o	DA0MS0	o
q	que	PR0CN000	que
em	em	SPS00	em
mim	mim	PP1CSO00	mim
cabe	cabe	VMIP3S0	caber
,	,	Fc	,
q	que	PR0CN000	que
sou	sou	VSIP1S0	ser
	...	Fc	...
de	De	SPS00	de
Vexa	VExa	NP00000	VExa
	,	Fc	,
com	com	SPS00	com
o	o	DA0MS0	o
mais	mais	NCMS000	mais
profundo	profundo	AQ0MS0	profundo
respeito	respeito	NCMS000	respeito
	,	Fc	,
mto	muito	RQ	muito
grato	grato	AQ0MS0	grato
e	e	CC	e
mt	muito	RQ	muito
obrigdo	obrigado	VMP00SM	obrigar
	,	Fc	,
Frnco	Francisco	NP00000	francisco
José	José	NP00000	josé
de	de	SPS00	de
Almda	Almeida	NP00000	almeida
Caldas	Caldas	NP00000	caldas
se	se	CS	se
recommenda	recomenda	VMIP3S0	recomendar
a	a	SPS00	a
VExa	VExa	NP00000	VExa
,	,	Fc	,
pois	pois	CS	pois
não	não	RN	não
tomamos	tomámos	VMIP1P0	tomar
como	como	SPS00	como
próprios	próprios	NCMP000	próprio
os	os	DA0MP0	o
obsequios	obséquios	NCMP000	obséquio
q	que	PR0CN000	que
se	se	P00CN000	se
fazem	fazem	VMIP3P0	fazer
a	a	SPS00	a
cada	cada	DI0CN0	cada
hum	um	DI0MS0	um
.	.	Fp	.
